Segment,F1,F2,F3,F4,F5,F6
S1,5.576932742210292,6.235020559163415,6.969726722754463,6.163653519065016,6.52742630108397,6.088343739721732
S2,6.235020559163415,6.969726722754463,6.163653519065016,6.52742630108397,6.088343739721732,7.518999098467215
S3,6.969726722754463,6.163653519065016,6.52742630108397,6.088343739721732,7.518999098467215,6.2203006504390626
S4,6.163653519065016,6.52742630108397,6.088343739721732,7.518999098467215,6.2203006504390626,6.813386254264429
S5,6.52742630108397,6.088343739721732,7.518999098467215,6.2203006504390626,6.813386254264429,6.100860771567126
S6,6.088343739721732,7.518999098467215,6.2203006504390626,6.813386254264429,6.100860771567126,7.284776122371832
S7,7.518999098467215,6.2203006504390626,6.813386254264429,6.100860771567126,7.284776122371832,7.274637839039835
S8,6.2203006504390626,6.813386254264429,6.100860771567126,7.284776122371832,7.274637839039835,7.899055269675258
S9,6.813386254264429,6.100860771567126,7.284776122371832,7.274637839039835,7.899055269675258,7.347926035534561
S10,6.100860771567126,7.284776122371832,7.274637839039835,7.899055269675258,7.347926035534561,6.606734472775479
S11,7.284776122371832,7.274637839039835,7.899055269675258,7.347926035534561,6.606734472775479,6.190521961836294
S12,7.274637839039835,7.899055269675258,7.347926035534561,6.606734472775479,6.190521961836294,6.224294288687391
S13,7.899055269675258,7.347926035534561,6.606734472775479,6.190521961836294,6.224294288687391,7.604464881951072
S14,7.347926035534561,6.606734472775479,6.190521961836294,6.224294288687391,7.604464881951072,6.845944023663147
S15,6.606734472775479,6.190521961836294,6.224294288687391,7.604464881951072,6.845944023663147,7.124467310314201
S16,6.190521961836294,6.224294288687391,7.604464881951072,6.845944023663147,7.124467310314201,7.202766902743355
S17,6.224294288687391,7.604464881951072,6.845944023663147,7.124467310314201,7.202766902743355,7.81101096543925
S18,7.604464881951072,6.845944023663147,7.124467310314201,7.202766902743355,7.81101096543925,6.821812057494172
S19,6.845944023663147,7.124467310314201,7.202766902743355,7.81101096543925,6.821812057494172,6.336304135589915
S20,7.124467310314201,7.202766902743355,7.81101096543925,6.821812057494172,6.336304135589915,5.451870410090292
S21,7.202766902743355,7.81101096543925,6.821812057494172,6.336304135589915,5.451870410090292,5.867135613935534
S22,7.81101096543925,6.821812057494172,6.336304135589915,5.451870410090292,5.867135613935534,6.244642467231692
S23,6.821812057494172,6.336304135589915,5.451870410090292,5.867135613935534,6.244642467231692,6.247662616642385
S24,6.336304135589915,5.451870410090292,5.867135613935534,6.244642467231692,6.247662616642385,7.1227668650685825
S25,5.451870410090292,5.867135613935534,6.244642467231692,6.247662616642385,7.1227668650685825,6.314017454738931
S26,5.867135613935534,6.244642467231692,6.247662616642385,7.1227668650685825,6.314017454738931,6.13976919472417
S27,6.244642467231692,6.247662616642385,7.1227668650685825,6.314017454738931,6.13976919472417,5.541671462080768
S28,6.247662616642385,7.1227668650685825,6.314017454738931,6.13976919472417,5.541671462080768,5.716166160641489
S29,7.1227668650685825,6.314017454738931,6.13976919472417,5.541671462080768,5.716166160641489,5.8780152830974615
S30,6.314017454738931,6.13976919472417,5.541671462080768,5.716166160641489,5.8780152830974615,5.60728804694425
S31,6.13976919472417,5.541671462080768,5.716166160641489,5.8780152830974615,5.60728804694425,6.417909913633316
S32,5.541671462080768,5.716166160641489,5.8780152830974615,5.60728804694425,6.417909913633316,6.332422309672037
S33,5.716166160641489,5.8780152830974615,5.60728804694425,6.417909913633316,6.332422309672037,7.016704618385768
S34,5.8780152830974615,5.60728804694425,6.417909913633316,6.332422309672037,7.016704618385768,7.224814123683115
S35,5.60728804694425,6.417909913633316,6.332422309672037,7.016704618385768,7.224814123683115,6.388163242987462
S36,6.417909913633316,6.332422309672037,7.016704618385768,7.224814123683115,6.388163242987462,6.381653838238234
S37,6.332422309672037,7.016704618385768,7.224814123683115,6.388163242987462,6.381653838238234,7.081860899311804
S38,7.016704618385768,7.224814123683115,6.388163242987462,6.381653838238234,7.081860899311804,8.198392938666377
S39,7.224814123683115,6.388163242987462,6.381653838238234,7.081860899311804,8.198392938666377,7.611858501105729
S40,6.388163242987462,6.381653838238234,7.081860899311804,8.198392938666377,7.611858501105729,6.417846320052861
S41,6.381653838238234,7.081860899311804,8.198392938666377,7.611858501105729,6.417846320052861,6.242731377308956
S42,7.081860899311804,8.198392938666377,7.611858501105729,6.417846320052861,6.242731377308956,6.216864630736987
S43,8.198392938666377,7.611858501105729,6.417846320052861,6.242731377308956,6.216864630736987,6.209183126813586
S44,7.611858501105729,6.417846320052861,6.242731377308956,6.216864630736987,6.209183126813586,6.394985753695548
S45,6.417846320052861,6.242731377308956,6.216864630736987,6.209183126813586,6.394985753695548,13.873999232365517
S46,6.242731377308956,6.216864630736987,6.209183126813586,6.394985753695548,13.873999232365517,15.805085717696105
S47,6.216864630736987,6.209183126813586,6.394985753695548,13.873999232365517,15.805085717696105,7.170420778048285
S48,6.209183126813586,6.394985753695548,13.873999232365517,15.805085717696105,7.170420778048285,7.142979867983921
S49,6.394985753695548,13.873999232365517,15.805085717696105,7.170420778048285,7.142979867983921,7.354483811144298
S50,13.873999232365517,15.805085717696105,7.170420778048285,7.142979867983921,7.354483811144298,10.981866101272868
S51,15.805085717696105,7.170420778048285,7.142979867983921,7.354483811144298,10.981866101272868,6.718214142792092
S52,7.170420778048285,7.142979867983921,7.354483811144298,10.981866101272868,6.718214142792092,6.414619506529388
S53,7.142979867983921,7.354483811144298,10.981866101272868,6.718214142792092,6.414619506529388,6.790209136214786
S54,7.354483811144298,10.981866101272868,6.718214142792092,6.414619506529388,6.790209136214786,6.879980740014898
S55,10.981866101272868,6.718214142792092,6.414619506529388,6.790209136214786,6.879980740014898,7.210064335338889
S56,6.718214142792092,6.414619506529388,6.790209136214786,6.879980740014898,7.210064335338889,12.502927746618921
S57,6.414619506529388,6.790209136214786,6.879980740014898,7.210064335338889,12.502927746618921,13.864880233538218
S58,6.790209136214786,6.879980740014898,7.210064335338889,12.502927746618921,13.864880233538218,8.186455661106212
S59,6.879980740014898,7.210064335338889,12.502927746618921,13.864880233538218,8.186455661106212,9.005920491044806
S60,7.210064335338889,12.502927746618921,13.864880233538218,8.186455661106212,9.005920491044806,11.475968628320468
S61,12.502927746618921,13.864880233538218,8.186455661106212,9.005920491044806,11.475968628320468,11.870559778263416
S62,13.864880233538218,8.186455661106212,9.005920491044806,11.475968628320468,11.870559778263416,8.28328385193521
S63,8.186455661106212,9.005920491044806,11.475968628320468,11.870559778263416,8.28328385193521,7.342240499482713
S64,9.005920491044806,11.475968628320468,11.870559778263416,8.28328385193521,7.342240499482713,7.541109942834544
S65,11.475968628320468,11.870559778263416,8.28328385193521,7.342240499482713,7.541109942834544,7.442259327976057
S66,11.870559778263416,8.28328385193521,7.342240499482713,7.541109942834544,7.442259327976057,7.788868306939112
S67,8.28328385193521,7.342240499482713,7.541109942834544,7.442259327976057,7.788868306939112,11.333750416472526
S68,7.342240499482713,7.541109942834544,7.442259327976057,7.788868306939112,11.333750416472526,11.184419946099277
S69,7.541109942834544,7.442259327976057,7.788868306939112,11.333750416472526,11.184419946099277,10.266093761003349
S70,7.442259327976057,7.788868306939112,11.333750416472526,11.184419946099277,10.266093761003349,9.328393563005394
S71,7.788868306939112,11.333750416472526,11.184419946099277,10.266093761003349,9.328393563005394,8.430130146337692
S72,11.333750416472526,11.184419946099277,10.266093761003349,9.328393563005394,8.430130146337692,7.118757008387318
S73,11.184419946099277,10.266093761003349,9.328393563005394,8.430130146337692,7.118757008387318,9.135840572805987
S74,10.266093761003349,9.328393563005394,8.430130146337692,7.118757008387318,9.135840572805987,11.158191458776976
S75,9.328393563005394,8.430130146337692,7.118757008387318,9.135840572805987,11.158191458776976,8.39959317939978
S76,8.430130146337692,7.118757008387318,9.135840572805987,11.158191458776976,8.39959317939978,8.389908484412747
S77,7.118757008387318,9.135840572805987,11.158191458776976,8.39959317939978,8.389908484412747,7.981852772432711
S78,9.135840572805987,11.158191458776976,8.39959317939978,8.389908484412747,7.981852772432711,8.762817556059291
S79,11.158191458776976,8.39959317939978,8.389908484412747,7.981852772432711,8.762817556059291,7.4265652991583195
S80,8.39959317939978,8.389908484412747,7.981852772432711,8.762817556059291,7.4265652991583195,7.063689491309278
S81,8.389908484412747,7.981852772432711,8.762817556059291,7.4265652991583195,7.063689491309278,7.610315033436657
S82,7.981852772432711,8.762817556059291,7.4265652991583195,7.063689491309278,7.610315033436657,15.440729549281132
S83,8.762817556059291,7.4265652991583195,7.063689491309278,7.610315033436657,15.440729549281132,7.921752181484757
S84,7.4265652991583195,7.063689491309278,7.610315033436657,15.440729549281132,7.921752181484757,9.36163821493188
S85,7.063689491309278,7.610315033436657,15.440729549281132,7.921752181484757,9.36163821493188,13.888431315843025
S86,7.610315033436657,15.440729549281132,7.921752181484757,9.36163821493188,13.888431315843025,17.042655949099558
S87,15.440729549281132,7.921752181484757,9.36163821493188,13.888431315843025,17.042655949099558,13.307338086706677
