Segment,F1,F2,F3,F4,F5,F6
S1,5.165107892235536,6.143519894745744,7.362964444471474,5.492987071009509,5.851316981050754,6.207530053562671
S2,6.143519894745744,7.362964444471474,5.492987071009509,5.851316981050754,6.207530053562671,7.890993292580334
S3,7.362964444471474,5.492987071009509,5.851316981050754,6.207530053562671,7.890993292580334,5.35595535336056
S4,5.492987071009509,5.851316981050754,6.207530053562671,7.890993292580334,5.35595535336056,8.439826471737796
S5,5.851316981050754,6.207530053562671,7.890993292580334,5.35595535336056,8.439826471737796,5.705144563598501
S6,6.207530053562671,7.890993292580334,5.35595535336056,8.439826471737796,5.705144563598501,7.890993292580334
S7,7.890993292580334,5.35595535336056,8.439826471737796,5.705144563598501,7.890993292580334,7.688198875347868
S8,5.35595535336056,8.439826471737796,5.705144563598501,7.890993292580334,7.688198875347868,7.986903835114896
S9,8.439826471737796,5.705144563598501,7.890993292580334,7.688198875347868,7.986903835114896,6.296018850981669
S10,5.705144563598501,7.890993292580334,7.688198875347868,7.986903835114896,6.296018850981669,6.243640968838158
S11,7.890993292580334,7.688198875347868,7.986903835114896,6.296018850981669,6.243640968838158,5.8362107646222015
S12,7.688198875347868,7.986903835114896,6.296018850981669,6.243640968838158,5.8362107646222015,5.289414693894938
S13,7.986903835114896,6.296018850981669,6.243640968838158,5.8362107646222015,5.289414693894938,7.864243342336044
S14,6.296018850981669,6.243640968838158,5.8362107646222015,5.289414693894938,7.864243342336044,6.948793462685217
S15,6.243640968838158,5.8362107646222015,5.289414693894938,7.864243342336044,6.948793462685217,7.506664304184362
S16,5.8362107646222015,5.289414693894938,7.864243342336044,6.948793462685217,7.506664304184362,6.603680830807909
S17,5.289414693894938,7.864243342336044,6.948793462685217,7.506664304184362,6.603680830807909,8.127836911091775
S18,7.864243342336044,6.948793462685217,7.506664304184362,6.603680830807909,8.127836911091775,6.862111932383185
S19,6.948793462685217,7.506664304184362,6.603680830807909,8.127836911091775,6.862111932383185,6.826281034168168
S20,7.506664304184362,6.603680830807909,8.127836911091775,6.862111932383185,6.826281034168168,5.1565102122891595
S21,6.603680830807909,8.127836911091775,6.862111932383185,6.826281034168168,5.1565102122891595,5.511415697546258
S22,8.127836911091775,6.862111932383185,6.826281034168168,5.1565102122891595,5.511415697546258,6.112655172709022
S23,6.862111932383185,6.826281034168168,5.1565102122891595,5.511415697546258,6.112655172709022,6.1211578715306425
S24,6.826281034168168,5.1565102122891595,5.511415697546258,6.112655172709022,6.1211578715306425,7.63944158626766
S25,5.1565102122891595,5.511415697546258,6.112655172709022,6.1211578715306425,7.63944158626766,5.747373212292213
S26,5.511415697546258,6.112655172709022,6.1211578715306425,7.63944158626766,5.747373212292213,5.638084422563643
S27,6.112655172709022,6.1211578715306425,7.63944158626766,5.747373212292213,5.638084422563643,5.237473758975333
S28,6.1211578715306425,7.63944158626766,5.747373212292213,5.638084422563643,5.237473758975333,5.460050228260827
S29,7.63944158626766,5.747373212292213,5.638084422563643,5.237473758975333,5.460050228260827,5.514833025435028
S30,5.747373212292213,5.638084422563643,5.237473758975333,5.460050228260827,5.514833025435028,5.357969229102971
S31,5.638084422563643,5.237473758975333,5.460050228260827,5.514833025435028,5.357969229102971,6.246319950173878
S32,5.237473758975333,5.460050228260827,5.514833025435028,5.357969229102971,6.246319950173878,6.068431487557371
S33,5.460050228260827,5.514833025435028,5.357969229102971,6.246319950173878,6.068431487557371,6.504685638415927
S34,5.514833025435028,5.357969229102971,6.246319950173878,6.068431487557371,6.504685638415927,7.288913096397745
S35,5.357969229102971,6.246319950173878,6.068431487557371,6.504685638415927,7.288913096397745,6.375938930565666
S36,6.246319950173878,6.068431487557371,6.504685638415927,7.288913096397745,6.375938930565666,5.711430646822505
S37,6.068431487557371,6.504685638415927,7.288913096397745,6.375938930565666,5.711430646822505,7.658877946206012
S38,6.504685638415927,7.288913096397745,6.375938930565666,5.711430646822505,7.658877946206012,8.754123141283264
S39,7.288913096397745,6.375938930565666,5.711430646822505,7.658877946206012,8.754123141283264,7.770105263079438
S40,6.375938930565666,5.711430646822505,7.658877946206012,8.754123141283264,7.770105263079438,5.695812649282589
S41,5.711430646822505,7.658877946206012,8.754123141283264,7.770105263079438,5.695812649282589,5.639425689674006
S42,7.658877946206012,8.754123141283264,7.770105263079438,5.695812649282589,5.639425689674006,5.79114831207253
S43,8.754123141283264,7.770105263079438,5.695812649282589,5.639425689674006,5.79114831207253,5.735854386593968
S44,7.770105263079438,5.695812649282589,5.639425689674006,5.79114831207253,5.735854386593968,5.654090552617751
S45,5.695812649282589,5.639425689674006,5.79114831207253,5.735854386593968,5.654090552617751,15.602910158487031
S46,5.639425689674006,5.79114831207253,5.735854386593968,5.654090552617751,15.602910158487031,16.597926953361068
S47,5.79114831207253,5.735854386593968,5.654090552617751,15.602910158487031,16.597926953361068,6.354394514037562
S48,5.735854386593968,5.654090552617751,15.602910158487031,16.597926953361068,6.354394514037562,7.778189911137275
S49,5.654090552617751,15.602910158487031,16.597926953361068,6.354394514037562,7.778189911137275,8.558257036565049
S50,15.602910158487031,16.597926953361068,6.354394514037562,7.778189911137275,8.558257036565049,8.536162032578746
S51,16.597926953361068,6.354394514037562,7.778189911137275,8.558257036565049,8.536162032578746,5.791756369737571
S52,6.354394514037562,7.778189911137275,8.558257036565049,8.536162032578746,5.791756369737571,5.5765853575389475
S53,7.778189911137275,8.558257036565049,8.536162032578746,5.791756369737571,5.5765853575389475,6.285001208266561
S54,8.558257036565049,8.536162032578746,5.791756369737571,5.5765853575389475,6.285001208266561,6.900032085718139
S55,8.536162032578746,5.791756369737571,5.5765853575389475,6.285001208266561,6.900032085718139,6.605946677449925
S56,5.791756369737571,5.5765853575389475,6.285001208266561,6.900032085718139,6.605946677449925,11.622961800414812
S57,5.5765853575389475,6.285001208266561,6.900032085718139,6.605946677449925,11.622961800414812,11.54936972371926
S58,6.285001208266561,6.900032085718139,6.605946677449925,11.622961800414812,11.54936972371926,8.3827183293142
S59,6.900032085718139,6.605946677449925,11.622961800414812,11.54936972371926,8.3827183293142,8.99316980834021
S60,6.605946677449925,11.622961800414812,11.54936972371926,8.3827183293142,8.99316980834021,10.861971752743486
S61,11.622961800414812,11.54936972371926,8.3827183293142,8.99316980834021,10.861971752743486,10.567991499620113
S62,11.54936972371926,8.3827183293142,8.99316980834021,10.861971752743486,10.567991499620113,7.447544280146745
S63,8.3827183293142,8.99316980834021,10.861971752743486,10.567991499620113,7.447544280146745,6.42607005386461
S64,8.99316980834021,10.861971752743486,10.567991499620113,7.447544280146745,6.42607005386461,6.842771555959171
S65,10.861971752743486,10.567991499620113,7.447544280146745,6.42607005386461,6.842771555959171,7.286643097394558
S66,10.567991499620113,7.447544280146745,6.42607005386461,6.842771555959171,7.286643097394558,7.605419253676514
S67,7.447544280146745,6.42607005386461,6.842771555959171,7.286643097394558,7.605419253676514,10.652963852971133
S68,6.42607005386461,6.842771555959171,7.286643097394558,7.605419253676514,10.652963852971133,10.887581844396824
S69,6.842771555959171,7.286643097394558,7.605419253676514,10.652963852971133,10.887581844396824,10.60724558030201
S70,7.286643097394558,7.605419253676514,10.652963852971133,10.887581844396824,10.60724558030201,9.803838427281924
S71,7.605419253676514,10.652963852971133,10.887581844396824,10.60724558030201,9.803838427281924,9.369027684464713
S72,10.652963852971133,10.887581844396824,10.60724558030201,9.803838427281924,9.369027684464713,8.500803371971706
S73,10.887581844396824,10.60724558030201,9.803838427281924,9.369027684464713,8.500803371971706,9.084896504664915
S74,10.60724558030201,9.803838427281924,9.369027684464713,8.500803371971706,9.084896504664915,12.209608513672054
S75,9.803838427281924,9.369027684464713,8.500803371971706,9.084896504664915,12.209608513672054,8.510095134009196
S76,9.369027684464713,8.500803371971706,9.084896504664915,12.209608513672054,8.510095134009196,8.37399858823342
S77,8.500803371971706,9.084896504664915,12.209608513672054,8.510095134009196,8.37399858823342,8.105303924791668
S78,9.084896504664915,12.209608513672054,8.510095134009196,8.37399858823342,8.105303924791668,8.770911469933024
S79,12.209608513672054,8.510095134009196,8.37399858823342,8.105303924791668,8.770911469933024,7.352187875075185
S80,8.510095134009196,8.37399858823342,8.105303924791668,8.770911469933024,7.352187875075185,6.133402491159099
S81,8.37399858823342,8.105303924791668,8.770911469933024,7.352187875075185,6.133402491159099,7.176929896497236
S82,8.105303924791668,8.770911469933024,7.352187875075185,6.133402491159099,7.176929896497236,11.31954221568462
S83,8.770911469933024,7.352187875075185,6.133402491159099,7.176929896497236,11.31954221568462,7.816246005627471
S84,7.352187875075185,6.133402491159099,7.176929896497236,11.31954221568462,7.816246005627471,9.796995837395244
S85,6.133402491159099,7.176929896497236,11.31954221568462,7.816246005627471,9.796995837395244,12.433574386540176
S86,7.176929896497236,11.31954221568462,7.816246005627471,9.796995837395244,12.433574386540176,16.595150169329443
S87,11.31954221568462,7.816246005627471,9.796995837395244,12.433574386540176,16.595150169329443,11.205378743261672
S88,7.816246005627471,9.796995837395244,12.433574386540176,16.595150169329443,11.205378743261672,8.05916179917055
S89,9.796995837395244,12.433574386540176,16.595150169329443,11.205378743261672,8.05916179917055,8.856697405576506
S90,12.433574386540176,16.595150169329443,11.205378743261672,8.05916179917055,8.856697405576506,7.1656025965163455
S91,16.595150169329443,11.205378743261672,8.05916179917055,8.856697405576506,7.1656025965163455,6.488632742552002
S92,11.205378743261672,8.05916179917055,8.856697405576506,7.1656025965163455,6.488632742552002,6.858475102869642
S93,8.05916179917055,8.856697405576506,7.1656025965163455,6.488632742552002,6.858475102869642,10.807364906492296
S94,8.856697405576506,7.1656025965163455,6.488632742552002,6.858475102869642,10.807364906492296,8.756639279591658
S95,7.1656025965163455,6.488632742552002,6.858475102869642,10.807364906492296,8.756639279591658,7.655170247121521
S96,6.488632742552002,6.858475102869642,10.807364906492296,8.756639279591658,7.655170247121521,13.122326790363557
S97,6.858475102869642,10.807364906492296,8.756639279591658,7.655170247121521,13.122326790363557,12.754494025563687
S98,10.807364906492296,8.756639279591658,7.655170247121521,13.122326790363557,12.754494025563687,12.62182850752821
S99,8.756639279591658,7.655170247121521,13.122326790363557,12.754494025563687,12.62182850752821,8.760005402270721
S100,7.655170247121521,13.122326790363557,12.754494025563687,12.62182850752821,8.760005402270721,5.463359857906539
S101,13.122326790363557,12.754494025563687,12.62182850752821,8.760005402270721,5.463359857906539,5.509940094872103
S102,12.754494025563687,12.62182850752821,8.760005402270721,5.463359857906539,5.509940094872103,5.567052751224694
S103,12.62182850752821,8.760005402270721,5.463359857906539,5.509940094872103,5.567052751224694,6.318615769131851
S104,8.760005402270721,5.463359857906539,5.509940094872103,5.567052751224694,6.318615769131851,7.374446506704707
S105,5.463359857906539,5.509940094872103,5.567052751224694,6.318615769131851,7.374446506704707,7.59818848550025
S106,5.509940094872103,5.567052751224694,6.318615769131851,7.374446506704707,7.59818848550025,9.288896808265815
S107,5.567052751224694,6.318615769131851,7.374446506704707,7.59818848550025,9.288896808265815,11.323129348781226
S108,6.318615769131851,7.374446506704707,7.59818848550025,9.288896808265815,11.323129348781226,10.324032664447993
S109,7.374446506704707,7.59818848550025,9.288896808265815,11.323129348781226,10.324032664447993,9.769099240958292
S110,7.59818848550025,9.288896808265815,11.323129348781226,10.324032664447993,9.769099240958292,7.519133620171379
S111,9.288896808265815,11.323129348781226,10.324032664447993,9.769099240958292,7.519133620171379,5.161392795698862
S112,11.323129348781226,10.324032664447993,9.769099240958292,7.519133620171379,5.161392795698862,5.610184955074841
S113,10.324032664447993,9.769099240958292,7.519133620171379,5.161392795698862,5.610184955074841,5.991706482195672
S114,9.769099240958292,7.519133620171379,5.161392795698862,5.610184955074841,5.991706482195672,5.812783302561643
S115,7.519133620171379,5.161392795698862,5.610184955074841,5.991706482195672,5.812783302561643,5.932659723513558
S116,5.161392795698862,5.610184955074841,5.991706482195672,5.812783302561643,5.932659723513558,5.759522914340728
S117,5.610184955074841,5.991706482195672,5.812783302561643,5.932659723513558,5.759522914340728,5.534967710008084
S118,5.991706482195672,5.812783302561643,5.932659723513558,5.759522914340728,5.534967710008084,5.535654516550918
S119,5.812783302561643,5.932659723513558,5.759522914340728,5.534967710008084,5.535654516550918,5.253806143182022
S120,5.932659723513558,5.759522914340728,5.534967710008084,5.535654516550918,5.253806143182022,5.273343423222434
S121,5.759522914340728,5.534967710008084,5.535654516550918,5.253806143182022,5.273343423222434,5.485742806605714
S122,5.534967710008084,5.535654516550918,5.253806143182022,5.273343423222434,5.485742806605714,6.250892715183559
S123,5.535654516550918,5.253806143182022,5.273343423222434,5.485742806605714,6.250892715183559,6.141031710952763
S124,5.253806143182022,5.273343423222434,5.485742806605714,6.250892715183559,6.141031710952763,7.04145996534952
S125,5.273343423222434,5.485742806605714,6.250892715183559,6.141031710952763,7.04145996534952,7.055582277840423
S126,5.485742806605714,6.250892715183559,6.141031710952763,7.04145996534952,7.055582277840423,7.697676495002722
S127,6.250892715183559,6.141031710952763,7.04145996534952,7.055582277840423,7.697676495002722,6.531597556629773
S128,6.141031710952763,7.04145996534952,7.055582277840423,7.697676495002722,6.531597556629773,6.194295942990845
S129,7.04145996534952,7.055582277840423,7.697676495002722,6.531597556629773,6.194295942990845,7.642891639085345
S130,7.055582277840423,7.697676495002722,6.531597556629773,6.194295942990845,7.642891639085345,7.958732622371998
S131,7.697676495002722,6.531597556629773,6.194295942990845,7.642891639085345,7.958732622371998,6.585332909304774
S132,6.531597556629773,6.194295942990845,7.642891639085345,7.958732622371998,6.585332909304774,5.881078104450145
S133,6.194295942990845,7.642891639085345,7.958732622371998,6.585332909304774,5.881078104450145,6.229065429269748
S134,7.642891639085345,7.958732622371998,6.585332909304774,5.881078104450145,6.229065429269748,6.639055396036555
S135,7.958732622371998,6.585332909304774,5.881078104450145,6.229065429269748,6.639055396036555,8.187143115954518
S136,6.585332909304774,5.881078104450145,6.229065429269748,6.639055396036555,8.187143115954518,7.7584552033931455
S137,5.881078104450145,6.229065429269748,6.639055396036555,8.187143115954518,7.7584552033931455,9.499911566297811
S138,6.229065429269748,6.639055396036555,8.187143115954518,7.7584552033931455,9.499911566297811,8.498602061208139
S139,6.639055396036555,8.187143115954518,7.7584552033931455,9.499911566297811,8.498602061208139,6.77026948681035
S140,8.187143115954518,7.7584552033931455,9.499911566297811,8.498602061208139,6.77026948681035,6.92546983899674
S141,7.7584552033931455,9.499911566297811,8.498602061208139,6.77026948681035,6.92546983899674,9.061234109142687
S142,9.499911566297811,8.498602061208139,6.77026948681035,6.92546983899674,9.061234109142687,6.502817080580758
S143,8.498602061208139,6.77026948681035,6.92546983899674,9.061234109142687,6.502817080580758,7.6475120823791425
S144,6.77026948681035,6.92546983899674,9.061234109142687,6.502817080580758,7.6475120823791425,6.513732091480956
S145,6.92546983899674,9.061234109142687,6.502817080580758,7.6475120823791425,6.513732091480956,6.917836546063468
S146,9.061234109142687,6.502817080580758,7.6475120823791425,6.513732091480956,6.917836546063468,7.433275038510927
S147,6.502817080580758,7.6475120823791425,6.513732091480956,6.917836546063468,7.433275038510927,6.3685235825943325
S148,7.6475120823791425,6.513732091480956,6.917836546063468,7.433275038510927,6.3685235825943325,9.513407371764695
S149,6.513732091480956,6.917836546063468,7.433275038510927,6.3685235825943325,9.513407371764695,8.624387376333829
S150,6.917836546063468,7.433275038510927,6.3685235825943325,9.513407371764695,8.624387376333829,6.67599468991421
S151,7.433275038510927,6.3685235825943325,9.513407371764695,8.624387376333829,6.67599468991421,6.339923176811426
S152,6.3685235825943325,9.513407371764695,8.624387376333829,6.67599468991421,6.339923176811426,6.3960058369527895
S153,9.513407371764695,8.624387376333829,6.67599468991421,6.339923176811426,6.3960058369527895,5.839470905692598
S154,8.624387376333829,6.67599468991421,6.339923176811426,6.3960058369527895,5.839470905692598,7.886929275056824
S155,6.67599468991421,6.339923176811426,6.3960058369527895,5.839470905692598,7.886929275056824,6.385804151776377
S156,6.339923176811426,6.3960058369527895,5.839470905692598,7.886929275056824,6.385804151776377,5.680665561730451
S157,6.3960058369527895,5.839470905692598,7.886929275056824,6.385804151776377,5.680665561730451,5.829345145619754
S158,5.839470905692598,7.886929275056824,6.385804151776377,5.680665561730451,5.829345145619754,5.612014214686663
S159,7.886929275056824,6.385804151776377,5.680665561730451,5.829345145619754,5.612014214686663,8.177002949251197
S160,6.385804151776377,5.680665561730451,5.829345145619754,5.612014214686663,8.177002949251197,8.10579223340467
S161,5.680665561730451,5.829345145619754,5.612014214686663,8.177002949251197,8.10579223340467,8.271854349216461
S162,5.829345145619754,5.612014214686663,8.177002949251197,8.10579223340467,8.271854349216461,7.733870144504781
S163,5.612014214686663,8.177002949251197,8.10579223340467,8.271854349216461,7.733870144504781,6.462954959871442
S164,8.177002949251197,8.10579223340467,8.271854349216461,7.733870144504781,6.462954959871442,5.623100875997869
S165,8.10579223340467,8.271854349216461,7.733870144504781,6.462954959871442,5.623100875997869,5.375277062500743
S166,8.271854349216461,7.733870144504781,6.462954959871442,5.623100875997869,5.375277062500743,8.120881555037093
S167,7.733870144504781,6.462954959871442,5.623100875997869,5.375277062500743,8.120881555037093,8.580873489394317
S168,6.462954959871442,5.623100875997869,5.375277062500743,8.120881555037093,8.580873489394317,7.7925796993001475
S169,5.623100875997869,5.375277062500743,8.120881555037093,8.580873489394317,7.7925796993001475,7.8311772585958295
S170,5.375277062500743,8.120881555037093,8.580873489394317,7.7925796993001475,7.8311772585958295,7.189785651904305
S171,8.120881555037093,8.580873489394317,7.7925796993001475,7.8311772585958295,7.189785651904305,10.433669676372746
S172,8.580873489394317,7.7925796993001475,7.8311772585958295,7.189785651904305,10.433669676372746,10.150712224139491
S173,7.7925796993001475,7.8311772585958295,7.189785651904305,10.433669676372746,10.150712224139491,7.157870847397911
S174,7.8311772585958295,7.189785651904305,10.433669676372746,10.150712224139491,7.157870847397911,8.145975817260513
S175,7.189785651904305,10.433669676372746,10.150712224139491,7.157870847397911,8.145975817260513,8.035210434985526
S176,10.433669676372746,10.150712224139491,7.157870847397911,8.145975817260513,8.035210434985526,8.090278224806434
S177,10.150712224139491,7.157870847397911,8.145975817260513,8.035210434985526,8.090278224806434,8.494791966642849
S178,7.157870847397911,8.145975817260513,8.035210434985526,8.090278224806434,8.494791966642849,10.392006491067184
S179,8.145975817260513,8.035210434985526,8.090278224806434,8.494791966642849,10.392006491067184,9.115051492190112
S180,8.035210434985526,8.090278224806434,8.494791966642849,10.392006491067184,9.115051492190112,7.814517844910827
S181,8.090278224806434,8.494791966642849,10.392006491067184,9.115051492190112,7.814517844910827,6.539006102682761
S182,8.494791966642849,10.392006491067184,9.115051492190112,7.814517844910827,6.539006102682761,9.2627471332839
S183,10.392006491067184,9.115051492190112,7.814517844910827,6.539006102682761,9.2627471332839,9.374685844106553
S184,9.115051492190112,7.814517844910827,6.539006102682761,9.2627471332839,9.374685844106553,7.799165692489977
S185,7.814517844910827,6.539006102682761,9.2627471332839,9.374685844106553,7.799165692489977,9.783788664728922
S186,6.539006102682761,9.2627471332839,9.374685844106553,7.799165692489977,9.783788664728922,9.883884382905373
S187,9.2627471332839,9.374685844106553,7.799165692489977,9.783788664728922,9.883884382905373,9.398151173386275
S188,9.374685844106553,7.799165692489977,9.783788664728922,9.883884382905373,9.398151173386275,8.238093088721483
S189,7.799165692489977,9.783788664728922,9.883884382905373,9.398151173386275,8.238093088721483,8.508768350597707
S190,9.783788664728922,9.883884382905373,9.398151173386275,8.238093088721483,8.508768350597707,5.622427496822757
S191,9.883884382905373,9.398151173386275,8.238093088721483,8.508768350597707,5.622427496822757,5.9685343104982245
S192,9.398151173386275,8.238093088721483,8.508768350597707,5.622427496822757,5.9685343104982245,6.047143350304062
S193,8.238093088721483,8.508768350597707,5.622427496822757,5.9685343104982245,6.047143350304062,7.089112238168026
S194,8.508768350597707,5.622427496822757,5.9685343104982245,6.047143350304062,7.089112238168026,7.92892834152758
S195,5.622427496822757,5.9685343104982245,6.047143350304062,7.089112238168026,7.92892834152758,8.258596436471446
S196,5.9685343104982245,6.047143350304062,7.089112238168026,7.92892834152758,8.258596436471446,6.53831472017217
S197,6.047143350304062,7.089112238168026,7.92892834152758,8.258596436471446,6.53831472017217,5.905581940770933
S198,7.089112238168026,7.92892834152758,8.258596436471446,6.53831472017217,5.905581940770933,5.501436022648874
S199,7.92892834152758,8.258596436471446,6.53831472017217,5.905581940770933,5.501436022648874,5.554759098169618
S200,8.258596436471446,6.53831472017217,5.905581940770933,5.501436022648874,5.554759098169618,5.909384066639958
S201,6.53831472017217,5.905581940770933,5.501436022648874,5.554759098169618,5.909384066639958,6.006366399751423
S202,5.905581940770933,5.501436022648874,5.554759098169618,5.909384066639958,6.006366399751423,6.678750080482318
S203,5.501436022648874,5.554759098169618,5.909384066639958,6.006366399751423,6.678750080482318,6.553301929819335
S204,5.554759098169618,5.909384066639958,6.006366399751423,6.678750080482318,6.553301929819335,7.875193719479372
S205,5.909384066639958,6.006366399751423,6.678750080482318,6.553301929819335,7.875193719479372,7.462911276593493
S206,6.006366399751423,6.678750080482318,6.553301929819335,7.875193719479372,7.462911276593493,5.340379358493928
S207,6.678750080482318,6.553301929819335,7.875193719479372,7.462911276593493,5.340379358493928,5.134496858856051
S208,6.553301929819335,7.875193719479372,7.462911276593493,5.340379358493928,5.134496858856051,5.141033040487098
