Segment,F1,F2,F3,F4,F5,F6
S1,6.822326,7.1756787,7.6134663,7.050992,7.002034,7.0599184
S2,7.1756787,7.6134663,7.050992,7.002034,7.0599184,7.977265
S3,7.6134663,7.050992,7.002034,7.0599184,7.977265,7.6490164
S4,7.050992,7.002034,7.0599184,7.977265,7.6490164,8.315212
S5,7.002034,7.0599184,7.977265,7.6490164,8.315212,6.9192233
S6,7.0599184,7.977265,7.6490164,8.315212,6.9192233,7.8625073
S7,7.977265,7.6490164,8.315212,6.9192233,7.8625073,8.028725
S8,7.6490164,8.315212,6.9192233,7.8625073,8.028725,8.122799
S9,8.315212,6.9192233,7.8625073,8.028725,8.122799,7.659705
S10,6.9192233,7.8625073,8.028725,8.122799,7.659705,7.195918
S11,7.8625073,8.028725,8.122799,7.659705,7.195918,7.1002893
S12,8.028725,8.122799,7.659705,7.195918,7.1002893,7.337308
S13,8.122799,7.659705,7.195918,7.1002893,7.337308,7.9885974
S14,7.659705,7.195918,7.1002893,7.337308,7.9885974,7.5159054
S15,7.195918,7.1002893,7.337308,7.9885974,7.5159054,7.8823795
S16,7.1002893,7.337308,7.9885974,7.5159054,7.8823795,7.7477055
S17,7.337308,7.9885974,7.5159054,7.8823795,7.7477055,8.431899
S18,7.9885974,7.5159054,7.8823795,7.7477055,8.431899,7.9462733
S19,7.5159054,7.8823795,7.7477055,8.431899,7.9462733,7.637891
S20,7.8823795,7.7477055,8.431899,7.9462733,7.637891,6.837346
S21,7.7477055,8.431899,7.9462733,7.637891,6.837346,6.8665676
S22,8.431899,7.9462733,7.637891,6.837346,6.8665676,7.0164304
S23,7.9462733,7.637891,6.837346,6.8665676,7.0164304,7.0476007
S24,7.637891,6.837346,6.8665676,7.0164304,7.0476007,7.704465
S25,6.837346,6.8665676,7.0164304,7.0476007,7.704465,7.378192
S26,6.8665676,7.0164304,7.0476007,7.704465,7.378192,7.3416677
S27,7.0164304,7.0476007,7.704465,7.378192,7.3416677,6.822326
S28,7.0476007,7.704465,7.378192,7.3416677,6.822326,6.8509684
S29,7.704465,7.378192,7.3416677,6.822326,6.8509684,6.865988
S30,7.378192,7.3416677,6.822326,6.8509684,6.865988,6.822326
S31,7.3416677,6.822326,6.8509684,6.865988,6.822326,7.063688
S32,6.822326,6.8509684,6.865988,6.822326,7.063688,7.026249
S33,6.8509684,6.865988,6.822326,7.063688,7.026249,7.2469497
S34,6.865988,6.822326,7.063688,7.026249,7.2469497,7.848633
S35,6.822326,7.063688,7.026249,7.2469497,7.848633,7.6541424
S36,7.063688,7.026249,7.2469497,7.848633,7.6541424,6.9865127
S37,7.026249,7.2469497,7.848633,7.6541424,6.9865127,7.757786
S38,7.2469497,7.848633,7.6541424,6.9865127,7.757786,8.537948
S39,7.848633,7.6541424,6.9865127,7.757786,8.537948,8.129964
S40,7.6541424,6.9865127,7.757786,8.537948,8.129964,7.209299
S41,6.9865127,7.757786,8.537948,8.129964,7.209299,6.9777308
S42,7.757786,8.537948,8.129964,7.209299,6.9777308,6.9929714
S43,8.537948,8.129964,7.209299,6.9777308,6.9929714,6.913457
S44,8.129964,7.209299,6.9777308,6.9929714,6.913457,7.0039124
S45,7.209299,6.9777308,6.9929714,6.913457,7.0039124,11.314528
S46,6.9777308,6.9929714,6.913457,7.0039124,11.314528,12.465557
S47,6.9929714,6.913457,7.0039124,11.314528,12.465557,9.088287
S48,6.913457,7.0039124,11.314528,12.465557,9.088287,8.948607
S49,7.0039124,11.314528,12.465557,9.088287,8.948607,8.689122
S50,11.314528,12.465557,9.088287,8.948607,8.689122,8.390204
S51,12.465557,9.088287,8.948607,8.689122,8.390204,7.1156206
S52,9.088287,8.948607,8.689122,8.390204,7.1156206,7.088996
S53,8.948607,8.689122,8.390204,7.1156206,7.088996,7.1795573
S54,8.689122,8.390204,7.1156206,7.088996,7.1795573,7.3899035
S55,8.390204,7.1156206,7.088996,7.1795573,7.3899035,7.9694734
S56,7.1156206,7.088996,7.1795573,7.3899035,7.9694734,10.333423
S57,7.088996,7.1795573,7.3899035,7.9694734,10.333423,10.2405615
S58,7.1795573,7.3899035,7.9694734,10.333423,10.2405615,8.493803
S59,7.3899035,7.9694734,10.333423,10.2405615,8.493803,8.944081
S60,7.9694734,10.333423,10.2405615,8.493803,8.944081,9.820621
S61,10.333423,10.2405615,8.493803,8.944081,9.820621,9.867408
S62,10.2405615,8.493803,8.944081,9.820621,9.867408,8.304382
S63,8.493803,8.944081,9.820621,9.867408,8.304382,7.744655
S64,8.944081,9.820621,9.867408,8.304382,7.744655,7.5347214
S65,9.820621,9.867408,8.304382,7.744655,7.5347214,7.5538354
S66,9.867408,8.304382,7.744655,7.5347214,7.5538354,8.306258
S67,8.304382,7.744655,7.5347214,7.5538354,8.306258,9.876532
S68,7.744655,7.5347214,7.5538354,8.306258,9.876532,9.898243
S69,7.5347214,7.5538354,8.306258,9.876532,9.898243,9.545431
S70,7.5538354,8.306258,9.876532,9.898243,9.545431,9.374405
S71,8.306258,9.876532,9.898243,9.545431,9.374405,9.470924
S72,9.876532,9.898243,9.545431,9.374405,9.470924,8.592664
S73,9.898243,9.545431,9.374405,9.470924,8.592664,8.557671
S74,9.545431,9.374405,9.470924,8.592664,8.557671,10.070225
S75,9.374405,9.470924,8.592664,8.557671,10.070225,8.939725
S76,9.470924,8.592664,8.557671,10.070225,8.939725,8.4009695
S77,8.592664,8.557671,10.070225,8.939725,8.4009695,8.2490225
S78,8.557671,10.070225,8.939725,8.4009695,8.2490225,8.751969
S79,10.070225,8.939725,8.4009695,8.2490225,8.751969,7.986005
S80,8.939725,8.4009695,8.2490225,8.751969,7.986005,7.4182534
S81,8.4009695,8.2490225,8.751969,7.986005,7.4182534,7.8419657
S82,8.2490225,8.751969,7.986005,7.4182534,7.8419657,9.913243
S83,8.751969,7.986005,7.4182534,7.8419657,9.913243,9.220106
S84,7.986005,7.4182534,7.8419657,9.913243,9.220106,9.9004965
S85,7.4182534,7.8419657,9.913243,9.220106,9.9004965,11.181702
S86,7.8419657,9.913243,9.220106,9.9004965,11.181702,12.637761
S87,9.913243,9.220106,9.9004965,11.181702,12.637761,10.715183
S88,9.220106,9.9004965,11.181702,12.637761,10.715183,9.292634
S89,9.9004965,11.181702,12.637761,10.715183,9.292634,9.053425
S90,11.181702,12.637761,10.715183,9.292634,9.053425,7.8968515
S91,12.637761,10.715183,9.292634,9.053425,7.8968515,7.384156
S92,10.715183,9.292634,9.053425,7.8968515,7.384156,8.201289
S93,9.292634,9.053425,7.8968515,7.384156,8.201289,9.675621
S94,9.053425,7.8968515,7.384156,8.201289,9.675621,8.226752
S95,7.8968515,7.384156,8.201289,9.675621,8.226752,8.577605
S96,7.384156,8.201289,9.675621,8.226752,8.577605,11.330477
S97,8.201289,9.675621,8.226752,8.577605,11.330477,11.480631
S98,9.675621,8.226752,8.577605,11.330477,11.480631,11.528971
S99,8.226752,8.577605,11.330477,11.480631,11.528971,9.068678
S100,8.577605,11.330477,11.480631,11.528971,9.068678,7.8414454
S101,11.330477,11.480631,11.528971,9.068678,7.8414454,7.1701236
S102,11.480631,11.528971,9.068678,7.8414454,7.1701236,7.0403085
S103,11.528971,9.068678,7.8414454,7.1701236,7.0403085,7.032426
S104,9.068678,7.8414454,7.1701236,7.0403085,7.032426,7.4197054
S105,7.8414454,7.1701236,7.0403085,7.032426,7.4197054,8.339049
S106,7.1701236,7.0403085,7.032426,7.4197054,8.339049,9.099699
S107,7.0403085,7.032426,7.4197054,8.339049,9.099699,10.117648
S108,7.032426,7.4197054,8.339049,9.099699,10.117648,9.812946
S109,7.4197054,8.339049,9.099699,10.117648,9.812946,9.401988
S110,8.339049,9.099699,10.117648,9.812946,9.401988,7.883379
S111,9.099699,10.117648,9.812946,9.401988,7.883379,6.822326
S112,10.117648,9.812946,9.401988,7.883379,6.822326,6.9192233
S113,9.812946,9.401988,7.883379,6.822326,6.9192233,7.044217
S114,9.401988,7.883379,6.822326,6.9192233,7.044217,6.983081
S115,7.883379,6.822326,6.9192233,7.044217,6.983081,7.002013
S116,6.822326,6.9192233,7.044217,6.983081,7.002013,7.3240886
S117,6.9192233,7.044217,6.983081,7.002013,7.3240886,6.8509684
S118,7.044217,6.983081,7.002013,7.3240886,6.8509684,6.882597
S119,6.983081,7.002013,7.3240886,6.8509684,6.882597,6.8349648
S120,7.002013,7.3240886,6.8509684,6.882597,6.8349648,6.822326
S121,7.3240886,6.8509684,6.882597,6.8349648,6.822326,6.822326
S122,6.8509684,6.882597,6.8349648,6.822326,6.822326,7.1135263
S123,6.882597,6.8349648,6.822326,6.822326,7.1135263,7.1391125
S124,6.8349648,6.822326,6.822326,7.1135263,7.1391125,7.5308256
S125,6.822326,6.822326,7.1135263,7.1391125,7.5308256,7.5593376
S126,6.822326,7.1135263,7.1391125,7.5308256,7.5593376,7.9182405
S127,7.1135263,7.1391125,7.5308256,7.5593376,7.9182405,7.5603848
S128,7.1391125,7.5308256,7.5593376,7.9182405,7.5603848,7.2729588
S129,7.5308256,7.5593376,7.9182405,7.5603848,7.2729588,7.773881
S130,7.5593376,7.9182405,7.5603848,7.2729588,7.773881,7.9784694
S131,7.9182405,7.5603848,7.2729588,7.773881,7.9784694,7.5063944
S132,7.5603848,7.2729588,7.773881,7.9784694,7.5063944,7.121099
S133,7.2729588,7.773881,7.9784694,7.5063944,7.121099,7.0513773
S134,7.773881,7.9784694,7.5063944,7.121099,7.0513773,7.1668334
S135,7.9784694,7.5063944,7.121099,7.0513773,7.1668334,8.153287
S136,7.5063944,7.121099,7.0513773,7.1668334,8.153287,8.207187
S137,7.121099,7.0513773,7.1668334,8.153287,8.207187,8.569106
S138,7.0513773,7.1668334,8.153287,8.207187,8.569106,8.510457
