Segment,F1,F2,F3,F4,F5,F6
S1,6.0370198992082,5.400112343129161,5.140262682161687,5.074949824745818,5.563370156846023,5.8603406330822185
S2,5.400112343129161,5.140262682161687,5.074949824745818,5.563370156846023,5.8603406330822185,5.889800081886644
S3,5.140262682161687,5.074949824745818,5.563370156846023,5.8603406330822185,5.889800081886644,5.4684855218195
S4,5.074949824745818,5.563370156846023,5.8603406330822185,5.889800081886644,5.4684855218195,5.489506134283118
S5,5.563370156846023,5.8603406330822185,5.889800081886644,5.4684855218195,5.489506134283118,5.418578193333429
S6,5.8603406330822185,5.889800081886644,5.4684855218195,5.489506134283118,5.418578193333429,5.5099246845074905
S7,5.889800081886644,5.4684855218195,5.489506134283118,5.418578193333429,5.5099246845074905,6.495221637448699
S8,5.4684855218195,5.489506134283118,5.418578193333429,5.5099246845074905,6.495221637448699,5.286131706237387
S9,5.489506134283118,5.418578193333429,5.5099246845074905,6.495221637448699,5.286131706237387,5.41629938461866
S10,5.418578193333429,5.5099246845074905,6.495221637448699,5.286131706237387,5.41629938461866,5.0264757762872625
S11,5.5099246845074905,6.495221637448699,5.286131706237387,5.41629938461866,5.0264757762872625,5.545300277094569
S12,6.495221637448699,5.286131706237387,5.41629938461866,5.0264757762872625,5.545300277094569,5.675959330665306
S13,5.286131706237387,5.41629938461866,5.0264757762872625,5.545300277094569,5.675959330665306,5.564477089982068
S14,5.41629938461866,5.0264757762872625,5.545300277094569,5.675959330665306,5.564477089982068,5.9884342416285845
S15,5.0264757762872625,5.545300277094569,5.675959330665306,5.564477089982068,5.9884342416285845,4.788222458976513
S16,5.545300277094569,5.675959330665306,5.564477089982068,5.9884342416285845,4.788222458976513,5.031657263095295
S17,5.675959330665306,5.564477089982068,5.9884342416285845,4.788222458976513,5.031657263095295,4.92761112572574
S18,5.564477089982068,5.9884342416285845,4.788222458976513,5.031657263095295,4.92761112572574,5.751965621578437
S19,5.9884342416285845,4.788222458976513,5.031657263095295,4.92761112572574,5.751965621578437,5.064571621781749
S20,4.788222458976513,5.031657263095295,4.92761112572574,5.751965621578437,5.064571621781749,5.127558296312889
S21,5.031657263095295,4.92761112572574,5.751965621578437,5.064571621781749,5.127558296312889,5.3872742148662365
S22,4.92761112572574,5.751965621578437,5.064571621781749,5.127558296312889,5.3872742148662365,4.96916926913438
S23,5.751965621578437,5.064571621781749,5.127558296312889,5.3872742148662365,4.96916926913438,4.983709088108667
