Segment,F1,F2,F3,F4,F5,F6
S1,6.260965766689979,5.8295190037317965,5.686888169371864,5.613568577831566,6.028309030330734,6.260092939808149
S2,5.8295190037317965,5.686888169371864,5.613568577831566,6.028309030330734,6.260092939808149,6.2415960742782595
S3,5.686888169371864,5.613568577831566,6.028309030330734,6.260092939808149,6.2415960742782595,5.913624654649901
S4,5.613568577831566,6.028309030330734,6.260092939808149,6.2415960742782595,5.913624654649901,5.960770344231562
S5,6.028309030330734,6.260092939808149,6.2415960742782595,5.913624654649901,5.960770344231562,5.935612551239705
S6,6.260092939808149,6.2415960742782595,5.913624654649901,5.960770344231562,5.935612551239705,6.009263463181432
S7,6.2415960742782595,5.913624654649901,5.960770344231562,5.935612551239705,6.009263463181432,6.755147110275857
S8,5.913624654649901,5.960770344231562,5.935612551239705,6.009263463181432,6.755147110275857,6.0441739821548115
S9,5.960770344231562,5.935612551239705,6.009263463181432,6.755147110275857,6.0441739821548115,5.944178674276974
S10,5.935612551239705,6.009263463181432,6.755147110275857,6.0441739821548115,5.944178674276974,5.920828608028171
S11,6.009263463181432,6.755147110275857,6.0441739821548115,5.944178674276974,5.920828608028171,6.103973327520651
S12,6.755147110275857,6.0441739821548115,5.944178674276974,5.920828608028171,6.103973327520651,6.3346611518432185
S13,6.0441739821548115,5.944178674276974,5.920828608028171,6.103973327520651,6.3346611518432185,6.131437243487027
S14,5.944178674276974,5.920828608028171,6.103973327520651,6.3346611518432185,6.131437243487027,6.184572638433608
S15,5.920828608028171,6.103973327520651,6.3346611518432185,6.131437243487027,6.184572638433608,6.051481711926466
S16,6.103973327520651,6.3346611518432185,6.131437243487027,6.184572638433608,6.051481711926466,5.765530177612778
S17,6.3346611518432185,6.131437243487027,6.184572638433608,6.051481711926466,5.765530177612778,5.7006537415856835
S18,6.131437243487027,6.184572638433608,6.051481711926466,5.765530177612778,5.7006537415856835,5.745902362611417
S19,6.184572638433608,6.051481711926466,5.765530177612778,5.7006537415856835,5.745902362611417,5.504575652536399
S20,6.051481711926466,5.765530177612778,5.7006537415856835,5.745902362611417,5.504575652536399,5.596766175171272
S21,5.765530177612778,5.7006537415856835,5.745902362611417,5.504575652536399,5.596766175171272,5.802014974504694
S22,5.7006537415856835,5.745902362611417,5.504575652536399,5.596766175171272,5.802014974504694,5.7020161986624
S23,5.745902362611417,5.504575652536399,5.596766175171272,5.802014974504694,5.7020161986624,5.666418411501865
S24,5.504575652536399,5.596766175171272,5.802014974504694,5.7020161986624,5.666418411501865,5.739538844228047
S25,5.596766175171272,5.802014974504694,5.7020161986624,5.666418411501865,5.739538844228047,5.591152807062971
S26,5.802014974504694,5.7020161986624,5.666418411501865,5.739538844228047,5.591152807062971,5.277219090268908
S27,5.7020161986624,5.666418411501865,5.739538844228047,5.591152807062971,5.277219090268908,5.951161424952666
S28,5.666418411501865,5.739538844228047,5.591152807062971,5.277219090268908,5.951161424952666,5.791221281891008
S29,5.739538844228047,5.591152807062971,5.277219090268908,5.951161424952666,5.791221281891008,5.708034646644372
S30,5.591152807062971,5.277219090268908,5.951161424952666,5.791221281891008,5.708034646644372,5.431900467219091
S31,5.277219090268908,5.951161424952666,5.791221281891008,5.708034646644372,5.431900467219091,5.575842691614619
S32,5.951161424952666,5.791221281891008,5.708034646644372,5.431900467219091,5.575842691614619,6.177165418326732
S33,5.791221281891008,5.708034646644372,5.431900467219091,5.575842691614619,6.177165418326732,5.697131737072571
S34,5.708034646644372,5.431900467219091,5.575842691614619,6.177165418326732,5.697131737072571,5.58727488398863
S35,5.431900467219091,5.575842691614619,6.177165418326732,5.697131737072571,5.58727488398863,5.822001615771657
S36,5.575842691614619,6.177165418326732,5.697131737072571,5.58727488398863,5.822001615771657,5.663862278841975
S37,6.177165418326732,5.697131737072571,5.58727488398863,5.822001615771657,5.663862278841975,5.511063687010424
S38,5.697131737072571,5.58727488398863,5.822001615771657,5.663862278841975,5.511063687010424,5.632154578230723
S39,5.58727488398863,5.822001615771657,5.663862278841975,5.511063687010424,5.632154578230723,5.38397583516762
S40,5.822001615771657,5.663862278841975,5.511063687010424,5.632154578230723,5.38397583516762,5.437366361801441
S41,5.663862278841975,5.511063687010424,5.632154578230723,5.38397583516762,5.437366361801441,5.535385638555505
S42,5.511063687010424,5.632154578230723,5.38397583516762,5.437366361801441,5.535385638555505,5.908164668308664
S43,5.632154578230723,5.38397583516762,5.437366361801441,5.535385638555505,5.908164668308664,5.909375429541889
S44,5.38397583516762,5.437366361801441,5.535385638555505,5.908164668308664,5.909375429541889,5.960819923315146
S45,5.437366361801441,5.535385638555505,5.908164668308664,5.909375429541889,5.960819923315146,6.129163694372631
S46,5.535385638555505,5.908164668308664,5.909375429541889,5.960819923315146,6.129163694372631,5.89966576474596
S47,5.908164668308664,5.909375429541889,5.960819923315146,6.129163694372631,5.89966576474596,5.930649917694555
S48,5.909375429541889,5.960819923315146,6.129163694372631,5.89966576474596,5.930649917694555,6.333240445898891
S49,5.960819923315146,6.129163694372631,5.89966576474596,5.930649917694555,6.333240445898891,6.490582924198155
S50,6.129163694372631,5.89966576474596,5.930649917694555,6.333240445898891,6.490582924198155,6.197427627813568
S51,5.89966576474596,5.930649917694555,6.333240445898891,6.490582924198155,6.197427627813568,6.045202104038559
S52,5.930649917694555,6.333240445898891,6.490582924198155,6.197427627813568,6.045202104038559,6.181513088104484
S53,6.333240445898891,6.490582924198155,6.197427627813568,6.045202104038559,6.181513088104484,6.305144349255162
S54,6.490582924198155,6.197427627813568,6.045202104038559,6.181513088104484,6.305144349255162,6.087514143182343
S55,6.197427627813568,6.045202104038559,6.181513088104484,6.305144349255162,6.087514143182343,6.419821304722015
S56,6.045202104038559,6.181513088104484,6.305144349255162,6.087514143182343,6.419821304722015,8.753069145191416
S57,6.181513088104484,6.305144349255162,6.087514143182343,6.419821304722015,8.753069145191416,10.36614723011692
S58,6.305144349255162,6.087514143182343,6.419821304722015,8.753069145191416,10.36614723011692,9.754174716586697
S59,6.087514143182343,6.419821304722015,8.753069145191416,10.36614723011692,9.754174716586697,8.513760388596733
S60,6.419821304722015,8.753069145191416,10.36614723011692,9.754174716586697,8.513760388596733,7.990421143304986
S61,8.753069145191416,10.36614723011692,9.754174716586697,8.513760388596733,7.990421143304986,6.989942416246602
S62,10.36614723011692,9.754174716586697,8.513760388596733,7.990421143304986,6.989942416246602,7.116411697102078
S63,9.754174716586697,8.513760388596733,7.990421143304986,6.989942416246602,7.116411697102078,7.943137140656886
S64,8.513760388596733,7.990421143304986,6.989942416246602,7.116411697102078,7.943137140656886,9.141908790570206
S65,7.990421143304986,6.989942416246602,7.116411697102078,7.943137140656886,9.141908790570206,8.572551448363
S66,6.989942416246602,7.116411697102078,7.943137140656886,9.141908790570206,8.572551448363,8.458871841240152
S67,7.116411697102078,7.943137140656886,9.141908790570206,8.572551448363,8.458871841240152,9.359336307385927
S68,7.943137140656886,9.141908790570206,8.572551448363,8.458871841240152,9.359336307385927,9.542775138005595
S69,9.141908790570206,8.572551448363,8.458871841240152,9.359336307385927,9.542775138005595,8.99897714660806
S70,8.572551448363,8.458871841240152,9.359336307385927,9.542775138005595,8.99897714660806,7.702005406365361
S71,8.458871841240152,9.359336307385927,9.542775138005595,8.99897714660806,7.702005406365361,7.201520760889485
S72,9.359336307385927,9.542775138005595,8.99897714660806,7.702005406365361,7.201520760889485,7.082741251537532
S73,9.542775138005595,8.99897714660806,7.702005406365361,7.201520760889485,7.082741251537532,7.487965673580876
S74,8.99897714660806,7.702005406365361,7.201520760889485,7.082741251537532,7.487965673580876,8.008524152609857
S75,7.702005406365361,7.201520760889485,7.082741251537532,7.487965673580876,8.008524152609857,7.48703504409339
S76,7.201520760889485,7.082741251537532,7.487965673580876,8.008524152609857,7.48703504409339,6.942864740110107
S77,7.082741251537532,7.487965673580876,8.008524152609857,7.48703504409339,6.942864740110107,7.007494887421027
S78,7.487965673580876,8.008524152609857,7.48703504409339,6.942864740110107,7.007494887421027,6.822882076893729
S79,8.008524152609857,7.48703504409339,6.942864740110107,7.007494887421027,6.822882076893729,7.743276397305328
S80,7.48703504409339,6.942864740110107,7.007494887421027,6.822882076893729,7.743276397305328,9.275293520086132
S81,6.942864740110107,7.007494887421027,6.822882076893729,7.743276397305328,9.275293520086132,7.5710389299015945
S82,7.007494887421027,6.822882076893729,7.743276397305328,9.275293520086132,7.5710389299015945,6.526652224451976
S83,6.822882076893729,7.743276397305328,9.275293520086132,7.5710389299015945,6.526652224451976,6.367928813758524
S84,7.743276397305328,9.275293520086132,7.5710389299015945,6.526652224451976,6.367928813758524,6.143086313639059
S85,9.275293520086132,7.5710389299015945,6.526652224451976,6.367928813758524,6.143086313639059,6.311838993425385
S86,7.5710389299015945,6.526652224451976,6.367928813758524,6.143086313639059,6.311838993425385,6.368048906397152
S87,6.526652224451976,6.367928813758524,6.143086313639059,6.311838993425385,6.368048906397152,6.481391247574752
S88,6.367928813758524,6.143086313639059,6.311838993425385,6.368048906397152,6.481391247574752,6.676565612647709
S89,6.143086313639059,6.311838993425385,6.368048906397152,6.481391247574752,6.676565612647709,7.6414986174556
S90,6.311838993425385,6.368048906397152,6.481391247574752,6.676565612647709,7.6414986174556,7.692001566926959
S91,6.368048906397152,6.481391247574752,6.676565612647709,7.6414986174556,7.692001566926959,7.0027948096511246
S92,6.481391247574752,6.676565612647709,7.6414986174556,7.692001566926959,7.0027948096511246,6.237304332826999
S93,6.676565612647709,7.6414986174556,7.692001566926959,7.0027948096511246,6.237304332826999,6.213770443885367
S94,7.6414986174556,7.692001566926959,7.0027948096511246,6.237304332826999,6.213770443885367,5.939521729868931
S95,7.692001566926959,7.0027948096511246,6.237304332826999,6.213770443885367,5.939521729868931,5.803746431835805
S96,7.0027948096511246,6.237304332826999,6.213770443885367,5.939521729868931,5.803746431835805,6.479393997827956
S97,6.237304332826999,6.213770443885367,5.939521729868931,5.803746431835805,6.479393997827956,6.550299837617945
S98,6.213770443885367,5.939521729868931,5.803746431835805,6.479393997827956,6.550299837617945,6.242430476090727
S99,5.939521729868931,5.803746431835805,6.479393997827956,6.550299837617945,6.242430476090727,5.938652095724424
S100,5.803746431835805,6.479393997827956,6.550299837617945,6.242430476090727,5.938652095724424,6.325254435843696
S101,6.479393997827956,6.550299837617945,6.242430476090727,5.938652095724424,6.325254435843696,6.257236442966035
S102,6.550299837617945,6.242430476090727,5.938652095724424,6.325254435843696,6.257236442966035,6.058211671902893
S103,6.242430476090727,5.938652095724424,6.325254435843696,6.257236442966035,6.058211671902893,5.791780340524866
S104,5.938652095724424,6.325254435843696,6.257236442966035,6.058211671902893,5.791780340524866,6.035675111934371
S105,6.325254435843696,6.257236442966035,6.058211671902893,5.791780340524866,6.035675111934371,6.383493467951207
S106,6.257236442966035,6.058211671902893,5.791780340524866,6.035675111934371,6.383493467951207,6.126215702814335
S107,6.058211671902893,5.791780340524866,6.035675111934371,6.383493467951207,6.126215702814335,5.911878053073845
S108,5.791780340524866,6.035675111934371,6.383493467951207,6.126215702814335,5.911878053073845,5.595186336555489
