Segment,F1,F2,F3,F4,F5,F6
S1,6.212319745688637,5.286543734361734,5.542597886450901,5.176291225836441,5.917520343528095,6.114680583401706
S2,5.286543734361734,5.542597886450901,5.176291225836441,5.917520343528095,6.114680583401706,5.946604639331444
S3,5.542597886450901,5.176291225836441,5.917520343528095,6.114680583401706,5.946604639331444,5.712745276078572
S4,5.176291225836441,5.917520343528095,6.114680583401706,5.946604639331444,5.712745276078572,5.598357632607759
S5,5.917520343528095,6.114680583401706,5.946604639331444,5.712745276078572,5.598357632607759,5.542875249487241
S6,6.114680583401706,5.946604639331444,5.712745276078572,5.598357632607759,5.542875249487241,5.565212244309665
S7,5.946604639331444,5.712745276078572,5.598357632607759,5.542875249487241,5.565212244309665,6.677345460155079
S8,5.712745276078572,5.598357632607759,5.542875249487241,5.565212244309665,6.677345460155079,5.441485023244888
S9,5.598357632607759,5.542875249487241,5.565212244309665,6.677345460155079,5.441485023244888,5.578609948986328
S10,5.542875249487241,5.565212244309665,6.677345460155079,5.441485023244888,5.578609948986328,5.3207566551702214
S11,5.565212244309665,6.677345460155079,5.441485023244888,5.578609948986328,5.3207566551702214,5.858502300644062
S12,6.677345460155079,5.441485023244888,5.578609948986328,5.3207566551702214,5.858502300644062,5.742302205278316
S13,5.441485023244888,5.578609948986328,5.3207566551702214,5.858502300644062,5.742302205278316,5.651242789559745
S14,5.578609948986328,5.3207566551702214,5.858502300644062,5.742302205278316,5.651242789559745,5.814366386172775
S15,5.3207566551702214,5.858502300644062,5.742302205278316,5.651242789559745,5.814366386172775,5.046793627591103
S16,5.858502300644062,5.742302205278316,5.651242789559745,5.814366386172775,5.046793627591103,5.174917197074586
S17,5.742302205278316,5.651242789559745,5.814366386172775,5.046793627591103,5.174917197074586,5.061452885565139
S18,5.651242789559745,5.814366386172775,5.046793627591103,5.174917197074586,5.061452885565139,5.789947923078099
S19,5.814366386172775,5.046793627591103,5.174917197074586,5.061452885565139,5.789947923078099,5.354495358285103
S20,5.046793627591103,5.174917197074586,5.061452885565139,5.789947923078099,5.354495358285103,5.198628220658865
S21,5.174917197074586,5.061452885565139,5.789947923078099,5.354495358285103,5.198628220658865,5.794969893290406
S22,5.061452885565139,5.789947923078099,5.354495358285103,5.198628220658865,5.794969893290406,5.0871167785706595
S23,5.789947923078099,5.354495358285103,5.198628220658865,5.794969893290406,5.0871167785706595,5.26348849132733
S24,5.354495358285103,5.198628220658865,5.794969893290406,5.0871167785706595,5.26348849132733,5.512650759273609
S25,5.198628220658865,5.794969893290406,5.0871167785706595,5.26348849132733,5.512650759273609,5.117063905747951
S26,5.794969893290406,5.0871167785706595,5.26348849132733,5.512650759273609,5.117063905747951,4.931676848327723
S27,5.0871167785706595,5.26348849132733,5.512650759273609,5.117063905747951,4.931676848327723,5.917520343528095
S28,5.26348849132733,5.512650759273609,5.117063905747951,4.931676848327723,5.917520343528095,5.373451465710052
