Segment,F1,F2,F3,F4,F5,F6
S1,6.121687574011639,5.526867481887845,5.68342157116455,5.374136324348693,6.122082054529151,6.393168982237372
S2,5.526867481887845,5.68342157116455,5.374136324348693,6.122082054529151,6.393168982237372,6.2084611363385624
S3,5.68342157116455,5.374136324348693,6.122082054529151,6.393168982237372,6.2084611363385624,6.048385378731756
S4,5.374136324348693,6.122082054529151,6.393168982237372,6.2084611363385624,6.048385378731756,5.895890725233037
S5,6.122082054529151,6.393168982237372,6.2084611363385624,6.048385378731756,5.895890725233037,5.894947491289421
S6,6.393168982237372,6.2084611363385624,6.048385378731756,5.895890725233037,5.894947491289421,5.819144472600301
S7,6.2084611363385624,6.048385378731756,5.895890725233037,5.894947491289421,5.819144472600301,6.709520163872296
S8,6.048385378731756,5.895890725233037,5.894947491289421,5.819144472600301,6.709520163872296,5.63255011796269
S9,5.895890725233037,5.894947491289421,5.819144472600301,6.709520163872296,5.63255011796269,5.967434132531333
S10,5.894947491289421,5.819144472600301,6.709520163872296,5.63255011796269,5.967434132531333,5.854732698102919
S11,5.819144472600301,6.709520163872296,5.63255011796269,5.967434132531333,5.854732698102919,6.070014411867628
S12,6.709520163872296,5.63255011796269,5.967434132531333,5.854732698102919,6.070014411867628,5.979223755582159
S13,5.63255011796269,5.967434132531333,5.854732698102919,6.070014411867628,5.979223755582159,5.992553177225022
S14,5.967434132531333,5.854732698102919,6.070014411867628,5.979223755582159,5.992553177225022,6.039636641039374
S15,5.854732698102919,6.070014411867628,5.979223755582159,5.992553177225022,6.039636641039374,5.592875496533124
S16,6.070014411867628,5.979223755582159,5.992553177225022,6.039636641039374,5.592875496533124,5.588404543300501
S17,5.979223755582159,5.992553177225022,6.039636641039374,5.592875496533124,5.588404543300501,5.338760404132571
S18,5.992553177225022,6.039636641039374,5.592875496533124,5.588404543300501,5.338760404132571,5.389948081003581
S19,6.039636641039374,5.592875496533124,5.588404543300501,5.338760404132571,5.389948081003581,5.4481462338074405
S20,5.592875496533124,5.588404543300501,5.338760404132571,5.389948081003581,5.4481462338074405,5.502881651187711
S21,5.588404543300501,5.338760404132571,5.389948081003581,5.4481462338074405,5.502881651187711,6.021592412003205
S22,5.338760404132571,5.389948081003581,5.4481462338074405,5.502881651187711,6.021592412003205,5.522004560192689
S23,5.389948081003581,5.4481462338074405,5.502881651187711,6.021592412003205,5.522004560192689,5.660686012124072
S24,5.4481462338074405,5.502881651187711,6.021592412003205,5.522004560192689,5.660686012124072,5.788522892923141
S25,5.502881651187711,6.021592412003205,5.522004560192689,5.660686012124072,5.788522892923141,5.400098968583536
S26,6.021592412003205,5.522004560192689,5.660686012124072,5.788522892923141,5.400098968583536,5.199059888953127
S27,5.522004560192689,5.660686012124072,5.788522892923141,5.400098968583536,5.199059888953127,6.122082054529151
S28,5.660686012124072,5.788522892923141,5.400098968583536,5.199059888953127,6.122082054529151,5.655824776283072
S29,5.788522892923141,5.400098968583536,5.199059888953127,6.122082054529151,5.655824776283072,5.644952712580054
S30,5.400098968583536,5.199059888953127,6.122082054529151,5.655824776283072,5.644952712580054,5.272423304991705
S31,5.199059888953127,6.122082054529151,5.655824776283072,5.644952712580054,5.272423304991705,5.3847378485748525
S32,6.122082054529151,5.655824776283072,5.644952712580054,5.272423304991705,5.3847378485748525,6.298725051176513
S33,5.655824776283072,5.644952712580054,5.272423304991705,5.3847378485748525,6.298725051176513,5.495235591927293
S34,5.644952712580054,5.272423304991705,5.3847378485748525,6.298725051176513,5.495235591927293,5.645510756321293
S35,5.272423304991705,5.3847378485748525,6.298725051176513,5.495235591927293,5.645510756321293,5.873181589186792
S36,5.3847378485748525,6.298725051176513,5.495235591927293,5.645510756321293,5.873181589186792,5.344892947084524
S37,6.298725051176513,5.495235591927293,5.645510756321293,5.873181589186792,5.344892947084524,5.362712079561801
S38,5.495235591927293,5.645510756321293,5.873181589186792,5.344892947084524,5.362712079561801,5.492983881109077
S39,5.645510756321293,5.873181589186792,5.344892947084524,5.362712079561801,5.492983881109077,5.102559639056358
S40,5.873181589186792,5.344892947084524,5.362712079561801,5.492983881109077,5.102559639056358,5.1163720927704475
