Segment,F1,F2,F3,F4,F5,F6
S1,5.3394830737119285,4.9649602883447255,5.190474470493318,4.950293174584534,5.977165151228548,6.11753884185673
S2,4.9649602883447255,5.190474470493318,4.950293174584534,5.977165151228548,6.11753884185673,5.909742416797246
S3,5.190474470493318,4.950293174584534,5.977165151228548,6.11753884185673,5.909742416797246,5.491556215195743
S4,4.950293174584534,5.977165151228548,6.11753884185673,5.909742416797246,5.491556215195743,5.635419468330396
S5,5.977165151228548,6.11753884185673,5.909742416797246,5.491556215195743,5.635419468330396,5.619353414048818
S6,6.11753884185673,5.909742416797246,5.491556215195743,5.635419468330396,5.619353414048818,5.636118672700063
S7,5.909742416797246,5.491556215195743,5.635419468330396,5.619353414048818,5.636118672700063,6.568113377508938
S8,5.491556215195743,5.635419468330396,5.619353414048818,5.636118672700063,6.568113377508938,5.23885189490675
S9,5.635419468330396,5.619353414048818,5.636118672700063,6.568113377508938,5.23885189490675,5.472871112188033
S10,5.619353414048818,5.636118672700063,6.568113377508938,5.23885189490675,5.472871112188033,5.313389482430319
S11,5.636118672700063,6.568113377508938,5.23885189490675,5.472871112188033,5.313389482430319,5.5168887430277165
S12,6.568113377508938,5.23885189490675,5.472871112188033,5.313389482430319,5.5168887430277165,5.752125957093835
S13,5.23885189490675,5.472871112188033,5.313389482430319,5.5168887430277165,5.752125957093835,5.465328728182086
S14,5.472871112188033,5.313389482430319,5.5168887430277165,5.752125957093835,5.465328728182086,5.806616278142538
S15,5.313389482430319,5.5168887430277165,5.752125957093835,5.465328728182086,5.806616278142538,5.4317382539304075
S16,5.5168887430277165,5.752125957093835,5.465328728182086,5.806616278142538,5.4317382539304075,5.351531185213681
S17,5.752125957093835,5.465328728182086,5.806616278142538,5.4317382539304075,5.351531185213681,4.495983292829124
S18,5.465328728182086,5.806616278142538,5.4317382539304075,5.351531185213681,4.495983292829124,4.595868997120792
S19,5.806616278142538,5.4317382539304075,5.351531185213681,4.495983292829124,4.595868997120792,4.856375785896188
S20,5.4317382539304075,5.351531185213681,4.495983292829124,4.595868997120792,4.856375785896188,5.064320363369983
S21,5.351531185213681,4.495983292829124,4.595868997120792,4.856375785896188,5.064320363369983,5.531780025789474
S22,4.495983292829124,4.595868997120792,4.856375785896188,5.064320363369983,5.531780025789474,5.126147394544373
S23,4.595868997120792,4.856375785896188,5.064320363369983,5.531780025789474,5.126147394544373,5.069938865149457
S24,4.856375785896188,5.064320363369983,5.531780025789474,5.126147394544373,5.069938865149457,5.435002281312096
S25,5.064320363369983,5.531780025789474,5.126147394544373,5.069938865149457,5.435002281312096,4.944741233234444
S26,5.531780025789474,5.126147394544373,5.069938865149457,5.435002281312096,4.944741233234444,4.895896136532458
S27,5.126147394544373,5.069938865149457,5.435002281312096,4.944741233234444,4.895896136532458,5.981010939620774
S28,5.069938865149457,5.435002281312096,4.944741233234444,4.895896136532458,5.981010939620774,5.028064500688842
S29,5.435002281312096,4.944741233234444,4.895896136532458,5.981010939620774,5.028064500688842,5.1563576036188215
S30,4.944741233234444,4.895896136532458,5.981010939620774,5.028064500688842,5.1563576036188215,4.886294045228071
S31,4.895896136532458,5.981010939620774,5.028064500688842,5.1563576036188215,4.886294045228071,4.95934878336471
S32,5.981010939620774,5.028064500688842,5.1563576036188215,4.886294045228071,4.95934878336471,6.008191696015372
S33,5.028064500688842,5.1563576036188215,4.886294045228071,4.95934878336471,6.008191696015372,4.952483182830053
S34,5.1563576036188215,4.886294045228071,4.95934878336471,6.008191696015372,4.952483182830053,5.070413874753328
S35,4.886294045228071,4.95934878336471,6.008191696015372,4.952483182830053,5.070413874753328,5.619375154234182
S36,4.95934878336471,6.008191696015372,4.952483182830053,5.070413874753328,5.619375154234182,4.98732604382401
S37,6.008191696015372,4.952483182830053,5.070413874753328,5.619375154234182,4.98732604382401,4.852262933257438
S38,4.952483182830053,5.070413874753328,5.619375154234182,4.98732604382401,4.852262933257438,4.891289586042271
S39,5.070413874753328,5.619375154234182,4.98732604382401,4.852262933257438,4.891289586042271,4.632597520408836
S40,5.619375154234182,4.98732604382401,4.852262933257438,4.891289586042271,4.632597520408836,4.862696764105314
S41,4.98732604382401,4.852262933257438,4.891289586042271,4.632597520408836,4.862696764105314,5.105099435624278
S42,4.852262933257438,4.891289586042271,4.632597520408836,4.862696764105314,5.105099435624278,5.562693548620184
S43,4.891289586042271,4.632597520408836,4.862696764105314,5.105099435624278,5.562693548620184,5.023474902823181
S44,4.632597520408836,4.862696764105314,5.105099435624278,5.562693548620184,5.023474902823181,5.670942857109415
S45,4.862696764105314,5.105099435624278,5.562693548620184,5.023474902823181,5.670942857109415,5.777168405066641
S46,5.105099435624278,5.562693548620184,5.023474902823181,5.670942857109415,5.777168405066641,5.251988310893679
S47,5.562693548620184,5.023474902823181,5.670942857109415,5.777168405066641,5.251988310893679,5.670389142049949
S48,5.023474902823181,5.670942857109415,5.777168405066641,5.251988310893679,5.670389142049949,6.165832606008735
S49,5.670942857109415,5.777168405066641,5.251988310893679,5.670389142049949,6.165832606008735,6.1766969221235755
S50,5.777168405066641,5.251988310893679,5.670389142049949,6.165832606008735,6.1766969221235755,5.826086890557612
S51,5.251988310893679,5.670389142049949,6.165832606008735,6.1766969221235755,5.826086890557612,5.71489147679309
S52,5.670389142049949,6.165832606008735,6.1766969221235755,5.826086890557612,5.71489147679309,5.8345127984607075
S53,6.165832606008735,6.1766969221235755,5.826086890557612,5.71489147679309,5.8345127984607075,5.803205750067664
S54,6.1766969221235755,5.826086890557612,5.71489147679309,5.8345127984607075,5.803205750067664,5.650752843784513
S55,5.826086890557612,5.71489147679309,5.8345127984607075,5.803205750067664,5.650752843784513,6.122514846900173
S56,5.71489147679309,5.8345127984607075,5.803205750067664,5.650752843784513,6.122514846900173,8.890964971390895
S57,5.8345127984607075,5.803205750067664,5.650752843784513,6.122514846900173,8.890964971390895,10.377292110315954
S58,5.803205750067664,5.650752843784513,6.122514846900173,8.890964971390895,10.377292110315954,8.940071573142983
S59,5.650752843784513,6.122514846900173,8.890964971390895,10.377292110315954,8.940071573142983,8.039906375824193
S60,6.122514846900173,8.890964971390895,10.377292110315954,8.940071573142983,8.039906375824193,7.583609057395655
S61,8.890964971390895,10.377292110315954,8.940071573142983,8.039906375824193,7.583609057395655,6.5200991721219035
S62,10.377292110315954,8.940071573142983,8.039906375824193,7.583609057395655,6.5200991721219035,8.45247217799223
S63,8.940071573142983,8.039906375824193,7.583609057395655,6.5200991721219035,8.45247217799223,7.147322784081423
S64,8.039906375824193,7.583609057395655,6.5200991721219035,8.45247217799223,7.147322784081423,7.67400906656454
S65,7.583609057395655,6.5200991721219035,8.45247217799223,7.147322784081423,7.67400906656454,7.244708838675112
S66,6.5200991721219035,8.45247217799223,7.147322784081423,7.67400906656454,7.244708838675112,7.460523535651367
S67,8.45247217799223,7.147322784081423,7.67400906656454,7.244708838675112,7.460523535651367,10.059448550752366
S68,7.147322784081423,7.67400906656454,7.244708838675112,7.460523535651367,10.059448550752366,11.405631363792669
S69,7.67400906656454,7.244708838675112,7.460523535651367,10.059448550752366,11.405631363792669,10.549483465348944
S70,7.244708838675112,7.460523535651367,10.059448550752366,11.405631363792669,10.549483465348944,6.869115142603035
S71,7.460523535651367,10.059448550752366,11.405631363792669,10.549483465348944,6.869115142603035,7.181311771802319
S72,10.059448550752366,11.405631363792669,10.549483465348944,6.869115142603035,7.181311771802319,6.809710939619922
S73,11.405631363792669,10.549483465348944,6.869115142603035,7.181311771802319,6.809710939619922,6.847172232932074
S74,10.549483465348944,6.869115142603035,7.181311771802319,6.809710939619922,6.847172232932074,8.322232279076921
S75,6.869115142603035,7.181311771802319,6.809710939619922,6.847172232932074,8.322232279076921,7.915277245623472
S76,7.181311771802319,6.809710939619922,6.847172232932074,8.322232279076921,7.915277245623472,7.260112725189678
S77,6.809710939619922,6.847172232932074,8.322232279076921,7.915277245623472,7.260112725189678,7.074783162836532
S78,6.847172232932074,8.322232279076921,7.915277245623472,7.260112725189678,7.074783162836532,6.009371809479109
S79,8.322232279076921,7.915277245623472,7.260112725189678,7.074783162836532,6.009371809479109,8.200595849443745
S80,7.915277245623472,7.260112725189678,7.074783162836532,6.009371809479109,8.200595849443745,11.25130252928166
S81,7.260112725189678,7.074783162836532,6.009371809479109,8.200595849443745,11.25130252928166,6.258097470567954
S82,7.074783162836532,6.009371809479109,8.200595849443745,11.25130252928166,6.258097470567954,5.870690551544601
S83,6.009371809479109,8.200595849443745,11.25130252928166,6.258097470567954,5.870690551544601,5.966973697791446
S84,8.200595849443745,11.25130252928166,6.258097470567954,5.870690551544601,5.966973697791446,5.163180498005676
S85,11.25130252928166,6.258097470567954,5.870690551544601,5.966973697791446,5.163180498005676,6.44767270970567
S86,6.258097470567954,5.870690551544601,5.966973697791446,5.163180498005676,6.44767270970567,8.887234138430058
S87,5.870690551544601,5.966973697791446,5.163180498005676,6.44767270970567,8.887234138430058,5.85342355699603
S88,5.966973697791446,5.163180498005676,6.44767270970567,8.887234138430058,5.85342355699603,6.232008529792469
S89,5.163180498005676,6.44767270970567,8.887234138430058,5.85342355699603,6.232008529792469,6.641508925451867
S90,6.44767270970567,8.887234138430058,5.85342355699603,6.232008529792469,6.641508925451867,6.27132432320404
S91,8.887234138430058,5.85342355699603,6.232008529792469,6.641508925451867,6.27132432320404,7.5852772444828656
S92,5.85342355699603,6.232008529792469,6.641508925451867,6.27132432320404,7.5852772444828656,5.989951491530422
S93,6.232008529792469,6.641508925451867,6.27132432320404,7.5852772444828656,5.989951491530422,5.68469792782243
S94,6.641508925451867,6.27132432320404,7.5852772444828656,5.989951491530422,5.68469792782243,5.362001156910173
S95,6.27132432320404,7.5852772444828656,5.989951491530422,5.68469792782243,5.362001156910173,5.204802564651519
S96,7.5852772444828656,5.989951491530422,5.68469792782243,5.362001156910173,5.204802564651519,6.079294940878917
S97,5.989951491530422,5.68469792782243,5.362001156910173,5.204802564651519,6.079294940878917,5.954039819228109
S98,5.68469792782243,5.362001156910173,5.204802564651519,6.079294940878917,5.954039819228109,5.481008398374502
S99,5.362001156910173,5.204802564651519,6.079294940878917,5.954039819228109,5.481008398374502,5.036785782504626
S100,5.204802564651519,6.079294940878917,5.954039819228109,5.481008398374502,5.036785782504626,5.941004428702598
S101,6.079294940878917,5.954039819228109,5.481008398374502,5.036785782504626,5.941004428702598,5.94676465187896
S102,5.954039819228109,5.481008398374502,5.036785782504626,5.941004428702598,5.94676465187896,5.206962136478232
S103,5.481008398374502,5.036785782504626,5.941004428702598,5.94676465187896,5.206962136478232,5.152326525117627
S104,5.036785782504626,5.941004428702598,5.94676465187896,5.206962136478232,5.152326525117627,5.744605415798353
S105,5.941004428702598,5.94676465187896,5.206962136478232,5.152326525117627,5.744605415798353,5.9390496303922236
S106,5.94676465187896,5.206962136478232,5.152326525117627,5.744605415798353,5.9390496303922236,5.236284011732486
S107,5.206962136478232,5.152326525117627,5.744605415798353,5.9390496303922236,5.236284011732486,4.957783340220157
S108,5.152326525117627,5.744605415798353,5.9390496303922236,5.236284011732486,4.957783340220157,5.039951779807277
S109,5.744605415798353,5.9390496303922236,5.236284011732486,4.957783340220157,5.039951779807277,5.07505454168906
S110,5.9390496303922236,5.236284011732486,4.957783340220157,5.039951779807277,5.07505454168906,5.143045979327956
S111,5.236284011732486,4.957783340220157,5.039951779807277,5.07505454168906,5.143045979327956,5.346099428064411
S112,4.957783340220157,5.039951779807277,5.07505454168906,5.143045979327956,5.346099428064411,5.655115788913373
S113,5.039951779807277,5.07505454168906,5.143045979327956,5.346099428064411,5.655115788913373,5.752809505201104
S114,5.07505454168906,5.143045979327956,5.346099428064411,5.655115788913373,5.752809505201104,5.66019729021594
S115,5.143045979327956,5.346099428064411,5.655115788913373,5.752809505201104,5.66019729021594,5.038505846017443
S116,5.346099428064411,5.655115788913373,5.752809505201104,5.66019729021594,5.038505846017443,5.58190632223114
S117,5.655115788913373,5.752809505201104,5.66019729021594,5.038505846017443,5.58190632223114,5.547385789979745
S118,5.752809505201104,5.66019729021594,5.038505846017443,5.58190632223114,5.547385789979745,5.10492416139722
S119,5.66019729021594,5.038505846017443,5.58190632223114,5.547385789979745,5.10492416139722,5.073370736192819
S120,5.038505846017443,5.58190632223114,5.547385789979745,5.10492416139722,5.073370736192819,5.9875430487881705
S121,5.58190632223114,5.547385789979745,5.10492416139722,5.073370736192819,5.9875430487881705,5.770369587686941
S122,5.547385789979745,5.10492416139722,5.073370736192819,5.9875430487881705,5.770369587686941,5.585804293253773
