Segment,F1,F2,F3,F4,F5,F6
S1,7.2655444,6.7822747,6.819948,6.7822747,6.9895263,7.116341
S2,6.7822747,6.819948,6.7822747,6.9895263,7.116341,7.0524106
S3,6.819948,6.7822747,6.9895263,7.116341,7.0524106,6.911109
S4,6.7822747,6.9895263,7.116341,7.0524106,6.911109,6.849548
S5,6.9895263,7.116341,7.0524106,6.911109,6.849548,6.8629966
S6,7.116341,7.0524106,6.911109,6.849548,6.8629966,6.8629966
S7,7.0524106,6.911109,6.849548,6.8629966,6.8629966,7.3524575
S8,6.911109,6.849548,6.8629966,6.8629966,7.3524575,6.9578023
S9,6.849548,6.8629966,6.8629966,7.3524575,6.9578023,6.864862
S10,6.8629966,6.8629966,7.3524575,6.9578023,6.864862,6.793936
S11,6.8629966,7.3524575,6.9578023,6.864862,6.793936,6.834814
S12,7.3524575,6.9578023,6.864862,6.793936,6.834814,6.8798437
S13,6.9578023,6.864862,6.793936,6.834814,6.8798437,6.850215
S14,6.864862,6.793936,6.834814,6.8798437,6.850215,6.881977
S15,6.793936,6.834814,6.8798437,6.850215,6.881977,6.8589644
S16,6.834814,6.8798437,6.850215,6.881977,6.8589644,6.861914
S17,6.8798437,6.850215,6.881977,6.8589644,6.861914,6.843952
S18,6.850215,6.881977,6.8589644,6.861914,6.843952,7.21523
S19,6.881977,6.8589644,6.861914,6.843952,7.21523,6.7822747
S20,6.8589644,6.861914,6.843952,7.21523,6.7822747,6.793936
S21,6.861914,6.843952,7.21523,6.7822747,6.793936,6.834814
S22,6.843952,7.21523,6.7822747,6.793936,6.834814,6.793936
S23,7.21523,6.7822747,6.793936,6.834814,6.793936,6.7822747
S24,6.7822747,6.793936,6.834814,6.793936,6.7822747,6.834814
S25,6.793936,6.834814,6.793936,6.7822747,6.834814,6.7822747
S26,6.834814,6.793936,6.7822747,6.834814,6.7822747,6.7822747
S27,6.793936,6.7822747,6.834814,6.7822747,6.7822747,6.9895263
S28,6.7822747,6.834814,6.7822747,6.7822747,6.9895263,6.90909
S29,6.834814,6.7822747,6.7822747,6.9895263,6.90909,6.818757
S30,6.7822747,6.7822747,6.9895263,6.90909,6.818757,6.7822747
S31,6.7822747,6.9895263,6.90909,6.818757,6.7822747,6.7822747
S32,6.9895263,6.90909,6.818757,6.7822747,6.7822747,7.171058
S33,6.90909,6.818757,6.7822747,6.7822747,7.171058,6.928841
S34,6.818757,6.7822747,6.7822747,7.171058,6.928841,6.853201
S35,6.7822747,6.7822747,7.171058,6.928841,6.853201,6.861209
S36,6.7822747,7.171058,6.928841,6.853201,6.861209,6.7822747
S37,7.171058,6.928841,6.853201,6.861209,6.7822747,6.7957234
S38,6.928841,6.853201,6.861209,6.7822747,6.7957234,6.7822747
S39,6.853201,6.861209,6.7822747,6.7957234,6.7822747,6.7822747
S40,6.861209,6.7822747,6.7957234,6.7822747,6.7822747,6.793936
S41,6.7822747,6.7957234,6.7822747,6.7822747,6.793936,6.7822747
S42,6.7957234,6.7822747,6.7822747,6.793936,6.7822747,6.8842897
S43,6.7822747,6.7822747,6.793936,6.7822747,6.8842897,6.7976756
S44,6.7822747,6.793936,6.7822747,6.8842897,6.7976756,6.866395
S45,6.793936,6.7822747,6.8842897,6.7976756,6.866395,6.8939705
S46,6.7822747,6.8842897,6.7976756,6.866395,6.8939705,6.8098507
S47,6.8842897,6.7976756,6.866395,6.8939705,6.8098507,6.866395
S48,6.7976756,6.866395,6.8939705,6.8098507,6.866395,7.1851854
S49,6.866395,6.8939705,6.8098507,6.866395,7.1851854,7.304176
S50,6.8939705,6.8098507,6.866395,7.1851854,7.304176,7.0838876
