Segment,F1,F2,F3,F4,F5,F6
S1,6.6754165,6.3923197,6.4824553,6.3158083,6.830927,6.9835153
S2,6.3923197,6.4824553,6.3158083,6.830927,6.9835153,6.8425317
S3,6.4824553,6.3158083,6.830927,6.9835153,6.8425317,6.719667
S4,6.3158083,6.830927,6.9835153,6.8425317,6.719667,6.614354
S5,6.830927,6.9835153,6.8425317,6.719667,6.614354,6.637785
S6,6.9835153,6.8425317,6.719667,6.614354,6.637785,6.6419606
S7,6.8425317,6.719667,6.614354,6.637785,6.6419606,7.259842
S8,6.719667,6.614354,6.637785,6.6419606,7.259842,6.558193
S9,6.614354,6.637785,6.6419606,7.259842,6.558193,6.71192
S10,6.637785,6.6419606,7.259842,6.558193,6.71192,6.6574545
S11,6.6419606,7.259842,6.558193,6.71192,6.6574545,6.7390447
S12,7.259842,6.558193,6.71192,6.6574545,6.7390447,6.7407284
S13,6.558193,6.71192,6.6574545,6.7390447,6.7407284,6.7376585
S14,6.71192,6.6574545,6.7390447,6.7407284,6.7376585,6.78522
S15,6.6574545,6.7390447,6.7407284,6.7376585,6.78522,6.5904884
S16,6.7390447,6.7407284,6.7376585,6.78522,6.5904884,6.3923244
S17,6.7407284,6.7376585,6.78522,6.5904884,6.3923244,5.977971
S18,6.7376585,6.78522,6.5904884,6.3923244,5.977971,6.0531907
S19,6.78522,6.5904884,6.3923244,5.977971,6.0531907,6.343745
S20,6.5904884,6.3923244,5.977971,6.0531907,6.343745,6.3707285
S21,6.3923244,5.977971,6.0531907,6.343745,6.3707285,6.71094
S22,5.977971,6.0531907,6.343745,6.3707285,6.71094,6.42601
S23,6.0531907,6.343745,6.3707285,6.71094,6.42601,6.474025
S24,6.343745,6.3707285,6.71094,6.42601,6.474025,6.5777636
S25,6.3707285,6.71094,6.42601,6.474025,6.5777636,6.3252287
S26,6.71094,6.42601,6.474025,6.5777636,6.3252287,6.0742855
S27,6.42601,6.474025,6.5777636,6.3252287,6.0742855,6.842276
S28,6.474025,6.5777636,6.3252287,6.0742855,6.842276,6.4619303
S29,6.5777636,6.3252287,6.0742855,6.842276,6.4619303,6.4984584
S30,6.3252287,6.0742855,6.842276,6.4619303,6.4984584,6.1698513
S31,6.0742855,6.842276,6.4619303,6.4984584,6.1698513,6.285797
S32,6.842276,6.4619303,6.4984584,6.1698513,6.285797,6.9773226
S33,6.4619303,6.4984584,6.1698513,6.285797,6.9773226,6.385952
S34,6.4984584,6.1698513,6.285797,6.9773226,6.385952,6.436887
S35,6.1698513,6.285797,6.9773226,6.385952,6.436887,6.6185727
S36,6.285797,6.9773226,6.385952,6.436887,6.6185727,6.3125343
S37,6.9773226,6.385952,6.436887,6.6185727,6.3125343,6.273967
S38,6.385952,6.436887,6.6185727,6.3125343,6.273967,6.307934
S39,6.436887,6.6185727,6.3125343,6.273967,6.307934,6.1264553
S40,6.6185727,6.3125343,6.273967,6.307934,6.1264553,6.089897
S41,6.3125343,6.273967,6.307934,6.1264553,6.089897,6.5139074
S42,6.273967,6.307934,6.1264553,6.089897,6.5139074,6.5965157
S43,6.307934,6.1264553,6.089897,6.5139074,6.5965157,6.3882685
S44,6.1264553,6.089897,6.5139074,6.5965157,6.3882685,6.651638
S45,6.089897,6.5139074,6.5965157,6.3882685,6.651638,6.697842
S46,6.5139074,6.5965157,6.3882685,6.651638,6.697842,6.636965
S47,6.5965157,6.3882685,6.651638,6.697842,6.636965,6.610408
S48,6.3882685,6.651638,6.697842,6.636965,6.610408,7.0497127
S49,6.651638,6.697842,6.636965,6.610408,7.0497127,7.097861
S50,6.697842,6.636965,6.610408,7.0497127,7.097861,6.791719
S51,6.636965,6.610408,7.0497127,7.097861,6.791719,6.833784
S52,6.610408,7.0497127,7.097861,6.791719,6.833784,6.7635922
S53,7.0497127,7.097861,6.791719,6.833784,6.7635922,6.9039297
S54,7.097861,6.791719,6.833784,6.7635922,6.9039297,6.867614
S55,6.791719,6.833784,6.7635922,6.9039297,6.867614,6.9171734
S56,6.833784,6.7635922,6.9039297,6.867614,6.9171734,8.797409
S57,6.7635922,6.9039297,6.867614,6.9171734,8.797409,10.252644
S58,6.9039297,6.867614,6.9171734,8.797409,10.252644,9.0701885
S59,6.867614,6.9171734,8.797409,10.252644,9.0701885,8.318276
S60,6.9171734,8.797409,10.252644,9.0701885,8.318276,7.757562
S61,8.797409,10.252644,9.0701885,8.318276,7.757562,7.1802235
S62,10.252644,9.0701885,8.318276,7.757562,7.1802235,7.637845
S63,9.0701885,8.318276,7.757562,7.1802235,7.637845,7.9453745
S64,8.318276,7.757562,7.1802235,7.637845,7.9453745,8.116306
S65,7.757562,7.1802235,7.637845,7.9453745,8.116306,7.6597347
S66,7.1802235,7.637845,7.9453745,8.116306,7.6597347,7.882866
S67,7.637845,7.9453745,8.116306,7.6597347,7.882866,9.403905
S68,7.9453745,8.116306,7.6597347,7.882866,9.403905,10.616196
S69,8.116306,7.6597347,7.882866,9.403905,10.616196,9.772056
S70,7.6597347,7.882866,9.403905,10.616196,9.772056,7.501135
S71,7.882866,9.403905,10.616196,9.772056,7.501135,7.9858046
S72,9.403905,10.616196,9.772056,7.501135,7.9858046,7.542414
S73,10.616196,9.772056,7.501135,7.9858046,7.542414,7.6333747
S74,9.772056,7.501135,7.9858046,7.542414,7.6333747,8.177746
S75,7.501135,7.9858046,7.542414,7.6333747,8.177746,8.190974
S76,7.9858046,7.542414,7.6333747,8.177746,8.190974,8.063448
S77,7.542414,7.6333747,8.177746,8.190974,8.063448,7.6972294
S78,7.6333747,8.177746,8.190974,8.063448,7.6972294,7.0945683
S79,8.177746,8.190974,8.063448,7.6972294,7.0945683,8.217581
S80,8.190974,8.063448,7.6972294,7.0945683,8.217581,9.798679
S81,8.063448,7.6972294,7.0945683,8.217581,9.798679,7.177188
S82,7.6972294,7.0945683,8.217581,9.798679,7.177188,6.874835
S83,7.0945683,8.217581,9.798679,7.177188,6.874835,6.717808
S84,8.217581,9.798679,7.177188,6.874835,6.717808,6.5402775
S85,9.798679,7.177188,6.874835,6.717808,6.5402775,7.0663013
S86,7.177188,6.874835,6.717808,6.5402775,7.0663013,7.068764
S87,6.874835,6.717808,6.5402775,7.0663013,7.068764,6.953848
S88,6.717808,6.5402775,7.0663013,7.068764,6.953848,7.136954
S89,6.5402775,7.0663013,7.068764,6.953848,7.136954,7.347612
S90,7.0663013,7.068764,6.953848,7.136954,7.347612,7.220918
S91,7.068764,6.953848,7.136954,7.347612,7.220918,7.9369535
S92,6.953848,7.136954,7.347612,7.220918,7.9369535,6.9747705
S93,7.136954,7.347612,7.220918,7.9369535,6.9747705,6.775585
S94,7.347612,7.220918,7.9369535,6.9747705,6.775585,6.6162844
S95,7.220918,7.9369535,6.9747705,6.775585,6.6162844,6.5725
S96,7.9369535,6.9747705,6.775585,6.6162844,6.5725,6.948386
S97,6.9747705,6.775585,6.6162844,6.5725,6.948386,6.922891
S98,6.775585,6.6162844,6.5725,6.948386,6.922891,6.6899753
S99,6.6162844,6.5725,6.948386,6.922891,6.6899753,6.4001446
S100,6.5725,6.948386,6.922891,6.6899753,6.4001446,6.93398
S101,6.948386,6.922891,6.6899753,6.4001446,6.93398,6.9343143
S102,6.922891,6.6899753,6.4001446,6.93398,6.9343143,6.5879393
S103,6.6899753,6.4001446,6.93398,6.9343143,6.5879393,6.4621673
S104,6.4001446,6.93398,6.9343143,6.5879393,6.4621673,6.710283
S105,6.93398,6.9343143,6.5879393,6.4621673,6.710283,6.846489
S106,6.9343143,6.5879393,6.4621673,6.710283,6.846489,6.5687637
S107,6.5879393,6.4621673,6.710283,6.846489,6.5687637,6.246339
S108,6.4621673,6.710283,6.846489,6.5687637,6.246339,6.3847327
S109,6.710283,6.846489,6.5687637,6.246339,6.3847327,6.4353375
S110,6.846489,6.5687637,6.246339,6.3847327,6.4353375,6.4606614
S111,6.5687637,6.246339,6.3847327,6.4353375,6.4606614,6.5396843
S112,6.246339,6.3847327,6.4353375,6.4606614,6.5396843,6.641954
S113,6.3847327,6.4353375,6.4606614,6.5396843,6.641954,6.775773
S114,6.4353375,6.4606614,6.5396843,6.641954,6.775773,6.764823
S115,6.4606614,6.5396843,6.641954,6.775773,6.764823,6.392503
S116,6.5396843,6.641954,6.775773,6.764823,6.392503,6.6455603
S117,6.641954,6.775773,6.764823,6.392503,6.6455603,6.59003
S118,6.775773,6.764823,6.392503,6.6455603,6.59003,6.391916
S119,6.764823,6.392503,6.6455603,6.59003,6.391916,6.3726716
S120,6.392503,6.6455603,6.59003,6.391916,6.3726716,6.842276
S121,6.6455603,6.59003,6.391916,6.3726716,6.842276,6.7941875
S122,6.59003,6.391916,6.3726716,6.842276,6.7941875,6.7968884
S123,6.391916,6.3726716,6.842276,6.7941875,6.7968884,6.691889
S124,6.3726716,6.842276,6.7941875,6.7968884,6.691889,7.1479654
S125,6.842276,6.7941875,6.7968884,6.691889,7.1479654,7.0813084
S126,6.7941875,6.7968884,6.691889,7.1479654,7.0813084,6.929346
S127,6.7968884,6.691889,7.1479654,7.0813084,6.929346,7.863043
S128,6.691889,7.1479654,7.0813084,6.929346,7.863043,6.703216
S129,7.1479654,7.0813084,6.929346,7.863043,6.703216,6.69119
S130,7.0813084,6.929346,7.863043,6.703216,6.69119,6.8423896
S131,6.929346,7.863043,6.703216,6.69119,6.8423896,7.56657
S132,7.863043,6.703216,6.69119,6.8423896,7.56657,7.603448
S133,6.703216,6.69119,6.8423896,7.56657,7.603448,7.3688674
S134,6.69119,6.8423896,7.56657,7.603448,7.3688674,6.9404507
S135,6.8423896,7.56657,7.603448,7.3688674,6.9404507,7.51091
S136,7.56657,7.603448,7.3688674,6.9404507,7.51091,7.4730706
S137,7.603448,7.3688674,6.9404507,7.51091,7.4730706,7.275545
S138,7.3688674,6.9404507,7.51091,7.4730706,7.275545,8.12792
S139,6.9404507,7.51091,7.4730706,7.275545,8.12792,7.32391
S140,7.51091,7.4730706,7.275545,8.12792,7.32391,7.5060062
S141,7.4730706,7.275545,8.12792,7.32391,7.5060062,7.970133
S142,7.275545,8.12792,7.32391,7.5060062,7.970133,7.979771
S143,8.12792,7.32391,7.5060062,7.970133,7.979771,7.479528
S144,7.32391,7.5060062,7.970133,7.979771,7.479528,7.065062
S145,7.5060062,7.970133,7.979771,7.479528,7.065062,6.981547
S146,7.970133,7.979771,7.479528,7.065062,6.981547,6.938322
S147,7.979771,7.479528,7.065062,6.981547,6.938322,7.091902
S148,7.479528,7.065062,6.981547,6.938322,7.091902,7.395527
S149,7.065062,6.981547,6.938322,7.091902,7.395527,7.273739
S150,6.981547,6.938322,7.091902,7.395527,7.273739,7.206115
S151,6.938322,7.091902,7.395527,7.273739,7.206115,6.7780323
S152,7.091902,7.395527,7.273739,7.206115,6.7780323,6.249267
S153,7.395527,7.273739,7.206115,6.7780323,6.249267,6.971825
S154,7.273739,7.206115,6.7780323,6.249267,6.971825,7.0864205
S155,7.206115,6.7780323,6.249267,6.971825,7.0864205,7.8764877
S156,6.7780323,6.249267,6.971825,7.0864205,7.8764877,8.147714
S157,6.249267,6.971825,7.0864205,7.8764877,8.147714,6.491635
S158,6.971825,7.0864205,7.8764877,8.147714,6.491635,6.727143
S159,7.0864205,7.8764877,8.147714,6.491635,6.727143,7.0118494
S160,7.8764877,8.147714,6.491635,6.727143,7.0118494,7.1727047
S161,8.147714,6.491635,6.727143,7.0118494,7.1727047,7.6646566
S162,6.491635,6.727143,7.0118494,7.1727047,7.6646566,7.074897
S163,6.727143,7.0118494,7.1727047,7.6646566,7.074897,7.102274
S164,7.0118494,7.1727047,7.6646566,7.074897,7.102274,7.3339977
S165,7.1727047,7.6646566,7.074897,7.102274,7.3339977,7.165375
S166,7.6646566,7.074897,7.102274,7.3339977,7.165375,6.515782
S167,7.074897,7.102274,7.3339977,7.165375,6.515782,7.240596
S168,7.102274,7.3339977,7.165375,6.515782,7.240596,6.5202856
S169,7.3339977,7.165375,6.515782,7.240596,6.5202856,6.71609
S170,7.165375,6.515782,7.240596,6.5202856,6.71609,6.814227
S171,6.515782,7.240596,6.5202856,6.71609,6.814227,6.9654636
S172,7.240596,6.5202856,6.71609,6.814227,6.9654636,6.726752
S173,6.5202856,6.71609,6.814227,6.9654636,6.726752,6.6722074
S174,6.71609,6.814227,6.9654636,6.726752,6.6722074,6.594471
S175,6.814227,6.9654636,6.726752,6.6722074,6.594471,6.945272
S176,6.9654636,6.726752,6.6722074,6.594471,6.945272,7.8159933
S177,6.726752,6.6722074,6.594471,6.945272,7.8159933,6.759337
S178,6.6722074,6.594471,6.945272,7.8159933,6.759337,6.230339
S179,6.594471,6.945272,7.8159933,6.759337,6.230339,6.21346
S180,6.945272,7.8159933,6.759337,6.230339,6.21346,6.471382
S181,7.8159933,6.759337,6.230339,6.21346,6.471382,6.6231894
S182,6.759337,6.230339,6.21346,6.471382,6.6231894,6.613102
S183,6.230339,6.21346,6.471382,6.6231894,6.613102,6.838789
S184,6.21346,6.471382,6.6231894,6.613102,6.838789,7.773856
S185,6.471382,6.6231894,6.613102,6.838789,7.773856,6.4871597
S186,6.6231894,6.613102,6.838789,7.773856,6.4871597,6.431692
S187,6.613102,6.838789,7.773856,6.4871597,6.431692,7.1557474
S188,6.838789,7.773856,6.4871597,6.431692,7.1557474,6.2560825
S189,7.773856,6.4871597,6.431692,7.1557474,6.2560825,6.6514115
S190,6.4871597,6.431692,7.1557474,6.2560825,6.6514115,6.41015
S191,6.431692,7.1557474,6.2560825,6.6514115,6.41015,6.710894
S192,7.1557474,6.2560825,6.6514115,6.41015,6.710894,6.7007155
S193,6.2560825,6.6514115,6.41015,6.710894,6.7007155,6.9486523
S194,6.6514115,6.41015,6.710894,6.7007155,6.9486523,6.8631763
S195,6.41015,6.710894,6.7007155,6.9486523,6.8631763,7.8524933
S196,6.710894,6.7007155,6.9486523,6.8631763,7.8524933,6.6194286
S197,6.7007155,6.9486523,6.8631763,7.8524933,6.6194286,6.3741765
S198,6.9486523,6.8631763,7.8524933,6.6194286,6.3741765,6.5128326
S199,6.8631763,7.8524933,6.6194286,6.3741765,6.5128326,6.6106014
S200,7.8524933,6.6194286,6.3741765,6.5128326,6.6106014,6.6203513
S201,6.6194286,6.3741765,6.5128326,6.6106014,6.6203513,6.556196
S202,6.3741765,6.5128326,6.6106014,6.6203513,6.556196,6.837061
S203,6.5128326,6.6106014,6.6203513,6.556196,6.837061,7.0680394
S204,6.6106014,6.6203513,6.556196,6.837061,7.0680394,6.808372
S205,6.6203513,6.556196,6.837061,7.0680394,6.808372,7.1485643
S206,6.556196,6.837061,7.0680394,6.808372,7.1485643,6.8477225
S207,6.837061,7.0680394,6.808372,7.1485643,6.8477225,7.6127987
S208,7.0680394,6.808372,7.1485643,6.8477225,7.6127987,9.552079
S209,6.808372,7.1485643,6.8477225,7.6127987,9.552079,7.909476
S210,7.1485643,6.8477225,7.6127987,9.552079,7.909476,8.247285
S211,6.8477225,7.6127987,9.552079,7.909476,8.247285,6.9312477
S212,7.6127987,9.552079,7.909476,8.247285,6.9312477,6.869558
S213,9.552079,7.909476,8.247285,6.9312477,6.869558,7.2266884
S214,7.909476,8.247285,6.9312477,6.869558,7.2266884,7.5142617
S215,8.247285,6.9312477,6.869558,7.2266884,7.5142617,7.2947226
S216,6.9312477,6.869558,7.2266884,7.5142617,7.2947226,7.2574167
S217,6.869558,7.2266884,7.5142617,7.2947226,7.2574167,7.2697926
S218,7.2266884,7.5142617,7.2947226,7.2574167,7.2697926,8.349551
S219,7.5142617,7.2947226,7.2574167,7.2697926,8.349551,8.677862
S220,7.2947226,7.2574167,7.2697926,8.349551,8.677862,6.872705
S221,7.2574167,7.2697926,8.349551,8.677862,6.872705,7.524546
