Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,6.613212,6.165718,0.339945,-4.081826,9.238258,2.731726
S2,6.617216,6.1875,0.222303,-4.572035,9.238258,2.73386
S3,6.808766,6.402926,-0.047092,-1.458365,9.238258,2.668344
S4,6.702275,6.268073,-0.081784,-1.456726,9.238258,2.50537
S5,6.79612,6.480388,-0.028078,-1.513472,9.238258,2.57851
S6,6.522914,6.144273,-0.095275,-1.492456,9.238258,1.980064
S7,6.160943,5.575568,-0.185831,-1.333719,9.238258,1.563761
S8,5.793902,5.081753,-0.20257,-1.188035,9.238258,1.311725
S9,5.418608,4.64641,-0.172268,-1.034946,9.238258,1.118692
S10,5.09197,4.367442,-0.087069,-0.471248,9.238258,0.917001
S11,4.860275,4.105459,-0.000136,-0.221535,9.238258,0.836539
S12,4.337985,3.509577,0.175926,-0.017382,9.238258,0.686422
S13,3.432518,2.819402,0.703534,0.264234,7.261548,0.432217
S14,3.456982,2.870398,0.70473,0.221398,7.261548,0.438732
S15,2.797654,2.415356,0.725466,0.282191,4.525609,0.416923
S16,2.483296,2.100575,0.670325,0.305385,4.479507,0.314757
S17,2.162873,1.788139,0.684544,0.323952,4.479507,0.221949
S18,1.987046,1.644037,0.761519,0.395215,4.479507,0.186352
S19,1.986438,1.642064,0.761772,0.398158,4.479507,0.1862
S20,2.098571,1.74978,0.801247,0.443202,4.479507,0.22192
S21,2.265924,1.873121,0.827818,0.460404,4.479507,0.279179
S22,2.22981,1.854536,0.74217,0.402938,4.256485,0.354723
S23,2.0985,1.709419,0.631028,0.272116,4.256485,0.348103
S24,2.120245,1.766761,0.531793,0.127416,4.256485,0.357694
S25,2.93485,2.278273,0.086542,-0.332007,7.094304,0.833636
S26,3.56606,2.72218,-0.34651,-1.197888,7.285401,1.06587
S27,3.576796,2.742142,-0.256538,-1.690643,7.285401,1.075421
S28,3.605094,2.824093,-0.239835,-1.405362,7.285401,1.083327
S29,4.364282,3.493094,-0.206979,-0.343026,8.535861,1.121437
S30,5.453623,4.308394,-0.073696,-0.056112,11.450769,1.142069
