Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,4.682301,4.17565,-0.115318,-1.111004,7.584122,1.1528575208518594e+16
S2,4.732717,4.286371,0.085539,-1.334878,7.584122,1.1528575208518594e+16
S3,4.735949,4.323936,0.259675,-1.16831,7.584122,1.1528575208518594e+16
S4,4.569185,3.969492,0.153106,-0.962948,7.584122,1.1528575208518594e+16
S5,4.436957,3.844533,-0.008387,-0.505507,7.584122,9458876141629050.0
S6,4.294108,3.565067,-0.116811,-0.459107,7.584122,9458876141629050.0
S7,4.327397,3.617003,0.004253,-0.639278,7.584122,9458876141629050.0
S8,4.334595,3.631651,-0.091038,-1.066792,7.584122,9458876141629050.0
S9,4.151502,3.426085,-0.034037,-0.912753,7.584122,9458876141629050.0
S10,3.657351,3.073134,0.182549,-0.713267,6.234367,6612555529257624.0
S11,3.65482,3.071455,-0.043556,-1.099993,6.234367,4540694299956044.0
S12,3.261155,2.692077,-0.148916,-1.181224,6.234367,2339757598491676.5
S13,2.741668,2.272778,-0.393062,-1.778049,5.500393,0.484357
S14,2.631394,2.1121,-0.418659,-1.55769,5.500393,0.442456
S15,2.790073,2.33227,-0.51656,-1.228035,5.500393,0.465229
S16,2.83344,2.469729,-0.407573,-1.107686,5.500393,0.502822
S17,2.58727,2.162703,-0.3807,-2.083988,5.500393,0.47362
S18,2.988099,2.550495,-0.362425,-0.796853,5.500393,0.503775
S19,3.624652,2.939588,-0.168749,-0.233408,7.743762,0.485181
S20,3.669704,3.002881,-0.239339,-0.298241,7.743762,0.463243
S21,3.608141,2.878315,-0.065073,-0.214028,7.743762,0.438698
S22,3.732426,2.991558,0.208162,0.016461,7.743762,1766771453665515.8
S23,3.640154,2.924866,0.632658,0.221878,7.743762,3530717191553853.5
S24,3.896999,3.231803,0.815181,0.243883,7.743762,5405403878057359.0
S25,4.19941,3.594262,0.872204,0.222003,7.743762,7489179848682653.0
S26,6.665389,5.01697,0.687072,0.091344,17.952225,7489179848682653.0
S27,10.265828,7.014423,0.678705,-0.01095,27.244107,7489179848682653.0
S28,10.43141,7.424888,0.518251,-0.003246,27.244107,9980201629237084.0
S29,10.636873,7.998548,0.333973,0.005297,27.244107,1.2687949632016082e+16
S30,10.5301,7.569832,0.32801,0.019021,27.244107,1.2687949632016082e+16
S31,10.481339,7.499889,0.260658,0.007683,27.244107,1.2687949632016082e+16
S32,10.459929,7.407255,0.236173,0.014577,27.244107,1.2687949632016086e+16
S33,10.50471,7.612767,0.193451,0.01166,27.244107,1.2687949632016082e+16
S34,10.437495,7.411772,0.119736,-0.004014,27.244107,1.0921178178350568e+16
S35,10.352923,7.103077,0.019045,-0.025089,27.244107,9157232440462230.0
S36,10.256735,6.776671,-0.125097,-0.058146,27.244107,7282545753958725.0
S37,10.392163,6.98265,-0.190234,-0.128447,27.244107,5198769783333429.0
S38,9.310398,6.166296,-0.060526,-0.081149,27.244107,5198769783333429.0
S39,5.14738,4.268497,0.178145,0.021604,8.155976,5198769783333429.0
S40,5.037838,4.176859,0.415838,0.045899,8.155976,2707748002778999.5
S41,5.212285,4.29011,0.6409,-0.067968,8.573902,0.469502
S42,5.497151,4.789054,0.658505,-0.153228,8.573902,0.50222
S43,5.123666,4.235873,0.692804,-0.003486,8.573902,0.458593
S44,5.09548,4.091936,0.665627,-0.071773,8.573902,0.424119
S45,4.996082,3.846966,0.682267,-0.151585,8.573902,0.325002
S46,5.163396,4.077855,0.712055,-0.016289,8.573902,1.679182
S47,5.156611,4.027284,0.694614,-0.072242,8.573902,1.666437
S48,5.15811,4.034191,0.64231,-0.058636,8.573902,1.668618
S49,4.969996,3.902503,0.355869,0.021027,8.573902,1.7299
S50,6.014767,4.413773,-0.062484,-0.256418,14.291214,5363492129634329.0
S51,6.767031,5.010798,-0.199867,-0.473109,14.291214,9730038468701446.0
S52,6.817604,5.06914,-0.141757,-0.605394,14.291214,1.2071110782350774e+16
S53,6.528022,4.788749,-0.12924,-1.278991,14.291214,1.2071110782350774e+16
S54,6.555764,4.817899,-0.147254,-1.277183,14.291214,1.2071110782350774e+16
S55,7.08122,5.568773,0.018109,-0.431418,14.291214,1.207111078235077e+16
S56,7.408779,6.186373,-0.055514,-0.360059,14.291214,1.2071110782350774e+16
S57,7.469354,6.416491,-0.104352,-0.350925,14.291214,1.2071110782350774e+16
S58,7.442784,6.375388,-0.259856,-0.415699,14.291214,1.207111078235077e+16
