Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,4.969233,4.260525,0.021572,-1.377656,8.303109,1.2659944905919046e+16
S2,5.043244,4.463085,0.179005,-1.651325,8.303109,1.2659944905919046e+16
S3,5.046746,4.487436,0.346259,-1.462239,8.303109,1.2659944905919046e+16
S4,4.88799,4.166594,0.221255,-1.246425,8.303109,1.2659944905919046e+16
S5,4.70129,3.976873,0.008382,-0.690232,8.303109,1.0461960462730672e+16
S6,4.522687,3.704224,-0.070317,-0.61858,8.303109,1.0461960462730672e+16
S7,4.654851,3.924552,-0.003056,-0.896753,8.303109,1.0461960462730672e+16
S8,4.69956,4.032104,-0.149453,-1.429484,8.303109,1.0461960462730674e+16
S9,4.585105,3.88144,-0.158104,-1.333173,8.303109,1.0461960462730672e+16
S10,3.992398,3.424247,0.071303,-1.041547,6.881403,7345803860354941.0
S11,3.951087,3.396223,-0.144183,-1.454252,6.881403,5085318620465167.0
S12,3.443055,2.948498,-0.157008,-1.431337,6.668607,2502728140850391.0
S13,2.92075,2.571203,-0.379858,-2.152818,5.686863,0.548708
S14,2.785802,2.331474,-0.408882,-1.866663,5.686863,0.493198
S15,2.888658,2.491036,-0.507779,-1.388269,5.686863,0.508235
S16,2.956085,2.633213,-0.399468,-1.294097,5.686863,0.550439
S17,2.771191,2.362361,-0.348306,-2.538033,5.686863,0.524885
S18,3.027024,2.616978,-0.288273,-0.843971,5.686863,0.537019
S19,3.499802,2.887708,-0.081141,-0.149902,7.323302,0.495718
S20,3.485152,2.866952,-0.151425,-0.170945,7.323302,0.459901
S21,3.440274,2.796273,-0.005837,-0.103692,7.323302,0.450196
S22,3.699712,3.019214,0.207817,0.033627,7.323302,2061174763987976.0
S23,3.665679,2.996637,0.615866,0.210927,7.323302,4093777273926712.5
S24,3.977419,3.333904,0.74899,0.212354,7.323302,6178906699831939.0
S25,4.283667,3.64809,0.904916,0.19047,7.323302,8397418545262744.0
S26,6.616786,5.08997,0.679752,0.104547,17.470341,8397418545262744.0
S27,10.145343,7.089988,0.658249,0.012641,26.786507,8397418545262744.0
S28,10.340016,7.509328,0.475108,0.014256,26.786507,1.1126250828373258e+16
S29,10.552132,8.09017,0.35101,0.021083,26.786507,1.3865874280352354e+16
S30,10.474586,7.752712,0.341891,0.029337,26.786507,1.3865874280352354e+16
S31,10.40909,7.650818,0.288966,0.021317,26.786507,1.3865874280352354e+16
S32,10.404889,7.631148,0.277805,0.02492,26.786507,1.3865874280352354e+16
S33,10.440197,7.771716,0.266943,0.023762,26.786507,1.386587428035235e+16
S34,10.349479,7.542731,0.209535,0.012848,26.786507,1.1804699516364378e+16
S35,10.24634,7.254738,0.111213,-0.004091,26.786507,9772097006425642.0
S36,10.120042,6.794665,-0.025945,-0.03013,26.786507,7686967580520416.0
S37,10.210919,6.931843,-0.122908,-0.08943,26.786507,5468455735089609.0
S38,9.137481,6.099485,0.059714,-0.041363,26.786507,5468455735089609.0
S39,5.016885,4.217116,0.316668,0.070583,7.557442,5468455735089609.0
S40,4.692263,3.934445,0.53029,0.172305,7.557442,2739623451979097.0
S41,4.986835,4.105646,0.581033,0.022421,9.354237,0.47329
S42,5.251284,4.549163,0.60318,-0.052376,9.354237,0.499506
S43,4.953488,4.112937,0.606809,0.062067,9.354237,0.467527
S44,4.921578,4.004622,0.560332,0.000135,9.354237,0.436461
S45,4.873653,3.926133,0.469053,-0.095837,9.354237,0.370797
S46,5.075277,4.16591,0.527748,0.018103,9.354237,1.868824
S47,5.045672,4.043925,0.503326,-0.026602,9.354237,1.840337
S48,5.059684,4.149669,0.478995,-0.01862,9.354237,1.856396
S49,4.784153,3.93293,0.412458,0.092871,9.354237,1.895572
S50,5.909989,4.48929,-0.06903,-0.213026,14.158363,5313633211845980.0
S51,6.820942,5.182919,-0.237369,-0.496674,14.158363,1.0013000902846114e+16
S52,7.001793,5.418964,-0.24943,-0.693311,14.158363,1.2531848488148718e+16
S53,6.671552,5.120442,-0.149462,-1.380308,14.158363,1.2531848488148718e+16
S54,6.749821,5.204886,-0.227656,-1.413992,14.158363,1.2531848488148714e+16
S55,7.315172,5.949947,-0.101916,-0.527564,14.158363,1.2531848488148714e+16
S56,7.641936,6.524589,-0.193677,-0.447009,14.158363,1.2531848488148718e+16
S57,7.690414,6.640242,-0.236927,-0.432071,14.158363,1.2531848488148718e+16
S58,7.634928,6.55726,-0.384909,-0.489738,14.158363,1.2531848488148714e+16
S59,7.888445,7.090074,-0.418704,-0.461494,14.158363,1.2531848488148714e+16
S60,7.87946,6.982864,-0.426754,-0.464839,14.158363,1.2531848488148714e+16
S61,7.884647,6.991032,-0.423685,-0.483,14.158363,1.2531848488148714e+16
S62,6.794708,6.05361,-0.240464,-0.293981,12.521631,7218215276302736.0
S63,6.097485,5.593035,0.168555,-0.137593,9.806612,2518847585302602.0
S64,5.781689,5.047751,0.004197,-0.458903,9.806612,0.668265
S65,5.751711,5.016805,-0.224948,-0.752679,9.806612,0.467653
S66,5.957071,5.173605,-0.223827,-0.749573,9.806612,0.472727
S67,7.336859,5.838417,-0.28442,-0.670819,17.784358,0.487385
S68,7.417117,5.911179,-0.30251,-0.651031,17.784358,0.485052
S69,7.335406,5.660181,-0.282185,-0.497422,17.784358,0.464196
S70,7.225137,5.396354,-0.130374,-0.310281,17.784358,0.454414
S71,6.964214,4.967573,-0.039955,-0.172078,17.784358,0.438493
S72,7.067429,5.313526,0.03871,-0.096813,17.784358,0.543597
S73,6.916642,4.933595,0.207189,-0.05051,17.784358,0.480275
S74,7.069978,5.178491,0.437039,0.070861,17.784358,2194777339111739.0
S75,6.87965,4.939859,0.385117,0.089538,17.784358,2194777339111739.0
S76,6.895264,5.060458,0.427942,0.08941,17.784358,2194777339111739.0
S77,7.272899,5.415647,0.735226,0.102699,17.784358,2194777339111739.0
S78,7.065801,5.215147,0.689433,0.172745,17.784358,2194777339111738.8
S79,5.313058,4.35628,0.864604,0.391097,9.662885,2194777339111738.8
S80,4.702035,3.664349,0.901121,0.48067,9.662885,2194777339111738.8
S81,5.421673,4.372479,0.75514,0.37722,9.662885,2194777339111739.8
S82,5.795545,4.854382,0.674629,0.307691,9.662885,2194777339111740.2
S83,6.235462,5.388844,0.606491,0.241333,9.662885,2194777339111740.2
S84,6.531604,5.701562,0.574326,0.199035,9.662885,2194777339111741.0
S85,6.68246,6.069939,0.612198,0.179159,9.662885,2194777339111741.0
S86,6.469588,5.647335,0.558901,0.146414,9.662885,2.309701
S87,6.507039,5.701841,0.540351,0.091723,9.662885,2.238761
S88,6.606103,5.922721,0.618247,0.076482,9.662885,2.297279
S89,6.162934,5.538006,0.809642,-0.037542,9.392893,2.349222
S90,6.578912,5.863072,0.46015,-0.636636,10.103079,2.657436
S91,6.819381,6.050354,0.052125,-4.154578,10.103079,2.838917
S92,7.134444,6.633516,-0.081577,-10.003652,10.103079,3.02622
S93,6.622753,6.012217,-0.192266,-9.731214,10.103079,2.185337
S94,6.285457,5.446868,-0.291462,-8.170487,10.103079,2.002888
S95,5.919771,5.067439,-0.184571,-7.846315,10.103079,1.770187
S96,5.460387,4.417709,-0.314199,-8.510629,10.103079,1.22176
S97,5.304951,4.176508,-0.315425,-8.357656,10.103079,1.146137
S98,5.351482,4.325108,-0.606735,-20.683178,10.103079,1.184566
S99,5.302539,4.266285,-0.650374,-20.727053,10.103079,1.176204
S100,5.582113,4.527206,-0.678117,-22.345673,10.103079,1.271703
S101,6.317981,5.058826,-0.683143,-14.308895,11.425757,3.558619
S102,6.047738,4.872918,-0.660008,-13.803169,11.425757,3.433468
S103,5.408254,4.277713,-0.614759,-8.608501,11.425757,3.250941
S104,4.997948,3.777176,-0.591894,-6.77185,11.425757,3.077594
S105,5.018492,3.823608,-0.662741,-5.300362,11.425757,3.074749
S106,5.072225,4.001371,-0.702917,-4.44793,11.425757,3.094925
S107,5.160021,4.107295,-0.795807,-2.988762,11.425757,3.041865
S108,5.186061,4.247098,-0.819384,-2.843587,11.425757,3.059445
S109,5.153549,4.097733,-0.851813,-2.843145,11.425757,3.027332
S110,5.158664,4.107797,-0.854609,-2.361964,11.425757,3.004282
S111,5.289987,4.24734,-0.835143,-1.776435,11.425757,2.980099
S112,4.849178,3.717589,-0.796705,-1.584902,11.425757,2.825707
S113,3.934745,3.252498,-0.30361,-0.618221,7.872183,2193504472672024.8
S114,3.317351,2.83573,0.106207,-0.108053,5.84467,2193504472672024.8
S115,3.232514,2.625221,0.211336,-0.038603,5.84467,2193504472672024.8
S116,3.358938,2.803789,0.339944,-0.082517,5.84467,2193504472672024.8
S117,3.321274,2.745062,0.386413,-0.057186,5.84467,2193504472672024.2
S118,3.516045,2.926103,0.476439,-0.065057,5.84467,2193504472672024.2
S119,3.671053,3.027651,0.53138,-0.06725,6.094662,2193504472672024.2
S120,3.634371,2.892553,0.46378,-0.044237,6.094662,2193504472672024.2
S121,3.655948,2.989531,0.483759,-0.016895,6.094662,2193504472672024.2
S122,3.635621,2.959927,0.478811,-0.038654,6.094662,2193504472672024.2
S123,3.236324,2.515733,0.46758,0.034148,6.094662,2193504472672024.2
