Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,4.830345,4.168589,0.125241,-1.246605,7.605039,1.2244554353261826e+16
S2,4.902467,4.366604,0.290426,-1.505373,7.605039,1.2244554353261826e+16
S3,4.902422,4.366185,0.457636,-1.323426,7.605039,1.2244554353261826e+16
S4,4.736143,4.042299,0.338229,-1.109021,7.605039,1.2244554353261826e+16
S5,4.551955,3.866855,0.08726,-0.584558,7.605039,1.0019712678581076e+16
S6,4.369019,3.577505,0.004032,-0.510459,7.605039,1.0019712678581076e+16
S7,4.449096,3.724956,0.062334,-0.732777,7.605039,1.0019712678581076e+16
S8,4.500928,3.842039,-0.188916,-1.228455,7.605039,1.0019712678581076e+16
S9,4.375024,3.685906,-0.165771,-1.124268,7.605039,1.0019712678581076e+16
S10,3.87927,3.298393,0.039393,-0.927488,6.629851,7165541767083275.0
S11,3.821987,3.259665,-0.174551,-1.296489,6.629851,4940803834439537.0
S12,3.344619,2.822253,-0.233114,-1.294302,6.629851,2488182766072858.0
S13,2.779485,2.3995,-0.464565,-1.855216,5.463161,0.512432
S14,2.644887,2.157725,-0.478456,-1.583987,5.463161,0.45712
S15,2.759328,2.344829,-0.553423,-1.179202,5.463161,0.4765
S16,2.819212,2.473207,-0.421799,-1.086572,5.463161,0.51496
S17,2.594317,2.160158,-0.344496,-2.10081,5.463161,0.483702
S18,2.905858,2.458355,-0.298688,-0.699305,5.463161,0.501954
S19,3.498386,2.81031,-0.115186,-0.148972,7.502618,0.477836
S20,3.49875,2.810784,-0.178921,-0.180101,7.502618,0.443083
S21,3.451547,2.735989,-0.025352,-0.110937,7.502618,0.432335
S22,3.69814,2.945333,0.199813,0.034448,7.502618,2051765443073587.8
S23,3.692005,2.941164,0.642529,0.199552,7.502618,4083315591739828.0
S24,4.002311,3.292737,0.809535,0.202465,7.502618,6149350797128462.0
S25,4.340854,3.665205,0.883244,0.168711,7.502618,8411071249045707.0
S26,6.677016,5.124844,0.684724,0.088171,17.574923,8411071249045707.0
S27,10.160561,7.116482,0.7325,0.009677,26.675009,8411071249045707.0
S28,10.35909,7.551546,0.49742,0.010616,26.675009,1.1147814502664366e+16
S29,10.556538,8.132691,0.385402,0.020265,26.675009,1.3789920823242448e+16
S30,10.471576,7.789669,0.373585,0.029895,26.675009,1.3789920823242448e+16
S31,10.391402,7.665957,0.332903,0.02464,26.675009,1.3789920823242448e+16
