Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,4.754679,4.084961,0.025754,-1.176771,7.816382,1.2237236461795982e+16
S2,4.805051,4.211907,0.183597,-1.406795,7.816382,1.2237236461795982e+16
S3,4.816116,4.297118,0.389251,-1.242339,7.816382,1.2237236461795982e+16
S4,4.678585,3.973411,0.245042,-1.058071,7.816382,1.2237236461795982e+16
S5,4.549348,3.853286,0.010021,-0.582743,7.816382,1.0103782365719342e+16
S6,4.401819,3.564416,-0.098956,-0.533224,7.816382,1.0103782365719342e+16
S7,4.504568,3.724189,-0.028251,-0.776256,7.816382,1.0103782365719342e+16
S8,4.523513,3.780537,-0.230656,-1.250874,7.816382,1.0103782365719342e+16
S9,4.419423,3.636875,-0.232769,-1.167602,7.816382,1.0103782365719342e+16
S10,3.874733,3.204136,-0.078812,-0.922983,6.925643,7170294377743128.0
S11,3.928381,3.240895,-0.258084,-1.426125,6.925643,5116066248294789.0
S12,3.440227,2.794159,-0.262199,-1.427346,6.925643,2599193489366502.0
S13,2.846242,2.365058,-0.355498,-1.994014,5.914671,0.499133
S14,2.744232,2.182907,-0.383863,-1.781748,5.914671,0.454844
S15,2.876411,2.354463,-0.489893,-1.36806,5.914671,0.470305
S16,2.906927,2.469669,-0.367882,-1.218433,5.914671,0.501971
S17,2.637453,2.138982,-0.292883,-2.204783,5.914671,0.470073
S18,2.945265,2.474151,-0.202155,-0.745707,5.914671,0.495587
S19,3.441742,2.760357,0.03128,-0.112066,7.256942,0.459033
S20,3.45865,2.78912,-0.031481,-0.153205,7.256942,0.438059
S21,3.406873,2.689151,0.099752,-0.082365,7.256942,0.41956
S22,3.609084,2.877984,0.293304,0.080391,7.256942,1835034871145197.8
S23,3.481903,2.794712,0.693662,0.288063,7.256942,3679789796112910.5
S24,3.752267,3.101588,0.803651,0.299004,7.256942,5566788994808424.0
S25,4.037017,3.408248,0.888252,0.28101,7.256942,7614553715847739.0
S26,6.515454,4.845699,0.682988,0.131764,17.721934,7614553715847739.0
S27,10.130676,6.83466,0.633842,0.015494,27.062128,7614553715847739.0
S28,10.297906,7.260433,0.537318,0.022269,27.062128,1.0078954559509406e+16
S29,10.507404,7.840638,0.399611,0.029364,27.062128,1.279514206094484e+16
S30,10.424129,7.46763,0.39032,0.038666,27.062128,1.279514206094484e+16
S31,10.371729,7.387201,0.348342,0.02833,27.062128,1.279514206094484e+16
S32,10.36921,7.37492,0.336992,0.031596,27.062128,1.279514206094484e+16
S33,10.407626,7.5527,0.320701,0.029844,27.062128,1.279514206094484e+16
S34,10.335812,7.349895,0.262468,0.015453,27.062128,1.0960107189799646e+16
S35,10.246448,7.060738,0.181295,-0.004112,27.062128,9115352264831934.0
S36,10.144011,6.680449,0.040863,-0.035016,27.062128,7228353066136420.0
S37,10.27761,6.884621,-0.092421,-0.103707,27.062128,5180588345097105.0
S38,9.221588,6.089743,0.036293,-0.060622,27.062128,5180588345097105.0
S39,5.006997,4.132087,0.300694,0.074243,8.1834,5180588345097105.0
S40,4.848286,3.996086,0.47186,0.116346,8.1834,2716187501435439.0
S41,5.11115,4.155803,0.589221,-0.026926,9.153977,0.461013
S42,5.343235,4.597333,0.611022,-0.089554,9.153977,0.489605
S43,5.031912,4.148771,0.599529,0.032133,9.153977,0.45679
S44,5.014741,4.099744,0.522092,-0.038077,9.153977,0.434689
S45,4.923936,3.854537,0.517018,-0.118566,9.153977,0.338512
S46,5.084658,4.069327,0.574336,0.01447,9.153977,1.679813
S47,5.069237,3.987107,0.562099,-0.036214,9.153977,1.659977
S48,5.070212,3.996587,0.551954,-0.022864,9.153977,1.661903
S49,4.704414,3.706697,0.505998,0.122858,9.153977,1.690259
S50,6.0606,4.321539,-0.033577,-0.275639,15.561503,5840231750259415.0
S51,6.889468,5.015487,-0.191736,-0.526897,15.561503,1.0305409545715784e+16
S52,7.019102,5.169386,-0.179226,-0.701693,15.561503,1.2850415709706298e+16
S53,6.723909,4.900357,-0.134996,-1.417815,15.561503,1.2850415709706298e+16
S54,6.878783,5.065293,-0.270013,-1.507117,15.561503,1.2850415709706298e+16
S55,7.463277,5.828771,-0.144231,-0.590045,15.561503,1.2850415709706298e+16
S56,7.795157,6.36766,-0.216439,-0.505616,15.561503,1.2850415709706298e+16
S57,7.900507,6.709389,-0.273128,-0.511385,15.561503,1.2850415709706298e+16
S58,7.903684,6.714348,-0.419317,-0.596465,15.561503,1.2850415709706296e+16
S59,8.185494,7.291982,-0.460828,-0.573635,15.561503,1.2850415709706296e+16
S60,8.183963,7.259085,-0.474177,-0.580245,15.561503,1.2850415709706296e+16
S61,8.23849,7.3492,-0.473806,-0.619093,15.561503,1.2850415709706296e+16
S62,6.947938,6.272478,-0.295403,-0.353001,11.897624,7010183959446883.0
S63,6.358578,5.855015,0.075415,-0.237102,10.070778,2545006163990513.5
S64,6.055762,5.36783,-0.072073,-0.600496,10.070778,0.704632
S65,6.036533,5.347805,-0.275121,-0.930561,10.070778,0.501289
S66,6.18009,5.456991,-0.254804,-0.883025,10.070778,0.503162
S67,7.375699,6.051261,-0.219304,-0.688556,17.202027,0.514813
S68,7.434552,6.104094,-0.228569,-0.658802,17.202027,0.511053
S69,7.326286,5.806226,-0.224799,-0.4937,17.202027,0.485463
S70,7.186718,5.48823,-0.084649,-0.296384,17.202027,0.469187
S71,6.872941,4.980376,0.031753,-0.141557,17.202027,0.444122
S72,6.964077,5.289618,0.111174,-0.064968,17.202027,0.540666
S73,6.780198,4.843168,0.290169,-0.009472,17.202027,0.466258
S74,6.897504,5.049873,0.494308,0.115641,17.202027,1922021548231591.0
S75,6.675074,4.754979,0.466294,0.142881,17.202027,1922021548231591.0
S76,6.696753,4.850922,0.540671,0.141087,17.202027,1922021548231591.0
S77,7.09446,5.202697,0.851381,0.14619,17.202027,1922021548231591.0
S78,6.80244,4.909871,0.742797,0.233263,17.202027,1922021548231590.8
S79,5.138755,4.108347,0.867165,0.430393,9.906628,1922021548231590.8
S80,4.504849,3.405072,0.886504,0.523314,9.906628,1922021548231590.8
S81,5.386269,4.186081,0.6974,0.385327,10.267445,1922021548231591.8
S82,5.790877,4.70272,0.613155,0.308805,10.267445,1922021548231592.2
S83,6.216763,5.256381,0.560638,0.245877,10.267445,1922021548231592.2
S84,6.639798,5.679212,0.491698,0.17228,10.267445,1922021548231593.0
S85,6.716587,5.959192,0.524271,0.170754,10.267445,1922021548231593.0
S86,6.572138,5.681329,0.441235,0.119139,10.267445,2.410464
S87,6.619531,5.762775,0.380217,0.060047,10.267445,2.359723
S88,6.723679,5.971056,0.458357,0.043316,10.267445,2.419903
S89,6.288435,5.603307,0.663281,-0.080229,10.267445,2.479083
S90,6.910865,6.105241,0.283499,-0.805962,11.195573,2.828455
S91,7.327272,6.418498,0.023439,-4.950972,11.342818,3.044957
S92,7.648025,7.040718,-0.071899,-11.644893,11.342818,3.241771
S93,7.065149,6.317095,-0.145214,-11.212777,11.342818,2.314653
S94,6.727962,5.718844,-0.241304,-9.507171,11.342818,2.12395
S95,6.384096,5.306345,-0.161286,-9.288484,11.342818,1.884373
S96,5.836307,4.585507,-0.22903,-9.865226,11.342818,1.265848
S97,5.76265,4.41302,-0.265022,-10.042029,11.342818,1.211789
S98,5.755028,4.386004,-0.594772,-24.076657,11.342818,1.221712
S99,5.648984,4.196401,-0.644474,-23.658909,11.342818,1.188412
S100,5.863414,4.407343,-0.673528,-24.75789,11.342818,1.272276
S101,6.64294,4.960481,-0.687161,-15.924191,12.131296,3.697896
