Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,5.578843,4.823633,-0.052257,-1.996805,8.43461,1.3883881578842488e+16
S2,5.663151,5.065321,0.095581,-2.343177,8.43461,1.3883881578842488e+16
S3,5.657773,5.047448,0.282908,-2.094557,8.43461,1.3883881578842488e+16
S4,5.442974,4.718649,0.184836,-1.785504,8.43461,1.3883881578842488e+16
S5,5.135426,4.378087,-0.02929,-1.016811,8.43461,1.132439640156524e+16
S6,4.913917,4.082452,-0.128765,-0.910719,8.43461,1.132439640156524e+16
S7,5.068004,4.392088,-0.05659,-1.248397,8.43461,1.132439640156524e+16
S8,5.148529,4.567237,-0.086551,-1.915856,8.43461,1.132439640156524e+16
S9,4.987425,4.381329,-0.068913,-1.760585,8.43461,1.132439640156524e+16
S10,4.488215,3.994438,0.155641,-1.580116,7.516896,8158887530480619.0
S11,4.350613,3.896271,-0.112497,-1.975685,7.516896,5612951883042279.0
S12,3.829462,3.46256,-0.101061,-2.007688,7.439012,2791860972600387.5
S13,3.261414,3.063176,-0.320082,-2.931172,5.605728,0.653876
S14,3.113604,2.826574,-0.374508,-2.580987,5.605728,0.596605
S15,3.130991,2.857084,-0.499499,-1.805785,5.605728,0.594404
S16,3.245386,3.001747,-0.41193,-1.765099,5.605728,0.645223
S17,3.176284,2.896034,-0.350183,-3.648018,5.605728,0.642558
S18,3.279896,3.018688,-0.233909,-1.164923,5.605728,0.638468
S19,3.542999,3.186506,0.027746,-0.178463,6.355325,0.586254
S20,3.428838,3.021227,-0.045881,-0.133411,6.355325,0.524393
S21,3.408479,2.999086,0.06913,-0.083386,6.355325,0.530149
S22,3.764607,3.242315,0.283686,-0.000572,6.71067,2518514430267182.0
S23,3.914184,3.335472,0.603557,0.100314,6.723616,5041887156162387.0
S24,4.321753,3.705676,0.753569,0.070075,6.754822,7576971643008556.0
S25,4.697339,4.060401,0.857369,0.026568,6.903101,1.0167705233950298e+16
S26,6.695281,5.390833,0.610422,0.083176,16.536879,1.0167705233950296e+16
S27,10.077169,7.407586,0.512805,0.025866,26.163359,1.0167705233950296e+16
S28,10.27129,7.764641,0.428663,0.027317,26.163359,1.3047672002560776e+16
S29,10.520505,8.31095,0.318457,0.026942,26.163359,1.6057671953812264e+16
S30,10.477462,8.111572,0.309592,0.028804,26.163359,1.6057671953812264e+16
S31,10.432438,8.031442,0.221859,0.016921,26.163359,1.6057671953812264e+16
S32,10.456641,8.150196,0.220101,0.015196,26.163359,1.6057671953812266e+16
S33,10.490022,8.247466,0.219742,0.014422,26.163359,1.6057671953812264e+16
S34,10.354939,7.967672,0.182115,0.011806,26.163359,1.3539157523545082e+16
S35,10.192781,7.597822,0.132579,0.006379,26.163359,1.1015784797649878e+16
S36,10.004993,7.062918,0.050251,-0.006841,26.163359,8480700310803709.0
