Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,3.443315,2.952625,0.275587,-1.766465,4.92724,7378587160219139.0
S2,3.203103,2.63801,0.348261,-1.266435,4.92724,7378587160219139.0
S3,3.214103,2.647567,0.365598,-1.268387,4.92724,7378587160219139.0
S4,3.300553,2.759826,0.26258,-1.497151,4.92724,7378587160219140.0
S5,3.338127,2.884602,0.289517,-1.794117,4.92724,7378587160219139.0
S6,3.488126,3.123107,0.336397,-2.257812,4.92724,7378587160219139.0
S7,3.811214,3.498308,0.455889,-4.116063,5.393965,7378587160219140.0
S8,3.541873,3.135258,0.466234,-2.11932,5.393965,5537413741622731.0
S9,3.353719,2.96958,0.40103,-2.214381,5.393965,3694842236634614.5
S10,3.107976,2.748504,0.302715,-2.377206,5.393965,1849193034490745.8
S11,3.141851,2.769454,-0.021436,-3.086172,5.393965,1.810649
S12,3.224282,2.865757,-0.018003,-3.300801,5.393965,1.825405
S13,3.2392,2.889691,-0.371302,-1.967511,5.393965,1.802014
S14,3.549338,3.257906,-0.011392,-1.848973,5.393965,1902092568754896.8
S15,3.441459,3.131992,-0.001181,-1.741099,5.393965,1902092568754896.8
S16,3.329951,2.952797,0.001242,-1.461848,5.393965,1902092568754896.8
S17,3.71791,3.306191,-0.045667,-1.638509,5.988966,4149751281784420.0
S18,3.952762,3.496941,-0.029678,-1.622632,5.988966,6351479266669640.0
S19,3.782547,3.351294,-0.007586,-1.570142,5.988966,6351479266669640.0
S20,3.919955,3.606011,0.023092,-2.406685,5.988966,6351479266669640.0
S21,4.081719,3.771378,0.0913,-2.412323,5.988966,8192652685266049.0
S22,4.14104,3.858811,0.039724,-2.712459,5.988966,8192652685266049.0
S23,3.864247,3.4671,-0.01827,-1.799425,5.988966,8192652685266048.0
S24,3.758113,3.283105,-0.219131,-1.615178,5.988966,8192652685266049.0
S25,3.709054,3.145855,-0.155671,-2.122519,5.988966,8192652685266048.0
S26,3.408311,2.725554,-0.103458,-1.474392,5.988966,6290560116511155.0
S27,3.358274,2.62023,-0.134885,-1.345411,5.988966,6290560116511155.0
S28,3.34782,2.573614,-0.29928,-1.205315,5.988966,6290560116511155.0
S29,2.900453,2.201585,0.077674,-0.523414,5.866582,4042901403481630.0
S30,2.414516,1.866901,0.402527,-0.122886,4.905871,1841173418596410.2
S31,2.173126,1.569455,0.681754,0.041594,4.905871,1841173418596410.2
S32,1.947984,1.38287,0.513784,0.063485,4.905871,1841173418596410.0
S33,1.355151,1.036912,0.420207,0.131254,3.314072,0.315179
S34,0.984762,0.824364,0.206381,0.014574,1.850371,0.155556
S35,1.014504,0.865409,0.204502,0.035798,1.850371,0.166561
S36,1.0032,0.854314,0.095367,-0.057293,1.850371,0.1555
S37,3.233545,1.700132,0.413853,-0.037998,10.660863,0.201738
S38,4.740056,2.698599,0.019883,-0.224296,12.006183,0.260233
S39,5.293233,3.302243,-0.11316,-0.407116,12.006183,0.290274
S40,5.352187,3.494939,-0.182035,-0.485355,12.006183,0.310547
S41,5.433831,3.667098,-0.141164,-0.542644,12.006183,0.328102
S42,5.41261,3.580693,-0.015827,-0.424559,12.006183,0.322919
S43,5.418396,3.646832,0.05115,-0.436995,12.006183,0.334262
S44,5.747504,4.097912,0.114768,-0.670835,12.006183,0.357239
S45,6.301729,4.78368,0.04636,-0.914847,12.006183,0.399679
S46,6.346952,4.947464,0.135289,-1.126948,12.006183,0.414092
S47,6.34669,4.945734,0.024006,-1.360338,12.006183,0.407017
S48,6.342282,4.907536,-0.055623,-1.35706,12.006183,0.401141
S49,5.700081,4.399651,-0.163533,-1.406896,12.006183,0.382531
S50,4.662462,3.723173,0.109721,-1.448725,8.983595,0.353405
S51,4.063822,3.222086,-0.102678,-1.121134,8.983595,0.335296
S52,4.308724,3.464081,-0.365134,-0.732864,8.983595,0.514102
