Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,4.40859,3.936451,0.299345,-3.534936,6.25952,9386576707731160.0
S2,4.238718,3.710232,0.337635,-2.968904,6.25952,9386576707731160.0
S3,4.253188,3.723556,0.371782,-2.97216,6.25952,9386576707731160.0
S4,4.350636,3.845694,0.252132,-3.338873,6.25952,9386576707731160.0
S5,4.394801,3.946355,0.268177,-3.843031,6.25952,9386576707731160.0
S6,4.546107,4.152293,0.310333,-4.533768,6.25952,9386576707731160.0
S7,4.899243,4.643431,0.423698,-7.454094,6.342509,9386576707731162.0
S8,4.556247,4.152733,0.429678,-4.161887,6.342509,7041378880583700.0
S9,4.325162,3.948441,0.364541,-4.346243,6.342509,4696181053436239.0
S10,4.02669,3.680511,0.262488,-4.6689,6.342509,2346983391809724.5
S11,4.02261,3.677878,-0.107338,-5.698251,6.342509,2.26665
S12,4.038738,3.696116,-0.126399,-5.747997,6.342509,2.252412
S13,3.944121,3.505494,-0.459205,-3.39964,6.342509,2.180863
S14,4.316867,3.878512,-0.095455,-3.214354,6.365599,2389008994442511.5
S15,4.223967,3.782028,-0.088235,-3.129338,6.365599,2389008994442511.5
S16,4.083829,3.588082,-0.107635,-2.702719,6.365599,2389008994442511.5
S17,4.49015,3.956235,-0.151695,-2.84842,6.940351,4993722509227548.0
S18,4.712265,4.138323,-0.087008,-2.727309,6.940351,7510179470004965.0
S19,4.551415,4.003716,-0.065007,-2.721186,6.940351,7510179470004965.0
S20,4.769223,4.38608,-0.040766,-4.042724,6.940351,7510179470004965.0
S21,4.979744,4.590373,0.01595,-4.078997,6.940351,9855377297152426.0
S22,5.081978,4.724081,-0.036127,-4.591244,6.940351,9855377297152426.0
S23,4.760454,4.277205,-0.065536,-3.248502,6.940351,9855377297152426.0
S24,4.691437,4.169466,-0.261992,-3.075429,6.940351,9855377297152426.0
S25,4.690393,4.16335,-0.193714,-3.99341,6.940351,9855377297152426.0
