Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,4.215611,4.020036,-0.38532,-0.056841,5.502936,1.05592
S2,3.902931,3.57788,-0.401948,-0.218711,5.502936,0.764328
S3,3.426815,3.016121,-0.500944,-0.550296,5.502936,0.34291
S4,5.09244,4.334995,-0.816813,-0.862813,9.336166,1.595682
S5,5.243542,4.46735,-0.45826,-0.688721,9.336166,4726575880183053.0
S6,5.645977,4.890883,-0.387255,-1.380859,9.336166,4726575880183054.0
S7,5.367047,4.222064,-0.159115,-2.392283,9.336166,4726575880183054.0
S8,5.360022,4.196378,-0.152948,-1.389672,9.336166,4726575880183054.0
S9,5.596549,4.658138,-0.040002,-1.562133,9.336166,4726575880183054.0
S10,4.83765,4.151621,0.694966,-0.747605,6.444133,9453151760366106.0
S11,4.83765,4.151621,0.694966,-0.747605,6.444133,9453151760366106.0
S12,4.810469,4.131076,0.990953,-0.591149,6.320865,1.4197592683678906e+16
S13,6.300791,5.744735,0.093006,-2.664142,9.971972,2.1682554580686572e+16
S14,6.341316,5.885971,-0.205576,-13.053418,9.971972,2.1682554580686572e+16
S15,6.117009,5.33657,-0.057363,-4.491849,9.971972,2.1682554580686572e+16
S16,5.563299,4.440536,-0.259741,-3.059942,9.971972,1.695597870050352e+16
S17,4.934736,3.43217,0.212739,-0.975657,9.971972,1.2229402820320466e+16
S18,4.264037,2.664258,-0.018717,-1.123722,9.971972,7484961897007665.0
S19,1.90909,1.584784,0.858309,0.008416,3.495126,0.333709
S20,1.962011,1.628055,0.869304,0.046894,3.495126,0.358478
S21,2.077448,1.795063,0.891321,-0.018142,3.495126,0.407029
S22,2.194022,1.968,0.932498,-0.096176,3.495126,0.451143
S23,2.434687,2.359699,0.479656,-13.975244,3.495126,0.563972
S24,2.375659,2.25913,0.623518,-5.389158,3.495126,0.541439
S25,1.924266,1.802458,0.808609,-2.718292,2.597064,0.421834
S26,1.632132,1.393057,0.609253,-1.3097,2.597064,0.313356
S27,1.762997,1.494036,0.128224,-0.164589,2.597064,0.288902
S28,1.895523,1.600466,0.201588,-0.14427,2.597064,0.33335
S29,1.575941,1.217132,0.100732,-0.096643,2.597064,0.224617
S30,2.539648,1.865959,-0.180356,-0.080119,5.002936,0.269946
S31,4.20419,3.113696,0.405424,-0.331299,8.241516,0.340914
S32,4.379255,3.607409,0.725248,-0.534366,8.241516,0.393688
S33,4.404766,3.65,0.189189,-0.183428,8.241516,0.47054
S34,5.08495,4.341053,-0.6,-0.089009,8.241516,5061583345674477.0
S35,5.781079,5.41544,-0.790444,-0.052847,8.241516,1.0123166691348952e+16
S36,5.992345,5.635095,-0.45379,-0.143644,8.241516,1.4867607614661754e+16
S37,5.851473,5.529838,-0.493776,-1.852783,7.609978,2.0579656955060028e+16
S38,8.62539,7.664387,0.695862,0.016966,15.810229,2.0579656955060028e+16
S39,13.632244,11.538786,0.68711,0.027258,26.004874,2.0579656955060028e+16
S40,13.596618,11.464399,0.690362,0.032335,26.004874,2.0244649489568604e+16
S41,13.5609,11.390013,0.70693,0.037413,26.004874,1.9909642024077172e+16
S42,13.314105,10.402712,0.661602,-0.001127,26.004874,1.5165201100764374e+16
S43,13.184121,10.151539,0.866037,-0.122768,26.004874,9453151760366106.0
S44,11.524982,7.849344,0.932964,0.01564,26.004874,9453151760366106.0
S45,7.318036,5.875896,-0.160117,-1.984368,14.164185,9453151760366106.0
S46,8.737503,7.039948,-0.307472,-4.19887,14.164185,4726575880183053.0
S47,8.376932,6.260581,-0.542709,-5.875212,14.164185,1.717339
S48,8.450032,6.651994,-0.556642,-5.754368,14.164185,1.769677
S49,8.228324,6.281612,-0.231245,-3.287257,14.164185,1.732253
S50,8.629707,7.061665,-0.52035,-2.059229,14.164185,1.730555
S51,6.998302,5.851456,-0.432454,-1.282654,13.281373,0.943381
S52,5.598688,5.038384,0.061065,-0.936888,8.402936,0.423774
S53,7.045884,6.535395,-0.518171,-4.394837,10.602936,0.470862
S54,7.810997,7.528295,-0.158797,-50.462515,10.602936,0.504007
S55,7.671232,7.12167,0.012559,-6.568038,10.602936,0.48942
S56,7.374914,6.712666,-0.704994,-2.953912,10.602936,0.515727
S57,7.240491,6.560268,-0.812853,-1.515179,10.602936,0.624272
S58,7.063451,6.400467,-0.528308,-0.541632,10.602936,4.66463
S59,5.610455,4.864939,-0.380751,-0.661529,8.702936,4.59516
S60,4.431064,3.775151,0.048985,-2.117522,7.444133,4.553112
S61,4.977431,4.491256,0.399915,-3.828092,7.444133,4.714344
S62,5.398577,4.893603,0.559974,-2.852279,7.444133,4982061992882893.0
S63,5.488126,4.971926,0.672701,-2.275741,7.444133,9829799784493730.0
S64,5.24333,4.780748,0.754495,-1.898355,6.63744,1.4556375664676778e+16
S65,5.554068,5.331964,0.834463,-3.398432,6.63744,1.4556375664676778e+16
S66,6.52001,6.411372,0.118009,-0.440316,8.64066,1.4556375664676778e+16
S67,7.038114,6.899132,0.741613,0.232134,8.664079,1.4556375664676778e+16
S68,6.626304,6.327596,0.744158,0.309024,8.664079,9574313671793888.0
S69,6.086556,5.373836,0.640535,0.254788,8.664079,4726575880183053.0
S70,5.522589,4.425696,0.467243,-0.019834,8.664079,0.719296
S71,5.384403,4.244223,-0.173141,-2.251822,8.664079,0.272073
S72,4.158955,3.157339,0.185558,-0.386835,8.664079,0.218257
S73,2.377395,2.093269,0.732428,0.336554,3.608226,0.206762
S74,3.227764,2.597948,0.119143,-0.519464,6.2363,0.295048
S75,5.072735,4.077608,-0.336183,-0.696378,9.61388,0.374746
S76,5.152186,4.357907,-0.264664,-0.737461,9.61388,0.404327
S77,5.097758,4.274866,-0.136634,-0.536665,9.61388,0.477458
S78,6.226494,5.423345,-0.202177,-0.532784,9.61388,0.524237
S79,9.985287,8.252838,-0.424592,-0.960829,19.256616,0.584353
S80,10.479563,8.876643,-0.403997,-1.45403,19.256616,0.559635
S81,9.718472,7.347237,-0.241929,-0.752358,19.256616,0.479308
S82,10.412266,8.538283,-0.448936,-0.725992,19.256616,0.755298
S83,10.355448,8.288283,-0.470591,-0.813679,19.256616,0.684836
S84,10.139575,8.018541,-0.533181,-0.56282,19.256616,0.969822
S85,6.779191,5.717339,-0.561882,-1.583975,9.979135,0.997755
S86,8.761299,6.864847,-0.760066,-14.725108,16.864185,1.265825601202913e+16
S87,9.233267,7.983909,-0.564543,-17.420958,16.864185,1.265825601202913e+16
S88,8.396872,6.536936,-0.582849,-5.156662,16.864185,1.265825601202913e+16
S89,9.119761,7.745912,-0.450246,-0.977937,16.864185,1.265825601202913e+16
S90,9.830962,8.45406,-0.6664,-0.777195,16.864185,1.265825601202913e+16
S91,11.008777,9.762982,-0.732765,-0.87877,16.864185,1.265825601202913e+16
S92,8.820926,7.77038,-0.328325,-1.042403,13.302936,0.876627
S93,9.23384,8.210374,-0.481314,-0.93741,13.302936,2.193264
S94,9.341388,8.675194,-0.23994,-0.493011,13.302936,2.366064
S95,8.90095,8.116218,-0.664135,-0.367914,13.302936,2.727214
S96,9.265133,8.382158,-0.592998,-0.805567,13.302936,4.458401
S97,8.692489,7.954386,-0.479362,-4.951509,13.2363,4.828898
S98,8.804784,8.134666,0.429269,-8.747386,13.2363,4.864487
S99,7.898096,6.87587,0.287986,-7.837074,13.2363,3.119044
S100,7.782527,6.501483,0.150651,-7.741333,13.2363,2.977728
S101,7.486387,5.882664,0.02483,-8.604224,13.2363,2.606986
S102,5.408234,4.309458,0.549032,-5.52677,10.7363,1.021749
S103,3.328192,2.936252,0.923265,-1.496663,5.990261,0.647652
S104,2.587461,2.454052,0.613995,-5.287984,3.797064,0.701605
S105,2.553989,2.413408,0.635761,-4.858858,3.797064,0.693136
S106,2.586356,2.470108,0.883788,-2.997553,3.797064,0.693913
S107,3.97009,3.436207,0.11474,-7.789005,7.593661,1.010873
S108,4.097583,3.559617,0.235833,-8.753859,7.593661,0.879712
S109,4.681548,4.157173,0.082242,-13.096982,7.593661,0.981386
S110,4.995051,4.519658,-0.534114,-23.328803,7.593661,1.00703
S111,4.944978,4.353314,-0.401765,-23.665202,7.593661,0.979005
S112,5.012999,4.51328,0.105717,-26.053998,7.593661,1.051978
S113,4.621939,4.234481,0.574786,-5.249845,6.082399,3.135486
S114,4.431065,4.011071,0.463665,-6.356745,6.082399,3.185395
S115,3.680391,3.110527,0.145389,-2.246538,5.920865,2.990371
S116,2.986016,2.255309,0.426019,-0.749722,5.920865,2.806973
S117,3.038739,2.372954,0.261444,-0.32608,5.920865,2.811097
S118,2.951836,2.257266,0.083111,-0.072301,5.920865,2.73279
S119,2.470129,2.004278,-0.141347,-0.178156,4.402936,0.334344
S120,2.185056,1.721923,-0.557549,-1.777201,4.402936,0.194573
S121,2.167802,1.62589,-0.429148,-1.374417,4.402936,0.181084
S122,2.604889,2.192557,0.462783,-2.302367,4.402936,0.236543
S123,3.379376,2.83232,0.677167,-2.182833,5.541516,0.27803
S124,3.294285,2.592257,-0.000116,-1.63619,5.541516,0.250211
