Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,4.161828,3.998999,0.016272,-0.030047,5.390989,1.019665
S2,3.934345,3.650925,-0.394057,-0.238408,5.390989,0.769869
S3,3.531315,3.205025,-0.772972,-0.64629,5.390989,0.377203
S4,4.087113,3.807602,-0.414758,-0.199916,5.390989,1.063616
S5,4.287188,3.951479,-0.104962,-0.128895,6.254254,4694442631419344.0
S6,4.68939,4.302408,-0.044575,-0.642435,6.254254,4694442631419345.0
S7,4.331294,3.590605,0.800682,-1.20931,6.254254,4694442631419345.0
S8,4.293409,3.453232,0.849844,-0.533239,6.254254,4694442631419345.0
S9,4.708318,3.972727,0.863396,-0.813395,6.254254,4694442631419345.0
S10,4.986689,4.197765,0.885868,-0.856945,6.671462,9702041430867670.0
S11,4.997589,4.206429,0.891564,-0.865071,6.671462,9741060802622146.0
S12,5.013152,4.218925,0.949616,-0.728056,6.671462,1.444868237641064e+16
S13,5.710186,5.313005,0.931046,-2.00942,6.69814,1.9476305606849988e+16
S14,5.790073,5.595664,0.601692,-10.71632,6.69814,1.9476305606849988e+16
S15,5.418976,4.947468,0.885622,-3.309976,6.69814,1.9476305606849988e+16
S16,4.750735,4.157593,0.925944,-1.960579,6.69814,1.4468706807401662e+16
S17,4.134514,3.544889,0.795992,-0.38686,6.69814,9735244804227842.0
S18,3.265157,2.642758,0.494705,-0.245271,6.69814,5027623230439347.0
S19,1.920135,1.815992,0.531527,-0.003091,2.630012,0.326707
S20,1.763598,1.675451,0.678427,0.229917,2.630012,0.304514
S21,1.797584,1.718854,0.754004,0.237699,2.630012,0.329341
S22,1.779597,1.70175,0.920491,0.278824,2.630012,0.337467
S23,1.79533,1.712315,0.51826,-7.142849,2.693406,0.414515
S24,1.793722,1.708915,0.839472,-2.642382,2.693406,0.410452
S25,1.751769,1.662372,0.860104,-2.081535,2.693406,0.383222
S26,1.621769,1.417133,0.596257,-1.280465,2.693406,0.315799
S27,1.906615,1.644784,-0.213009,-0.362058,2.890373,0.312796
S28,1.979583,1.714346,-0.003776,-0.24801,2.890373,0.346248
S29,1.646118,1.267617,-0.037809,-0.196485,2.890373,0.225285
S30,2.696456,2.010871,-0.274267,-0.217619,5.298141,0.281926
S31,4.267037,3.139631,0.522688,-0.371399,8.230857,0.331844
S32,4.406708,3.563347,0.546351,-0.553664,8.230857,0.376182
S33,4.426623,3.592875,0.078635,-0.195201,8.230857,0.459618
S34,5.271751,4.445699,-0.637887,-0.170491,8.230857,5527343009273029.0
S35,5.949692,5.569544,-0.757212,-0.115158,8.230857,1.0598475469924054e+16
S36,6.125745,5.751439,-0.445194,-0.19513,8.230857,1.5394439948271728e+16
S37,5.93513,5.603842,-0.382723,-1.934937,7.3639,2.0907804243295972e+16
S38,8.410189,7.627624,0.886127,0.065407,14.843415,2.0907804243295972e+16
S39,13.252078,11.328544,0.838975,0.080756,25.27306,2.0907804243295972e+16
S40,13.208027,11.246672,0.870504,0.086857,25.27306,2.0539083782311004e+16
S41,13.175062,11.180353,0.864067,0.091409,25.27306,2.0240410935997908e+16
S42,12.916173,10.206329,0.827132,0.057822,25.27306,1.5444446457650234e+16
S43,12.802844,9.988551,0.818222,-0.058768,25.27306,9931082162625994.0
S44,11.318505,7.905565,0.854004,0.050595,25.27306,9931082162625994.0
S45,5.781167,5.093861,-0.210794,-0.862492,8.402836,9931082162625994.0
S46,7.132804,6.002975,-0.261611,-2.464614,12.32735,4772459614337933.0
S47,7.049113,5.905121,-0.555491,-3.868386,12.32735,1.481533
S48,7.062443,6.013258,-0.602034,-3.718217,12.32735,1.49377
S49,7.143991,6.105001,-0.451769,-2.231756,12.32735,1.488342
S50,7.500467,6.72546,-0.679254,-1.310982,12.32735,1.466233
S51,7.070327,6.282455,-0.749007,-1.32988,12.32735,1.020075
S52,5.872188,5.507241,-0.779695,-1.130747,7.676066,0.536394
S53,6.711647,6.184221,-0.527571,-3.895144,9.832947,0.428718
S54,7.365494,7.239647,-0.292437,-44.759559,9.832947,0.484705
S55,6.856717,6.143875,-0.379596,-5.046242,9.832947,0.40927
S56,6.584752,5.775626,-0.812686,-2.152042,9.832947,0.433676
S57,6.557895,5.744396,-0.879159,-1.063297,9.832947,0.542755
