Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,2.863573,2.202819,,-0.321583,6.129228,4600598422098832.0
S2,3.055109,2.436152,,-0.408918,6.129228,4600598422098832.0
S3,3.369326,2.869486,,-0.615036,6.129228,4600598422098832.0
S4,3.429308,3.002819,,-0.713129,6.129228,4600598422098832.0
S5,3.422212,2.969486,,-0.682088,6.129228,4600598422098832.0
S6,3.375662,2.895895,,-2.787144,6.129228,4600598422098832.0
S7,2.303889,2.044674,0.598366,-2.711821,3.629228,0.61734
S8,3.152322,2.544674,0.47678,-1.561117,6.129228,4600598422098833.0
S9,3.742079,2.961341,0.46944,-1.436155,6.129228,9201196844197664.0
S10,4.432164,3.661341,0.547058,-1.840906,6.129228,1.3801795266296496e+16
S11,5.08324,4.578007,0.769608,-3.479082,6.129228,1.840239368839533e+16
S12,5.192012,4.794674,0.87831,-4.494886,6.129228,1.840239368839533e+16
S13,5.311592,5.112562,,-12.598451,6.129228,1.840239368839533e+16
S14,4.738158,4.379228,,-5.860242,6.129228,1.3801795266296496e+16
S15,4.346801,4.029228,,-6.103264,6.129228,9201196844197664.0
S16,3.776963,3.529228,,-6.881466,6.129228,4600598422098832.0
S17,2.897235,2.762562,,-10.012496,4.029228,0.952686
S18,2.954978,2.812562,,-9.630643,4.029228,0.993331
S19,3.520969,3.245895,,-5.660201,5.529228,2.376663
S20,3.454821,3.036152,,-2.273816,5.529228,2.32305
S21,3.222134,2.802819,,-2.07038,5.529228,2.128472
S22,3.083138,2.636152,,-1.829791,5.529228,2.043344
S23,3.674345,3.236152,,-2.359108,5.529228,2.842808
S24,3.534271,3.069486,,-2.116492,5.529228,2.733669
S25,2.748225,2.309743,,-0.795422,5.129228,1.220561
S26,3.711744,3.252819,,-1.651131,6.129228,4600598422098833.0
S27,3.789841,3.352819,,-1.769195,6.129228,4600598422098833.0
S28,3.722784,3.202819,,-1.488545,6.129228,4600598422098833.0
S29,3.966804,3.369486,,-1.436574,6.129228,9201196844197664.0
S30,4.574998,3.969486,,-1.740306,6.129228,1.3801795266296496e+16
S31,4.845546,4.479228,,-5.873673,6.129228,1.3801795266296496e+16
S32,4.633984,4.299882,-0.14791,-6.315074,6.129228,9201196844197664.0
S33,5.098731,4.783216,-0.021151,-7.373393,6.129228,1.3801795266296496e+16
S34,5.40039,5.333216,0.241164,-37.943308,6.129228,1.3801795266296496e+16
S35,4.794956,4.433216,-0.106697,-5.969498,6.129228,9201196844197664.0
S36,4.190299,3.783216,-0.272626,-4.559941,6.129228,4600598422098833.0
S37,3.859987,3.199882,-0.350242,-2.28988,6.129228,4600598422098833.0
S38,3.267183,2.429228,,-1.236275,6.129228,4600598422098833.0
S39,2.27351,1.762562,,-1.506445,4.529228,0.706587
S40,1.340351,1.095895,,-2.016581,2.229228,0.250543
S41,1.378044,1.152819,,-0.50053,2.229228,0.252823
S42,1.108074,0.943076,,-0.059487,2.129228,0.180345
S43,1.116752,0.959743,,-0.066687,2.129228,0.183661
S44,1.287954,1.159743,,-0.160695,2.129228,0.231452
S45,0.954977,0.843076,,-0.029841,1.629228,0.14921
S46,1.056946,0.959743,,-0.07503,1.629228,0.17527
S47,1.193489,1.069486,,-0.640926,1.729228,0.215984
S48,1.127361,0.932165,0.717724,-1.211403,1.729228,0.196962
S49,4.285406,2.518435,0.727035,-0.010453,10.146847,0.280387
S50,6.133345,4.058692,0.302144,-0.298364,10.870772,0.326622
S51,6.849178,5.265616,0.134102,-0.632373,10.870772,0.4117
S52,6.898997,5.455873,0.060345,-0.996646,10.870772,0.416375
S53,6.930696,5.562797,-0.045681,-1.819113,10.870772,0.39736
S54,6.979774,5.876527,0.488864,-1.209176,10.870772,0.476084
S55,5.619214,4.240257,,-0.607331,10.870772,0.383051
S56,3.6955,2.972639,0.415161,-0.307697,7.470772,0.322985
S57,3.115039,2.671687,0.86615,0.140885,5.66506,0.298395
S58,2.960984,2.287504,0.803545,0.225435,5.66506,0.253228
S59,2.799277,1.922059,0.886616,0.333489,5.66506,0.210982
S60,2.677112,1.637504,0.855559,0.206906,5.66506,0.136747
