Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,2.88281,2.053788,-0.412049,-0.339398,6.260093,4698825371837442.0
S2,3.079727,2.283893,-0.510204,-0.431715,6.260093,4698825371837442.0
S3,3.367218,2.731244,-0.462217,-0.613016,6.260093,4698825371837442.0
S4,3.431653,2.910224,-0.447576,-0.715472,6.260093,4698825371837442.0
S5,3.433872,2.930565,-0.495418,-0.69357,6.260093,4698825371837442.0
S6,3.364349,2.82016,-0.6796,-2.761801,6.260093,4698825371837442.0
S7,2.222483,1.936002,0.459868,-2.454148,3.413625,0.589979
S8,3.045781,2.403099,0.400344,-1.390923,6.044174,4536756615632477.0
S9,3.636416,2.824858,0.421329,-1.30052,6.044174,8998456759382048.0
S10,4.306913,3.518201,0.534239,-1.68261,6.044174,1.3442630344855422e+16
S11,4.972688,4.462928,0.756955,-3.286375,6.103973,1.8024272345405664e+16
S12,5.113531,4.733827,0.976178,-4.330022,6.103973,1.8024272345405664e+16
S13,5.23721,5.063209,0.761635,-12.220262,6.103973,1.8024272345405664e+16
S14,4.676589,4.353275,0.730292,-5.683111,6.103973,1.3487515729773186e+16
S15,4.310913,4.021159,0.637332,-5.986456,6.103973,9025815586023616.0
S16,3.74379,3.495276,0.087652,-6.743626,6.103973,4581642000550242.0
S17,2.829862,2.661389,-0.283918,-9.506281,3.951482,0.9248
S18,2.773341,2.613263,-0.005429,-8.363922,3.951482,0.929066
S19,3.204426,2.942119,0.485711,-4.516496,4.904576,2.138769
S20,3.14727,2.811896,-0.142133,-1.716884,4.904576,2.096506
S21,2.861145,2.536985,0.150345,-1.420944,4.904576,1.892516
S22,2.71924,2.359733,0.212637,-1.201221,4.904576,1.809793
S23,3.289621,2.954027,0.177754,-1.6925,4.904576,2.54765
S24,3.151998,2.7863,0.243108,-1.478781,4.904576,2.445043
S25,2.511053,2.220345,-0.585428,-0.498903,4.666418,1.118079
S26,3.283161,2.932676,0.450842,-1.074242,5.277219,3961080321414587.5
S27,3.38342,3.057534,0.332821,-1.207108,5.277219,3961080321414587.5
S28,3.331231,2.922401,0.376225,-0.992596,5.277219,3961080321414587.5
S29,3.591397,3.096004,0.309125,-0.997216,5.708035,8245530772688832.0
S30,4.129502,3.644731,0.409286,-1.232608,5.708035,1.2322714926035752e+16
S31,4.322838,3.972563,0.676309,-4.47068,5.708035,1.2322714926035752e+16
S32,4.243805,3.905888,0.288924,-5.135085,5.708035,8361634604621165.0
S33,4.676306,4.346883,0.228387,-6.043411,5.708035,1.2637901332647942e+16
S34,4.938136,4.862892,0.16326,-31.561817,5.708035,1.2637901332647942e+16
S35,4.357131,3.981886,0.261573,-4.754843,5.697132,8353450881373696.0
S36,3.819101,3.370546,-0.033412,-3.618517,5.697132,4276266728026777.5
S37,3.545881,2.806062,-0.313709,-1.776237,5.697132,4276266728026777.5
S38,2.934209,2.004509,-0.037397,-0.803683,5.697132,4276266728026776.5
S39,1.875969,1.285649,0.212726,-0.706538,3.987275,0.566041
S40,0.934848,0.648209,0.161996,-0.467439,1.763862,0.15554
S41,1.14284,0.855311,0.030862,-0.032024,1.763862,0.181048
S42,1.012074,0.759973,0.687835,0.116141,1.664614,0.133647
S43,1.025138,0.81338,0.461231,0.101149,1.664614,0.143405
S44,1.185667,1.045542,0.144164,0.016346,1.664614,0.195526
S45,1.046579,0.853074,-0.275153,-0.236881,1.664614,0.144334
S46,1.121371,0.992579,-0.512169,-0.210079,1.664614,0.173496
S47,1.089097,0.970252,0.111542,-0.366424,1.53065,0.192942
S48,0.97674,0.799406,0.834284,-0.65997,1.53065,0.169241
S49,4.198114,2.399413,0.841713,0.030293,10.009417,0.257941
S50,6.059518,3.956371,0.675667,-0.267295,10.802572,0.309744
S51,6.79864,5.17731,0.587304,-0.608373,10.802572,0.395853
S52,6.852068,5.397114,0.451088,-0.969575,10.802572,0.407312
S53,6.882097,5.507815,0.027018,-1.779715,10.802572,0.392369
S54,6.929429,5.811274,0.40916,-1.177422,10.802572,0.468886
S55,5.602049,4.246341,-0.282122,-0.597526,10.802572,0.385592
S56,3.658017,2.937068,0.364502,-0.281304,7.554798,0.321664
S57,2.488414,2.300244,0.89465,0.451761,3.733853,0.273216
S58,2.376709,2.156192,0.797216,0.500958,3.733853,0.256955
S59,2.286429,2.042676,0.835054,0.555337,3.733853,0.249961
S60,2.222524,1.959827,0.7585,0.453381,3.733853,0.207384
S61,2.700927,2.491533,0.38063,0.006431,3.810058,0.24837
S62,2.869413,2.630976,0.236927,-0.192114,3.810058,0.264244
S63,2.597794,2.382523,-0.470938,-0.643311,3.810058,0.285697
S64,3.76803,3.280479,-0.93416,-0.594092,6.841909,0.752287
S65,4.467898,4.040277,-0.972373,-0.660857,6.841909,1.121082
S66,4.770589,4.518353,-0.974293,-0.780908,6.841909,1.260056
S67,5.12426,4.876566,-0.899487,-2.029289,6.841909,1.493383
S68,5.628148,5.38643,-0.739073,-21.967527,6.842775,1.857924
S69,6.190058,6.12907,-0.316935,-87.140926,6.842775,2.277768
S70,5.760574,5.655753,-0.471935,-75.33428,6.842775,1.962248
S71,5.414958,5.260581,-0.528816,-78.666697,6.842775,1.733674
S72,5.156652,4.803646,-0.647799,-4.83244,6.842775,1.587466
S73,5.772525,5.262429,-0.498624,-0.357789,8.712034,1.384972
S74,5.079713,4.340053,-0.411878,-0.166567,8.712034,0.995129
S75,4.37279,3.588063,-0.070494,-0.016054,8.712034,0.57847
S76,4.098649,3.16154,0.166978,0.016408,8.712034,0.441923
S77,4.055928,3.112535,0.241926,0.02902,8.712034,0.423415
S78,4.043768,3.080139,0.340934,0.05578,8.712034,0.436349
S79,2.097133,1.96868,0.632692,-4.242611,3.407495,0.406464
S80,3.835815,3.079808,-0.771057,-4.911666,7.975294,1.396387
S81,3.922687,3.210475,-0.783691,-5.513216,7.975294,1.435258
S82,3.987712,3.348889,-0.792985,-2.093745,7.975294,1.434591
S83,3.767495,2.975628,-0.811155,-1.955719,7.975294,1.31427
S84,3.924281,3.245662,-0.539107,-1.874174,7.975294,1.433961
S85,3.848896,3.040422,-0.605089,-1.793777,7.975294,1.398817
S86,2.107251,1.905882,0.018328,-0.515531,3.043086,0.413781
S87,2.340981,2.057607,0.491172,-0.363609,3.881391,0.554942
S88,2.644979,2.308143,-0.326761,-3.6288,3.881391,0.72893
S89,2.601703,2.120405,0.666788,-1.112152,3.881391,0.692407
S90,2.388014,1.895224,0.623752,-0.878605,3.881391,0.5758
S91,2.85156,2.410383,0.702297,-1.385351,3.902795,0.761026
S92,3.507514,3.071926,0.949135,-1.522041,5.137304,1.501968
S93,3.206445,2.710656,0.778706,-1.251378,5.137304,1.316634
S94,2.812207,2.107975,0.467561,-0.718411,5.137304,1.103975
S95,2.928718,2.435016,0.222657,-1.881542,5.137304,1.190948
S96,3.034654,2.582915,-0.341565,-3.076336,5.137304,1.254179
S97,2.61808,2.107499,-0.029458,-1.699446,5.137304,1.076178
S98,1.570188,1.291687,0.061683,-1.763313,2.579394,0.304533
S99,1.746458,1.429167,0.245,-1.47697,2.579394,0.365504
S100,3.116723,2.45663,0.111619,-1.609721,6.325254,4747735586714875.0
S101,3.394777,2.765545,0.180246,-1.896414,6.325254,4747735586714875.0
S102,3.705164,3.078681,0.26909,-2.097177,6.325254,4747735586714875.0
S103,3.769029,3.235594,-0.277035,-3.056162,6.325254,4747735586714875.0
S104,3.841536,3.501135,-0.757906,-6.121535,6.325254,4747735586714875.0
