Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,2.819206,1.893722,-0.303097,-0.280947,6.114681,4589678866149589.0
S2,2.974489,2.082769,-0.389405,-0.335541,6.114681,4589678866149589.0
S3,3.249935,2.587136,-0.365353,-0.502607,6.114681,4589678866149589.0
S4,3.292249,2.729763,-0.340386,-0.578929,6.114681,4589678866149589.0
S5,3.291909,2.716291,-0.3631,-0.556433,6.114681,4589678866149589.0
S6,3.167927,2.513413,-0.897437,-2.335372,6.114681,4589678866149589.0
S7,1.983053,1.640523,0.364768,-1.749999,3.212745,0.514059
S8,2.724037,2.056337,0.522807,-0.912469,5.441485,4084378320504636.0
S9,3.299531,2.450648,0.514101,-0.894015,5.57861,8271682601754664.0
S10,3.908889,3.104381,0.621849,-1.209693,5.57861,1.226544221668028e+16
S11,4.582515,4.073652,0.724902,-2.64012,5.858502,1.6662833679701912e+16
S12,4.694173,4.319834,0.880221,-3.491645,5.858502,1.6662833679701912e+16
S13,4.786272,4.58215,0.376444,-10.041673,5.858502,1.6662833679701912e+16
S14,4.27865,3.910963,0.45335,-4.594148,5.858502,1.2578455359197274e+16
S15,3.816713,3.472327,0.246519,-4.476428,5.858502,8391151077947248.0
S16,3.261483,2.948021,-0.041407,-4.876944,5.858502,4397391463021632.0
S17,2.225403,2.048513,0.19802,-5.49734,2.946794,0.716015
S18,2.302592,2.106453,0.113418,-5.454837,3.189948,0.757148
S19,2.840429,2.490329,0.11138,-3.334418,4.754495,1.950172
S20,2.839355,2.488163,-0.276402,-1.211275,4.754495,1.931986
S21,2.737241,2.379526,-0.341114,-1.215802,4.754495,1.807397
S22,2.626991,2.198226,-0.40297,-1.054403,4.754495,1.731865
S23,3.145655,2.831898,-0.184526,-1.46199,4.754495,2.425727
S24,2.967978,2.619016,-0.125663,-1.197797,4.754495,2.309792
S25,2.386775,2.157089,-0.359177,-0.354206,4.263488,1.035647
S26,3.069684,2.745473,0.153479,-0.81327,4.931677,3701716336073407.5
S27,3.172178,2.865898,0.062177,-0.940112,4.931677,3701716336073406.5
S28,3.14692,2.763621,0.125307,-0.778202,4.931677,3701716336073406.5
S29,3.428771,2.955159,0.038765,-0.820435,5.41272,7764503501482128.0
S30,3.907144,3.464938,0.187122,-0.998646,5.41272,1.1495976513924124e+16
S31,4.023393,3.647163,0.522416,-3.739017,5.41272,1.1495976513924124e+16
S32,3.987215,3.617236,0.204838,-4.415631,5.41272,7794260177850719.0
S33,4.360783,3.993342,0.124728,-5.125002,5.41272,1.1753039176739176e+16
S34,4.635286,4.560808,0.304388,-27.690334,5.41272,1.1753039176739176e+16
S35,4.075489,3.691999,0.350091,-4.03491,5.274153,7690252011330451.0
S36,3.56678,3.059796,-0.083875,-3.028404,5.274153,3958778998888455.5
S37,3.348511,2.65343,-0.387827,-1.475778,5.274153,3958778998888455.5
S38,2.733412,1.923034,-0.138112,-0.565267,5.274153,3958778998888454.5
S39,1.750177,1.238814,-0.212696,-0.485349,3.878248,0.539002
S40,0.794205,0.703826,0.109513,-0.059114,1.178101,0.154909
S41,1.142092,1.007232,0.098976,-0.030673,2.020302,0.195506
S42,1.221883,1.07544,0.408119,-0.288302,2.020302,0.182422
S43,1.194037,0.978983,0.30667,-0.219437,2.020302,0.16523
S44,1.254532,1.086135,0.059086,-0.101237,2.020302,0.191924
S45,1.167683,0.945068,-0.129833,-0.539692,2.020302,0.152331
S46,1.152744,0.915104,-0.384364,-0.278735,2.020302,0.149057
S47,0.93398,0.771506,0.108845,-0.00491,1.587349,0.146182
S48,0.693416,0.575811,0.698404,0.163378,1.158714,0.119514
S49,4.175169,2.246782,0.871422,0.040863,10.085178,0.219586
S50,6.130193,3.918212,0.750992,-0.29703,11.041234,0.290328
S51,6.889837,5.149511,0.705315,-0.651811,11.041234,0.375708
S52,6.973136,5.514286,0.620108,-1.03979,11.041234,0.411585
S53,7.043437,5.770082,0.444079,-1.911575,11.041234,0.420508
S54,7.078352,5.996037,0.622113,-1.272019,11.041234,0.48182
S55,5.759561,4.374725,-0.071125,-0.688623,11.041234,0.390217
S56,3.635121,2.77937,0.395174,-0.265315,7.710215,0.302897
S57,2.151157,1.963601,0.874781,0.590297,2.815606,0.241691
S58,1.860984,1.588517,0.894386,0.694036,2.815606,0.197765
S59,1.533646,1.267376,0.982657,0.799937,2.815606,0.163205
S60,1.375933,1.074724,0.978048,0.790499,2.815606,0.107016
S61,2.324252,1.782228,0.674211,0.264235,4.602328,0.167772
S62,3.00178,2.350627,0.44167,-0.304635,4.879493,0.221454
S63,2.881433,2.201058,-0.636211,-1.02175,4.879493,0.244261
S64,3.940267,3.229444,-0.96788,-0.743155,6.596995,0.713736
S65,4.417961,3.927364,-0.900755,-0.623938,6.596995,1.02576
S66,4.662591,4.44218,-0.906254,-0.701187,6.596995,1.160526
S67,5.132417,4.839326,-0.69791,-2.03894,6.985204,1.431914
S68,5.874481,5.448286,-0.396314,-24.022014,8.533253,1.884048
S69,6.543396,6.347859,-0.161636,-97.490538,8.533253,2.358079
S70,6.103956,5.779968,-0.392669,-84.705948,8.533253,2.023714
S71,5.97401,5.602495,-0.671591,-95.965782,8.533253,1.878642
S72,5.873167,5.411599,-0.685364,-6.565876,8.533253,1.777134
S73,6.410837,5.814611,-0.556442,-0.674674,9.403273,1.531464
S74,5.405663,4.59994,-0.526538,-0.32108,9.403273,1.035695
S75,4.708269,3.938393,-0.378533,-0.177937,9.403273,0.610808
S76,4.579076,3.694241,-0.480723,-0.227691,9.403273,0.519395
S77,4.44539,3.514119,-0.256199,-0.166405,9.403273,0.464217
S78,4.339234,3.249668,-0.117584,-0.087244,9.403273,0.445174
