Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,2.890965,1.9462,-0.379032,-0.346987,6.393169,4798712241020140.0
S2,3.095053,2.193996,-0.438634,-0.446,6.393169,4798712241020140.0
S3,3.412842,2.714249,-0.445743,-0.657023,6.393169,4798712241020140.0
S4,3.471165,2.882993,-0.423388,-0.755203,6.393169,4798712241020140.0
S5,3.474776,2.936462,-0.524172,-0.734157,6.393169,4798712241020140.0
S6,3.401263,2.81,-0.891037,-2.844804,6.393169,4798712241020140.0
S7,2.21232,1.896058,0.307138,-2.422628,3.548385,0.58446
S8,2.909683,2.300073,0.611397,-1.182025,5.63255,4227791768733736.0
S9,3.507534,2.703248,0.532834,-1.14034,5.967434,8706947458004751.0
S10,4.187653,3.396388,0.573016,-1.536102,5.967434,1.3101509457593112e+16
S11,4.863259,4.342233,0.66471,-3.099799,6.070014,1.765766189816321e+16
S12,4.979419,4.585579,0.850833,-4.054109,6.070014,1.765766189816321e+16
S13,5.094749,4.899418,0.349556,-11.510818,6.070014,1.765766189816321e+16
S14,4.595317,4.233932,0.352031,-5.452845,6.070014,1.3429870129429474e+16
S15,4.149127,3.821506,0.14182,-5.4719,6.070014,8950714440158459.0
S16,3.552311,3.277118,-0.049898,-5.971775,6.070014,4556152440570098.0
S17,2.563011,2.388576,-0.070426,-7.618258,3.492875,0.832299
S18,2.507201,2.340363,0.175185,-6.652964,3.492875,0.834175
S19,2.983916,2.682962,0.33154,-3.783393,4.848146,2.035437
S20,2.942159,2.592542,-0.117723,-1.374299,4.848146,2.001034
S21,2.771763,2.430662,0.016685,-1.272046,4.848146,1.843898
S22,2.636686,2.252928,0.023591,-1.069595,4.848146,1.763514
S23,3.237512,2.906583,0.044821,-1.607876,4.848146,2.513529
S24,3.159503,2.806345,0.027239,-1.490599,4.848146,2.436006
S25,2.558642,2.281638,-0.560219,-0.556255,4.660686,1.129203
S26,3.294097,2.965294,0.140135,-1.088083,5.19906,3902414029761034.0
S27,3.394354,3.082043,0.058707,-1.221395,5.19906,3902414029761033.5
S28,3.351234,2.954346,0.090434,-1.016597,5.19906,3902414029761033.5
S29,3.594628,3.118391,0.089787,-1.000811,5.644953,8139515185244299.0
S30,4.093428,3.632374,0.22049,-1.193772,5.644953,1.2096995790527658e+16
S31,4.251211,3.896513,0.543319,-4.290888,5.644953,1.2096995790527658e+16
S32,4.210973,3.863124,0.208121,-5.040525,5.644953,8194581760766626.0
S33,4.586385,4.241983,0.148881,-5.775141,5.644953,1.2319305254786102e+16
S34,4.864916,4.790264,0.239902,-30.603368,5.644953,1.2319305254786102e+16
S35,4.288801,3.928302,0.364498,-4.57576,5.495236,8082204099302835.0
S36,3.756154,3.290381,-0.012702,-3.467524,5.495236,4124723494019475.5
S37,3.509961,2.782472,-0.26154,-1.720275,5.495236,4124723494019475.5
S38,2.856996,1.983854,0.017132,-0.710005,5.495236,4124723494019474.5
S39,1.825403,1.251741,0.010708,-0.615779,4.045511,0.556815
S40,0.802113,0.658094,0.352441,-0.080311,1.444893,0.149801
S41,1.009722,0.841741,0.665948,0.194395,1.575061,0.171656
S42,0.973045,0.815103,0.862134,0.182996,1.575061,0.140075
S43,0.968513,0.785428,0.810508,0.197704,1.575061,0.134807
S44,1.11075,0.975607,0.424199,0.136723,1.575061,0.178684
S45,1.015498,0.795426,0.05626,-0.164508,1.575061,0.13335
S46,1.059149,0.861759,-0.226092,-0.079516,1.575061,0.148944
S47,1.026222,0.838972,-0.017363,-0.213207,1.43834,0.166967
S48,0.882684,0.639127,0.599736,-0.355666,1.43834,0.139006
S49,4.154303,2.286545,0.81481,0.050426,9.943748,0.237653
S50,6.017233,3.853127,0.719265,-0.24967,10.747582,0.293092
S51,6.716742,5.06799,0.702461,-0.569857,10.747582,0.382076
S52,6.778852,5.322663,0.621785,-0.927709,10.747582,0.399337
S53,6.819119,5.468589,0.37304,-1.729073,10.747582,0.390225
S54,6.877371,5.819195,0.504377,-1.144828,10.747582,0.47703
S55,5.556433,4.258,-0.116072,-0.571615,10.747582,0.393156
S56,3.588659,2.924317,0.397095,-0.233177,7.310653,0.326897
S57,2.398698,2.250987,0.870135,0.490581,3.270673,0.275966
S58,2.210564,1.978855,0.855584,0.56829,3.270673,0.244318
S59,2.076859,1.823821,0.917429,0.633115,3.270673,0.231892
S60,1.920675,1.629534,0.890905,0.591775,3.270673,0.169137
S61,2.538919,2.218094,0.556868,0.122049,4.107938,0.215963
S62,2.822673,2.440912,0.384649,-0.153593,4.107938,0.239275
S63,2.586908,2.18663,-0.464481,-0.629568,4.107938,0.251638
S64,3.418383,2.978549,-0.692837,-0.311977,5.528382,0.636645
S65,3.900151,3.548448,-0.858557,-0.265577,5.528382,0.923906
S66,4.128698,3.956545,-0.903058,-0.333901,5.528382,1.03881
S67,4.554407,4.313442,-0.484996,-1.392996,6.249319,1.281755
S68,5.372796,4.981003,-0.306442,-19.930712,8.087759,1.718578
