Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,3.402807,2.746143,-0.341029,-0.866175,7.116341,5341525112640231.0
S2,3.59827,2.943954,-0.503286,-0.954428,7.116341,5341525112640231.0
S3,3.964701,3.39876,-0.460763,-1.236232,7.116341,5341525112640231.0
S4,4.041885,3.537026,-0.425423,-1.379824,7.116341,5341525112640231.0
S5,4.034882,3.517146,-0.436467,-1.338279,7.116341,5341525112640231.0
S6,4.13303,3.709234,-0.844363,-4.677159,7.116341,5341525112640231.0
S7,3.007198,2.78192,0.3683,-5.323946,4.411109,0.815937
S8,3.791403,3.266152,0.293454,-2.70483,6.957802,5222525974266264.0
S9,4.35731,3.67511,0.34867,-2.303056,6.957802,1.0375290965124576e+16
S10,5.050649,4.365842,0.510728,-2.689094,6.957802,1.5474818904787744e+16
S11,5.743275,5.277811,0.743188,-4.717775,6.957802,2.0605029868712188e+16
S12,5.868828,5.497286,0.862882,-6.020855,6.957802,2.0605029868712188e+16
S13,6.021805,5.846912,0.010191,-16.478068,6.957802,2.0605029868712188e+16
S14,5.405584,5.100941,0.663373,-7.929056,6.864862,1.538250389444592e+16
S15,5.014037,4.749958,0.844887,-8.451342,6.834814,1.0229738903587608e+16
S16,4.464681,4.261288,0.806822,-10.012913,6.834814,5130210963924442.0
S17,3.603722,3.496144,-0.055673,-16.038093,4.758964,1.186405
S18,3.72787,3.602042,-0.344731,-15.918918,4.758964,1.253527
S19,4.248108,4.024052,0.0724,-8.695137,6.182275,2.78071
S20,4.126256,3.642712,-0.158181,-3.669985,6.182275,2.691593
S21,3.886497,3.405353,-0.19199,-3.467058,6.182275,2.472698
S22,3.730971,3.227357,-0.217499,-3.143928,6.182275,2.374561
S23,4.318955,3.817078,-0.062979,-3.641105,6.182275,3.256971
S24,4.104549,3.587008,0.308997,-3.203365,6.182275,3.110883
S25,3.239453,2.609583,-0.200149,-1.494625,5.782275,1.401043
S26,4.26079,3.70764,0.141913,-2.493457,6.782275,5090774968607392.0
S27,4.369005,3.833425,-0.004584,-2.680245,6.782275,5090774968607392.0
