Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,15.961367431353354,8.752617170383429,7.581767502854632,6.581888018270018,7.8526014421859145,8.342397810001899,10.020315400216544,10.896499558379091,11.101576875863548,14.581405671000484,12.21456754050251,12.82056904190919
S2,8.752617170383429,7.581767502854632,6.581888018270018,7.8526014421859145,8.342397810001899,10.020315400216544,10.896499558379091,11.101576875863548,14.581405671000484,12.21456754050251,12.82056904190919,12.06335178428407
S3,7.581767502854632,6.581888018270018,7.8526014421859145,8.342397810001899,10.020315400216544,10.896499558379091,11.101576875863548,14.581405671000484,12.21456754050251,12.82056904190919,12.06335178428407,8.524446538083714
S4,6.581888018270018,7.8526014421859145,8.342397810001899,10.020315400216544,10.896499558379091,11.101576875863548,14.581405671000484,12.21456754050251,12.82056904190919,12.06335178428407,8.524446538083714,7.35270843897317
S5,7.8526014421859145,8.342397810001899,10.020315400216544,10.896499558379091,11.101576875863548,14.581405671000484,12.21456754050251,12.82056904190919,12.06335178428407,8.524446538083714,7.35270843897317,7.168891446260849
S6,8.342397810001899,10.020315400216544,10.896499558379091,11.101576875863548,14.581405671000484,12.21456754050251,12.82056904190919,12.06335178428407,8.524446538083714,7.35270843897317,7.168891446260849,7.367986705112033
S7,10.020315400216544,10.896499558379091,11.101576875863548,14.581405671000484,12.21456754050251,12.82056904190919,12.06335178428407,8.524446538083714,7.35270843897317,7.168891446260849,7.367986705112033,7.541708412058139
S8,10.896499558379091,11.101576875863548,14.581405671000484,12.21456754050251,12.82056904190919,12.06335178428407,8.524446538083714,7.35270843897317,7.168891446260849,7.367986705112033,7.541708412058139,7.918401034444165
S9,11.101576875863548,14.581405671000484,12.21456754050251,12.82056904190919,12.06335178428407,8.524446538083714,7.35270843897317,7.168891446260849,7.367986705112033,7.541708412058139,7.918401034444165,7.599820232870547
S10,14.581405671000484,12.21456754050251,12.82056904190919,12.06335178428407,8.524446538083714,7.35270843897317,7.168891446260849,7.367986705112033,7.541708412058139,7.918401034444165,7.599820232870547,9.027827455080711
S11,12.21456754050251,12.82056904190919,12.06335178428407,8.524446538083714,7.35270843897317,7.168891446260849,7.367986705112033,7.541708412058139,7.918401034444165,7.599820232870547,9.027827455080711,9.877343510142394
S12,12.82056904190919,12.06335178428407,8.524446538083714,7.35270843897317,7.168891446260849,7.367986705112033,7.541708412058139,7.918401034444165,7.599820232870547,9.027827455080711,9.877343510142394,9.079819462880016
S13,12.06335178428407,8.524446538083714,7.35270843897317,7.168891446260849,7.367986705112033,7.541708412058139,7.918401034444165,7.599820232870547,9.027827455080711,9.877343510142394,9.079819462880016,9.302035594785403
S14,8.524446538083714,7.35270843897317,7.168891446260849,7.367986705112033,7.541708412058139,7.918401034444165,7.599820232870547,9.027827455080711,9.877343510142394,9.079819462880016,9.302035594785403,7.651762160814525
S15,7.35270843897317,7.168891446260849,7.367986705112033,7.541708412058139,7.918401034444165,7.599820232870547,9.027827455080711,9.877343510142394,9.079819462880016,9.302035594785403,7.651762160814525,6.558037535562998
S16,7.168891446260849,7.367986705112033,7.541708412058139,7.918401034444165,7.599820232870547,9.027827455080711,9.877343510142394,9.079819462880016,9.302035594785403,7.651762160814525,6.558037535562998,5.903415002890326
S17,7.367986705112033,7.541708412058139,7.918401034444165,7.599820232870547,9.027827455080711,9.877343510142394,9.079819462880016,9.302035594785403,7.651762160814525,6.558037535562998,5.903415002890326,6.879887052500619
S18,7.541708412058139,7.918401034444165,7.599820232870547,9.027827455080711,9.877343510142394,9.079819462880016,9.302035594785403,7.651762160814525,6.558037535562998,5.903415002890326,6.879887052500619,4.871246224503015
S19,7.918401034444165,7.599820232870547,9.027827455080711,9.877343510142394,9.079819462880016,9.302035594785403,7.651762160814525,6.558037535562998,5.903415002890326,6.879887052500619,4.871246224503015,5.605996930319282
S20,7.599820232870547,9.027827455080711,9.877343510142394,9.079819462880016,9.302035594785403,7.651762160814525,6.558037535562998,5.903415002890326,6.879887052500619,4.871246224503015,5.605996930319282,6.257198812251862
S21,9.027827455080711,9.877343510142394,9.079819462880016,9.302035594785403,7.651762160814525,6.558037535562998,5.903415002890326,6.879887052500619,4.871246224503015,5.605996930319282,6.257198812251862,6.424672281260995
S22,9.877343510142394,9.079819462880016,9.302035594785403,7.651762160814525,6.558037535562998,5.903415002890326,6.879887052500619,4.871246224503015,5.605996930319282,6.257198812251862,6.424672281260995,7.212199476914728
S23,9.079819462880016,9.302035594785403,7.651762160814525,6.558037535562998,5.903415002890326,6.879887052500619,4.871246224503015,5.605996930319282,6.257198812251862,6.424672281260995,7.212199476914728,8.094847706353034
S24,9.302035594785403,7.651762160814525,6.558037535562998,5.903415002890326,6.879887052500619,4.871246224503015,5.605996930319282,6.257198812251862,6.424672281260995,7.212199476914728,8.094847706353034,8.432470644838403
S25,7.651762160814525,6.558037535562998,5.903415002890326,6.879887052500619,4.871246224503015,5.605996930319282,6.257198812251862,6.424672281260995,7.212199476914728,8.094847706353034,8.432470644838403,8.00474183881635
S26,6.558037535562998,5.903415002890326,6.879887052500619,4.871246224503015,5.605996930319282,6.257198812251862,6.424672281260995,7.212199476914728,8.094847706353034,8.432470644838403,8.00474183881635,9.505153175438183
S27,5.903415002890326,6.879887052500619,4.871246224503015,5.605996930319282,6.257198812251862,6.424672281260995,7.212199476914728,8.094847706353034,8.432470644838403,8.00474183881635,9.505153175438183,9.26754477452604
S28,6.879887052500619,4.871246224503015,5.605996930319282,6.257198812251862,6.424672281260995,7.212199476914728,8.094847706353034,8.432470644838403,8.00474183881635,9.505153175438183,9.26754477452604,6.9550700293674925
