Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,14.242191067281297,8.390104842482192,7.608507728226598,5.984138487772519,7.655911985156939,8.184604107472861,9.378987361084224,10.358075836674395,11.269219902993413,12.67173522171051,13.34574361867247,14.44633834925318
S2,8.390104842482192,7.608507728226598,5.984138487772519,7.655911985156939,8.184604107472861,9.378987361084224,10.358075836674395,11.269219902993413,12.67173522171051,13.34574361867247,14.44633834925318,13.18602525421494
S3,7.608507728226598,5.984138487772519,7.655911985156939,8.184604107472861,9.378987361084224,10.358075836674395,11.269219902993413,12.67173522171051,13.34574361867247,14.44633834925318,13.18602525421494,8.941301592696853
S4,5.984138487772519,7.655911985156939,8.184604107472861,9.378987361084224,10.358075836674395,11.269219902993413,12.67173522171051,13.34574361867247,14.44633834925318,13.18602525421494,8.941301592696853,7.167689976569322
S5,7.655911985156939,8.184604107472861,9.378987361084224,10.358075836674395,11.269219902993413,12.67173522171051,13.34574361867247,14.44633834925318,13.18602525421494,8.941301592696853,7.167689976569322,7.1733725183081605
S6,8.184604107472861,9.378987361084224,10.358075836674395,11.269219902993413,12.67173522171051,13.34574361867247,14.44633834925318,13.18602525421494,8.941301592696853,7.167689976569322,7.1733725183081605,7.322551829879126
S7,9.378987361084224,10.358075836674395,11.269219902993413,12.67173522171051,13.34574361867247,14.44633834925318,13.18602525421494,8.941301592696853,7.167689976569322,7.1733725183081605,7.322551829879126,7.64384814498016
S8,10.358075836674395,11.269219902993413,12.67173522171051,13.34574361867247,14.44633834925318,13.18602525421494,8.941301592696853,7.167689976569322,7.1733725183081605,7.322551829879126,7.64384814498016,8.13359805271063
S9,11.269219902993413,12.67173522171051,13.34574361867247,14.44633834925318,13.18602525421494,8.941301592696853,7.167689976569322,7.1733725183081605,7.322551829879126,7.64384814498016,8.13359805271063,7.1492978389995105
S10,12.67173522171051,13.34574361867247,14.44633834925318,13.18602525421494,8.941301592696853,7.167689976569322,7.1733725183081605,7.322551829879126,7.64384814498016,8.13359805271063,7.1492978389995105,9.005585070396593
S11,13.34574361867247,14.44633834925318,13.18602525421494,8.941301592696853,7.167689976569322,7.1733725183081605,7.322551829879126,7.64384814498016,8.13359805271063,7.1492978389995105,9.005585070396593,9.771372492784906
S12,14.44633834925318,13.18602525421494,8.941301592696853,7.167689976569322,7.1733725183081605,7.322551829879126,7.64384814498016,8.13359805271063,7.1492978389995105,9.005585070396593,9.771372492784906,10.617565951751937
S13,13.18602525421494,8.941301592696853,7.167689976569322,7.1733725183081605,7.322551829879126,7.64384814498016,8.13359805271063,7.1492978389995105,9.005585070396593,9.771372492784906,10.617565951751937,10.174590157046502
S14,8.941301592696853,7.167689976569322,7.1733725183081605,7.322551829879126,7.64384814498016,8.13359805271063,7.1492978389995105,9.005585070396593,9.771372492784906,10.617565951751937,10.174590157046502,8.348343470144872
S15,7.167689976569322,7.1733725183081605,7.322551829879126,7.64384814498016,8.13359805271063,7.1492978389995105,9.005585070396593,9.771372492784906,10.617565951751937,10.174590157046502,8.348343470144872,6.557470439776287
