Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,11.449558,8.430422,8.019163,7.260284,8.365764,8.915667,9.68949,10.21883,10.682619,10.992786,11.727982,12.175434
S2,8.430422,8.019163,7.260284,8.365764,8.915667,9.68949,10.21883,10.682619,10.992786,11.727982,12.175434,10.65725
S3,8.019163,7.260284,8.365764,8.915667,9.68949,10.21883,10.682619,10.992786,11.727982,12.175434,10.65725,8.540441
S4,7.260284,8.365764,8.915667,9.68949,10.21883,10.682619,10.992786,11.727982,12.175434,10.65725,8.540441,7.952874
S5,8.365764,8.915667,9.68949,10.21883,10.682619,10.992786,11.727982,12.175434,10.65725,8.540441,7.952874,7.8477125
S6,8.915667,9.68949,10.21883,10.682619,10.992786,11.727982,12.175434,10.65725,8.540441,7.952874,7.8477125,7.88552
S7,9.68949,10.21883,10.682619,10.992786,11.727982,12.175434,10.65725,8.540441,7.952874,7.8477125,7.88552,8.217313
S8,10.21883,10.682619,10.992786,11.727982,12.175434,10.65725,8.540441,7.952874,7.8477125,7.88552,8.217313,8.256177
S9,10.682619,10.992786,11.727982,12.175434,10.65725,8.540441,7.952874,7.8477125,7.88552,8.217313,8.256177,8.261971
S10,10.992786,11.727982,12.175434,10.65725,8.540441,7.952874,7.8477125,7.88552,8.217313,8.256177,8.261971,9.484652
S11,11.727982,12.175434,10.65725,8.540441,7.952874,7.8477125,7.88552,8.217313,8.256177,8.261971,9.484652,9.787471
S12,12.175434,10.65725,8.540441,7.952874,7.8477125,7.88552,8.217313,8.256177,8.261971,9.484652,9.787471,9.873505
S13,10.65725,8.540441,7.952874,7.8477125,7.88552,8.217313,8.256177,8.261971,9.484652,9.787471,9.873505,9.128138
S14,8.540441,7.952874,7.8477125,7.88552,8.217313,8.256177,8.261971,9.484652,9.787471,9.873505,9.128138,8.329982
S15,7.952874,7.8477125,7.88552,8.217313,8.256177,8.261971,9.484652,9.787471,9.873505,9.128138,8.329982,7.303075
S16,7.8477125,7.88552,8.217313,8.256177,8.261971,9.484652,9.787471,9.873505,9.128138,8.329982,7.303075,7.1715016
S17,7.88552,8.217313,8.256177,8.261971,9.484652,9.787471,9.873505,9.128138,8.329982,7.303075,7.1715016,7.5699296
S18,8.217313,8.256177,8.261971,9.484652,9.787471,9.873505,9.128138,8.329982,7.303075,7.1715016,7.5699296,6.7280693
