Segment,F1,F2,F3,F4,F5,F6
S1,10.837647145747038,10.488886503625418,8.25506988070983,7.485324703610039,7.472680974428526,7.468660374082295
S2,10.488886503625418,8.25506988070983,7.485324703610039,7.472680974428526,7.468660374082295,7.530694616857542
S3,8.25506988070983,7.485324703610039,7.472680974428526,7.468660374082295,7.530694616857542,7.490045117489673
S4,7.485324703610039,7.472680974428526,7.468660374082295,7.530694616857542,7.490045117489673,7.487380616264939
S5,7.472680974428526,7.468660374082295,7.530694616857542,7.490045117489673,7.487380616264939,7.785226279462344
S6,7.468660374082295,7.530694616857542,7.490045117489673,7.487380616264939,7.785226279462344,7.872009348239396
S7,7.530694616857542,7.490045117489673,7.487380616264939,7.785226279462344,7.872009348239396,7.990997917392984
S8,7.490045117489673,7.487380616264939,7.785226279462344,7.872009348239396,7.990997917392984,7.973744365712323
S9,7.487380616264939,7.785226279462344,7.872009348239396,7.990997917392984,7.973744365712323,7.914665605467986
S10,7.785226279462344,7.872009348239396,7.990997917392984,7.973744365712323,7.914665605467986,7.466000843573017
S11,7.872009348239396,7.990997917392984,7.973744365712323,7.914665605467986,7.466000843573017,7.44626749496683
S12,7.990997917392984,7.973744365712323,7.914665605467986,7.466000843573017,7.44626749496683,7.472680974428526
S13,7.973744365712323,7.914665605467986,7.466000843573017,7.44626749496683,7.472680974428526,7.466000843573017
S14,7.914665605467986,7.466000843573017,7.44626749496683,7.472680974428526,7.466000843573017,7.466000843573017
S15,7.466000843573017,7.44626749496683,7.472680974428526,7.466000843573017,7.466000843573017,7.466000843573017
S16,7.44626749496683,7.472680974428526,7.466000843573017,7.466000843573017,7.466000843573017,7.472649646245524
S17,7.472680974428526,7.466000843573017,7.466000843573017,7.466000843573017,7.472649646245524,7.468660374082295
S18,7.466000843573017,7.466000843573017,7.466000843573017,7.472649646245524,7.468660374082295,7.487380616264939
S19,7.466000843573017,7.466000843573017,7.472649646245524,7.468660374082295,7.487380616264939,7.472649646245524
S20,7.466000843573017,7.472649646245524,7.468660374082295,7.487380616264939,7.472649646245524,7.472649646245524
S21,7.472649646245524,7.468660374082295,7.487380616264939,7.472649646245524,7.472649646245524,7.872009348239396
S22,7.468660374082295,7.487380616264939,7.472649646245524,7.472649646245524,7.872009348239396,7.914665605467986
S23,7.487380616264939,7.472649646245524,7.472649646245524,7.872009348239396,7.914665605467986,7.500889414847599
S24,7.472649646245524,7.472649646245524,7.872009348239396,7.914665605467986,7.500889414847599,7.44626749496683
S25,7.472649646245524,7.872009348239396,7.914665605467986,7.500889414847599,7.44626749496683,7.44626749496683
S26,7.872009348239396,7.914665605467986,7.500889414847599,7.44626749496683,7.44626749496683,7.592148121549702
S27,7.914665605467986,7.500889414847599,7.44626749496683,7.44626749496683,7.592148121549702,7.528827638360195
S28,7.500889414847599,7.44626749496683,7.44626749496683,7.592148121549702,7.528827638360195,7.485324703610039
S29,7.44626749496683,7.44626749496683,7.592148121549702,7.528827638360195,7.485324703610039,7.897759580672677
S30,7.44626749496683,7.592148121549702,7.528827638360195,7.485324703610039,7.897759580672677,7.888309353201637
S31,7.592148121549702,7.528827638360195,7.485324703610039,7.897759580672677,7.888309353201637,7.828176238311912
S32,7.528827638360195,7.485324703610039,7.897759580672677,7.888309353201637,7.828176238311912,7.828176238311912
S33,7.485324703610039,7.897759580672677,7.888309353201637,7.828176238311912,7.828176238311912,7.837814606839533
S34,7.897759580672677,7.888309353201637,7.828176238311912,7.828176238311912,7.837814606839533,7.792317352004046
S35,7.888309353201637,7.828176238311912,7.828176238311912,7.837814606839533,7.792317352004046,7.676817783706492
S36,7.828176238311912,7.828176238311912,7.837814606839533,7.792317352004046,7.676817783706492,7.546252471240631
S37,7.828176238311912,7.837814606839533,7.792317352004046,7.676817783706492,7.546252471240631,7.472680974428526
S38,7.837814606839533,7.792317352004046,7.676817783706492,7.546252471240631,7.472680974428526,7.6038812468669486
S39,7.792317352004046,7.676817783706492,7.546252471240631,7.472680974428526,7.6038812468669486,7.468660374082295
S40,7.676817783706492,7.546252471240631,7.472680974428526,7.6038812468669486,7.468660374082295,7.472649646245524
S41,7.546252471240631,7.472680974428526,7.6038812468669486,7.468660374082295,7.472649646245524,7.472649646245524
S42,7.472680974428526,7.6038812468669486,7.468660374082295,7.472649646245524,7.472649646245524,7.592148121549702
S43,7.6038812468669486,7.468660374082295,7.472649646245524,7.472649646245524,7.592148121549702,7.570961295419344
S44,7.468660374082295,7.472649646245524,7.472649646245524,7.592148121549702,7.570961295419344,7.466000843573017
S45,7.472649646245524,7.472649646245524,7.592148121549702,7.570961295419344,7.466000843573017,7.466000843573017
S46,7.472649646245524,7.592148121549702,7.570961295419344,7.466000843573017,7.466000843573017,7.523301405865296
S47,7.592148121549702,7.570961295419344,7.466000843573017,7.466000843573017,7.523301405865296,7.785226279462344
S48,7.570961295419344,7.466000843573017,7.466000843573017,7.523301405865296,7.785226279462344,7.914665605467986
S49,7.466000843573017,7.466000843573017,7.523301405865296,7.785226279462344,7.914665605467986,10.408322540817132
S50,7.466000843573017,7.523301405865296,7.785226279462344,7.914665605467986,10.408322540817132,7.850202497368428
S51,7.523301405865296,7.785226279462344,7.914665605467986,10.408322540817132,7.850202497368428,7.914665605467986
S52,7.785226279462344,7.914665605467986,10.408322540817132,7.850202497368428,7.914665605467986,8.184940326654106
S53,7.914665605467986,10.408322540817132,7.850202497368428,7.914665605467986,8.184940326654106,7.888309353201637
S54,10.408322540817132,7.850202497368428,7.914665605467986,8.184940326654106,7.888309353201637,7.489904598620367
S55,7.850202497368428,7.914665605467986,8.184940326654106,7.888309353201637,7.489904598620367,7.6038812468669486
S56,7.914665605467986,8.184940326654106,7.888309353201637,7.489904598620367,7.6038812468669486,7.839896965160251
S57,8.184940326654106,7.888309353201637,7.489904598620367,7.6038812468669486,7.839896965160251,7.487380616264939
S58,7.888309353201637,7.489904598620367,7.6038812468669486,7.839896965160251,7.487380616264939,7.914665605467986
S59,7.489904598620367,7.6038812468669486,7.839896965160251,7.487380616264939,7.914665605467986,7.990997917392984
S60,7.6038812468669486,7.839896965160251,7.487380616264939,7.914665605467986,7.990997917392984,7.814046506543364
S61,7.839896965160251,7.487380616264939,7.914665605467986,7.990997917392984,7.814046506543364,7.914665605467986
S62,7.487380616264939,7.914665605467986,7.990997917392984,7.814046506543364,7.914665605467986,7.897759580672677
S63,7.914665605467986,7.990997917392984,7.814046506543364,7.914665605467986,7.897759580672677,7.818203659806115
S64,7.990997917392984,7.814046506543364,7.914665605467986,7.897759580672677,7.818203659806115,7.472680974428526
S65,7.814046506543364,7.914665605467986,7.897759580672677,7.818203659806115,7.472680974428526,7.466000843573017
S66,7.914665605467986,7.897759580672677,7.818203659806115,7.472680974428526,7.466000843573017,7.472649646245524
S67,7.897759580672677,7.818203659806115,7.472680974428526,7.466000843573017,7.472649646245524,7.472680974428526
S68,7.818203659806115,7.472680974428526,7.466000843573017,7.472649646245524,7.472680974428526,7.6038812468669486
S69,7.472680974428526,7.466000843573017,7.472649646245524,7.472680974428526,7.6038812468669486,7.914665605467986
S70,7.466000843573017,7.472649646245524,7.472680974428526,7.6038812468669486,7.914665605467986,7.474568539700958
S71,7.472649646245524,7.472680974428526,7.6038812468669486,7.914665605467986,7.474568539700958,7.466000843573017
S72,7.472680974428526,7.6038812468669486,7.914665605467986,7.474568539700958,7.466000843573017,7.472649646245524
S73,7.6038812468669486,7.914665605467986,7.474568539700958,7.466000843573017,7.472649646245524,7.466000843573017
S74,7.914665605467986,7.474568539700958,7.466000843573017,7.472649646245524,7.466000843573017,7.466000843573017
S75,7.474568539700958,7.466000843573017,7.472649646245524,7.466000843573017,7.466000843573017,7.44626749496683
S76,7.466000843573017,7.472649646245524,7.466000843573017,7.466000843573017,7.44626749496683,19.960947252717677
S77,7.472649646245524,7.466000843573017,7.466000843573017,7.44626749496683,19.960947252717677,13.943087146739517
S78,7.466000843573017,7.466000843573017,7.44626749496683,19.960947252717677,13.943087146739517,8.809038100677808
S79,7.466000843573017,7.44626749496683,19.960947252717677,13.943087146739517,8.809038100677808,8.353871869228382
S80,7.44626749496683,19.960947252717677,13.943087146739517,8.809038100677808,8.353871869228382,7.973744365712323
S81,19.960947252717677,13.943087146739517,8.809038100677808,8.353871869228382,7.973744365712323,11.582021852751346
S82,13.943087146739517,8.809038100677808,8.353871869228382,7.973744365712323,11.582021852751346,7.521032071481975
S83,8.809038100677808,8.353871869228382,7.973744365712323,11.582021852751346,7.521032071481975,11.497892605538405
S84,8.353871869228382,7.973744365712323,11.582021852751346,7.521032071481975,11.497892605538405,16.91137641838296
S85,7.973744365712323,11.582021852751346,7.521032071481975,11.497892605538405,16.91137641838296,9.112146351237618
S86,11.582021852751346,7.521032071481975,11.497892605538405,16.91137641838296,9.112146351237618,7.580173276782351
S87,7.521032071481975,11.497892605538405,16.91137641838296,9.112146351237618,7.580173276782351,7.888309353201637
S88,11.497892605538405,16.91137641838296,9.112146351237618,7.580173276782351,7.888309353201637,7.526830961317047
S89,16.91137641838296,9.112146351237618,7.580173276782351,7.888309353201637,7.526830961317047,7.839896965160251
S90,9.112146351237618,7.580173276782351,7.888309353201637,7.526830961317047,7.839896965160251,7.5867619355129285
S91,7.580173276782351,7.888309353201637,7.526830961317047,7.839896965160251,7.5867619355129285,7.557438439075387
S92,7.888309353201637,7.526830961317047,7.839896965160251,7.5867619355129285,7.557438439075387,7.990997917392984
S93,7.526830961317047,7.839896965160251,7.5867619355129285,7.557438439075387,7.990997917392984,7.792317352004046
S94,7.839896965160251,7.5867619355129285,7.557438439075387,7.990997917392984,7.792317352004046,7.973744365712323
S95,7.5867619355129285,7.557438439075387,7.990997917392984,7.792317352004046,7.973744365712323,10.477058679319532
S96,7.557438439075387,7.990997917392984,7.792317352004046,7.973744365712323,10.477058679319532,7.830789598500077
S97,7.990997917392984,7.792317352004046,7.973744365712323,10.477058679319532,7.830789598500077,7.872009348239396
S98,7.792317352004046,7.973744365712323,10.477058679319532,7.830789598500077,7.872009348239396,7.5867619355129285
S99,7.973744365712323,10.477058679319532,7.830789598500077,7.872009348239396,7.5867619355129285,7.6038812468669486
S100,10.477058679319532,7.830789598500077,7.872009348239396,7.5867619355129285,7.6038812468669486,7.530694616857542
S101,7.830789598500077,7.872009348239396,7.5867619355129285,7.6038812468669486,7.530694616857542,7.466000843573017
S102,7.872009348239396,7.5867619355129285,7.6038812468669486,7.530694616857542,7.466000843573017,7.474568539700958
S103,7.5867619355129285,7.6038812468669486,7.530694616857542,7.466000843573017,7.474568539700958,20.273393972426103
S104,7.6038812468669486,7.530694616857542,7.466000843573017,7.474568539700958,20.273393972426103,7.6442996766022535
S105,7.530694616857542,7.466000843573017,7.474568539700958,20.273393972426103,7.6442996766022535,7.592148121549702
S106,7.466000843573017,7.474568539700958,20.273393972426103,7.6442996766022535,7.592148121549702,10.488886503625418
S107,7.474568539700958,20.273393972426103,7.6442996766022535,7.592148121549702,10.488886503625418,7.521032071481975
S108,20.273393972426103,7.6442996766022535,7.592148121549702,10.488886503625418,7.521032071481975,7.472680974428526
S109,7.6442996766022535,7.592148121549702,10.488886503625418,7.521032071481975,7.472680974428526,7.466000843573017
S110,7.592148121549702,10.488886503625418,7.521032071481975,7.472680974428526,7.466000843573017,7.753838241491995
S111,10.488886503625418,7.521032071481975,7.472680974428526,7.466000843573017,7.753838241491995,10.91033728817476
S112,7.521032071481975,7.472680974428526,7.466000843573017,7.753838241491995,10.91033728817476,8.697321517731957
S113,7.472680974428526,7.466000843573017,7.753838241491995,10.91033728817476,8.697321517731957,7.914665605467986
S114,7.466000843573017,7.753838241491995,10.91033728817476,8.697321517731957,7.914665605467986,7.878709888947379
S115,7.753838241491995,10.91033728817476,8.697321517731957,7.914665605467986,7.878709888947379,7.973744365712323
S116,10.91033728817476,8.697321517731957,7.914665605467986,7.878709888947379,7.973744365712323,7.563903622137663
