Segment,F1,F2,F3,F4,F5,F6
S1,11.347733128342082,9.278770778979007,8.97805097515602,7.739601635818256,7.275603209235378,7.06539457222371
S2,9.278770778979007,8.97805097515602,7.739601635818256,7.275603209235378,7.06539457222371,7.516820324397731
S3,8.97805097515602,7.739601635818256,7.275603209235378,7.06539457222371,7.516820324397731,7.8975929480390965
S4,7.739601635818256,7.275603209235378,7.06539457222371,7.516820324397731,7.8975929480390965,8.322637345826065
S5,7.275603209235378,7.06539457222371,7.516820324397731,7.8975929480390965,8.322637345826065,9.933807429090084
S6,7.06539457222371,7.516820324397731,7.8975929480390965,8.322637345826065,9.933807429090084,11.185892999871083
S7,7.516820324397731,7.8975929480390965,8.322637345826065,9.933807429090084,11.185892999871083,11.779853305976289
S8,7.8975929480390965,8.322637345826065,9.933807429090084,11.185892999871083,11.779853305976289,10.957185785594847
S9,8.322637345826065,9.933807429090084,11.185892999871083,11.779853305976289,10.957185785594847,9.042496935770846
S10,9.933807429090084,11.185892999871083,11.779853305976289,10.957185785594847,9.042496935770846,7.4101749939998385
S11,11.185892999871083,11.779853305976289,10.957185785594847,9.042496935770846,7.4101749939998385,6.884311582915084
S12,11.779853305976289,10.957185785594847,9.042496935770846,7.4101749939998385,6.884311582915084,6.905362597618962
S13,10.957185785594847,9.042496935770846,7.4101749939998385,6.884311582915084,6.905362597618962,6.816001425984132
S14,9.042496935770846,7.4101749939998385,6.884311582915084,6.905362597618962,6.816001425984132,6.700302144656153
S15,7.4101749939998385,6.884311582915084,6.905362597618962,6.816001425984132,6.700302144656153,6.570047711370004
S16,6.884311582915084,6.905362597618962,6.816001425984132,6.700302144656153,6.570047711370004,6.672649941500584
S17,6.905362597618962,6.816001425984132,6.700302144656153,6.570047711370004,6.672649941500584,7.190260233328738
S18,6.816001425984132,6.700302144656153,6.570047711370004,6.672649941500584,7.190260233328738,7.67983031305054
S19,6.700302144656153,6.570047711370004,6.672649941500584,7.190260233328738,7.67983031305054,7.207062971240946
S20,6.570047711370004,6.672649941500584,7.190260233328738,7.67983031305054,7.207062971240946,6.618742146626604
S21,6.672649941500584,7.190260233328738,7.67983031305054,7.207062971240946,6.618742146626604,7.6684390442115475
S22,7.190260233328738,7.67983031305054,7.207062971240946,6.618742146626604,7.6684390442115475,8.363483044949998
S23,7.67983031305054,7.207062971240946,6.618742146626604,7.6684390442115475,8.363483044949998,7.493530705225924
S24,7.207062971240946,6.618742146626604,7.6684390442115475,8.363483044949998,7.493530705225924,6.710489314883086
S25,6.618742146626604,7.6684390442115475,8.363483044949998,7.493530705225924,6.710489314883086,6.481565307855764
S26,7.6684390442115475,8.363483044949998,7.493530705225924,6.710489314883086,6.481565307855764,7.222926557394082
S27,8.363483044949998,7.493530705225924,6.710489314883086,6.481565307855764,7.222926557394082,7.172510628135187
S28,7.493530705225924,6.710489314883086,6.481565307855764,7.222926557394082,7.172510628135187,7.117801323042416
S29,6.710489314883086,6.481565307855764,7.222926557394082,7.172510628135187,7.117801323042416,8.162494478467941
S30,6.481565307855764,7.222926557394082,7.172510628135187,7.117801323042416,8.162494478467941,8.690823734352831
S31,7.222926557394082,7.172510628135187,7.117801323042416,8.162494478467941,8.690823734352831,8.748904498219954
S32,7.172510628135187,7.117801323042416,8.162494478467941,8.690823734352831,8.748904498219954,9.688420760480742
S33,7.117801323042416,8.162494478467941,8.690823734352831,8.748904498219954,9.688420760480742,9.704462163801178
S34,8.162494478467941,8.690823734352831,8.748904498219954,9.688420760480742,9.704462163801178,8.06866415995866
S35,8.690823734352831,8.748904498219954,9.688420760480742,9.704462163801178,8.06866415995866,7.76648693196797
S36,8.748904498219954,9.688420760480742,9.704462163801178,8.06866415995866,7.76648693196797,7.64202212763791
S37,9.688420760480742,9.704462163801178,8.06866415995866,7.76648693196797,7.64202212763791,7.106721071579743
S38,9.704462163801178,8.06866415995866,7.76648693196797,7.64202212763791,7.106721071579743,7.603336010716994
S39,8.06866415995866,7.76648693196797,7.64202212763791,7.106721071579743,7.603336010716994,7.328945417843002
S40,7.76648693196797,7.64202212763791,7.106721071579743,7.603336010716994,7.328945417843002,7.238401196381462
S41,7.64202212763791,7.106721071579743,7.603336010716994,7.328945417843002,7.238401196381462,6.8066689598886345
S42,7.106721071579743,7.603336010716994,7.328945417843002,7.238401196381462,6.8066689598886345,7.309229534183976
