Segment,F1,F2,F3,F4,F5,F6
S1,11.436589632159714,10.892746540697065,10.490347807423081,9.140203915544646,8.74697310484417,8.357164203732488
S2,10.892746540697065,10.490347807423081,9.140203915544646,8.74697310484417,8.357164203732488,8.269300112383446
S3,10.490347807423081,9.140203915544646,8.74697310484417,8.357164203732488,8.269300112383446,8.326165212314148
S4,9.140203915544646,8.74697310484417,8.357164203732488,8.269300112383446,8.326165212314148,8.04554001473111
S5,8.74697310484417,8.357164203732488,8.269300112383446,8.326165212314148,8.04554001473111,8.558852056417676
S6,8.357164203732488,8.269300112383446,8.326165212314148,8.04554001473111,8.558852056417676,9.026483735474086
S7,8.269300112383446,8.326165212314148,8.04554001473111,8.558852056417676,9.026483735474086,9.628298598184061
S8,8.326165212314148,8.04554001473111,8.558852056417676,9.026483735474086,9.628298598184061,10.063497302091669
S9,8.04554001473111,8.558852056417676,9.026483735474086,9.628298598184061,10.063497302091669,9.757958283898041
S10,8.558852056417676,9.026483735474086,9.628298598184061,10.063497302091669,9.757958283898041,8.139577946085431
S11,9.026483735474086,9.628298598184061,10.063497302091669,9.757958283898041,8.139577946085431,7.531559265581776
S12,9.628298598184061,10.063497302091669,9.757958283898041,8.139577946085431,7.531559265581776,7.41627643577953
S13,10.063497302091669,9.757958283898041,8.139577946085431,7.531559265581776,7.41627643577953,7.085806038959093
S14,9.757958283898041,8.139577946085431,7.531559265581776,7.41627643577953,7.085806038959093,6.986081472877977
S15,8.139577946085431,7.531559265581776,7.41627643577953,7.085806038959093,6.986081472877977,7.067879108358423
S16,7.531559265581776,7.41627643577953,7.085806038959093,6.986081472877977,7.067879108358423,7.037483749837556
S17,7.41627643577953,7.085806038959093,6.986081472877977,7.067879108358423,7.037483749837556,7.022876448679926
S18,7.085806038959093,6.986081472877977,7.067879108358423,7.037483749837556,7.022876448679926,7.225090705894679
S19,6.986081472877977,7.067879108358423,7.037483749837556,7.022876448679926,7.225090705894679,7.089981866812125
S20,7.067879108358423,7.037483749837556,7.022876448679926,7.225090705894679,7.089981866812125,6.858255145504769
S21,7.037483749837556,7.022876448679926,7.225090705894679,7.089981866812125,6.858255145504769,7.860940070320265
S22,7.022876448679926,7.225090705894679,7.089981866812125,6.858255145504769,7.860940070320265,8.827959850711338
S23,7.225090705894679,7.089981866812125,6.858255145504769,7.860940070320265,8.827959850711338,7.990696523240488
S24,7.089981866812125,6.858255145504769,7.860940070320265,8.827959850711338,7.990696523240488,7.343912263543655
S25,6.858255145504769,7.860940070320265,8.827959850711338,7.990696523240488,7.343912263543655,7.1226653049850475
S26,7.860940070320265,8.827959850711338,7.990696523240488,7.343912263543655,7.1226653049850475,7.35348619011358
S27,8.827959850711338,7.990696523240488,7.343912263543655,7.1226653049850475,7.35348619011358,7.515944067566811
S28,7.990696523240488,7.343912263543655,7.1226653049850475,7.35348619011358,7.515944067566811,7.4222186401285475
S29,7.343912263543655,7.1226653049850475,7.35348619011358,7.515944067566811,7.4222186401285475,8.572848809548729
S30,7.1226653049850475,7.35348619011358,7.515944067566811,7.4222186401285475,8.572848809548729,9.067515722663323
S31,7.35348619011358,7.515944067566811,7.4222186401285475,8.572848809548729,9.067515722663323,8.85473481053765
S32,7.515944067566811,7.4222186401285475,8.572848809548729,9.067515722663323,8.85473481053765,8.958010610703836
S33,7.4222186401285475,8.572848809548729,9.067515722663323,8.85473481053765,8.958010610703836,8.921685865873151
S34,8.572848809548729,9.067515722663323,8.85473481053765,8.958010610703836,8.921685865873151,8.361549227307277
S35,9.067515722663323,8.85473481053765,8.958010610703836,8.921685865873151,8.361549227307277,8.212009773958373
S36,8.85473481053765,8.958010610703836,8.921685865873151,8.361549227307277,8.212009773958373,8.023352987153437
S37,8.958010610703836,8.921685865873151,8.361549227307277,8.212009773958373,8.023352987153437,7.666333219825679
S38,8.921685865873151,8.361549227307277,8.212009773958373,8.023352987153437,7.666333219825679,7.759802795942263
S39,8.361549227307277,8.212009773958373,8.023352987153437,7.666333219825679,7.759802795942263,7.376709948001222
S40,8.212009773958373,8.023352987153437,7.666333219825679,7.759802795942263,7.376709948001222,7.4770845513454915
S41,8.023352987153437,7.666333219825679,7.759802795942263,7.376709948001222,7.4770845513454915,7.109051813004887
S42,7.666333219825679,7.759802795942263,7.376709948001222,7.4770845513454915,7.109051813004887,7.45501250389035
S43,7.759802795942263,7.376709948001222,7.4770845513454915,7.109051813004887,7.45501250389035,7.560212841295007
S44,7.376709948001222,7.4770845513454915,7.109051813004887,7.45501250389035,7.560212841295007,7.025544391719126
S45,7.4770845513454915,7.109051813004887,7.45501250389035,7.560212841295007,7.025544391719126,6.833512738023529
S46,7.109051813004887,7.45501250389035,7.560212841295007,7.025544391719126,6.833512738023529,7.043614294075699
S47,7.45501250389035,7.560212841295007,7.025544391719126,6.833512738023529,7.043614294075699,7.599101057123645
S48,7.560212841295007,7.025544391719126,6.833512738023529,7.043614294075699,7.599101057123645,8.613875411242072
S49,7.025544391719126,6.833512738023529,7.043614294075699,7.599101057123645,8.613875411242072,9.914776135627447
S50,6.833512738023529,7.043614294075699,7.599101057123645,8.613875411242072,9.914776135627447,9.479917778020846
S51,7.043614294075699,7.599101057123645,8.613875411242072,9.914776135627447,9.479917778020846,9.639605562682995
S52,7.599101057123645,8.613875411242072,9.914776135627447,9.479917778020846,9.639605562682995,9.958650190215323
S53,8.613875411242072,9.914776135627447,9.479917778020846,9.639605562682995,9.958650190215323,9.763549584411336
S54,9.914776135627447,9.479917778020846,9.639605562682995,9.958650190215323,9.763549584411336,8.874403545518385
S55,9.479917778020846,9.639605562682995,9.958650190215323,9.763549584411336,8.874403545518385,8.551117578473194
S56,9.639605562682995,9.958650190215323,9.763549584411336,8.874403545518385,8.551117578473194,9.13572644417555
S57,9.958650190215323,9.763549584411336,8.874403545518385,8.551117578473194,9.13572644417555,8.315600874580774
S58,9.763549584411336,8.874403545518385,8.551117578473194,9.13572644417555,8.315600874580774,9.233464635352382
S59,8.874403545518385,8.551117578473194,9.13572644417555,8.315600874580774,9.233464635352382,10.187921988238353
S60,8.551117578473194,9.13572644417555,8.315600874580774,9.233464635352382,10.187921988238353,9.339908372545555
S61,9.13572644417555,8.315600874580774,9.233464635352382,10.187921988238353,9.339908372545555,9.56147932228615
S62,8.315600874580774,9.233464635352382,10.187921988238353,9.339908372545555,9.56147932228615,9.569564405556095
S63,9.233464635352382,10.187921988238353,9.339908372545555,9.56147932228615,9.569564405556095,8.94437468810559
S64,10.187921988238353,9.339908372545555,9.56147932228615,9.569564405556095,8.94437468810559,8.22464389669462
