Segment,F1,F2,F3,F4,F5,F6
S1,10.55304199475988,9.282777932375943,9.282777932375943,7.398645222618139,6.729656863528679,6.668274617917427
S2,9.282777932375943,9.282777932375943,7.398645222618139,6.729656863528679,6.668274617917427,7.6816821776246975
S3,9.282777932375943,7.398645222618139,6.729656863528679,6.668274617917427,7.6816821776246975,7.939577503706182
S4,7.398645222618139,6.729656863528679,6.668274617917427,7.6816821776246975,7.939577503706182,7.292387601199006
S5,6.729656863528679,6.668274617917427,7.6816821776246975,7.939577503706182,7.292387601199006,9.221543445041162
S6,6.668274617917427,7.6816821776246975,7.939577503706182,7.292387601199006,9.221543445041162,30.365353901575222
S7,7.6816821776246975,7.939577503706182,7.292387601199006,9.221543445041162,30.365353901575222,12.138666650132093
S8,7.939577503706182,7.292387601199006,9.221543445041162,30.365353901575222,12.138666650132093,10.475609175115588
S9,7.292387601199006,9.221543445041162,30.365353901575222,12.138666650132093,10.475609175115588,9.305863319736037
S10,9.221543445041162,30.365353901575222,12.138666650132093,10.475609175115588,9.305863319736037,6.73257253233565
S11,30.365353901575222,12.138666650132093,10.475609175115588,9.305863319736037,6.73257253233565,6.489385822361916
S12,12.138666650132093,10.475609175115588,9.305863319736037,6.73257253233565,6.489385822361916,7.005985729975102
S13,10.475609175115588,9.305863319736037,6.73257253233565,6.489385822361916,7.005985729975102,6.528845119148896
S14,9.305863319736037,6.73257253233565,6.489385822361916,7.005985729975102,6.528845119148896,6.456748923371636
S15,6.73257253233565,6.489385822361916,7.005985729975102,6.528845119148896,6.456748923371636,6.480256143879838
S16,6.489385822361916,7.005985729975102,6.528845119148896,6.456748923371636,6.480256143879838,6.614024638467437
S17,7.005985729975102,6.528845119148896,6.456748923371636,6.480256143879838,6.614024638467437,6.637110025827531
S18,6.528845119148896,6.456748923371636,6.480256143879838,6.614024638467437,6.637110025827531,6.921470222518506
S19,6.456748923371636,6.480256143879838,6.614024638467437,6.637110025827531,6.921470222518506,6.6583455800540134
S20,6.480256143879838,6.614024638467437,6.637110025827531,6.921470222518506,6.6583455800540134,6.520182205395544
S21,6.614024638467437,6.637110025827531,6.921470222518506,6.6583455800540134,6.520182205395544,8.809554506964785
S22,6.637110025827531,6.921470222518506,6.6583455800540134,6.520182205395544,8.809554506964785,9.132244715733522
S23,6.921470222518506,6.6583455800540134,6.520182205395544,8.809554506964785,9.132244715733522,6.85059513597052
S24,6.6583455800540134,6.520182205395544,8.809554506964785,9.132244715733522,6.85059513597052,6.4080039619192055
S25,6.520182205395544,8.809554506964785,9.132244715733522,6.85059513597052,6.4080039619192055,6.502538943340525
S26,8.809554506964785,9.132244715733522,6.85059513597052,6.4080039619192055,6.502538943340525,7.60479785654058
S27,9.132244715733522,6.85059513597052,6.4080039619192055,6.502538943340525,7.60479785654058,7.277673292745438
S28,6.85059513597052,6.4080039619192055,6.502538943340525,7.60479785654058,7.277673292745438,6.986120972602382
S29,6.4080039619192055,6.502538943340525,7.60479785654058,7.277673292745438,6.986120972602382,9.173524851550912
S30,6.502538943340525,7.60479785654058,7.277673292745438,6.986120972602382,9.173524851550912,9.13145589129984
S31,7.60479785654058,7.277673292745438,6.986120972602382,9.173524851550912,9.13145589129984,9.105939257803247
S32,7.277673292745438,6.986120972602382,9.173524851550912,9.13145589129984,9.105939257803247,9.176019128977364
S33,6.986120972602382,9.173524851550912,9.13145589129984,9.105939257803247,9.176019128977364,9.281405243870598
S34,9.173524851550912,9.13145589129984,9.105939257803247,9.176019128977364,9.281405243870598,8.085584086590043
S35,9.13145589129984,9.105939257803247,9.176019128977364,9.281405243870598,8.085584086590043,7.895628894670336
S36,9.105939257803247,9.176019128977364,9.281405243870598,8.085584086590043,7.895628894670336,7.683659457762539
S37,9.176019128977364,9.281405243870598,8.085584086590043,7.895628894670336,7.683659457762539,6.813205315839871
S38,9.281405243870598,8.085584086590043,7.895628894670336,7.683659457762539,6.813205315839871,7.867396584309273
S39,8.085584086590043,7.895628894670336,7.683659457762539,6.813205315839871,7.867396584309273,6.615571732163964
S40,7.895628894670336,7.683659457762539,6.813205315839871,7.867396584309273,6.615571732163964,6.637110025827531
S41,7.683659457762539,6.813205315839871,7.867396584309273,6.615571732163964,6.637110025827531,6.520182205395544
S42,6.813205315839871,7.867396584309273,6.615571732163964,6.637110025827531,6.520182205395544,7.879393104689781
S43,7.867396584309273,6.615571732163964,6.637110025827531,6.520182205395544,7.879393104689781,7.888056018443132
S44,6.615571732163964,6.637110025827531,6.520182205395544,7.879393104689781,7.888056018443132,6.528845119148896
S45,6.637110025827531,6.520182205395544,7.879393104689781,7.888056018443132,6.528845119148896,6.49709681803545
S46,6.520182205395544,7.879393104689781,7.888056018443132,6.528845119148896,6.49709681803545,7.476272018675436
S47,7.879393104689781,7.888056018443132,6.528845119148896,6.49709681803545,7.476272018675436,8.306085714251354
S48,7.888056018443132,6.528845119148896,6.49709681803545,7.476272018675436,8.306085714251354,8.927766797937837
S49,6.528845119148896,6.49709681803545,7.476272018675436,8.306085714251354,8.927766797937837,9.236835834102331
S50,6.49709681803545,7.476272018675436,8.306085714251354,8.927766797937837,9.236835834102331,8.50981312743811
S51,7.476272018675436,8.306085714251354,8.927766797937837,9.236835834102331,8.50981312743811,8.999711626201666
S52,8.306085714251354,8.927766797937837,9.236835834102331,8.50981312743811,8.999711626201666,9.213200494727486
S53,8.927766797937837,9.236835834102331,8.50981312743811,8.999711626201666,9.213200494727486,9.282777932375943
S54,9.236835834102331,8.50981312743811,8.999711626201666,9.213200494727486,9.282777932375943,7.54826292151541
S55,8.50981312743811,8.999711626201666,9.213200494727486,9.282777932375943,7.54826292151541,8.005862537053375
S56,8.999711626201666,9.213200494727486,9.282777932375943,7.54826292151541,8.005862537053375,9.038993632465054
