Segment,F1,F2,F3,F4,F5,F6
S1,17.879295425398684,9.05211940129896,8.998840668347682,8.07755696314104,8.39807209585374,7.800096404234465
S2,9.05211940129896,8.998840668347682,8.07755696314104,8.39807209585374,7.800096404234465,7.938979153418995
S3,8.998840668347682,8.07755696314104,8.39807209585374,7.800096404234465,7.938979153418995,8.071660290631986
S4,8.07755696314104,8.39807209585374,7.800096404234465,7.938979153418995,8.071660290631986,7.170749299941319
S5,8.39807209585374,7.800096404234465,7.938979153418995,8.071660290631986,7.170749299941319,8.888345123484093
S6,7.800096404234465,7.938979153418995,8.071660290631986,7.170749299941319,8.888345123484093,10.439925469295314
S7,7.938979153418995,8.071660290631986,7.170749299941319,8.888345123484093,10.439925469295314,11.069278316710088
S8,8.071660290631986,7.170749299941319,8.888345123484093,10.439925469295314,11.069278316710088,10.462252040836043
S9,7.170749299941319,8.888345123484093,10.439925469295314,11.069278316710088,10.462252040836043,9.057916047530894
S10,8.888345123484093,10.439925469295314,11.069278316710088,10.462252040836043,9.057916047530894,6.277793134583571
S11,10.439925469295314,11.069278316710088,10.462252040836043,9.057916047530894,6.277793134583571,7.042368736135074
S12,11.069278316710088,10.462252040836043,9.057916047530894,6.277793134583571,7.042368736135074,7.260698971119372
S13,10.462252040836043,9.057916047530894,6.277793134583571,7.042368736135074,7.260698971119372,7.300480556105919
S14,9.057916047530894,6.277793134583571,7.042368736135074,7.260698971119372,7.300480556105919,6.64472685376953
S15,6.277793134583571,7.042368736135074,7.260698971119372,7.300480556105919,6.64472685376953,6.132902210205865
S16,7.042368736135074,7.260698971119372,7.300480556105919,6.64472685376953,6.132902210205865,6.735405314368709
S17,7.260698971119372,7.300480556105919,6.64472685376953,6.132902210205865,6.735405314368709,6.629032182254243
S18,7.300480556105919,6.64472685376953,6.132902210205865,6.735405314368709,6.629032182254243,7.125729941415421
S19,6.64472685376953,6.132902210205865,6.735405314368709,6.629032182254243,7.125729941415421,6.959660946492856
S20,6.132902210205865,6.735405314368709,6.629032182254243,7.125729941415421,6.959660946492856,6.534247821961393
S21,6.735405314368709,6.629032182254243,7.125729941415421,6.959660946492856,6.534247821961393,9.192592652793543
S22,6.629032182254243,7.125729941415421,6.959660946492856,6.534247821961393,9.192592652793543,9.510171890027742
S23,7.125729941415421,6.959660946492856,6.534247821961393,9.192592652793543,9.510171890027742,6.785163656700993
S24,6.959660946492856,6.534247821961393,9.192592652793543,9.510171890027742,6.785163656700993,5.7692827195551
S25,6.534247821961393,9.192592652793543,9.510171890027742,6.785163656700993,5.7692827195551,6.938442627785698
S26,9.192592652793543,9.510171890027742,6.785163656700993,5.7692827195551,6.938442627785698,7.4710071121225665
S27,9.510171890027742,6.785163656700993,5.7692827195551,6.938442627785698,7.4710071121225665,7.6588001725688635
S28,6.785163656700993,5.7692827195551,6.938442627785698,7.4710071121225665,7.6588001725688635,6.952494412442123
S29,5.7692827195551,6.938442627785698,7.4710071121225665,7.6588001725688635,6.952494412442123,8.985588265930994
S30,6.938442627785698,7.4710071121225665,7.6588001725688635,6.952494412442123,8.985588265930994,8.952446827231473
S31,7.4710071121225665,7.6588001725688635,6.952494412442123,8.985588265930994,8.952446827231473,8.757002781282509
S32,7.6588001725688635,6.952494412442123,8.985588265930994,8.952446827231473,8.757002781282509,8.70239834900032
S33,6.952494412442123,8.985588265930994,8.952446827231473,8.757002781282509,8.70239834900032,9.168896973288321
S34,8.985588265930994,8.952446827231473,8.757002781282509,8.70239834900032,9.168896973288321,8.18769641361764
S35,8.952446827231473,8.757002781282509,8.70239834900032,9.168896973288321,8.18769641361764,7.985047968244269
S36,8.757002781282509,8.70239834900032,9.168896973288321,8.18769641361764,7.985047968244269,7.83687880907707
S37,8.70239834900032,9.168896973288321,8.18769641361764,7.985047968244269,7.83687880907707,7.147579426822222
S38,9.168896973288321,8.18769641361764,7.985047968244269,7.83687880907707,7.147579426822222,7.791595066336295
S39,8.18769641361764,7.985047968244269,7.83687880907707,7.147579426822222,7.791595066336295,6.438910636298252
S40,7.985047968244269,7.83687880907707,7.147579426822222,7.791595066336295,6.438910636298252,6.716080816706299
S41,7.83687880907707,7.147579426822222,7.791595066336295,6.438910636298252,6.716080816706299,6.580484711348958
S42,7.147579426822222,7.791595066336295,6.438910636298252,6.716080816706299,6.580484711348958,7.943508118595373
S43,7.791595066336295,6.438910636298252,6.716080816706299,6.580484711348958,7.943508118595373,8.056406772777
S44,6.438910636298252,6.716080816706299,6.580484711348958,7.943508118595373,8.056406772777,6.605463482713523
S45,6.716080816706299,6.580484711348958,7.943508118595373,8.056406772777,6.605463482713523,6.4463279391443296
S46,6.580484711348958,7.943508118595373,8.056406772777,6.605463482713523,6.4463279391443296,7.71957702393559
S47,7.943508118595373,8.056406772777,6.605463482713523,6.4463279391443296,7.71957702393559,8.360492451119393
S48,8.056406772777,6.605463482713523,6.4463279391443296,7.71957702393559,8.360492451119393,8.887832617433828
S49,6.605463482713523,6.4463279391443296,7.71957702393559,8.360492451119393,8.887832617433828,9.020601721901471
S50,6.4463279391443296,7.71957702393559,8.360492451119393,8.887832617433828,9.020601721901471,8.644005531445659
S51,7.71957702393559,8.360492451119393,8.887832617433828,9.020601721901471,8.644005531445659,9.455952908320585
S52,8.360492451119393,8.887832617433828,9.020601721901471,8.644005531445659,9.455952908320585,9.38069206509358
S53,8.887832617433828,9.020601721901471,8.644005531445659,9.455952908320585,9.38069206509358,9.18603806557476
S54,9.020601721901471,8.644005531445659,9.455952908320585,9.38069206509358,9.18603806557476,8.027773313432126
S55,8.644005531445659,9.455952908320585,9.38069206509358,9.18603806557476,8.027773313432126,7.779204472080339
S56,9.455952908320585,9.38069206509358,9.18603806557476,8.027773313432126,7.779204472080339,9.176354091612287
S57,9.38069206509358,9.18603806557476,8.027773313432126,7.779204472080339,9.176354091612287,7.679852712342773
S58,9.18603806557476,8.027773313432126,7.779204472080339,9.176354091612287,7.679852712342773,9.065935702304653
S59,8.027773313432126,7.779204472080339,9.176354091612287,7.679852712342773,9.065935702304653,14.037653507802682
S60,7.779204472080339,9.176354091612287,7.679852712342773,9.065935702304653,14.037653507802682,9.571812654844244
S61,9.176354091612287,7.679852712342773,9.065935702304653,14.037653507802682,9.571812654844244,8.983587837065551
S62,7.679852712342773,9.065935702304653,14.037653507802682,9.571812654844244,8.983587837065551,9.207398802823368
S63,9.065935702304653,14.037653507802682,9.571812654844244,8.983587837065551,9.207398802823368,9.03588042272754
S64,14.037653507802682,9.571812654844244,8.983587837065551,9.207398802823368,9.03588042272754,7.150749699274775
S65,9.571812654844244,8.983587837065551,9.207398802823368,9.03588042272754,7.150749699274775,7.166464755860317
S66,8.983587837065551,9.207398802823368,9.03588042272754,7.150749699274775,7.166464755860317,7.245003886628003
S67,9.207398802823368,9.03588042272754,7.150749699274775,7.166464755860317,7.245003886628003,6.526059721442352
S68,9.03588042272754,7.150749699274775,7.166464755860317,7.245003886628003,6.526059721442352,8.01967561542049
S69,7.150749699274775,7.166464755860317,7.245003886628003,6.526059721442352,8.01967561542049,9.46131808416171
S70,7.166464755860317,7.245003886628003,6.526059721442352,8.01967561542049,9.46131808416171,6.720840201427448
S71,7.245003886628003,6.526059721442352,8.01967561542049,9.46131808416171,6.720840201427448,6.767183570812112
S72,6.526059721442352,8.01967561542049,9.46131808416171,6.720840201427448,6.767183570812112,6.580484711348958
S73,8.01967561542049,9.46131808416171,6.720840201427448,6.767183570812112,6.580484711348958,7.119252050485366
S74,9.46131808416171,6.720840201427448,6.767183570812112,6.580484711348958,7.119252050485366,6.797687189438008
S75,6.720840201427448,6.767183570812112,6.580484711348958,7.119252050485366,6.797687189438008,6.077180150378126
S76,6.767183570812112,6.580484711348958,7.119252050485366,6.797687189438008,6.077180150378126,7.955069135854121
