Segment,F1,F2,F3,F4,F5,F6
S1,10.528497007827443,9.342882879269855,9.272126032710505,6.4330462920978775,6.28782621084477,6.15619864915667
S2,9.342882879269855,9.272126032710505,6.4330462920978775,6.28782621084477,6.15619864915667,7.136283554826829
S3,9.272126032710505,6.4330462920978775,6.28782621084477,6.15619864915667,7.136283554826829,6.728371942621261
S4,6.4330462920978775,6.28782621084477,6.15619864915667,7.136283554826829,6.728371942621261,6.886739890308641
S5,6.28782621084477,6.15619864915667,7.136283554826829,6.728371942621261,6.886739890308641,12.653452444317226
S6,6.15619864915667,7.136283554826829,6.728371942621261,6.886739890308641,12.653452444317226,19.75389479172989
S7,7.136283554826829,6.728371942621261,6.886739890308641,12.653452444317226,19.75389479172989,11.865227394250724
S8,6.728371942621261,6.886739890308641,12.653452444317226,19.75389479172989,11.865227394250724,10.251613799747377
S9,6.886739890308641,12.653452444317226,19.75389479172989,11.865227394250724,10.251613799747377,9.272126032710505
S10,12.653452444317226,19.75389479172989,11.865227394250724,10.251613799747377,9.272126032710505,6.15902488536507
S11,19.75389479172989,11.865227394250724,10.251613799747377,9.272126032710505,6.15902488536507,6.15902488536507
S12,11.865227394250724,10.251613799747377,9.272126032710505,6.15902488536507,6.15902488536507,6.546606237730693
S13,10.251613799747377,9.272126032710505,6.15902488536507,6.15902488536507,6.546606237730693,6.118996868631613
S14,9.272126032710505,6.15902488536507,6.15902488536507,6.546606237730693,6.118996868631613,6.15619864915667
S15,6.15902488536507,6.15902488536507,6.546606237730693,6.118996868631613,6.15619864915667,6.15619864915667
S16,6.15902488536507,6.546606237730693,6.118996868631613,6.15619864915667,6.15619864915667,6.228508994384489
S17,6.546606237730693,6.118996868631613,6.15619864915667,6.15619864915667,6.228508994384489,6.1913072138594325
S18,6.118996868631613,6.15619864915667,6.15619864915667,6.228508994384489,6.1913072138594325,6.405954044212786
S19,6.15619864915667,6.15619864915667,6.228508994384489,6.1913072138594325,6.405954044212786,6.245270098446383
S20,6.15619864915667,6.228508994384489,6.1913072138594325,6.405954044212786,6.245270098446383,6.156850621278384
S21,6.228508994384489,6.1913072138594325,6.405954044212786,6.245270098446383,6.156850621278384,9.255915812264007
S22,6.1913072138594325,6.405954044212786,6.245270098446383,6.156850621278384,9.255915812264007,9.255915812264007
S23,6.405954044212786,6.245270098446383,6.156850621278384,9.255915812264007,9.255915812264007,6.15902488536507
S24,6.245270098446383,6.156850621278384,9.255915812264007,9.255915812264007,6.15902488536507,6.15902488536507
