Segment,F1,F2,F3,F4,F5,F6
S1,10.5518675,9.282191,9.25866,7.9809656,7.683619,7.576957
S2,9.282191,9.25866,7.9809656,7.683619,7.576957,8.059718
S3,9.25866,7.9809656,7.683619,7.576957,8.059718,8.212962
S4,7.9809656,7.683619,7.576957,8.059718,8.212962,8.020656
S5,7.683619,7.576957,8.059718,8.212962,8.020656,9.698474
S6,7.576957,8.059718,8.212962,8.020656,9.698474,10.288292
S7,8.059718,8.212962,8.020656,9.698474,10.288292,10.917993
S8,8.212962,8.020656,9.698474,10.288292,10.917993,9.82526
S9,8.020656,9.698474,10.288292,10.917993,9.82526,9.365775
S10,9.698474,10.288292,10.917993,9.82526,9.365775,7.6992493
S11,10.288292,10.917993,9.82526,9.365775,7.6992493,7.431064
S12,10.917993,9.82526,9.365775,7.6992493,7.431064,7.5808344
S13,9.82526,9.365775,7.6992493,7.431064,7.5808344,7.5127554
S14,9.365775,7.6992493,7.431064,7.5808344,7.5127554,7.305388
S15,7.6992493,7.431064,7.5808344,7.5127554,7.305388,7.2492867
S16,7.431064,7.5808344,7.5127554,7.305388,7.2492867,7.341301
S17,7.5808344,7.5127554,7.305388,7.2492867,7.341301,7.424168
S18,7.5127554,7.305388,7.2492867,7.341301,7.424168,7.648575
S19,7.305388,7.2492867,7.341301,7.424168,7.648575,7.4884834
S20,7.2492867,7.341301,7.424168,7.648575,7.4884834,7.3625035
S21,7.341301,7.424168,7.648575,7.4884834,7.3625035,8.72754
S22,7.424168,7.648575,7.4884834,7.3625035,8.72754,9.161484
S23,7.648575,7.4884834,7.3625035,8.72754,9.161484,7.72546
S24,7.4884834,7.3625035,8.72754,9.161484,7.72546,7.2630386
S25,7.3625035,8.72754,9.161484,7.72546,7.2630386,7.2249284
S26,8.72754,9.161484,7.72546,7.2630386,7.2249284,8.101559
S27,9.161484,7.72546,7.2630386,7.2249284,8.101559,8.013257
S28,7.72546,7.2630386,7.2249284,8.101559,8.013257,7.5864525
S29,7.2630386,7.2249284,8.101559,8.013257,7.5864525,8.794748
S30,7.2249284,8.101559,8.013257,7.5864525,8.794748,9.054524
S31,8.101559,8.013257,7.5864525,8.794748,9.054524,9.13429
S32,8.013257,7.5864525,8.794748,9.054524,9.13429,9.187236
S33,7.5864525,8.794748,9.054524,9.13429,9.187236,9.002911
