Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,7.488968,6.737127,0.524199,-5.516866,13.425541,2.702739
S2,7.489002,6.737193,0.497323,-6.136925,13.425541,2.703871
S3,7.827574,7.16364,0.103671,-2.249105,13.425541,2.671256
S4,7.752852,7.029624,0.076126,-2.287269,13.425541,2.528573
S5,7.803173,7.192987,0.113631,-2.313556,13.425541,2.585674
S6,7.633182,6.89396,0.050098,-2.413151,13.425541,2.083435
S7,7.439128,6.43479,-0.060708,-2.402501,13.425541,1.750713
S8,7.165887,5.889456,-0.103461,-2.34697,13.425541,1.50256
S9,6.84134,5.377341,-0.102055,-2.243843,13.425541,1.295744
S10,6.521348,5.072253,-0.103095,-1.413175,13.425541,1.068708
S11,6.339219,4.81609,-0.087519,-1.078049,13.425541,0.987347
S12,5.310916,3.831642,0.060786,-0.524919,13.425541,0.746332
S13,3.711781,2.934944,0.429395,0.139643,8.638877,0.387448
S14,3.657649,2.877807,0.492991,0.128384,8.638877,0.386331
S15,2.746871,2.337272,0.666638,0.308014,5.177202,0.360476
S16,2.564574,2.121742,0.649131,0.259172,5.177202,0.284444
S17,2.372263,1.846207,0.656349,0.186719,5.177202,0.206912
S18,2.31581,1.787101,0.675669,0.178532,5.177202,0.189794
S19,2.317451,1.79506,0.678704,0.180868,5.177202,0.190937
S20,2.438813,1.984496,0.674119,0.248018,5.177202,0.237913
S21,2.603686,2.157447,0.677348,0.287549,5.177202,0.300797
S22,2.35805,2.016823,0.634067,0.332287,3.489706,0.353754
S23,2.191568,1.792935,0.471246,0.206122,3.489706,0.337571
S24,2.193206,1.806722,0.461898,0.066328,3.489706,0.340119
S25,2.752957,2.113818,-0.204916,-0.172016,6.350318,0.751196
S26,2.983977,2.274876,-0.410512,-0.53893,6.350318,0.898721
S27,2.923859,2.146271,-0.358869,-0.797963,6.350318,0.886791
S28,2.979202,2.249966,-0.375643,-0.642658,6.350318,0.896787
S29,3.983777,3.007667,-0.368506,-0.119049,9.162037,0.943303
S30,5.379437,3.905943,-0.256924,-0.027574,12.66351,0.965454
S31,5.419504,4.057029,-0.217642,-0.027321,12.66351,0.979564
S32,5.835841,4.498405,-0.017932,-0.054815,12.66351,0.970008
S33,6.005599,4.711388,0.011612,-0.13597,12.66351,0.924495
S34,6.095418,4.839083,-0.095126,-0.277343,12.66351,0.873922
S35,6.106802,4.9215,-0.135824,-0.24838,12.66351,0.888381
S36,6.10664,4.91845,-0.117885,-0.258035,12.66351,0.887711
S37,5.942991,4.729432,-0.023163,-0.567629,12.66351,0.484366
S38,5.820933,4.550187,0.107271,-0.685956,12.66351,0.367258
S39,6.241076,5.151258,-0.017005,-1.036008,12.66351,0.402984
S40,6.473852,5.497458,-0.140561,-1.246157,12.66351,0.422125
S41,5.922918,4.85137,0.091531,-0.942121,12.66351,0.388614
S42,5.319082,4.536314,0.130717,-1.045416,8.88283,0.381803
S43,5.336072,4.57179,0.166928,-1.061355,8.88283,0.385243
S44,4.854622,4.08419,0.033753,-0.933136,8.88283,0.362424
S45,4.582024,3.772541,-0.001131,-0.527036,8.88283,0.366291
S46,4.715333,3.881703,0.029531,-0.156465,8.88283,1.096704
S47,4.990673,4.255161,0.108076,-0.075035,8.88283,1.439061
S48,5.117468,4.55741,0.18925,-0.032213,8.88283,1.5401
S49,4.980534,4.239355,0.088828,-0.016798,8.88283,1.513354
S50,5.123169,4.419117,0.377937,-0.057978,8.88283,1.49137
S51,5.090801,4.39763,-0.194882,-0.018822,8.88283,4.586266
S52,5.542253,4.693057,-0.356279,-0.261309,9.896922,5.428253
S53,5.915254,5.183856,-0.352998,-0.337079,9.896922,6.664003
S54,6.95545,5.733434,-0.370865,-1.781579,15.477769,8.484393
S55,7.442261,6.301298,-0.376098,-2.652878,15.477769,9.352695
S56,7.74588,6.770101,-0.338,-3.7864,15.477769,9.785108
S57,10.38906,8.589455,-0.266203,-0.422005,24.089458,9.808624
S58,11.03033,9.254712,-0.34641,-0.291142,24.089458,9.099844
S59,11.256376,9.579102,-0.411174,-0.27602,24.089458,8.785472
S60,11.342991,9.771467,-0.472843,-0.300566,24.089458,8.719036
S61,11.701318,10.579168,-0.512263,-0.3146,24.089458,8.762851
S62,12.248766,11.283222,-0.398092,-0.253199,24.089458,8.775424
S63,12.151161,11.09883,-0.40512,-0.267949,24.089458,5.839549
S64,12.182594,11.136608,-0.38605,-0.350108,24.089458,5.005971
S65,12.182646,11.136695,-0.468759,-0.532071,24.089458,3.797321
S66,11.427656,10.268968,-0.247828,-0.594618,24.089458,1.964461
S67,11.298808,10.097749,0.129388,-0.508547,24.089458,3.596905
S68,11.132093,9.77511,0.375464,-0.754337,24.089458,3.174527
S69,8.944377,8.375718,0.570087,-0.281769,14.315071,4.953114
S70,7.980034,7.433764,0.645384,-0.149965,13.535694,4.923394
S71,7.520052,6.871046,0.675399,-0.002394,13.535694,4.938743
S72,7.319908,6.502757,0.676384,0.061888,13.535694,4.926849
S73,6.844765,6.030358,0.688349,0.100927,13.535694,4.910632
S74,5.627641,4.987753,0.427277,0.018214,10.350251,4.874585
S75,6.177952,5.402187,0.349463,-0.099966,10.350251,4.721878
S76,6.584677,5.624339,-0.035251,-0.152142,13.016077,4.728625
S77,6.242889,5.084389,-0.178106,-0.108586,13.016077,4.696283
S78,6.205093,5.035062,-0.243433,-0.108541,13.016077,4.694424
S79,5.814898,4.455752,-0.218129,-0.223681,13.016077,2.17694
S80,5.879711,4.542302,-0.132134,-0.247769,13.016077,2.201594
S81,6.161349,4.741916,-0.304667,-0.872364,13.016077,0.48006
S82,7.007668,5.486815,-0.428659,-1.162434,13.016077,0.69412
S83,7.590842,6.117889,-0.580128,-1.658198,13.016077,0.797871
S84,9.425574,7.586122,-0.242885,-0.531849,19.441416,0.822583
S85,9.825539,8.105853,-0.304668,-0.59444,19.441416,0.942252
S86,10.330906,8.94577,-0.399331,-0.690158,19.441416,1.127245
S87,10.400008,9.012552,-0.358032,-0.553114,19.441416,1.119872
S88,10.273564,8.907001,-0.305826,-0.6091,19.441416,1.294055
S89,10.305604,9.082816,-0.252494,-0.569926,19.441416,1.339859
S90,10.323099,9.121183,-0.105755,-0.499261,19.441416,1.478683
S91,10.332915,9.211958,-0.125428,-0.5077,19.441416,1.487857
S92,10.244155,8.923793,-0.112343,-0.485651,19.441416,1.447546
S93,9.887908,8.349945,-0.090801,-0.394126,19.441416,1.350762
S94,9.388799,7.789954,-0.053467,-0.292734,19.441416,1.146626
S95,8.920097,7.147116,0.012103,-0.202874,19.441416,1.00351
S96,7.334629,6.217772,-0.27309,-0.895047,11.749455,0.996378
S97,6.789938,5.698771,-0.19318,-0.575189,11.749455,0.925882
S98,6.161465,5.195211,-0.094546,-0.311978,11.749455,0.811158
S99,9.887957,6.685402,-0.170627,-5.920217,29.008388,1.105182
S100,9.717935,6.531442,-0.149276,-6.088874,29.008388,1.01327
S101,9.683363,6.348294,-0.172483,-6.518618,29.008388,0.96834
S102,9.585606,6.046951,-0.27179,-8.704963,29.008388,0.810048
S103,9.584594,6.040986,-0.224924,-8.011078,29.008388,0.817894
S104,9.584543,6.040645,-0.1917,-7.660293,29.008388,0.823966
S105,9.550911,5.839155,-0.154848,-7.675943,29.008388,0.804933
S106,9.433057,5.462805,-0.09961,-9.195382,29.008388,0.778496
S107,9.420511,5.416205,-0.094828,-9.488665,29.008388,0.775098
S108,9.162366,5.003664,0.139121,-17.170373,29.008388,0.753765
S109,9.361689,5.305786,-0.036204,-8.712535,29.008388,0.716537
S110,9.307785,5.190637,0.00806,-7.814664,29.008388,0.715741
S111,5.381492,3.791827,-0.024128,-1.624309,12.22267,0.636604
S112,4.776351,3.377332,0.130901,-0.708441,12.22267,0.70145
S113,5.104241,3.839479,0.182047,-0.559428,12.22267,1.406912
S114,5.360152,4.214684,0.242638,-0.54049,12.22267,1.778432
S115,5.545573,4.513548,0.261228,-0.547413,12.22267,1.94706
S116,5.919702,5.003619,0.277947,-0.583465,12.22267,3.08298
S117,6.126224,5.427743,0.310772,-0.642732,12.22267,3.297653
S118,6.293689,5.788775,0.337112,-0.725553,12.22267,3.442856
S119,6.274139,5.722823,0.344144,-0.774594,12.22267,3.437575
S120,6.778732,6.235967,-0.058398,-0.588952,12.22267,3.462808
S121,6.413706,5.761875,-0.063757,-0.961917,12.22267,3.440432
S122,6.32853,5.514849,-0.087954,-0.844618,12.22267,3.368142
S123,5.254836,4.528536,-0.265024,-0.260985,9.496531,3.115572
S124,5.07792,4.245585,-0.377577,-0.177405,9.496531,2.928821
S125,4.837456,3.996302,-0.495369,-0.1653,9.496531,2.284551
S126,4.637051,3.788777,-0.649334,-0.105627,9.496531,1.926907
S127,4.392161,3.399878,-0.640196,-0.091332,9.496531,1.740967
S128,3.851358,2.806478,-0.511779,-0.071946,9.496531,0.587525
S129,3.599443,2.577928,-0.30212,-0.132349,9.496531,0.390173
S130,3.342976,2.326171,0.110213,-0.281559,9.496531,0.25359
S131,3.372742,2.381695,-0.135995,-0.251697,9.496531,0.266697
S132,2.923211,2.215158,0.02647,-0.200825,7.49809,0.260778
S133,2.975135,2.274304,0.017758,-0.217275,7.49809,0.264927
S134,3.00659,2.353409,-1.7e-05,-0.253292,7.49809,0.273386
S135,3.149993,2.594319,0.101933,-0.111227,7.49809,0.34301
S136,3.165299,2.622701,0.092982,-0.121184,7.49809,0.346024
S137,3.651544,2.941467,0.194093,-0.006397,7.49809,3.830239
S138,4.002363,3.212406,0.301036,0.059018,7.49809,5.309519
S139,4.408483,3.705166,0.352429,0.051575,7.49809,6.317615
S140,4.782321,4.224171,0.389627,0.021843,7.49809,7.330044
S141,4.967895,4.446509,0.385637,-0.06351,7.49809,7.59117
