Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,7.293789,6.66478,0.345397,-5.181605,11.102358,2.923608
S2,7.295072,6.689536,0.320551,-5.772085,11.102358,2.925738
S3,7.487418,6.937963,-0.00929,-1.972854,11.102358,2.86983
S4,7.079439,6.483529,0.051172,-1.741006,11.102358,2.550795
S5,7.132568,6.620034,0.099519,-1.768495,11.102358,2.604768
S6,6.87789,6.267602,0.039682,-1.771116,11.102358,2.020516
S7,6.545507,5.667247,-0.054511,-1.634151,11.102358,1.606037
S8,6.219684,5.156438,-0.089263,-1.521439,11.102358,1.358019
S9,5.836203,4.640597,-0.071445,-1.360686,11.102358,1.149527
S10,5.571698,4.403953,-0.064809,-0.761527,11.102358,0.951605
S11,5.244216,4.040893,0.006119,-0.42215,11.102358,0.8523
S12,4.531718,3.281781,0.173878,-0.110283,11.102358,0.667717
S13,3.207683,2.401886,0.653791,0.357465,7.213302,0.357214
S14,3.274476,2.552965,0.706671,0.301438,7.213302,0.372507
S15,2.603405,2.13248,0.720873,0.378409,4.955608,0.354307
S16,2.397952,1.938474,0.663425,0.352309,4.955608,0.27723
S17,2.163173,1.64017,0.666922,0.323765,4.955608,0.194093
S18,2.005589,1.469311,0.748637,0.383875,4.955608,0.154151
S19,2.038168,1.565037,0.74628,0.366404,4.955608,0.166985
S20,2.145135,1.691704,0.756802,0.418219,4.955608,0.203741
S21,2.270497,1.820061,0.773949,0.458224,4.955608,0.25412
S22,2.129387,1.751771,0.703091,0.455506,4.136137,0.323931
S23,1.982631,1.54478,0.605842,0.350278,4.136137,0.308493
S24,1.995128,1.606439,0.50201,0.227361,4.136137,0.317193
S25,2.742423,2.10619,0.062605,-0.163064,6.540618,0.758781
S26,3.385581,2.516588,-0.388062,-0.981046,7.264161,0.987207
S27,3.374841,2.49898,-0.308731,-1.395379,7.264161,0.992327
S28,3.409431,2.561987,-0.27462,-1.151351,7.264161,0.997125
S29,4.314545,3.32484,-0.253158,-0.31259,9.159313,1.044389
S30,5.529158,4.251041,-0.157188,-0.085569,12.011686,1.080053
S31,5.535269,4.275074,-0.146188,-0.071679,12.011686,1.079215
S32,5.858186,4.656928,-0.090993,-0.062908,12.011686,1.067765
S33,5.929548,4.773019,-0.113052,-0.107382,12.011686,1.024348
S34,5.869002,4.671802,-0.1002,-0.18421,12.011686,0.944323
S35,5.911916,4.859865,-0.142379,-0.169973,12.011686,0.975807
S36,5.909477,4.837246,-0.157979,-0.178111,12.011686,0.972258
S37,5.680581,4.567885,-0.303661,-0.432249,12.011686,0.550294
S38,5.389621,4.275634,-0.04766,-0.445365,12.011686,0.374622
S39,5.734507,4.701079,-0.046528,-0.718908,12.011686,0.388932
S40,5.937673,4.996539,-0.179716,-0.889501,12.011686,0.404192
S41,5.323097,4.309903,0.052882,-0.568677,12.011686,0.365894
S42,4.715981,4.011811,0.075552,-0.607875,8.434572,0.35948
S43,4.739696,4.070693,0.100123,-0.626337,8.434572,0.365355
S44,4.307789,3.637299,0.09756,-0.522161,8.434572,0.345214
S45,4.215223,3.529979,-0.003945,-0.292337,8.434572,0.372961
S46,4.606182,3.875308,-0.226477,-0.103544,8.434572,1.205761
S47,4.945125,4.228043,-0.238396,-0.055502,8.434572,1.58752
S48,5.107146,4.557011,-0.177812,-0.028053,8.434572,1.70013
S49,5.018415,4.314994,-0.297013,-0.032324,8.434572,1.680597
S50,5.108252,4.418841,-0.269427,-0.051826,8.434572,1.642266
