Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,7.085785,6.452152,0.469565,-4.834058,11.509162,2.727813
S2,7.076854,6.408382,0.39099,-5.372998,11.509162,2.724669
S3,7.225867,6.593763,0.138459,-1.768786,11.509162,2.657934
S4,7.116174,6.4277,0.113134,-1.769525,11.509162,2.494117
S5,7.189852,6.690165,0.172835,-1.813143,11.509162,2.570764
S6,6.971361,6.36629,0.103417,-1.846947,11.509162,2.025068
S7,6.696228,5.810719,-0.007903,-1.75686,11.509162,1.644002
S8,6.387315,5.332563,-0.047635,-1.659185,11.509162,1.401789
S9,6.008887,4.792894,-0.036582,-1.502451,11.509162,1.189223
S10,5.679476,4.504965,-0.032657,-0.830335,11.509162,0.973272
S11,5.296408,4.104411,0.030776,-0.450598,11.509162,0.865046
S12,4.579126,3.359748,0.19001,-0.133635,11.509162,0.680868
S13,3.151297,2.408176,0.6512,0.379856,6.860688,0.355077
S14,3.182434,2.471337,0.721551,0.340157,6.860688,0.362584
S15,2.597291,2.111834,0.68472,0.381326,4.958574,0.349714
S16,2.50425,2.04014,0.568291,0.293613,4.958574,0.289072
S17,2.280788,1.74733,0.582313,0.24823,4.958574,0.206736
S18,2.13626,1.561742,0.692963,0.300974,4.958574,0.164122
S19,2.26981,1.778987,0.694999,0.214201,4.958574,0.193212
S20,2.247742,1.73286,0.76954,0.361231,4.958574,0.192153
S21,2.31452,1.824674,0.780649,0.437011,4.958574,0.22935
S22,1.973517,1.632578,0.761505,0.532302,2.8801,0.263517
S23,1.796423,1.419451,0.705395,0.46659,2.8801,0.247914
S24,1.804668,1.450669,0.631002,0.367836,2.8801,0.253277
S25,2.663274,2.0086,0.176352,-0.096899,6.785471,0.715311
S26,3.457979,2.503824,-0.299096,-1.066678,7.882846,0.968039
S27,3.490989,2.544888,-0.217737,-1.563095,7.882846,0.98351
S28,3.466535,2.513269,-0.135658,-1.22402,7.882846,0.975992
S29,4.354085,3.268086,-0.077631,-0.336758,9.12683,1.022334
S30,5.571205,4.222165,-0.0153,-0.102143,12.055326,1.062972
S31,5.537969,4.135908,0.001328,-0.072725,12.055326,1.047182
S32,5.913789,4.671527,-0.035679,-0.083181,12.055326,1.069882
S33,6.025265,4.867922,-0.113709,-0.143422,12.055326,1.044972
S34,6.016787,4.847764,-0.232773,-0.244599,12.055326,0.997195
S35,6.081641,5.080632,-0.290644,-0.238114,12.055326,1.036233
S36,6.080594,5.070009,-0.313854,-0.247327,12.055326,1.034327
S37,5.835161,4.780289,-0.450815,-0.511259,12.055326,0.595667
S38,5.476991,4.429788,-0.184038,-0.492606,12.055326,0.397393
S39,5.773761,4.761648,-0.099536,-0.742521,12.055326,0.397661
S40,5.970282,5.038806,-0.250423,-0.910312,12.055326,0.4108
S41,5.364605,4.357975,-0.04782,-0.593237,12.055326,0.373034
S42,4.784097,4.073289,-0.04926,-0.654658,8.639102,0.367505
S43,4.801063,4.116496,-0.031779,-0.668723,8.639102,0.371781
S44,4.36431,3.6858,0.000632,-0.562366,8.639102,0.352416
S45,4.208457,3.48823,0.067741,-0.288192,8.639102,0.363831
S46,4.562192,3.83401,0.021739,-0.082567,8.639102,1.139151
S47,4.824839,4.098159,0.214549,-0.004777,8.639102,1.484442
S48,4.985653,4.418871,0.261898,0.020277,8.639102,1.594954
S49,4.898381,4.207529,0.171462,0.016469,8.639102,1.579598
S50,5.01796,4.3401,0.266324,-0.014971,8.639102,1.544564
S51,5.245129,4.487542,-0.295661,-0.08153,8.791028,5.152922
S52,5.775437,4.85216,-0.452222,-0.369678,10.201977,6.025307
S53,6.768039,5.794143,-0.50422,-0.750395,12.260659,8.115046
S54,7.064258,6.00144,-0.577897,-1.869287,12.260659,9.411927
S55,7.575387,6.632577,-0.602652,-2.784731,12.260659,10.298193
S56,8.127973,7.328234,-0.566471,-4.27026,12.260659,10.887588
S57,10.046067,8.859431,-0.025416,-0.329661,20.570275,10.902902
S58,10.492064,9.343348,-0.094669,-0.168205,20.570275,10.159045
S59,10.649354,9.562998,-0.202041,-0.142107,20.570275,9.813905
S60,10.69124,9.65369,-0.300394,-0.155403,20.570275,9.730849
S61,10.960674,10.289506,-0.403641,-0.15345,20.570275,9.761598
S62,11.588511,11.022054,-0.409819,-0.121736,20.570275,9.774761
S63,11.624204,11.067753,-0.568209,-0.16036,20.570275,6.480792
S64,11.496856,10.908538,-0.566762,-0.202395,20.570275,5.610591
S65,11.063862,10.366253,-0.475236,-0.263599,20.570275,3.543719
S66,10.610071,9.639336,-0.367464,-0.374608,20.570275,2.21783
S67,10.504598,9.515198,-0.034888,-0.303924,20.570275,4.072847
S68,10.111489,8.925678,0.295546,-0.447403,20.570275,3.489895
S69,8.417979,7.780224,0.344595,-0.135338,14.05827,5.158627
S70,7.744778,7.143928,0.309181,-0.083161,14.05827,5.150771
S71,7.327629,6.560068,0.394199,0.048248,14.05827,5.147593
S72,7.227711,6.398595,0.370503,0.085371,14.05827,5.164817
S73,6.818325,5.803768,0.361759,0.107859,14.05827,5.13433
S74,5.500054,4.770876,0.270081,0.062227,9.339418,5.10301
S75,5.837406,4.954076,0.25805,0.017959,11.537819,4.805239
S76,5.922427,5.011947,0.339363,0.067956,11.537819,4.80463
S77,5.780148,4.834349,0.260436,0.049667,11.537819,4.810289
S78,5.804707,4.886692,0.263663,0.029901,11.537819,4.815916
S79,5.322878,4.352967,0.24699,-0.025362,11.537819,2.077735
S80,5.624928,4.668952,0.176825,-0.141974,11.537819,2.130981
S81,5.903109,4.868786,-0.0852,-0.7187,11.537819,0.522751
S82,6.292489,5.216886,-0.151189,-0.743575,11.537819,0.661537
S83,6.684465,5.729793,-0.413425,-1.061298,11.537819,0.748548
S84,8.793289,7.110583,-0.287413,-0.333224,20.104012,0.750548
S85,9.076842,7.663506,-0.317664,-0.360708,20.104012,0.854307
S86,9.615771,8.451545,-0.408187,-0.464262,20.104012,1.033069
S87,9.642448,8.473557,-0.446231,-0.33509,20.104012,1.022421
S88,9.73052,8.563138,-0.41669,-0.443487,20.104012,1.180583
S89,9.846632,8.790956,-0.355909,-0.433203,20.104012,1.260653
S90,10.016996,9.126385,-0.241008,-0.411666,20.104012,1.483337
S91,10.050598,9.256118,-0.207563,-0.426438,20.104012,1.494315
S92,9.839025,8.709006,-0.182965,-0.370467,20.104012,1.421028
S93,9.542936,8.275797,-0.14944,-0.298546,20.104012,1.340448
S94,9.265549,7.874627,-0.132362,-0.259017,20.104012,1.189571
S95,8.98773,7.365794,-0.091412,-0.221183,20.104012,1.078628
S96,7.132154,6.250912,-0.364218,-0.791865,11.801963,1.061542
S97,9.623851,7.570637,-0.374093,-2.164455,23.736372,1.389385
S98,9.381475,7.33306,-0.353663,-2.041592,23.736372,1.325547
S99,10.385629,7.968626,-0.397948,-6.634351,23.736372,1.50588
S100,10.22591,7.784885,-0.396492,-6.849343,23.736372,1.418585
S101,10.072465,7.400067,-0.399836,-7.134991,23.736372,1.323056
S102,9.864306,6.812523,-0.519519,-9.277509,23.736372,1.078721
S103,9.844988,6.74898,-0.46558,-8.507355,23.736372,1.085474
S104,9.877959,6.939529,-0.424098,-8.198653,23.736372,1.119412
S105,9.816843,6.714448,-0.369891,-8.16581,23.736372,1.101659
S106,9.758245,6.517691,-0.312242,-9.910434,23.736372,1.095239
S107,9.841705,6.759575,-0.245802,-10.447535,23.736372,1.120396
S108,9.658775,6.328882,-0.10991,-19.192617,23.736372,1.095406
S109,7.115292,4.948536,-0.024592,-4.610604,19.428762,0.693299
S110,7.089149,4.925704,-0.000355,-4.1133,19.428762,0.735098
S111,4.751842,3.867917,0.110735,-1.046132,7.995123,0.651547
S112,4.38012,3.594963,0.330697,-0.436744,7.995123,0.730411
S113,4.727103,3.983338,0.411835,-0.337498,7.995123,1.436606
S114,4.962797,4.419064,0.500076,-0.320559,7.995123,1.782039
S115,5.227699,4.723122,0.508408,-0.375101,7.995123,1.975787
S116,5.717281,5.194828,0.499728,-0.477025,8.510117,3.280693
S117,6.068812,5.682398,0.519497,-0.612086,8.510117,3.551714
S118,6.350424,6.096739,0.538273,-0.756803,8.510117,3.735132
S119,6.196148,5.723761,0.440111,-0.730749,8.510117,3.698017
S120,6.497743,6.173546,0.219765,-0.459953,8.510117,3.722418
S121,6.187758,5.747718,0.221157,-0.826119,8.510117,3.702524
S122,5.741756,5.104288,0.254387,-0.518414,8.510117,3.531751
S123,5.408935,4.61894,0.316429,-0.336027,8.510117,3.401155
S124,5.253167,4.322666,0.222244,-0.260076,8.510117,3.223748
S125,5.039913,4.107882,0.15499,-0.264882,8.510117,2.577238
S126,4.861428,3.87911,-0.054079,-0.215214,8.510117,2.251519
S127,4.525117,3.453949,-0.040858,-0.158404,8.510117,2.033351
S128,3.819058,2.854201,0.077641,-0.054042,7.174216,0.704454
S129,3.237192,2.379947,0.294987,0.084103,6.954533,0.428972
S130,2.618882,1.924037,0.650761,0.21349,6.954533,0.235031
S131,2.711401,2.099182,0.576442,0.191053,6.954533,0.262513
S132,2.179654,1.864802,0.654944,0.332372,4.141971,0.250697
S133,2.098167,1.714987,0.726098,0.394582,4.141971,0.234257
S134,2.196153,1.880801,0.617455,0.331303,4.141971,0.253228
S135,2.293056,2.009852,0.69743,0.411139,4.141971,0.297841
S136,2.583085,2.278185,0.522188,0.253336,4.245203,0.328133
S137,2.686129,2.342697,0.704516,0.45541,4.595283,2.542966
S138,2.854879,2.483019,0.76856,0.521234,4.595283,3.478151
S139,3.088769,2.740085,0.800241,0.534419,4.595283,4.134327
S140,3.366101,3.032096,0.813813,0.515398,4.817267,4.87992
S141,3.564316,3.268709,0.798934,0.452544,4.817267,5.094536
S142,3.839848,3.590726,0.756413,0.337097,5.099769,5.296704
S143,4.27532,3.965899,0.630469,0.169116,6.960773,5.422129
S144,4.108713,3.673031,0.5606,-0.11303,6.960773,5.404386
S145,4.499084,4.180617,0.40778,-0.662056,6.960773,5.678601
S146,4.869975,4.562203,0.429645,-1.349909,6.960773,6.265932
S147,4.88726,4.594016,0.44952,-1.306869,6.960773,6.259284
S148,4.781415,4.439923,0.676186,-0.918717,6.960773,6.238651
S149,4.599033,4.120811,0.59913,-0.656847,6.960773,3.949493
S150,4.448913,3.861218,0.556745,-0.584788,6.960773,3.006811
S151,4.316909,3.67703,0.464279,-0.367552,6.960773,2.35258
S152,4.151608,3.486539,0.333047,-0.235633,6.960773,1.610947
S153,3.959766,3.13508,0.193663,-0.239787,6.960773,1.385311
S154,3.723371,2.881139,0.059484,-0.289882,6.960773,1.198617
S155,3.435612,2.707034,0.247455,-0.12612,6.842754,1.138051
S156,3.670275,3.031157,-0.066194,-0.367221,6.842754,1.205443
S157,3.211869,2.634212,-0.085765,-0.311349,6.842754,0.949231
S158,2.594777,2.22695,-0.248039,-0.404074,4.871511,0.368725
S159,2.79178,2.370291,0.196914,-0.141616,4.871511,0.536428
S160,3.045538,2.574731,0.347908,-0.257381,4.871511,0.67675
S161,3.191032,2.793197,0.607153,-0.096306,4.871511,0.946326
S162,3.344986,3.007694,0.689123,-0.012208,4.871511,1.325849
S163,3.471075,3.154895,0.760587,-0.173605,4.871511,1.82945
S164,3.680323,3.355287,0.853252,-0.680727,4.936085,2.71901
S165,3.936342,3.749743,0.885701,-1.450504,4.936085,13.473572
S166,4.087613,3.939819,0.879165,-2.240448,4.936085,13.680735
S167,4.187967,4.017605,0.858772,-2.450491,5.80495,14.379074
S168,4.002996,3.765422,0.818067,-0.934836,5.80495,14.320039
S169,4.012563,3.787643,0.740705,-1.345611,5.80495,14.34731
S170,3.974883,3.66312,0.624992,-1.213153,5.80495,14.324864
S171,3.867025,3.555047,0.658442,-1.015209,5.80495,14.171485
S172,3.699669,3.391308,0.730881,-0.701848,5.80495,14.056981
S173,3.607228,3.26199,0.750278,-0.525111,5.80495,13.805257
S174,3.58256,3.236505,0.724748,-0.571298,5.80495,13.473571
S175,3.450417,3.071162,0.717891,-0.487562,5.80495,12.977274
S176,3.242736,2.890829,0.640053,-0.638618,5.80495,12.109447
S177,2.985429,2.658006,0.523184,-0.86619,5.80495,1.382681
S178,2.787335,2.484262,0.37031,-0.46996,5.80495,1.168857
S179,2.733138,2.457766,0.066877,-0.220731,5.486997,0.411826
S180,2.825636,2.574947,0.040484,-0.38756,5.486997,0.451534
S181,3.371612,2.973179,-0.256105,-0.195737,6.637611,0.443227
S182,5.165135,4.064947,-0.699312,-0.1594,13.562563,0.492084
S183,5.103897,3.939896,-0.038481,-0.076894,13.562563,0.481591
S184,5.141213,3.998919,0.232683,0.038428,13.562563,0.698874
S185,5.211161,4.135331,0.381348,0.11908,13.562563,0.946598
S186,5.30423,4.256111,0.525116,0.196895,13.562563,1.959519
S187,5.421269,4.461751,0.614001,0.239575,13.562563,4.93286
