Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,5.652833,5.120243,-0.782016,-0.660572,7.8381,0.842345
S2,5.595717,5.058505,-0.957738,-0.742704,7.8381,0.758369
S3,5.146621,4.617298,-0.666759,-0.782389,7.8381,0.487414
S4,5.760494,5.495046,-0.944288,-0.314691,7.8381,1.035171
S5,5.929483,5.773474,-0.64648,-0.293252,7.8381,1.123515
S6,6.703512,6.346612,-0.695379,-0.60707,10.24991,2.868088
S7,7.240435,6.759086,-0.61854,-2.3152,10.312941,3.952163
S8,7.795221,7.368343,-0.416792,-23.791893,10.312941,4.518434
S9,8.028281,7.722523,-0.301092,-28.007467,10.312941,4.711128
S10,7.809151,7.407084,-0.40926,-27.266019,10.312941,4.403973
S11,7.639408,6.987323,-0.866236,-33.692347,10.312941,4.334274
S12,6.49169,5.742972,-0.874908,-29.728436,10.312941,2.621686
S13,5.188782,4.670619,-0.661035,-29.67438,8.67346,1.670056
S14,4.367283,4.10896,-0.439215,-0.798745,6.268683,1.110702
S15,5.169967,4.602836,-0.720485,-0.081319,9.231942,0.831415
S16,5.002645,4.384621,-0.720783,-0.044925,9.231942,0.723394
S17,5.158176,4.673849,-0.621266,-0.052407,9.231942,0.828585
S18,5.197302,4.741666,-0.494124,-0.082629,9.231942,0.834474
S19,4.952699,4.159521,-0.581975,-0.136083,9.231942,0.622847
S20,4.454829,3.301846,-0.462532,-0.096918,9.231942,0.553083
S21,2.466191,2.034418,0.030911,-1.421445,3.599633,0.500609
S22,3.091053,2.426966,0.596757,0.153395,5.600676,0.409633
S23,3.430603,2.680842,0.484724,0.028571,5.600676,0.310223
S24,3.500707,2.752198,0.528111,-0.378732,5.600676,0.250154
S25,3.793863,3.288328,0.447638,-0.772009,5.600676,0.301226
S26,3.99444,3.773014,0.314507,-1.616316,5.600676,0.347013
S27,4.016966,3.82372,0.814146,-4.775581,5.600676,0.337477
S28,3.318926,3.02393,0.279613,-4.437409,5.122886,0.287507
S29,2.615931,2.353518,-0.789658,-3.352711,3.618849,0.245803
S30,2.618489,2.355365,-0.894814,-1.063115,3.629932,0.306953
S31,2.228362,1.967979,-0.772306,-0.854955,3.629932,0.275931
S32,2.874998,2.357634,-0.866636,-2.018592,5.403502,0.436446
S33,3.747155,3.068285,-0.860057,-3.977808,6.195516,0.695357
S34,4.178697,3.701389,-0.37567,-5.839357,6.195516,0.89957
S35,4.155784,3.560513,-0.478487,-5.020614,6.195516,0.879261
S36,3.887074,3.03176,-0.580765,-3.464734,6.195516,0.770331
S37,4.539699,3.7995,-0.068976,-3.247901,6.195516,1.544522
S38,4.491516,3.758291,0.025025,-2.687544,6.195516,1.685529
S39,3.725908,2.85867,0.267749,-1.306295,5.884853,1.411615
S40,3.310694,2.40967,0.263111,-0.351103,5.884853,1.225273
S41,5.04314,3.920818,-0.577995,-0.072894,9.322046,1.315941
S42,7.182633,5.933913,-0.394842,-0.114647,12.535987,1.410612
S43,6.834859,5.339754,-0.618178,-0.388393,12.535987,0.647525
S44,7.457253,5.970709,-0.470777,-1.544336,12.535987,0.391145
S45,8.000456,7.028174,-0.290719,-3.61367,12.535987,0.457045
S46,8.280224,7.637833,-0.146593,-5.93927,12.535987,0.496045
S47,7.377644,6.326011,-0.448028,-1.878762,12.535987,0.439481
S48,5.317418,4.315335,-0.846123,-1.454884,8.941975,0.344394
S49,5.323987,4.330119,-0.492028,-1.520397,8.941975,0.339883
S50,4.247728,3.549819,-0.505311,-0.488461,7.142584,0.407685
S51,4.039575,3.422224,0.018593,-0.158762,6.377013,0.392353
S52,3.827011,3.25731,0.559843,0.03389,6.377013,0.375025
S53,3.783919,3.077347,0.3614,-0.095151,6.377013,0.342547
S54,5.002531,4.336875,-0.375098,-0.562833,8.029097,0.416171
S55,4.979998,4.287093,-0.185947,-0.514101,8.029097,0.416796
S56,4.679667,3.720678,0.000669,-1.501363,8.029097,0.270037
S57,4.136429,3.233527,0.022376,-0.301637,8.029097,0.321771
S58,5.248638,3.994539,-0.729367,-0.247785,9.141107,2.470347
S59,6.829579,5.717678,-0.721832,-0.648364,10.710163,3.790819
S60,6.692006,5.596335,-0.800434,-2.575128,10.710163,4.094359
S61,6.717991,5.670988,-0.633083,-3.905731,10.710163,4.116636
S62,6.750735,5.834176,-0.082478,-1.81492,10.710163,4.125347
S63,7.479217,6.693456,0.158646,-1.886408,10.710163,11.147107
S64,7.018344,6.26881,0.309686,-1.578708,10.710163,10.116141
S65,6.100544,5.569862,0.744583,-0.857801,8.609788,11.019733
S66,5.874018,5.367225,0.872784,-0.593682,8.609788,12.100236
