Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,5.492131,4.962141,-0.917769,-0.567499,8.404818,0.931088
S2,5.309978,4.76018,-0.933098,-0.56927,8.404818,0.834621
S3,4.461671,4.121406,-0.258712,-0.339532,6.54633,0.474573
S4,5.004293,4.700921,0.436923,0.007822,6.54633,0.965378
S5,5.124851,4.983624,0.490052,0.033923,6.54633,1.034773
S6,5.693978,5.442089,-0.30482,-0.159475,8.0905,2.412238
S7,6.031612,5.711265,-0.441425,-1.300632,8.161387,3.266305
S8,6.590561,6.296988,-0.367042,-16.721382,8.161387,3.777359
S9,6.934052,6.698983,-0.227604,-20.639083,8.161387,3.994015
S10,6.810976,6.551293,-0.420539,-20.501847,8.161387,3.75406
S11,6.777374,6.468566,-0.665889,-26.304686,8.161387,3.747132
S12,6.068989,5.669269,-0.83284,-25.857006,8.161387,2.439722
S13,5.347876,5.000476,-0.627957,-31.584238,7.779772,1.747856
S14,4.76535,4.540135,-0.4871,-1.14159,6.984145,1.249755
S15,5.224267,4.831796,-0.598738,-0.104152,8.73411,0.922228
S16,4.98113,4.552819,-0.402253,-0.035956,8.73411,0.789376
S17,5.07186,4.706276,-0.280975,-0.01748,8.73411,0.865308
S18,5.016189,4.61315,-0.270394,-0.00849,8.73411,0.833655
S19,4.726077,4.005551,-0.257758,-0.034493,8.73411,0.609287
S20,4.259186,3.182939,-0.02838,-0.002687,8.73411,0.541637
S21,2.445106,2.030566,0.105106,-1.380217,3.610219,0.499725
S22,2.864091,2.284896,0.81184,0.273155,5.136199,0.385463
S23,3.131428,2.483808,0.782654,0.190616,5.136199,0.287255
S24,3.169183,2.525384,0.72933,-0.12996,5.136199,0.233848
S25,3.385767,2.93515,0.640784,-0.411291,5.136199,0.271754
S26,3.59138,3.410643,0.493092,-1.114955,5.136199,0.317281
S27,3.573011,3.372027,0.901156,-3.569493,5.136199,0.296147
S28,2.900156,2.598914,0.581013,-3.151829,4.62572,0.245315
S29,2.285846,2.079754,-0.803291,-2.323541,2.985426,0.219862
S30,2.532812,2.249954,-0.923582,-0.930313,4.006624,0.303639
S31,2.296218,1.987056,-0.846002,-0.969644,4.006624,0.285574
S32,2.734325,2.276736,-0.79804,-1.730419,4.673092,0.419793
S33,3.455301,2.914164,-0.661356,-3.232595,5.41274,0.647812
S34,3.986078,3.646818,0.029661,-5.223363,5.41274,0.872506
S35,3.948448,3.511804,-0.261437,-4.434851,5.41274,0.852398
S36,3.609984,2.983824,-0.445236,-2.850885,5.41274,0.739908
S37,4.431082,3.827194,0.038871,-3.047061,6.444465,1.588071
S38,4.549616,3.933798,0.215474,-2.783563,6.444465,1.768145
S39,3.991893,3.1726,0.15923,-1.647333,6.444465,1.53263
S40,3.522482,2.635005,0.067383,-0.529495,6.444465,1.327863
S41,5.087741,4.021503,-0.664173,-0.091955,9.019663,1.405521
S42,7.166174,5.946746,-0.696279,-0.109544,12.390204,1.490121
S43,6.72584,5.238894,-0.61603,-0.344455,12.390204,0.648608
S44,7.28921,5.802569,-0.410977,-1.430959,12.390204,0.378951
S45,7.816901,6.822857,-0.303189,-3.404394,12.390204,0.441514
