Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,6.770925,5.808672,-0.4357,-1.382437,11.919909,0.983389
S2,5.068026,4.58798,-0.83222,-0.429519,7.103398,0.711131
S3,4.64871,4.21356,-0.31493,-0.454196,7.103398,0.463088
S4,5.103278,4.895861,0.581103,-0.031817,7.103398,0.908028
S5,5.192324,5.056372,0.191044,0.008317,7.103398,0.97037
S6,6.051529,5.69226,-0.392245,-0.309665,9.503942,2.595393
S7,6.601429,6.108755,-0.439291,-1.755855,9.602366,3.606951
S8,7.155889,6.705884,-0.404759,-19.892,9.602366,4.142714
S9,7.394685,7.033622,-0.327375,-23.609568,9.602366,4.328607
S10,7.208314,6.721433,-0.451501,-23.083767,9.602366,4.057731
S11,7.126365,6.502259,-0.752119,-29.189122,9.602366,4.024669
S12,6.11337,5.441459,-0.752638,-26.251246,9.602366,2.459281
S13,5.017848,4.568282,-0.536855,-27.686656,8.178526,1.615876
S14,4.337899,4.098374,-0.366856,-0.774621,6.284102,1.093414
S15,5.274238,4.662538,-0.607637,-0.125376,9.669087,0.817811
S16,5.262084,4.643512,-0.871039,-0.156116,9.669087,0.778936
S17,5.342898,4.81286,-0.760623,-0.129133,9.669087,0.852828
S18,5.297433,4.729104,-0.769108,-0.124747,9.669087,0.823777
S19,4.995657,4.107445,-0.702896,-0.155876,9.669087,0.590088
S20,4.492184,3.254591,-0.711819,-0.115392,9.669087,0.521631
S21,2.500639,2.168331,0.212664,-1.489565,3.308141,0.506597
S22,2.781288,2.359305,0.657001,0.314575,4.453987,0.398883
S23,3.44444,2.82478,0.298236,0.02072,5.831253,0.334881
S24,3.76447,3.145354,0.125711,-0.594322,5.831253,0.31057
S25,3.969103,3.564104,0.079118,-0.939489,5.831253,0.348661
S26,4.13123,3.993361,-0.08091,-1.798576,5.831253,0.388351
S27,3.96987,3.708993,0.548175,-4.640946,5.831253,0.327863
S28,3.55098,3.127869,-0.252564,-5.22434,5.831253,0.295059
S29,2.749337,2.476578,-0.696196,-3.807986,4.560056,0.263421
S30,2.572392,2.365161,-0.773313,-0.991115,3.891555,0.318001
S31,2.289903,2.055271,-0.698156,-0.958826,3.891555,0.294711
S32,2.67824,2.321935,-0.614486,-1.619559,4.41748,0.420892
S33,3.487691,3.024374,-0.592177,-3.312318,5.659951,0.663267
S34,3.964906,3.649765,0.251694,-5.157429,5.659951,0.869721
S35,3.891175,3.408134,-0.346812,-4.278326,5.659951,0.834837
S36,3.562038,2.868254,-0.492411,-2.749273,5.659951,0.721811
S37,4.273711,3.641454,0.091642,-2.764701,5.925711,1.501395
S38,4.44667,3.795958,0.167205,-2.614275,5.925711,1.693576
S39,3.799358,2.868007,-0.00357,-1.398121,5.925711,1.427096
S40,3.421394,2.486222,-0.158439,-0.442968,5.925711,1.244553
S41,5.182984,3.998641,-0.522361,-0.13322,9.54823,1.332709
S42,7.099356,5.873547,0.088721,-0.08895,11.901708,1.417532
S43,6.710502,5.169455,0.070929,-0.33833,11.901708,0.638303
S44,7.356422,5.797845,0.287354,-1.475996,11.901708,0.370934
S45,7.945453,7.008215,0.061792,-3.55045,11.901708,0.457397
S46,8.128782,7.412735,-0.177912,-5.68776,11.901708,0.477489
S47,7.193584,6.201128,-0.424268,-1.736912,11.901708,0.441263
S48,5.326185,4.412893,-0.897503,-1.462987,9.114845,0.366632
S49,5.371694,4.531271,-0.750864,-1.565769,9.114845,0.372731
S50,4.249439,3.725032,-0.624339,-0.48966,7.354468,0.439358
S51,3.760108,3.420824,0.233251,-0.003977,5.529223,0.412037
S52,3.613436,3.300527,0.925097,0.138713,5.529223,0.398663
S53,3.50314,3.036518,0.915871,0.061346,5.529223,0.349854
S54,4.748032,4.164065,-0.001565,-0.407862,7.937579,0.407393
S55,4.720374,4.1055,0.097984,-0.360346,7.937579,0.407132
S56,4.385738,3.411446,-0.039835,-1.19701,7.937579,0.245949
S57,3.952957,2.987663,0.192708,-0.18873,7.937579,0.290508
S58,4.946447,3.694459,-0.289932,-0.108238,8.374996,2.259721
S59,7.158219,5.694248,-0.534648,-0.81082,12.693263,3.819698
S60,6.90152,5.443057,-0.528491,-2.802494,12.693263,4.078003
S61,6.882555,5.372319,-0.435555,-4.149016,12.693263,4.080207
S62,7.011961,5.901222,-0.364621,-2.036987,12.693263,4.121969
S63,7.790422,6.875973,-0.2848,-2.131608,12.693263,11.34724
S64,7.445656,6.515934,-0.137957,-1.902276,12.693263,10.433681
S65,6.001758,5.513679,0.511969,-0.798122,8.835029,11.147326
S66,6.024006,5.534284,0.676474,-0.676108,8.835029,12.387113
S67,6.413058,6.200167,0.614629,-1.101385,8.835029,13.398435
S68,6.824447,6.751352,-0.323636,-315.099968,8.835029,14.125196
S69,10.723956,8.963042,0.89382,0.120829,22.105172,6.910582
S70,12.086407,10.427756,0.584487,0.061995,22.105172,5.919048
S71,12.560236,11.099346,0.47509,-0.088139,22.105172,3.733926
S72,12.61323,11.196774,0.468652,-0.346478,22.105172,2.239694
S73,13.135587,12.025329,0.349513,-1.120951,22.105172,1.290985
S74,14.700223,13.836116,0.820563,-5.518234,22.105172,0.640341
S75,11.711514,10.797776,0.798151,-1.729971,17.458322,0.816927
S76,10.811979,9.993075,0.588582,-1.574958,17.458322,0.795359
S77,10.202955,9.234205,0.378514,-1.32894,17.458322,0.762262
S78,9.841472,8.500435,0.129002,-1.127529,17.458322,0.712156
S79,9.810573,8.471562,-0.263705,-0.305967,17.458322,7.610005
S80,6.745445,5.655401,0.060111,-0.04191,10.429012,7.498597
S81,7.79878,6.733045,-0.732435,-0.194683,10.429012,12.426798
S82,6.632666,5.303651,-0.510855,-0.217307,10.429012,12.360005
S83,6.485591,5.132705,-0.257209,-0.53164,10.429012,12.50479
S84,6.637771,5.412087,-0.295817,-1.248356,10.429012,12.594161
S85,5.93568,4.918887,0.446877,-0.916993,10.341002,5.703216
