Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,5.325589,4.841447,-0.814675,-0.473875,7.326537,0.811918
S2,5.308896,4.82187,-0.916013,-0.568631,7.326537,0.742981
S3,4.878981,4.432655,-0.61204,-0.601829,7.326537,0.485798
S4,5.453685,5.213304,-0.737176,-0.178377,7.326537,1.000719
S5,5.620683,5.492737,-0.489809,-0.162058,7.326537,1.085845
S6,6.271881,5.984278,-0.591918,-0.406778,9.352309,2.675414
S7,6.72884,6.338368,-0.502824,-1.86326,9.451081,3.667288
S8,7.170689,6.849455,-0.288517,-19.978504,9.451081,4.158169
S9,7.439581,7.204953,-0.157175,-23.909304,9.451081,4.356286
S10,7.277602,6.988022,-0.33713,-23.548993,9.451081,4.092842
S11,7.146004,6.698609,-0.857198,-29.355742,9.451081,4.048361
S12,6.203402,5.716437,-0.872734,-27.059814,9.451081,2.522919
S13,5.204264,4.903853,-0.663346,-29.857701,7.541534,1.708748
S14,4.613505,4.430001,-0.432848,-1.007284,6.591961,1.223601
S15,5.12187,4.756791,-0.893949,-0.061293,8.552703,0.917725
S16,4.987636,4.601838,-0.770316,-0.038664,8.552703,0.825348
S17,5.133909,4.838926,-0.75593,-0.042528,8.552703,0.923244
S18,5.101595,4.788955,-0.682548,-0.043123,8.552703,0.900659
S19,4.747502,4.04378,-0.621897,-0.043894,8.552703,0.643317
S20,4.349354,3.358428,-0.545252,-0.045591,8.552703,0.592503
S21,2.81572,2.380723,0.209481,-2.156459,3.914036,0.576413
S22,3.036327,2.528829,0.708457,0.183108,4.802675,0.443396
S23,3.279764,2.705065,0.45257,0.112119,4.890957,0.330065
S24,3.264995,2.68954,0.302941,-0.199316,4.890957,0.26224
S25,3.467136,3.148679,0.21081,-0.479941,4.890957,0.307203
S26,3.572234,3.415452,0.057637,-1.092465,4.890957,0.32821
S27,3.428751,3.149516,0.634822,-3.207956,4.890957,0.274063
S28,2.816126,2.404618,-0.010341,-2.914722,4.890957,0.223755
S29,2.108082,1.878236,-0.645286,-1.826716,3.0663,0.200035
S30,2.352692,2.032792,-0.773057,-0.665528,3.993632,0.282079
S31,2.152642,1.83353,-0.646822,-0.731033,3.993632,0.271941
S32,2.800393,2.286093,-0.716463,-1.863962,4.902317,0.427195
S33,3.560124,3.019944,-0.583617,-3.493297,5.493965,0.668175
S34,4.17206,3.854163,0.050322,-5.817649,5.493965,0.917719
S35,4.130477,3.726172,-0.305779,-4.947512,5.493965,0.898233
S36,3.815453,3.221307,-0.480597,-3.301721,5.493965,0.789087
S37,4.566661,4.005303,0.139671,-3.298509,6.36777,1.620551
S38,4.711252,4.132262,0.259856,-3.057178,6.36777,1.81564
S39,4.161332,3.375448,0.136685,-1.876838,6.36777,1.579011
S40,3.610533,2.765378,0.041693,-0.606916,6.36777,1.353038
S41,5.06839,4.065627,-0.501956,-0.083664,8.766211,1.422219
S42,6.963057,5.860673,0.05799,-0.047538,11.73472,1.498398
S43,6.489096,5.051796,-0.054402,-0.251474,11.73472,0.655683
S44,6.952746,5.496984,0.139964,-1.211716,11.73472,0.358283
S45,7.446031,6.43769,0.010704,-2.996379,11.73472,0.413635
S46,7.668802,6.957631,-0.148593,-4.952299,11.73472,0.446637
S47,6.860657,5.918066,-0.509859,-1.48944,11.73472,0.42535
S48,4.932454,4.149851,-0.936408,-1.1123,8.335198,0.351108
S49,4.982374,4.279803,-0.736807,-1.207332,8.335198,0.358687
S50,4.108093,3.668596,-0.701871,-0.39221,6.597319,0.448486
S51,3.908861,3.540028,-0.106346,-0.084985,5.82591,0.433609
S52,3.805979,3.452523,0.701192,0.044479,5.82591,0.422715
S53,3.677335,3.162162,0.486014,-0.034324,5.82591,0.368856
S54,4.827915,4.265396,-0.405345,-0.455634,7.744832,0.425395
S55,4.775708,4.133314,-0.25191,-0.392426,7.744832,0.417386
S56,4.37923,3.373115,-0.221435,-1.190495,7.744832,0.24118
S57,3.928016,2.966123,0.123651,-0.173777,7.744832,0.296553
S58,5.024208,3.717783,-0.496208,-0.143356,8.782766,2.362418
S59,6.263654,5.11931,-0.673559,-0.386503,9.195815,3.487001
S60,6.039313,4.926762,-0.668639,-1.91175,9.195815,3.75576
S61,6.058143,4.993664,-0.519555,-2.989366,9.195815,3.77349
S62,6.204912,5.523858,-0.367676,-1.378128,9.195815,3.815387
S63,7.068561,6.452746,-0.393073,-1.578146,9.195815,11.127989
S64,6.702632,6.13036,0.027311,-1.351926,9.195815,10.228907
S65,6.23871,5.758906,0.474577,-0.942906,8.957282,11.474535
S66,6.280848,5.798231,0.655117,-0.822081,8.957282,12.771355
S67,6.788159,6.579047,0.607618,-1.354395,8.957282,13.954815
S68,7.19507,7.148472,-0.346665,-350.365848,8.957282,14.694514
S69,11.051367,9.391361,0.928712,0.066326,22.414615,7.380089
S70,12.118199,10.578576,0.777701,0.057054,22.414615,6.267805
S71,12.46235,11.078191,0.639879,-0.071245,22.414615,3.977185
S72,12.420951,11.000043,0.55559,-0.305738,22.414615,2.407979
S73,12.84913,11.636676,0.44077,-1.029454,22.414615,1.279235
S74,14.341992,13.350171,0.808801,-5.204418,22.414615,0.612385
S75,11.230669,10.448173,0.481566,-1.510402,16.985451,0.872673
S76,10.042592,9.219598,0.191025,-1.221526,16.985451,0.826157
S77,9.348541,8.276556,0.175066,-0.955213,16.985451,0.779419
S78,9.028774,7.595266,0.097436,-0.790659,16.985451,0.732562
S79,8.998426,7.568781,0.056685,-0.098693,16.985451,7.511404
S80,5.743428,4.866688,0.71374,0.244644,10.248921,7.406467
S81,6.895635,5.799922,0.679345,0.065998,10.602033,12.381134
S82,6.397269,5.02543,-0.035722,-0.132434,10.602033,12.353139
S83,6.500334,5.166,-0.217943,-0.538611,10.602033,12.519479
S84,6.676884,5.516369,-0.424442,-1.274931,10.602033,12.613926
S85,5.206475,3.88274,0.032631,-0.474915,10.602033,5.743582
S86,5.225094,3.975206,-0.047859,-0.726382,10.602033,5.758912
S87,3.975164,3.306242,0.427015,0.144466,6.58825,0.469183
S88,5.619295,4.634493,0.482416,0.070321,9.922842,0.519326
S89,5.309943,4.19237,0.166102,-0.0561,9.922842,0.356976
S90,5.109671,3.891571,0.167234,-0.317563,9.922842,0.268921
S91,5.207912,4.234764,0.37053,-0.114471,9.922842,0.321011
S92,5.252497,4.369427,0.340117,-0.095802,9.922842,0.341041
S93,4.670731,3.764872,0.094693,0.001694,9.922842,0.351183
S94,3.324276,3.081078,-0.571987,-1.268003,5.820074,0.501401
S95,3.594105,3.360831,-0.854914,-1.363362,5.820074,0.580284
S96,9.929994,6.73629,-0.84824,-0.054614,22.81905,0.662621
S97,9.964952,6.857464,-0.548005,-0.043259,22.81905,0.696474
S98,10.047445,7.13543,-0.183785,-0.02159,22.81905,0.783243
S99,11.37635,8.875452,-0.334393,-0.12413,22.81905,0.811765
S100,11.236927,8.549998,0.117932,-0.099901,22.81905,0.729148
S101,11.169671,8.336941,0.501674,-0.068134,22.81905,0.705554
S102,6.558246,5.449724,0.255101,0.01222,13.401051,0.967117
S103,6.675686,5.652072,0.153792,-0.028524,13.401051,0.959635
S104,6.589951,5.478909,0.134453,-0.045669,13.401051,0.878472
S105,3.875557,3.74936,0.938803,-0.936275,5.495751,0.827668
S106,3.601291,3.376245,0.751419,-0.160274,5.495751,0.699112
S107,3.539334,3.292666,0.405833,-0.297383,5.495751,0.629451
S108,4.274488,3.716996,-0.724709,-1.934784,8.041733,0.333391
S109,4.035621,3.443303,0.023047,-0.362843,8.041733,0.352699
S110,4.131429,3.567961,0.156634,-0.101458,8.041733,0.412016
S111,4.044875,3.43282,0.180783,0.000804,8.041733,0.411918
S112,4.260351,3.771248,-0.294892,-0.181503,8.041733,0.491003
S113,4.463661,4.046518,-0.277057,-0.37141,8.041733,0.55769
S114,3.079136,2.942538,0.748942,-4.066663,4.047526,0.500139
S115,3.21524,3.076141,0.603076,-6.631511,4.047526,0.503493
S116,3.236309,3.095182,0.424194,-8.612464,4.047526,0.491494
S117,3.19429,3.028012,0.319382,-8.815231,4.047526,0.485219
S118,2.866782,2.620879,0.217763,-7.368193,4.047526,0.413827
S119,2.514145,2.318871,-0.275265,-1.66848,3.626672,0.346632
S120,3.078584,2.84543,-0.73046,-0.550853,4.577208,0.380643
S121,3.90759,3.396081,-0.327019,-0.270099,6.910804,0.347371
S122,3.961475,3.451957,0.374836,-0.025058,6.910804,0.419467
S123,4.208477,3.804009,0.646314,0.0508,6.910804,0.53956
S124,4.865094,4.618168,0.467137,0.051617,6.910804,1.008798
S125,5.637342,5.466474,0.551307,-0.036732,7.325318,2.639776
S126,6.135317,5.952224,0.352217,-0.478021,7.491712,3.567559
S127,6.083955,5.905885,-0.511297,-24.519662,7.491712,3.986201
S128,6.82653,6.671698,-0.527987,-34.128936,8.556805,6.517228
S129,7.019686,6.95238,-0.334162,-105.823593,8.556805,6.801402
S130,6.829019,6.706195,-0.568076,-69.93842,8.556805,6.584606
S131,6.17998,5.773993,-0.687219,-3.938918,8.556805,4.948369
S132,6.577262,6.075778,-0.593983,-0.356545,9.302423,4.05259
S133,6.040727,5.276441,-0.578364,-0.177305,9.302423,3.592894
S134,4.933486,3.943458,-0.459523,-0.041276,9.302423,0.901661
S135,4.374632,3.087121,0.196784,-0.105847,9.302423,0.463853
S136,3.992184,2.562751,0.593828,-0.533587,9.302423,0.210177
S137,4.174534,2.849862,0.336495,-0.14524,9.302423,0.326569
S138,1.861558,1.576698,0.560147,0.216254,3.454768,0.259928
S139,1.986826,1.687777,0.318035,0.043445,3.454768,0.289453
S140,2.109146,1.898237,0.319885,-0.086156,3.454768,0.320006
S141,2.226609,2.121809,0.308191,0.05155,3.454768,0.337804
S142,2.262914,2.171862,0.377541,0.098485,3.454768,0.339851
S143,1.939198,1.919834,-0.528877,-0.296108,2.503223,0.239977
S144,3.579816,2.901943,-0.900897,-0.461341,7.556095,0.297366
S145,3.48435,2.733057,-0.859885,-0.633883,7.556095,0.259287
S146,3.414783,2.539845,-0.71029,-0.817318,7.556095,0.229603
S147,3.805221,2.987094,-0.588363,-0.205055,7.556095,0.40421
S148,3.735806,2.71533,-0.521489,-0.173669,7.556095,0.376627
S149,5.283843,3.951034,-0.733539,-0.20043,9.356825,9.68208
S150,5.373847,4.012985,-0.298127,-0.680301,9.356825,13.226082
S151,6.328937,5.151942,-0.506005,-1.779533,9.356825,15.830982
S152,7.194707,6.44282,-0.297649,-4.134875,9.356825,18.474232
S153,7.571627,6.913964,-0.234528,-4.895659,9.356825,19.037884
S154,7.889094,7.794126,-0.665846,-111.11865,9.356825,19.487976
S155,7.177735,7.038165,-0.255125,-36.144776,8.407669,10.350259
S156,6.482444,6.120432,-0.629033,-2.894324,8.407669,6.762792
S157,5.937238,5.625336,-0.375559,-2.565594,8.407669,4.598877
S158,5.479762,5.269563,-0.037068,-2.149772,7.320057,3.059823
S159,4.704276,4.464476,0.192918,-1.438379,6.273029,2.378405
S160,4.328861,4.063124,-0.044876,-0.408303,6.273029,1.974647
S161,3.871488,3.402885,0.509875,-0.090426,6.273029,1.775799
S162,3.743862,3.028968,0.289902,-0.262563,6.273029,1.73958
S163,3.116628,2.417494,0.481229,0.093242,6.273029,1.301255
S164,2.279366,1.955173,0.371881,-0.130984,3.499101,0.237541
S165,2.149936,1.817041,0.360045,-1.625538,3.499101,0.182771
S166,1.785033,1.432512,0.513918,-0.303555,3.499101,0.151738
S167,2.485901,2.00995,-0.183406,-0.181874,4.324247,0.304005
S168,2.869777,2.566416,-0.405808,-0.30015,4.324247,0.412954
S169,2.861877,2.552635,-0.757228,-0.633273,4.324247,0.426286
S170,2.758711,2.462869,-0.83548,-2.723005,4.324247,0.459957
S171,3.973622,3.385999,-0.705095,-4.725965,7.199525,1.113143
S172,4.736318,4.326007,-0.866756,-6.711686,7.199525,1.513799
S173,5.23533,4.766656,-0.078652,-5.169559,7.199525,2.485181
S174,5.718433,5.287562,0.26351,-5.420581,7.199525,3.804921
S175,6.315859,6.147365,0.598369,-12.13616,7.199525,5.61365
S176,7.045393,7.020711,0.780129,-56.16554,8.20058,8.546487
S177,7.112658,7.085121,0.775563,-57.262311,8.20058,41.58785
S178,7.031266,6.990278,-0.326027,-116.348208,8.20058,41.791651
S179,6.967553,6.924412,-0.761947,-124.740695,8.20058,42.448526
S180,6.468066,6.144516,-0.588591,-2.864921,8.20058,41.051483
S181,6.080794,5.695685,-0.620684,-2.472965,8.20058,39.409834
S182,5.100043,4.530019,-0.500666,-1.479505,7.585988,36.422872
S183,4.223612,3.752114,-0.194081,-1.186677,6.572942,2.810455
S184,3.582863,3.097518,-0.046713,-0.875335,6.572942,2.246232
S185,2.42023,2.194036,-0.370217,-0.739534,4.067378,0.480378
S186,2.506985,2.289113,-0.297915,-5.373338,4.067378,0.536158
S187,2.076496,1.972722,0.560807,-6.117112,2.918558,0.385234
S188,2.137668,2.060424,0.625179,-7.654551,2.918558,0.403662
S189,1.895058,1.845194,0.671734,-10.472866,2.53322,0.335963
S190,2.009903,1.948657,-0.029587,-0.622773,2.53322,0.320313
S191,2.807431,2.579567,-0.122796,-0.073614,4.937508,0.354612
S192,2.880855,2.655224,-0.278216,-0.118673,4.937508,0.372964
S193,3.915287,3.434935,-0.562839,-0.172829,6.847307,0.396973
S194,6.541726,5.305038,-0.046601,-0.50056,12.953408,0.45102
S195,6.798025,5.835948,-0.180794,-0.304905,12.953408,0.694369
S196,7.219122,6.497381,-0.470174,-0.078056,12.953408,1.593974
S197,7.575059,6.921391,-0.475874,-0.056553,12.953408,2.705464
S198,8.382445,7.971166,-0.611129,-0.128566,12.953408,6.768002
S199,8.470733,8.075086,-0.399897,-0.326888,12.953408,17.135659
S200,7.571538,7.418404,-0.61727,-49.85815,9.285812,28.964624
S201,8.118034,8.055889,-0.445784,-204.280557,9.285812,32.229522
S202,8.316808,8.284875,0.039934,-320.122258,9.285812,46.614861
S203,8.071985,7.979279,-0.531478,-132.323667,9.285812,45.973899
S204,7.140223,6.612793,-0.535659,-9.072901,9.013319,41.830653
S205,6.578297,5.882988,-0.694702,-6.601101,9.013319,31.503641
S206,6.075102,5.474148,-0.444481,-0.59751,8.637549,19.647427
S207,6.585124,5.808982,-0.569736,-0.029049,10.646557,16.192572
S208,8.544121,7.082137,0.1643,-0.243566,15.45911,0.977422
S209,9.378797,7.979123,0.421022,-0.92013,15.45911,0.537402
S210,12.170721,10.969764,0.174117,-1.973001,19.030741,0.628255
S211,14.345358,13.597048,0.46203,-8.11666,19.030741,0.621865
S212,16.004667,15.600251,0.526874,-16.835129,19.030741,0.659566
S213,15.808108,15.277171,-0.273711,-15.427938,19.030741,0.643593
S214,15.261032,14.651444,-0.406717,-13.50641,19.030741,0.624612
S215,15.647253,15.130233,-0.562588,-18.011793,19.030741,0.627311
S216,13.986633,13.321704,-0.622631,-11.389023,18.855703,0.585267
S217,12.009272,11.323126,-0.907387,-2.333895,18.579492,0.667616
S218,9.417653,8.804256,-0.845697,-1.458889,13.902637,0.607774
S219,8.785163,7.785986,-0.866323,-1.012282,13.902637,0.563675
S220,7.563947,6.526537,-0.715513,-0.551254,13.902637,0.568079
S221,5.694581,5.322149,-0.147348,-0.585304,8.179568,0.793021
S222,5.259298,4.990299,0.907726,-2.204132,6.864234,0.983915
S223,5.955457,5.46182,0.937923,-1.389799,9.69336,5.782494
S224,5.791342,4.995675,0.740217,-1.376104,9.69336,5.737951
S225,7.290221,6.421496,0.058424,-3.496617,11.153386,13.390001
S226,8.303754,7.494275,-0.320785,-5.326234,11.153386,14.896807
S227,8.156846,7.295401,-0.298787,-4.732167,11.153386,14.743055
S228,7.762567,6.397003,-0.434144,-2.565498,11.153386,14.488079
S229,6.914294,5.512905,-0.815172,-2.510985,11.153386,9.621042
S230,7.271115,6.32657,-0.821,-0.957264,11.153386,9.668974
S231,5.894328,5.126838,-0.703718,-0.3104,10.584727,2.023516
S232,4.24667,3.934825,0.156646,-0.009661,5.551394,0.518223
S233,3.803159,3.51096,0.637662,0.137137,5.551394,0.425764
S234,3.796864,3.476531,0.487621,0.143655,5.551394,0.42302
S235,6.301461,4.924613,0.120118,-0.228463,13.07726,0.394802
S236,8.664157,6.597313,-0.34495,-0.491315,15.587597,0.445936
S237,9.604671,7.754237,-0.517527,-0.632765,15.587597,0.491154
S238,10.046924,8.514722,-0.324714,-1.405749,15.587597,0.469822
S239,12.34125,10.991398,-0.212793,-4.040645,17.799927,0.506136
S240,15.099344,14.445794,-0.918119,-13.967657,21.317886,0.617156
S241,17.091256,16.195274,-0.59816,-10.109354,23.574135,0.638702
S242,18.853633,17.757549,-0.357333,-8.453498,24.961249,0.650842
S243,20.253862,19.466336,-0.103521,-12.482732,24.961249,0.676536
S244,20.507849,20.004918,-0.075839,-20.319787,24.961249,0.690109
S245,19.401246,18.238452,-0.420941,-8.235262,24.961249,0.648456
S246,17.441658,15.454139,-0.825465,-2.323474,24.961249,0.630866
S247,15.439019,13.637587,-0.872064,-0.795625,24.961249,1.909685
S248,14.694351,13.160779,-0.724932,-0.987545,22.100405,3.794966
S249,13.482736,12.23105,-0.786527,-2.289684,22.100405,4.600333
S250,13.526635,12.28313,-0.708788,-5.910841,22.100405,4.782605
S251,13.347209,11.880943,-0.532052,-20.71525,22.100405,4.802569
S252,13.611066,12.445081,-0.472597,-23.32421,22.100405,4.902028
S253,12.725569,11.091358,-0.857426,-23.900032,22.100405,3.596269
S254,9.021284,7.78392,-0.731862,-20.190476,15.570884,1.6331
S255,6.401768,5.224863,-0.733778,-27.681521,11.539536,0.714609
S256,5.910849,4.942185,-0.573478,-0.630482,9.84347,0.521044
S257,5.58995,4.291511,-0.557557,-0.502856,9.84347,0.441683
S258,4.556274,3.127191,-0.450326,-0.191662,9.84347,0.253547
S259,7.132406,4.733669,-0.237996,-0.320545,14.191359,0.252569
S260,7.098702,4.605512,-0.179911,-0.345335,14.191359,0.235454
S261,7.116839,4.779834,-0.130424,-0.294419,14.191359,0.254941
S262,5.881108,3.259684,0.109102,-0.079555,14.191359,0.185976
S263,12.577743,7.653694,-0.457641,-0.436971,27.248019,0.296093
S264,17.874962,12.673095,-0.660567,-0.88169,31.127316,0.409395
S265,22.435602,16.327389,-0.941865,-1.029369,36.117121,0.448335
S266,22.446515,16.457792,-0.791979,-1.060035,36.117121,0.459998
S267,23.387635,18.936898,-0.798207,-1.823033,36.117121,0.54071
S268,23.64958,20.254537,-0.702887,-2.500886,36.117121,0.611034
S269,21.119973,17.035637,-0.541334,-1.70361,36.117121,0.565805
S270,16.872091,11.976296,-0.43943,-1.159525,36.117121,0.444768
S271,9.211479,7.669067,-0.659387,-1.447122,16.13711,0.529953
S272,10.851782,9.663202,-0.849604,-1.524321,16.13711,0.959459
S273,9.931231,8.98487,-0.818569,-1.957735,14.23406,1.422304
S274,10.970621,9.931944,-0.764343,-3.457013,14.310844,1.746386
S275,11.295068,10.327892,-0.137564,-6.204855,14.310844,2.181405
S276,11.829106,11.639737,0.614016,-60.100879,14.310844,2.480108
S277,11.196578,10.637758,-0.009345,-81.683888,14.310844,2.365226
S278,9.585286,8.482371,-0.437143,-28.282181,14.310844,1.922645
S279,8.226027,6.570393,-0.515509,-15.094557,14.310844,1.366645
S280,5.80234,4.334138,-0.894281,-3.72385,10.310306,0.974208
S281,6.742317,4.833438,-0.340559,-0.173068,13.306109,0.553415
S282,11.400975,7.413242,-0.014817,-0.288527,24.121161,0.36385
S283,19.441148,13.17084,-0.436368,-0.765879,38.807468,0.395527
S284,29.22532,21.864958,-0.792526,-1.33202,53.466449,0.51187
S285,37.424936,31.310082,-0.451399,-2.429768,57.265987,0.642348
S286,45.708773,41.875665,-0.387439,-5.394933,64.286815,0.773861
S287,49.265282,47.481926,0.000941,-13.088308,64.286815,0.819955
S288,49.779472,48.426602,0.576684,-16.816627,64.286815,0.829791
S289,47.374991,43.661495,-0.798637,-3.022597,64.286815,1.158226
S290,42.050866,34.984599,-0.739101,-1.725442,64.286815,1.02817
S291,35.65117,28.306629,-0.817373,-0.771217,64.286815,2.738073
S292,24.42809,19.148049,-0.816731,-0.510948,46.943678,2.745031
S293,16.069851,13.514739,-0.742515,-0.584292,29.789216,2.939431
S294,12.396156,11.237005,-0.011884,-3.725816,17.198172,3.416342
S295,13.5849,12.370926,-0.599611,-4.284213,17.198172,4.316778
S296,14.4472,14.15752,0.615715,-15.867946,17.198172,10.426422
S297,13.506496,13.249048,0.762355,-11.763778,17.020351,18.008563
S298,13.920407,13.769897,0.874846,-29.794926,17.020351,19.897424
S299,13.383636,13.114258,0.678042,-50.790093,17.020351,19.955941
