Segment,1D-CNN,ANN,BiLSTM,LSTM,CNN-LSTM,GRU,Selected
S1,0.0,0.0,0.3009880270335765,0.3610858394538926,0.337926133512531,0.0,LSTM
S2,0.3001897947557022,0.0,0.0,0.3557424585331897,0.34406774671110785,0.0,LSTM
S3,0.0,0.2950723767228233,0.0,0.332194672270789,0.37273295100638754,0.0,CNN-LSTM
S4,0.2978243082717684,0.30667123781255184,0.0,0.0,0.3955044539156798,0.0,CNN-LSTM
S5,0.0,0.0,0.3210573810493483,0.3056767795038261,0.3732658394468249,0.0,CNN-LSTM
S6,0.34501907093507633,0.3226963913548288,0.0,0.33228453771009453,0.0,0.0,1D-CNN
S7,0.0,0.2923790858868956,0.0,0.3731875515896829,0.33443336252342143,0.0,LSTM
S8,0.0,0.31373427284734345,0.32280393783866046,0.3634617893139963,0.0,0.0,LSTM
S9,0.0,0.0,0.3491146860304066,0.3345227550480279,0.3163625589215654,0.0,BiLSTM
S10,0.30599680652899186,0.37335032440355653,0.3206528690674513,0.0,0.0,0.0,ANN
S11,0.0,0.35548770305872107,0.0,0.2955715295760175,0.3489407673652614,0.0,ANN
S12,0.0,0.3390189785247586,0.0,0.2922921578227078,0.36868886365253334,0.0,CNN-LSTM
S13,0.0,0.30535694112627687,0.0,0.32808803302078265,0.36655502585294125,0.0,CNN-LSTM
S14,0.0,0.4412769200256684,0.0,0.2858712946109409,0.2728517853633907,0.0,ANN
S15,0.4262005813444921,0.37790129259512334,0.0,0.19589812606038454,0.0,0.0,1D-CNN
S16,0.36059891584844456,0.43298708043337086,0.0,0.0,0.20641400371818436,0.0,ANN
S17,0.3085255215012862,0.36542446664081907,0.0,0.0,0.3260500118578944,0.0,ANN
S18,0.29853762382753235,0.3157589368394097,0.0,0.0,0.38570343933305773,0.0,CNN-LSTM
S19,0.2855191129744776,0.27335754947009794,0.0,0.0,0.44112333755542515,0.0,CNN-LSTM
S20,0.19019141970718012,0.0,0.0,0.2652499594826804,0.5445586208101393,0.0,CNN-LSTM
S21,0.28708626111277574,0.3462573596748592,0.0,0.0,0.36665637921236505,0.0,CNN-LSTM
S22,0.3226046874639707,0.33802880994461965,0.0,0.0,0.33936650259140977,0.0,CNN-LSTM
S23,0.0,0.41053142315693686,0.0,0.0,0.37547303004241145,0.21399554680065136,ANN
S24,0.0,0.34434125488887773,0.0,0.3277918859213615,0.0,0.3278668591897606,ANN
S25,0.0,0.0,0.376676217480813,0.3389442249451339,0.0,0.28437955757405226,BiLSTM
S26,0.302742464604884,0.0,0.3541717736939012,0.34308576170121474,0.0,0.0,BiLSTM
S27,0.0,0.347684148127899,0.3554231689296239,0.296892682942477,0.0,0.0,BiLSTM
S28,0.36113339561870983,0.0,0.30893774617247877,0.0,0.32992885820881157,0.0,1D-CNN
S29,0.0794138858700373,0.0,0.0,0.38846566798911214,0.5321204461408504,0.0,CNN-LSTM
S30,0.0,0.3018386119888934,0.0,0.47769740215751105,0.22046398585359542,0.0,LSTM
S31,0.3195445253721789,0.0,0.0,0.40153964768489914,0.0,0.27891582694292183,LSTM
S32,0.0,0.0,0.0,0.3472399627837959,0.2917507970481091,0.36100924016809444,GRU
S33,0.0,0.0,0.0,0.3138024054840207,0.34867696528722164,0.33752062922875753,CNN-LSTM
S34,0.0,0.0,0.32356744909559493,0.0,0.34160432344901126,0.3348282274553945,CNN-LSTM
S35,0.0,0.0,0.35406564246766836,0.0,0.33103075153337386,0.3149036059989579,BiLSTM
