Segment,1D-CNN,ANN,GRU,Selected
S1,0.5188636881203724,0.17020482110954205,0.3109314907700854,1D-CNN
S2,0.2733373406308123,0.2862236251432861,0.44043903422590125,GRU
S3,0.2940081677315261,0.40843261466341985,0.29755921760505355,ANN
S4,0.3034611279524858,0.3773252723213307,0.31921359972618313,ANN
S5,0.212028700754786,0.46695007129766486,0.3210212279475488,ANN
S6,0.09809465345515332,0.5156650588150554,0.38624028772979124,ANN
S7,0.4598470372545016,0.30650093298273573,0.23365202976276261,1D-CNN
S8,0.42587537385983965,0.4285722493670082,0.14555237677315222,ANN
S9,0.25878203434388775,0.38603585000802937,0.35518211564808266,ANN
S10,0.3393042014361385,0.27121150938454586,0.3894842891793155,GRU
S11,0.3405124646244225,0.3226545982328915,0.3368329371426862,1D-CNN
S12,0.33510975664605047,0.3132558078457715,0.35163443550817797,GRU
S13,0.25159272430575924,0.4133819604756773,0.3350253152185628,ANN
S14,0.2894821465258567,0.5179293603062083,0.19258849316793464,ANN
S15,0.42812654635443026,0.3795113684073817,0.19236208523818824,1D-CNN
S16,0.1855843582598641,0.33109605154046184,0.48331959019967413,GRU
S17,0.2608217997367788,0.5466102376792226,0.1925679625839987,ANN
S18,0.529458399575235,0.22802981365266006,0.24251178677210478,1D-CNN
S19,0.3303097941217024,0.4067657520899125,0.2629244537883845,ANN
S20,0.3846407208593095,0.34401177007058503,0.2713475090701054,1D-CNN
S21,0.3147518714463928,0.3825619877849873,0.30268614076862066,ANN
S22,0.32106696671558227,0.3029903237554859,0.37594270952893144,GRU
S23,0.17887811884565344,0.40269043994043097,0.4184314412139162,GRU
S24,0.4016972603876945,0.47338305013572834,0.12491968947657708,ANN
S25,0.35220395288013634,0.25718443302471217,0.3906116140951512,GRU
S26,0.2394796467068086,0.5237351087271116,0.2367852445660792,ANN
S27,0.545469854044122,0.1938455835460838,0.2606845624097944,1D-CNN
S28,0.3272344295637723,0.2279590557939887,0.44480651464223914,GRU
S29,0.347490955160055,0.3693356208526839,0.28317342398726153,ANN
S30,0.5097996855545077,0.3044037343996721,0.18579658004582017,1D-CNN
S31,0.2083945664883481,0.6910546244061334,0.10055080910551828,ANN
S32,0.2553638782632331,0.2509724473353223,0.49366367440144465,GRU
S33,0.38997889760352017,0.16015444724490002,0.4498666551515804,GRU
S34,0.3302777749207506,0.27662097916737466,0.3931012459118741,GRU
S35,0.3112448657254214,0.34882987249290803,0.3399252617816702,ANN
S36,0.09775423252839904,0.7350849274722548,0.16716083999934567,ANN
S37,0.13729743874361183,0.6771243087842707,0.18557825247211723,ANN
S38,0.47777664524759134,0.4371519832788983,0.08507137147350982,1D-CNN
S39,0.42708503213855176,0.44049591281778305,0.13241905504366538,ANN
S40,0.3101731864169413,0.35221873526646796,0.3376080783165906,ANN
S41,0.3628383286163159,0.2999393705627812,0.33722230082090293,1D-CNN
S42,0.39913600971600327,0.30685340331185573,0.2940105869721409,1D-CNN
S43,0.3569466856040505,0.34187005933252534,0.30118325506342375,1D-CNN
S44,0.44603818920146354,0.32095704607830317,0.2330047647202331,1D-CNN
S45,0.2778876823543297,0.2735813766307632,0.4485309410149071,GRU
S46,0.2186335773806761,0.5431984863091139,0.23816793631020933,ANN
S47,0.24027467950014886,0.39387035684890986,0.36585496365094106,ANN
S48,0.4104817948509563,0.2234396785261695,0.36607852662287416,1D-CNN
S49,0.29056065357270444,0.5873527014483587,0.12208664497893663,ANN
S50,0.5709346662994391,0.32875066724014,0.10031466646042035,1D-CNN
S51,0.10257133876168158,0.7413184148151986,0.15611024642311955,ANN
S52,0.27005869596135085,0.24231860704784058,0.48762269699080885,GRU
S53,0.3042427372678192,0.441755132329716,0.2540021304024647,ANN
S54,0.4524207197258458,0.18151181696548366,0.36606746330867,1D-CNN
S55,0.15614746350290865,0.24053139593337897,0.6033211405637119,GRU
S56,0.09664840730814228,0.13239195839103943,0.7709596343008182,GRU
S57,0.22837072773619774,0.19588679974115236,0.5757424725226497,GRU
S58,0.13652328654338244,0.44921011189389254,0.4142666015627252,ANN
S59,0.2683936509737411,0.44662089634626373,0.284985452679995,ANN
S60,0.26254878089164774,0.47374894653720506,0.2637022725711466,ANN
S61,0.3790002985087556,0.3630361522524676,0.2579635492387761,1D-CNN
S62,0.19091734291650686,0.3965751511899603,0.41250750589353274,GRU
S63,0.28391005868166685,0.3426501476577696,0.3734397936605633,GRU
S64,0.31636734949488,0.30707818883140575,0.3765544616737139,GRU
S65,0.3139136424193209,0.3019982382466501,0.38408811933402864,GRU
S66,0.3976337158998244,0.36227915599939614,0.24008712810077945,1D-CNN
S67,0.5351646568587471,0.32027842448262595,0.1445569186586267,1D-CNN
S68,0.283845750952883,0.3736357886080366,0.34251846043908035,ANN
S69,0.2629092857566718,0.41860627436448966,0.3184844398788387,ANN
S70,0.34746004515873474,0.40715994276597195,0.24538001207529317,ANN
S71,0.3908841500571576,0.34201841301426855,0.2670974369285736,1D-CNN
S72,0.19367372867295768,0.6856486045716899,0.1206776667553524,ANN
S73,0.22867945657853134,0.30137815766670867,0.46994238575476,GRU
S74,0.21382145256339888,0.35078045354769904,0.4353980938889022,GRU
S75,0.17841426191912146,0.6598619515325438,0.16172378654833536,ANN
S76,0.23120707574599594,0.4436789047169518,0.3251140195370522,ANN
S77,0.4052522300919525,0.2295622616939365,0.36518550821411117,1D-CNN
S78,0.577207818921341,0.2727193848592454,0.15007279621941327,1D-CNN
S79,0.536871113291965,0.3028471012321936,0.16028178547584107,1D-CNN
S80,0.3886710929392906,0.41662824339080934,0.19470066366989994,ANN
S81,0.3554145881126808,0.31516183377346935,0.32942357811385053,1D-CNN
S82,0.11451099009988769,0.5907416199570902,0.2947473899430226,ANN
S83,0.2710625156822594,0.2707719648758036,0.4581655194419359,GRU
S84,0.04819078326372705,0.6534272406270719,0.2983819761092009,ANN
S85,0.35102317800417354,0.24740230098160088,0.4015745210142257,GRU
S86,0.09407895412439833,0.23236500386877385,0.6735560420068286,GRU
S87,0.230255661645906,0.25605023127924464,0.5136941070748496,GRU
S88,0.49454183337363267,0.16882882398654214,0.33662934263982525,1D-CNN
S89,0.76489702636253,0.09584734787304702,0.1392556257644229,1D-CNN
S90,0.3784831899570918,0.3272674745862458,0.29424933545666215,1D-CNN
S91,0.09529547215253205,0.7972894238508316,0.10741510399663617,ANN
S92,0.2272108961893506,0.5025556718067321,0.27023343200391736,ANN
S93,0.3165005079789908,0.3769744451670024,0.30652504685400656,ANN
S94,0.3202281127702331,0.3366776304587152,0.34309425677105126,GRU
S95,0.19502623397794383,0.16048460356796682,0.6444891624540894,GRU
S96,0.08996710422485242,0.16378028795987684,0.7462526078152707,GRU
S97,0.33132946038279154,0.4067128061341799,0.26195773348302787,ANN
S98,0.39265355304132654,0.40938131914823156,0.1979651278104417,ANN
S99,0.35590154400867613,0.4972751594039364,0.14682329658738816,ANN
S100,0.502674137362039,0.13770444886966315,0.3596214137682973,1D-CNN
S101,0.2955412693800833,0.23728632402860628,0.4671724065913102,GRU
S102,0.3162862528083556,0.39119649175899646,0.2925172554326481,ANN
S103,0.31989521286845196,0.3323624511776156,0.34774233595393333,GRU
S104,0.15486555376114616,0.22643313812962143,0.6187013081092325,GRU
