Segment,1D-CNN,ANN,CNN-LSTM,GRU,Selected
S1,0.15516833242308237,0.04394619058128753,0.7114534798627681,0.0894319971328627,CNN-LSTM
S2,0.24655777475103552,0.24338546581324466,0.17385999984133763,0.3361967595943781,GRU
S3,0.171893915410755,0.32524562814979513,0.31892974111447725,0.18393071532496977,ANN
S4,0.23431043442587654,0.3216010018624787,0.2078767496412428,0.23621181407040276,ANN
S5,0.1692078582717496,0.43957815098401476,0.08041566743782123,0.3107983233064142,ANN
S6,0.0747410728213987,0.45105950338243633,0.10515803705946929,0.36904138673669296,ANN
S7,0.15401574092637224,0.0993357558079298,0.6540598042645044,0.09258869900119097,CNN-LSTM
S8,0.2528991550919474,0.3042660120252396,0.34612513174316256,0.09670970113965009,CNN-LSTM
S9,0.221240216998095,0.34311773634160225,0.13912580837424268,0.29651623828605966,ANN
S10,0.25554693898800607,0.22402938495511057,0.1894654457902305,0.33095823026665255,GRU
S11,0.26404657988407937,0.2478323288600772,0.19177650897726795,0.2963445822785713,GRU
S12,0.2432194411428773,0.22209425904664007,0.2262561518653633,0.3084301479451229,GRU
S13,0.18093349157978983,0.3079284808214762,0.19984589142262205,0.3112921361761116,GRU
S14,0.17420963263750738,0.3306890571652951,0.34913131748652776,0.14596999271066982,CNN-LSTM
S15,0.3085977230829544,0.3359695891354054,0.20534451390104136,0.15008817388059859,ANN
S16,0.15049920232738856,0.21043967678627473,0.2338273542773467,0.40523376660898824,GRU
S17,0.1348144567103256,0.3166029899285874,0.4687052396512508,0.07987731370983595,CNN-LSTM
S18,0.4774996628710415,0.187651212755776,0.20518920213729935,0.12965992223588224,1D-CNN
S19,0.2493940945885304,0.2770499741475216,0.34728156364500284,0.12627436761894334,CNN-LSTM
S20,0.32469079871049933,0.2934498450271157,0.20509333626064555,0.17676602000173844,1D-CNN
S21,0.2116514242315776,0.3087790235555173,0.21920642061121798,0.26036313160168545,ANN
S22,0.23216041715127778,0.24780597742858698,0.18657365800654624,0.3334599474135927,GRU
S23,0.10598851941317777,0.2938540285864123,0.12286383498135102,0.477293617019059,GRU
S24,0.17626801677778073,0.4546452492000321,0.27403956898056564,0.09504716504162036,ANN
S25,0.3762854023211403,0.19960492811622577,0.04614102135844307,0.3779686482041879,GRU
S26,0.16103495265727968,0.425529412180591,0.24499390201107615,0.16844173315105315,ANN
S27,0.3234433834950221,0.08109097966957346,0.47643483172021484,0.11903080511518724,CNN-LSTM
S28,0.28084590996667164,0.16218050139689918,0.21021720380054423,0.34675638483588583,GRU
S29,0.2513151986139283,0.22320075822317018,0.37090115744985014,0.15458288571305231,CNN-LSTM
S30,0.3902441761634737,0.21192740500844126,0.285060116495648,0.11276830233243958,1D-CNN
S31,0.15496273311260347,0.47773127418532524,0.3042927586517535,0.063013234050317,ANN
S32,0.18828334086326948,0.1950763508881546,0.27547233323419756,0.34116797501437657,GRU
S33,0.31399365865264617,0.1174295614062372,0.19751509388632782,0.3710616860547921,GRU
S34,0.25831705560544016,0.1982211548631217,0.23267675916338193,0.31078503036805605,GRU
S35,0.23924947214758846,0.2769225655292835,0.21344619553400504,0.27038176678912207,ANN
S36,0.08502887736428752,0.7064434712306455,0.04829213829299529,0.1602355131120681,ANN
S37,0.10997489834601472,0.5997215584203217,0.09565755515257665,0.19464598808108705,ANN
S38,0.3465847364902018,0.3234483261571767,0.2751003269702137,0.054866610382407616,1D-CNN
S39,0.23838929900601089,0.24779778615275275,0.4432244268424726,0.07058848799876219,CNN-LSTM
S40,0.23236989931131075,0.2695078491999965,0.2412756552575468,0.2568465962311492,ANN
S41,0.25879573908560416,0.20783753805343763,0.2864796162623392,0.24688710659861918,CNN-LSTM
S42,0.31357160091248076,0.23813519029325786,0.22217864384858646,0.2261145649456724,1D-CNN
S43,0.2785148988637528,0.2628674564617026,0.24037491167307198,0.21824273300146999,1D-CNN
S44,0.4117697778637762,0.22446210497413488,0.10041626019832099,0.2633518569637628,1D-CNN
S45,0.11797193714154809,0.11278690988091689,0.42489798174606036,0.34434317123147345,CNN-LSTM
S46,0.16043999453880278,0.6613973130785241,0.0506912090150019,0.12747148336767342,ANN
S47,0.16467076470890232,0.2663521447362481,0.24220552092105774,0.32677156963379034,GRU
S48,0.25464551016872494,0.12068371164917889,0.27164021272385735,0.353030565458238,GRU
S49,0.04847329343392518,0.09464614706271235,0.8302677755224732,0.026612783980892184,CNN-LSTM
S50,0.5262430200022458,0.2283657390531601,0.18064675898282145,0.06474448196177215,1D-CNN
S51,0.07756633175094754,0.5747098429327155,0.2595356502448473,0.08818817507148928,ANN
S52,0.21750665104078695,0.19173284930337156,0.36622308801645054,0.22453741163939003,CNN-LSTM
S53,0.23227245920290426,0.3468486858404897,0.2681058889015278,0.15277296605508012,ANN
S54,0.5361827963885787,0.1387356398187425,0.1476414940583925,0.1774400697342857,1D-CNN
S55,0.188540497428929,0.2981571100025464,0.06051419697914098,0.45278819558938305,GRU
S56,0.07398655891512021,0.1029027399261168,0.13880299204094848,0.6843077091178121,GRU
S57,0.19207919042508462,0.1758147779592128,0.09070687664589547,0.541399154969807,GRU
S58,0.11299969599713926,0.44259964517027184,0.06228716724501001,0.38211349158757846,ANN
S59,0.14828964027022368,0.26111352515971287,0.38327422864304944,0.2073226059270141,CNN-LSTM
S60,0.1630127538981868,0.27797651746111307,0.3866486090758667,0.17236211956483058,CNN-LSTM
S61,0.34804177488216126,0.3135295172269165,0.1752174495805758,0.16321125831034541,1D-CNN
S62,0.23581316147519243,0.3425959012618286,0.0611384661730893,0.36045247108988954,GRU
S63,0.23379393684134941,0.28260287964586545,0.13774374001621972,0.3458594434965639,GRU
S64,0.247597430463734,0.23474979454966516,0.17828955408550676,0.339363220901094,GRU
S65,0.22648564243077188,0.17469935164385847,0.23244746298761088,0.36636754293775675,GRU
S66,0.24796354692821376,0.22773483112639253,0.3394129081275764,0.18488871381781674,CNN-LSTM
S67,0.42185785714734597,0.24794740786299754,0.22012203794190757,0.11007269704774697,1D-CNN
S68,0.1875240990125194,0.2794704718018186,0.315359432844123,0.21764599634153903,CNN-LSTM
S69,0.19190592717146346,0.3351129258691171,0.27853844786041504,0.1944426990990038,ANN
S70,0.268258574694065,0.36203605791159355,0.22773409181252466,0.14197127558181522,ANN
S71,0.3086370834833536,0.29358732870855564,0.23204688266278647,0.16572870514530336,1D-CNN
S72,0.1499561794193611,0.7928812155684958,0.007506982864002866,0.049655622148142675,ANN
S73,0.12641449616775205,0.201749053494213,0.07446477915594334,0.5973716711820928,GRU
S74,0.1692072977945551,0.26693463414493646,0.2342157173274019,0.3296423507331059,GRU
S75,0.06993382441436273,0.27256464595336505,0.5921490024121018,0.0653525272201735,CNN-LSTM
S76,0.17563320093020432,0.33958040561466296,0.2555246461754732,0.22926174727965648,ANN
S77,0.3328019233554363,0.15623091168111775,0.164673161618829,0.34629400334461413,GRU
S78,0.49909916045080044,0.21813560517885477,0.16762899804771633,0.11513623632262848,1D-CNN
S79,0.3214170281907964,0.19270045164026722,0.38303708825454463,0.10284543191439068,CNN-LSTM
S80,0.2592564321125755,0.31156187277897474,0.3082750985727394,0.12090659653570937,ANN
S81,0.29932307771202776,0.25160529214100624,0.16597306457545455,0.28309856557151053,1D-CNN
S82,0.09429768482735972,0.5437256694482506,0.0984879036410622,0.26348874208332707,ANN
S83,0.1887884577439069,0.2002345740973019,0.2402950504152628,0.37068191774352827,GRU
S84,0.04589909976601488,0.5403577097515642,0.08012611954780945,0.3336170709346125,ANN
S85,0.1456949230150371,0.08390232512583493,0.47785200941178724,0.2925507424473406,CNN-LSTM
S86,0.09894420809755697,0.1986403518947364,0.14911693871805506,0.5532985012896496,GRU
S87,0.21088160545458273,0.21665370397319061,0.25511380427730446,0.3173508862949267,GRU
S88,0.48248924599376747,0.10682675738417291,0.1685475938465609,0.24213640277549875,1D-CNN
S89,0.6363784022086967,0.06344933005400814,0.1991792540256866,0.10099301371160836,1D-CNN
S90,0.2652662501262558,0.21657054244137566,0.3375358487458174,0.18062735868655036,CNN-LSTM
S91,0.06507377029792849,0.5471300452095654,0.32724339841923783,0.06055278607326768,ANN
S92,0.20778697172947103,0.43503231415535143,0.18880672683893002,0.1683739872762485,ANN
S93,0.23046032960828322,0.3070243001069973,0.25581387159138325,0.20670149869333412,ANN
S94,0.26637999912680366,0.30435028109058904,0.176423583797713,0.2528461359848932,ANN
S95,0.1269484322238733,0.09552721609323662,0.13454365668308188,0.6429806949998075,GRU
S96,0.03529212434112726,0.060552897444513296,0.4547886764705546,0.449366301743805,CNN-LSTM
S97,0.22977445504186347,0.23942612491719223,0.30420012335938273,0.22659929668156364,CNN-LSTM
S98,0.2942451048988793,0.3738665838784404,0.19268716560728807,0.13920114561538893,ANN
S99,0.3012099670396958,0.5620309792840118,0.04438392508305093,0.09237512859324153,ANN
S100,0.4686351891012164,0.06604241552851643,0.22319780740865042,0.24212458796161312,1D-CNN
S101,0.19701830341581042,0.143734812224451,0.1363306976098171,0.5229161867499208,GRU
S102,0.25848618460776246,0.31269258761013075,0.2049330519463156,0.22388817583578988,ANN
S103,0.22294837511960416,0.244927453448236,0.24504789003645733,0.2870762813957025,GRU
S104,0.05237314471000721,0.08148730039340674,0.21104721999861192,0.655092334897974,GRU
S105,0.1090593499028854,0.11936618630992657,0.3466737990319904,0.42490066475519567,GRU
S106,0.08310225068372684,0.03474928323208994,0.27002329510092116,0.6121251709832599,GRU
S107,0.032828088793534466,0.0898779210897281,0.13065086675742593,0.7466431233593102,GRU
S108,0.10220037535968084,0.147312126590888,0.36450636216489474,0.38598113588453575,GRU
S109,0.4320567406649652,0.1329110783607883,0.12099375522250261,0.314038425751743,1D-CNN
S110,0.1952827164773206,0.3446201566299401,0.2579766848620274,0.20212044203070773,ANN
S111,0.23511486242923585,0.25357901449259646,0.13225157791753642,0.3790545451606323,GRU
S112,0.1551510581194625,0.2477247327078598,0.11963485425024764,0.4774893549224302,GRU
S113,0.23711547808841324,0.23075375414352592,0.14307709637384394,0.3890536713942151,GRU
S114,0.21518476538751413,0.2013468117820985,0.1925512903573983,0.3909171324729877,GRU
S115,0.18662311855150807,0.4076889986391162,0.1916380738961527,0.21404980891322062,ANN
S116,0.13115718684658292,0.4581958949225772,0.19300368882140836,0.21764322940943043,ANN
S117,0.15541737208016213,0.3172403639587623,0.36629743766012707,0.16104482630094805,CNN-LSTM
S118,0.6840361253116466,0.08567950167310973,0.13631514411288873,0.09396922890235468,1D-CNN
S119,0.1305946598451925,0.3455857919443216,0.46853851069299113,0.05528103751749154,CNN-LSTM
S120,0.2602562088717646,0.17249487620195955,0.24060018246833836,0.3266487324579378,GRU
S121,0.41901648609138986,0.18687684977186333,0.23356626872325406,0.1605403954134929,1D-CNN
S122,0.3650633186948043,0.20364130424237312,0.3167965281588038,0.11449884890401789,1D-CNN
S123,0.23929891482492546,0.4157288197386718,0.291621512608644,0.0533507528277586,ANN
S124,0.18780662964800252,0.2644924634591223,0.18434904851943504,0.3633518583734402,GRU
S125,0.22117539606720835,0.1834635961013931,0.07329002301491587,0.5220709848164767,GRU
S126,0.33261663657149326,0.22007391150340333,0.11455040719084546,0.33275904473425766,GRU
S127,0.19704487514430935,0.33749046498159657,0.18942704362617663,0.276037616247916,ANN
S128,0.14789737470188677,0.41000890254677497,0.28427652872785714,0.1578171940234829,ANN
S129,0.2570519900421022,0.2332054303239118,0.31804332634915755,0.19169925328482945,CNN-LSTM
S130,0.7342180747533904,0.10852931372190518,0.12394498923031615,0.03330762229438726,1D-CNN
S131,0.7175190468940622,0.08506325366654108,0.08195031806846909,0.11546738137093182,1D-CNN
