Segment,1D-CNN,ANN,LSTM,CNN-LSTM,GRU,Selected
S1,0.10477546097719537,0.08500127539033314,0.19754181163234866,0.52229731910253,0.09038413289759256,CNN-LSTM
S2,0.5152248095585134,0.1691326899615671,0.12907597165609402,0.0940184933368557,0.09254803548696997,1D-CNN
S3,0.13897940421162985,0.2254193163511938,0.24850260303398533,0.21888912747671516,0.16820954892647358,LSTM
S4,0.13820212149962532,0.29712527084260804,0.18559837060487389,0.23804651693718684,0.14102772011570897,ANN
S5,0.1316834018566803,0.09143088294106606,0.22778035259814766,0.420807506515482,0.12829785608862485,CNN-LSTM
S6,0.2655805398987887,0.07646478951375403,0.28923018950824275,0.18121430200933006,0.18751017906988163,LSTM
S7,0.06672141252435777,0.046165520797192945,0.41334636898642807,0.16625438593687208,0.30751231175514315,LSTM
S8,0.11325607489927174,0.05828306391200959,0.13896215627257685,0.03160417069100685,0.6578945342251352,GRU
S9,0.10577916932611854,0.10006644441424903,0.2521239507960156,0.12021322682351751,0.42181720864010436,GRU
S10,0.150798786961916,0.22697850825102042,0.22190598984926477,0.14077092604682326,0.2595457888909742,GRU
S11,0.12406807854394959,0.7105408083104249,0.05604822055954903,0.06935947434703009,0.03998341823904746,ANN
S12,0.1025450053952417,0.44951687492528153,0.10536201887606,0.29505893470732886,0.04751716609608717,ANN
S13,0.03675876226397257,0.13957982291924875,0.07192211358284337,0.7404998788000273,0.011239422433906115,CNN-LSTM
S14,0.24179780116031158,0.12602289919225632,0.34297902399217683,0.24615619598544394,0.0430440796698124,LSTM
S15,0.4391841447204128,0.13833040988977935,0.1401442009479572,0.06517753448420167,0.2171637099576489,1D-CNN
S16,0.3613322214775574,0.23348525622854624,0.08246356269341361,0.10490698725577305,0.2178119723447151,1D-CNN
S17,0.19761140846299116,0.18126260146537687,0.14295679261317684,0.22722156611765296,0.25094763134080084,GRU
S18,0.19792461666614622,0.1749431483527751,0.17657413297815172,0.26885313191626564,0.18170497008666822,CNN-LSTM
S19,0.23474366537753474,0.18211395928234794,0.1730953587951393,0.29828194138646213,0.1117650751585148,CNN-LSTM
S20,0.13273705135069325,0.045569025395388124,0.14990885460280248,0.6371119715172137,0.03467309713390721,CNN-LSTM
S21,0.4859897764814198,0.0504540670787583,0.09223518697172724,0.3512037753054008,0.02011719416269387,1D-CNN
S22,0.5953683404750659,0.2734100962962293,0.03390076937495113,0.06301011491355511,0.03431067894020169,1D-CNN
S23,0.22841828975031012,0.4402849894543295,0.06536653007554866,0.13983721341145253,0.12609297730835875,ANN
S24,0.31549581317373265,0.0645577891185832,0.19350249218752827,0.03337189198928666,0.3930720135308674,GRU
S25,0.19905449114833457,0.19313852841962734,0.24640576783880253,0.0751920838251846,0.2862091287680521,GRU
S26,0.17871568776914848,0.12419305826909588,0.2481244686564401,0.0870377980520956,0.3619289872532265,GRU
S27,0.20758372981956547,0.38219480174027365,0.162095684163909,0.11705149248508649,0.13107429179116548,ANN
S28,0.19466517539210845,0.3567272534587875,0.156775077249889,0.216308398156117,0.07552409574309504,ANN
S29,0.14141622855040853,0.06219092971248271,0.23614921685114765,0.5486559853167818,0.011587639569180528,CNN-LSTM
S30,0.019033678113800787,0.1629132872648567,0.25968260182371233,0.5513587596732472,0.007011673124383807,CNN-LSTM
S31,0.622299742459215,0.07502981501682297,0.2375240981216277,0.05661276733948563,0.008533577062849568,1D-CNN
S32,0.3860574556577647,0.20632431757146796,0.24888280309484764,0.13985256135632945,0.018882862319592218,1D-CNN
S33,0.07744246456870599,0.049328590767355206,0.3446267767047516,0.3947662037057865,0.13383596425339914,CNN-LSTM
S34,0.4742964610706824,0.05335284385187463,0.2183070865099436,0.049349114496538775,0.20469449407095983,1D-CNN
S35,0.08785140793422277,0.2513020392722019,0.24602249152618144,0.1556167807619951,0.259207280505398,GRU
S36,0.10280867523000421,0.07044610170099415,0.31172328339424754,0.3802902701295669,0.1347316695451874,CNN-LSTM
S37,0.3380587474458694,0.059402705054468416,0.18809231276741617,0.27795128148601517,0.1364949532462331,1D-CNN
S38,0.20584588996665884,0.1328143900520018,0.1589895171200716,0.05414615068791729,0.44820405217334774,GRU
S39,0.15470874853852112,0.10342018573522557,0.16658019129154852,0.0664378427845858,0.50885303165012,GRU
S40,0.1696275428911678,0.12543090457401515,0.2197102549411756,0.16558148361686786,0.3196498139767737,GRU
S41,0.16586887636751302,0.1996101811440724,0.20713003958080373,0.23833813731835427,0.18905276558926098,CNN-LSTM
S42,0.18833179056128554,0.6366342724044995,0.05022037991223198,0.08996251815101675,0.03485103897097165,ANN
S43,0.26081657503984124,0.3932624619456042,0.051280054555766084,0.21237258483373184,0.08226832362506369,ANN
S44,0.1545788926355839,0.1545876408805245,0.32066877964326873,0.3156168524176144,0.05454783442300965,LSTM
S45,0.31323947740687125,0.03862048975034622,0.4987286215514348,0.09542112056976085,0.05399029072158367,LSTM
S46,0.22070277332669425,0.19819308189090654,0.20888795623306666,0.11642382281134994,0.255792365737983,GRU
S47,0.16762082562555022,0.25429082367644257,0.14989723529442034,0.15318641731532334,0.2750046980882629,GRU
S48,0.16365471928214148,0.1151081814947128,0.24879590579642094,0.196473452863978,0.27596774056274326,GRU
S49,0.20521683188000178,0.17560527366059578,0.23811062706548866,0.20248452319864493,0.17858274419526554,LSTM
S50,0.3202167146576902,0.12497410149742294,0.1348325210325675,0.11991078237014641,0.3000658804421732,1D-CNN
S51,0.007975799801974515,0.01659138582256177,0.8013959142243383,0.1489530156595174,0.025083884491610548,LSTM
S52,0.15507723803781664,0.32771064830209834,0.28190873278767314,0.12284979111686448,0.11245358975554623,ANN
S53,0.060008755618459926,0.19403029267354868,0.30003007461791403,0.3029817733450348,0.1429491037450499,CNN-LSTM
S54,0.11565975387569415,0.13387226167142738,0.22937844005792682,0.3864261899455672,0.13466335444938327,CNN-LSTM
S55,0.014599654770130246,0.016836815954655696,0.10019502288528778,0.8562650888568213,0.012103417533105149,CNN-LSTM
S56,0.45589501772811575,0.038621623890460435,0.36287507128377705,0.07704599074202659,0.06556229635561804,1D-CNN
S57,0.5369838966002736,0.013696776000703095,0.10126569325007374,0.09779946561930102,0.2502541685296507,1D-CNN
S58,0.4379541196636563,0.013726205442408901,0.08245859944802812,0.06079883168160857,0.40506224376429745,1D-CNN
S59,0.1511212884916831,0.03615778734300155,0.2233619506336194,0.32115175983189315,0.26820721369980943,CNN-LSTM
S60,0.20110019104005755,0.367309664404375,0.13945367337831246,0.07395888814995694,0.21817758302729912,ANN
S61,0.26929476669656743,0.09919936646697532,0.04180301003271008,0.020079911913172554,0.5696229448905783,GRU
