Segment,1D-CNN,ANN,BiLSTM,LSTM,CNN-LSTM,GRU,Selected
S1,0.3635620497589385,0.29953865707197835,0.0,0.0,0.0,0.3368992931690838,1D-CNN
S2,0.0,0.0,0.46097076996914643,0.250120877593139,0.2889083524377143,0.0,BiLSTM
S3,0.0,0.0,0.37271061636248876,0.30242354162054547,0.3248658420169654,0.0,BiLSTM
S4,0.0,0.0,0.40928805582419897,0.2718560967872891,0.31885584738851136,0.0,BiLSTM
S5,0.0,0.0,0.36646920304736164,0.3310320757527656,0.30249872119987276,0.0,BiLSTM
S6,0.0,0.0,0.37043915657385973,0.2952172774806174,0.33434356594552206,0.0,BiLSTM
S7,0.0,0.0,0.32216113907547433,0.32452942553422176,0.0,0.35330943539030374,GRU
S8,0.0,0.37455831385788796,0.0,0.2969338412245336,0.0,0.32850784491757856,ANN
S9,0.2897221319346849,0.35705716923087477,0.0,0.0,0.0,0.3532206988344402,ANN
S10,0.40572955354058765,0.0,0.0,0.28727999100809654,0.30699045545131604,0.0,1D-CNN
S11,0.0,0.0,0.2281842488787377,0.3733233722572342,0.3984923788640275,0.0,CNN-LSTM
S12,0.0,0.0,0.32890951284312364,0.2907345200427694,0.3803559671141072,0.0,CNN-LSTM
S13,0.2759761836716938,0.0,0.31633420316651095,0.0,0.4076896131617959,0.0,CNN-LSTM
S14,0.31821338575554886,0.0,0.2734521267949715,0.0,0.4083344874494803,0.0,CNN-LSTM
S15,0.23931323612841904,0.48757754899089506,0.0,0.0,0.273109214880686,0.0,ANN
S16,0.3028551323184991,0.4148203077580299,0.0,0.0,0.282324559923471,0.0,ANN
S17,0.0,0.6044738199437293,0.0,0.0,0.17874650300600325,0.21677967705026724,ANN
S18,0.22096917123814852,0.5309562438543388,0.0,0.0,0.0,0.24807458490751255,ANN
S19,0.265171272067001,0.35868400511466064,0.0,0.0,0.0,0.3761447228183377,GRU
S20,0.29088280437504843,0.41957091511781675,0.0,0.0,0.0,0.2895462805071347,ANN
S21,0.3267760977503785,0.2937640912868724,0.0,0.0,0.0,0.3794598109627486,GRU
S22,0.3596943426563205,0.5013628213243799,0.0,0.0,0.0,0.13894283601929946,ANN
S23,0.2110947745658299,0.7190660085766579,0.0,0.0,0.0,0.0698392168575123,ANN
S24,0.20656276614971955,0.7214876935934774,0.0,0.0,0.0,0.0719495402568032,ANN
S25,0.5276654622846377,0.3268165439747627,0.0,0.0,0.0,0.1455179937405993,1D-CNN
S26,0.6033627077671694,0.284377853433178,0.0,0.0,0.0,0.11225943879965247,1D-CNN
S27,0.2423979995617427,0.5631086443382369,0.0,0.0,0.0,0.19449335610002022,ANN
S28,0.0,0.2230708260838526,0.0,0.21185288175977765,0.0,0.5650762921563696,GRU
S29,0.330925757365546,0.25644291694811394,0.0,0.0,0.0,0.4126313256863401,GRU
S30,0.25283213847491204,0.4519621280866377,0.0,0.0,0.0,0.2952057334384503,ANN
S31,0.3646933569311645,0.0,0.0,0.3141709494704386,0.0,0.3211356935983976,1D-CNN
S32,0.4440713523041676,0.4219444060776223,0.0,0.0,0.13398424161821007,0.0,1D-CNN
S33,0.31982471618418423,0.4328823162297723,0.0,0.0,0.0,0.2472929675860436,ANN
S34,0.3853779307938923,0.47059142624402434,0.0,0.1440306429620834,0.0,0.0,ANN
S35,0.4126926894430207,0.3664842347609618,0.0,0.0,0.0,0.22082307579601732,1D-CNN
