Segment,1D-CNN,ANN,BiLSTM,LSTM,CNN-LSTM,GRU,Selected
S1,0.9722879714985019,0.0004646564726489075,0.0025073641517720496,0.0024514311122723485,0.006753897209921369,0.015534679554881902,1D-CNN
S2,0.5540914136885357,0.09221696439918305,0.0074253306013981205,0.00945260627748743,0.08359314766681593,0.25322053736658134,1D-CNN
S3,0.11583525077976632,0.14337964898215835,0.07955853370168472,0.1732795208341154,0.42113511373482565,0.06681193196745111,CNN-LSTM
S4,0.13544696775114035,0.45010551291102574,0.09105931010491505,0.18177620517246343,0.07064252301526455,0.0709694810451899,ANN
S5,5.392625376063734e-05,0.0002657226014548884,0.8462262431849135,0.15338463028384386,3.253282224690189e-05,3.6944853772075394e-05,BiLSTM
S6,0.0027061203774196435,0.012265468235314086,0.07199148981565062,0.05594613262068912,0.007300787900255282,0.8497900010506881,GRU
S7,0.00036798896371337687,0.0008052860304020811,0.5427614465391791,0.44756638704655805,0.0025137461237273034,0.005985145296419256,BiLSTM
S8,0.03531058893473127,0.06073963614218145,0.5029244171336058,0.2817312537165747,0.05864593810947886,0.060648165963425385,BiLSTM
S9,0.27347856456034986,0.25677846381048197,0.05707116967630399,0.031426816640538625,0.040056649903881615,0.3411883354084439,GRU
S10,0.2365496850381772,0.16337082273673975,0.001002975772432414,0.0006397590215886864,0.1852566263587721,0.4131801310722835,GRU
S11,0.22554248131424112,0.6033587321235271,0.011815429227350925,0.035171344775741215,0.09770756118119889,0.02640445137793628,ANN
S12,0.01581897799342717,0.021934280845428464,0.7772622959358624,0.16047682667972357,0.0165727936187546,0.007934824926802399,BiLSTM
S13,0.0008841292214356254,0.9840753315685785,0.010164254660838817,0.0020079361802603675,0.0011613314588574753,0.001707016910029262,ANN
S14,0.043647478563923724,0.07397683574365425,0.5131600353427631,0.1682109271187918,0.07392910891552047,0.12707561431534772,BiLSTM
S15,0.0,0.0,0.0,0.0,0.0,0.0,1D-CNN
S16,0.0,0.0,0.0,0.0,0.0,0.0,1D-CNN
S17,0.005709903193727555,0.002900641157755921,0.00010455500486639912,2.30100430754714e-05,0.0014234177703543768,0.9898384728302188,GRU
S18,0.28172675306124023,0.15016357847198655,0.26225979578211284,0.01012403514465605,0.27263051578584613,0.023095321754160632,1D-CNN
S19,0.047008761285791976,0.030923515862913604,0.03523098045029943,0.8407318363120182,0.03929236954867877,0.006812536540300884,LSTM
S20,0.24105292819336666,0.10775188675520309,0.0294450566137143,0.01692742722769913,0.0813074061673177,0.5235152950427028,GRU
S21,0.10482797216797463,0.17802039223876961,0.29976233745460257,0.29512341250064655,0.09292486888673133,0.02934101675128597,BiLSTM
S22,0.11624170897602869,0.07071308205244572,0.08237025491991423,0.5463063944713049,0.08678690168183327,0.09758165789847169,LSTM
S23,0.009602067521250713,0.09957908015265601,0.3048442904743368,0.5022001461014327,0.029745653206343942,0.054028762543971445,LSTM
S24,0.06364257847408623,0.12883323717629383,0.07005165339448131,0.0215865287693315,0.015063843946250936,0.700822158239556,GRU
S25,0.34527222475497676,0.5162600692728668,0.01705719999038003,0.0011102964639115927,0.051842012724049154,0.06845819679381418,ANN
S26,0.006063087268447108,0.11220806884596637,0.16486080665199163,0.6800225438814775,0.00396541584951531,0.03288007750271112,LSTM
S27,0.30064021501882854,0.012271696403496388,0.0033981753251960036,0.0010011250807229744,0.022738434339218877,0.6599503538325431,GRU
S28,0.22199929597389342,0.14757210912899224,0.10554978723577134,0.029362554248349968,0.4541569447696792,0.041359308643306475,CNN-LSTM
S29,0.10089700211878924,0.025910409445813427,0.04257292976701091,0.6073692364498889,0.16562321242626252,0.05762720979222488,LSTM
S30,0.9507905799176487,0.0008230031648898424,0.0006362838346783734,0.001577823393096894,0.02514282459583207,0.021029485093854907,1D-CNN
S31,0.0011954493527423088,0.005341327386132881,0.037646927918320784,0.9527703253513697,0.002197353252859949,0.0008486167385728408,LSTM
S32,0.10539929173278155,0.2686452773548973,0.19000397299324806,0.16048240833232366,0.07927812708316322,0.1961909225035852,ANN
S33,0.9972529426355936,0.00011076546634811205,0.00011237439894732302,0.000146135834859977,0.0006088957388005865,0.0017688859254530469,1D-CNN
S34,0.34848584370916574,0.5397402162856401,0.0035193856806876715,0.005585008757046457,0.07626314597585698,0.026406399591611784,ANN
S35,0.022745921809102,0.07720960068729071,0.27018837601356444,0.5485897986969024,0.06013027735949141,0.021136025433650053,LSTM
S36,0.024276515941004977,0.38987730372015067,0.32165334902347886,0.2169583900196795,0.01850583510319234,0.028728606192489972,ANN
S37,0.00711702924191778,0.08838566837123038,0.2834505354298776,0.22082942380810572,0.02287743875449632,0.37733990439437193,GRU
S38,0.0010902567925833153,0.002379614128426382,0.0052828305468162595,0.0038118395536955616,0.001112694062329508,0.9863227649161495,GRU
S39,0.0,0.0,0.0,0.0,0.0,0.0,1D-CNN
S40,0.0,0.0,0.0,0.0,0.0,0.0,1D-CNN
S41,0.0002479561534517109,2.4619701915899975e-05,2.7599040345917796e-06,3.819819752813822e-06,0.0025472016829093907,0.9971736427379329,GRU
S42,0.0017040052354647126,0.9970058762766829,5.6142285388383355e-05,0.0002832912720131696,0.0006105681122706403,0.00034011681818145516,ANN
S43,0.13387044833430564,0.14871224005807815,0.15647503781002234,0.34442958041953814,0.11931805924153327,0.09719463413651729,LSTM
S44,0.11246260493899014,0.7016656912422577,0.07192953557530897,0.02025736927247128,0.011167540229514774,0.08251725874145346,ANN
S45,0.012956589197024972,0.012909651937783434,0.21173328218717674,0.5598898172396523,0.14376443823515314,0.05874622120320905,LSTM
S46,0.9772198531378468,0.021307875172946522,0.00036058172301073213,0.0004114877160640444,0.0002374172801889273,0.00046278496994190576,1D-CNN
S47,0.006095187240114665,0.10355209297848121,0.21187544770970543,0.1678013656374187,0.4691070090611379,0.04156889737313346,CNN-LSTM
S48,0.11269977547566533,0.03245106724934687,0.6258756412101684,0.1451201978830705,0.03874274761917231,0.045110570562575406,BiLSTM
S49,0.11345380344271468,0.04302856950267682,0.14717246983647547,0.06803203118997432,0.06465226205654022,0.5636608639716184,GRU
S50,0.7666172807946664,0.048171060257233896,0.0036293103859421916,0.0023746248600014547,0.05412162179538576,0.1250861019067739,1D-CNN
S51,0.06914526007184016,0.5456473653798009,0.0007142561778371806,0.0005174488561698141,0.2395228301509861,0.14445283936336673,ANN
S52,0.007805936172696952,0.0052943469844086944,0.0024034437129135115,0.005625834879462789,0.8994219705752003,0.07944846767531928,CNN-LSTM
S53,0.12888926078453652,0.4102169096786988,0.023447376370555603,0.2214860887837011,0.15609380142894638,0.05986656295355669,ANN
S54,0.2718517769857188,0.2592915208586029,0.31640437655222037,0.08548615213231091,0.03807428280875209,0.02889189066240509,BiLSTM
S55,0.02563950016128587,0.9715821467957807,0.0006568180714279807,0.00027147877398854645,0.00045552481847580185,0.0013945313790397016,ANN
S56,0.5258822440476,0.4570814296287779,0.0023458759339323653,0.0019599274056847386,0.005736461677707629,0.006994061306297197,1D-CNN
S57,0.05979824208890087,0.08094109082979983,0.09685830557688764,0.0917462952448766,0.45827372247198145,0.2123823437875536,CNN-LSTM
S58,0.0034872552361596056,0.01572904464531088,0.31341197160619205,0.4011765414020165,0.05700366802347145,0.20919151908684733,LSTM
S59,0.0009141872780696985,0.9734885586053695,0.012124667768896135,0.007698677319723371,0.0019146228752612911,0.0038592861527031474,ANN
S60,0.00022987969037756626,0.0007977806029997587,0.4718085133163148,0.10227854150948656,0.005716782189381552,0.4191685026914478,BiLSTM
S61,0.0002873902944849279,0.00028002712745221357,0.04262283005440001,0.021868262498945044,0.9347986886801334,0.0001428013445772442,CNN-LSTM
S62,0.26163243729170077,0.19988956522345894,0.0193255670476644,0.011662549994506605,0.033273055123132306,0.4742168253195339,GRU
S63,0.33099581618500834,0.44767123307380763,0.013928596832730044,0.02291410458710687,0.03063002489558716,0.15386022442576547,ANN
S64,0.012613641750678682,0.005780919885874867,0.8784369491759453,0.03341995308100593,0.06404157356109885,0.005706962545396078,BiLSTM
S65,0.0309171623964164,0.03861267999002103,0.8018821716523418,0.03873643817672434,0.037977109686135074,0.05187443809836613,BiLSTM
S66,0.01592185919399296,0.02091039178587905,0.8326191882892866,0.02841336772148501,0.03540490214504212,0.06673029086432304,BiLSTM
S67,0.0,0.0,0.0,0.0,0.0,0.0,1D-CNN
S68,1.841698647300009e-05,7.220939263330444e-06,4.6106836453817803e-07,7.23938812710966e-07,1.7037573886390205e-05,0.9999561394931994,GRU
S69,0.09545265537861386,0.2861609448112672,0.0009655817725655624,0.0025485041145042013,0.11747833937346848,0.4973939745495791,GRU
S70,0.290704325655303,0.36377081066327516,0.010459324562338048,0.12299255583885987,0.16637283148946003,0.045700151790758925,ANN
S71,0.10070306446882579,0.09204514146978933,0.057302024324642105,0.6157812888705297,0.08409741172060983,0.050071069145600215,LSTM
S72,0.19000787747652043,0.34082418591573904,0.0011494396323239668,0.0013642106639242025,0.00036022933879095227,0.4662940569726854,GRU
S73,0.021723888813644694,0.20266605582371375,0.03272615854810989,0.030918217470239977,0.04861253068937755,0.6633531486549139,GRU
S74,0.23161427759548803,0.19921342119197286,0.057414041357625706,0.057366999381460296,0.207099860134142,0.24729140033932034,GRU
S75,0.0027814414036117317,0.006700862960918351,0.065898051174259,0.05010529461031609,0.8334476749831503,0.04106667486774305,CNN-LSTM
S76,0.006385300273955594,0.19933046486836187,0.23938437890792869,0.16022953441184928,0.04106714629231336,0.35360317524558366,GRU
S77,0.8850582406437295,0.013489019248183461,0.032166978599399036,0.02488064629321789,0.015312927483064278,0.029092187732416615,1D-CNN
S78,0.9992502779402217,0.0001866835472872576,5.367157856268043e-05,7.176506976174139e-05,7.436618870378744e-05,0.0003632356754699635,1D-CNN
S79,0.08908764991927233,0.11363847845103424,0.1594153443219689,0.4377514332330155,0.13281995859449636,0.06728713548020547,LSTM
S80,0.0022335951600995015,0.17147300448031555,0.7999437338543627,0.017543631373420077,0.006147438036335245,0.002658597095467912,BiLSTM
S81,0.20908983712018522,0.09475742214203613,0.1525231475774839,0.1577173772066003,0.16772438665835324,0.21818782929534364,GRU
S82,0.39289172872820394,0.3672498467385108,0.04745256035303781,0.06287052634215759,0.06590187628711698,0.06363346155097212,1D-CNN
S83,0.031484961441236047,0.0356752450076075,0.06354534355659157,0.7662490943154214,0.07729703814853568,0.02574831753060746,LSTM
S84,0.005834659665231168,0.06751439182773673,0.8401180530817876,0.0027911102113510524,0.003980787018570709,0.07976099819532075,BiLSTM
S85,0.08402274052237654,0.2983353062864453,0.26295361126484706,0.24591957557865704,0.05472666860937955,0.05404209773832514,ANN
S86,0.3844482262014214,0.08423514128476255,0.14337369814903328,0.23964574359005936,0.07126684342431376,0.07703034735041683,1D-CNN
S87,0.3103525860655179,0.17318452104888818,0.1362699185090444,0.21313037663021042,0.13850879395038684,0.02855380379594507,1D-CNN
