Segment,1D-CNN,ANN,GRU,Selected
S1,0.9884047379720743,0.0005683537937284973,0.011026908234195793,1D-CNN
S2,0.5777030546958244,0.12387031039789025,0.29842663490628357,1D-CNN
S3,0.37676588863476557,0.4022124568869206,0.22102165447831457,ANN
S4,0.2217930160784147,0.6384520868275798,0.13975489709400496,ANN
S5,0.16968559802741243,0.6946521057499061,0.13566229622268194,ANN
S6,0.00420146933766893,0.015219331305970063,0.9805791993563633,GRU
S7,0.05730643677236032,0.127623474087723,0.8150700891399166,GRU
S8,0.2519987840851863,0.372619662384842,0.37538155352997166,GRU
S9,0.3099070602428487,0.2695459645195509,0.4205469752375999,GRU
S10,0.34276859171692703,0.19308739305418132,0.46414401522888965,GRU
S11,0.24548039698364824,0.7117005563419594,0.04281904667439155,ANN
S12,0.33907528908753565,0.42440772987147246,0.23651698104099195,ANN
S13,0.000967060189970616,0.997420859260133,0.0016120805498961864,ANN
S14,0.19798120134719835,0.31829755872457804,0.48372123992822225,GRU
S15,0.0,0.0,0.0,1D-CNN
S16,0.0,0.0,0.0,1D-CNN
S17,0.010824352554114096,0.005591994122984009,0.9835836533229019,GRU
S18,0.54799662237682,0.36631012336482066,0.08569325425835846,1D-CNN
S19,0.5133782801869679,0.36890576367909694,0.11771595613393478,1D-CNN
S20,0.21658848405687037,0.10451679616888475,0.6788947197742431,GRU
S21,0.26619954986730104,0.6176831432734793,0.11611730685921946,ANN
S22,0.35736665203623447,0.3093803382938242,0.3332530096699407,1D-CNN
S23,0.08140210924238785,0.6622427730243208,0.2563551177332891,ANN
S24,0.11758514566613137,0.11077117988622547,0.7716436744476424,GRU
S25,0.34464548467705347,0.580191790656168,0.07516272466677996,ANN
S26,0.0784943802988309,0.637521376186116,0.2839842435150539,ANN
S27,0.2512849320799718,0.014081033093396585,0.7346340348266307,GRU
S28,0.48439638076995145,0.37595498565576424,0.1396486335742839,1D-CNN
S29,0.47986704374826816,0.16090491767372872,0.35922803857800334,1D-CNN
S30,0.9686701851727793,0.0013467926431000104,0.029983022184120182,1D-CNN
S31,0.15752504094216938,0.7232403423701088,0.11923461668772153,ANN
S32,0.18115239141345976,0.45932023882251233,0.359527369764028,ANN
S33,0.9979252169565265,0.00013295911285704282,0.0019418239306171754,1D-CNN
S34,0.3574302662816416,0.613419810162832,0.02914992355552617,ANN
S35,0.20994814995741723,0.6022059028532797,0.18784594718930298,ANN
S36,0.06314458531983193,0.8606508568365057,0.07620455784366297,ANN
S37,0.018025776122899483,0.197089120033632,0.7848851038434684,GRU
S38,0.0009522177045541791,0.0020025084629014703,0.9970452738325444,GRU
S39,0.0,0.0,0.0,1D-CNN
S40,0.0,0.0,0.0,1D-CNN
S41,0.00021669802421445946,2.2366672473875988e-05,0.9997609353033116,GRU
S42,0.0016403834312688531,0.9979900401088762,0.00036957645985382086,ANN
S43,0.34034721886301267,0.3829959921620647,0.2766567889749231,ANN
S44,0.10232193162088525,0.8137469059504223,0.0839311624286906,ANN
S45,0.20945427087563936,0.21183455572879953,0.5787111733955611,GRU
S46,0.9720561661168339,0.027224038829046133,0.0007197950541206697,1D-CNN
S47,0.0839905677640607,0.6096675337760414,0.30634189845989956,ANN
S48,0.5529292998044932,0.17862682500277652,0.26844387519272983,1D-CNN
S49,0.20168444138200983,0.07993629331175314,0.7183792653062374,GRU
S50,0.8026321305309041,0.06092757234399894,0.13644029712509598,1D-CNN
S51,0.07787150735261963,0.7435891661159639,0.1785393265314174,ANN
S52,0.0629422305755276,0.04002237141384725,0.8970353980106263,GRU
S53,0.2018272128491537,0.6830560368638804,0.11511675028696539,ANN
S54,0.45145443854768513,0.46377787999156256,0.08476768146075109,ANN
S55,0.025613380665304133,0.9706704987864964,0.0037161205481995286,ANN
S56,0.4450701769873989,0.5364539826038122,0.018475840408788004,ANN
S57,0.1868405856125394,0.2546463638023662,0.5585130505850935,GRU
S58,0.015752111832677378,0.05909981888747543,0.9251480692798494,GRU
S59,0.0010308376182587224,0.9959392936424682,0.0030298687392718345,ANN
S60,0.0005261804155115546,0.002012342011620818,0.9974614775728675,GRU
S61,0.387192448341317,0.38168655590858463,0.23112099575009834,1D-CNN
S62,0.25278481982878376,0.22536060765258564,0.5218545725186314,GRU
S63,0.34805637598240774,0.48764151119245897,0.16430211282513335,ANN
S64,0.4341553380206575,0.2858242286347929,0.28002043334454957,1D-CNN
S65,0.26231827794266155,0.37794834736285227,0.359733374694486,ANN
S66,0.1843956198279089,0.23497549633477852,0.5806288838373113,GRU
S67,0.0,0.0,0.0,1D-CNN
S68,3.27387524460166e-05,1.1031053764650069e-05,0.9999562301937893,GRU
S69,0.08858439413018437,0.23407219522525294,0.6773434106445649,GRU
S70,0.4097369832996812,0.5084149900098813,0.0818480266904362,ANN
S71,0.4027273453438054,0.36276699319484823,0.23450566146134855,1D-CNN
S72,0.20284640214860392,0.15161572585036534,0.6455378720010309,GRU
S73,0.054345409883751264,0.3962863567604638,0.5493682333557861,GRU
S74,0.4267880790690168,0.2891650983907907,0.2840468225401925,1D-CNN
S75,0.07917648873193951,0.1948608753013725,0.725962635966688,GRU
S76,0.015019384578110953,0.3441760699501752,0.6408045454717151,GRU
S77,0.9511666416202611,0.0203127133709322,0.028520645008806723,1D-CNN
S78,0.9994862818835688,0.0001958839582980151,0.0003178341581354122,1D-CNN
S79,0.3335433671374952,0.41336365952356696,0.25309297333893604,ANN
S80,0.015366842543411705,0.9666691690617748,0.01796398839481197,ANN
S81,0.3788935935186585,0.22481882974432363,0.3962875767370166,GRU
S82,0.47259089999419346,0.4540159187763688,0.07339318122943618,1D-CNN
S83,0.35457055849181834,0.37740642156619847,0.26802301994198147,ANN
S84,0.04372509090146284,0.37941021369876354,0.5768646953997735,GRU
S85,0.17032520190028655,0.7506645015741558,0.07901029652555758,ANN
S86,0.6076269383371539,0.19096424955019461,0.20140881211265135,1D-CNN
S87,0.5618185582625205,0.34938155422760875,0.08879988750986914,1D-CNN
S88,0.6034300078845698,0.07884606006571418,0.3177239320497155,1D-CNN
S89,0.40378160638964294,0.26270939510116265,0.33350899850919385,1D-CNN
S90,0.21855112161491033,0.2331590965325241,0.5482897818525652,GRU
S91,0.15350860425014207,0.31837038689469005,0.5281210088551663,GRU
S92,0.04930446169430572,0.9288302049988462,0.021865333306847787,ANN
S93,0.3702964470086192,0.40575323778689404,0.22395031520448677,ANN
S94,0.09416262647407841,0.22084313816332352,0.6849942353625998,GRU
S95,0.292658786679643,0.06834996655551426,0.6389912467648439,GRU
S96,0.009535650449993783,0.00816773987926981,0.9822966096707363,GRU
S97,0.1395313158192949,0.7288377167478847,0.1316309674328213,ANN
S98,0.02729334922390299,0.9481166261500295,0.024590024626066048,ANN
S99,0.26351547846927054,0.6070303520664024,0.12945416946432647,ANN
S100,0.4010003706623821,0.110009659839329,0.4889899694982888,GRU
S101,0.06497405320047166,0.876888553168016,0.058137393631514565,ANN
S102,0.202655712420757,0.740161289281507,0.057182998297734294,ANN
S103,0.31562134512434725,0.500482112824599,0.18389654205105455,ANN
S104,0.02833411104768656,0.08035793502585996,0.8913079539264531,GRU
S105,0.15865857127340044,0.22396716280136184,0.617374265925237,GRU
S106,0.07068969178737977,0.0585348064509271,0.870775501761693,GRU
S107,0.2672642072553677,0.2054713716133926,0.5272644211312366,GRU
S108,0.02182899997251858,0.02336555374881665,0.9548054462786646,GRU
S109,0.8750582648148167,0.052294959916205495,0.07264677526897718,1D-CNN
S110,0.35678873112757176,0.4071644329217314,0.23604683595069945,ANN
S111,0.33517513078986405,0.2300528028806378,0.43477206632949605,GRU
S112,0.19595170752495514,0.6061556717906454,0.19789262068439992,ANN
S113,0.3921678891113861,0.16931748495580579,0.43851462593280677,GRU
S114,0.0003809937887037628,2.452661856161572e-05,0.9995944795927348,GRU
S115,0.09268968464903238,0.5536393761468849,0.3536709392040823,ANN
S116,0.19840291161104942,0.4999719954503078,0.30162509293864365,ANN
S117,0.20784594670237017,0.1499971802051676,0.6421568730924643,GRU
S118,0.9296451461647103,0.05037956995728225,0.019975283878009457,1D-CNN
S119,0.0550357724396935,0.930797093662923,0.014167133897384514,ANN
S120,0.24753927369455192,0.2490350920829896,0.5034256342224579,GRU
S121,0.9343049094371603,0.02720546005961427,0.03848963050322563,1D-CNN
S122,0.2084368978661972,0.00827725853316313,0.7832858436006418,GRU
S123,0.37247170026401394,0.49283195580399936,0.13469634393198637,ANN
S124,0.05632431226359411,0.8843594960608592,0.05931619167554748,ANN
S125,0.9998247838065691,4.044310953846419e-05,0.0001347730838924603,1D-CNN
S126,0.781587740413281,0.04124247152091452,0.17716978806580452,1D-CNN
S127,0.31465016213633296,0.3525480016829602,0.3328018361807087,ANN
S128,0.08402132847691074,0.8060592343653785,0.1099194371577091,ANN
S129,0.13609349633735598,0.4696444396947555,0.3942620639678885,ANN
S130,0.9994171666052136,0.0002316726283029764,0.0003511607664854144,1D-CNN
S131,0.5191278347075284,0.44171071464674233,0.03916145064572851,1D-CNN
S132,0.26036062559750556,0.5343870300575617,0.20525234434493153,ANN
S133,0.22068005385354061,0.2204967744111179,0.5588231717353426,GRU
S134,0.8720212613410332,0.05700243306958278,0.07097630558938509,1D-CNN
S135,0.3476060170114668,0.43917819269556957,0.21321579029296395,ANN
S136,0.1130894473572173,0.5250472680263957,0.3618632846163882,ANN
S137,0.17641493058636484,0.21939020915857627,0.6041948602550572,GRU
S138,0.008150776388977543,0.9881226832354364,0.0037265403755857253,ANN
S139,0.11048249157564312,0.10508377827687716,0.7844337301474795,GRU
S140,0.4356816476601718,0.2071040710641434,0.3572142812756839,1D-CNN
S141,0.09611346189921789,0.7963464380422046,0.1075401000585766,ANN
S142,0.09997973225796111,0.7802943315173902,0.11972593622465169,ANN
S143,0.21577819646056273,0.39194843255045086,0.39227337098898585,GRU
S144,0.18558726292865527,0.010883717371211072,0.803529019700133,GRU
S145,0.31827386178081174,0.554105995758483,0.12762014246070605,ANN
S146,0.27883941535118184,0.522739552943981,0.19842103170483655,ANN
S147,0.7820358801838577,0.09178971310112635,0.1261744067150153,1D-CNN
S148,0.20907421983539082,0.3166090187208749,0.4743167614437343,GRU
S149,0.10313267538263435,0.1190861581316008,0.7777811664857642,GRU
S150,0.11969156341215367,0.0035034827179074753,0.8768049538699358,GRU
S151,0.6987356181972778,0.17222618023948888,0.12903820156323204,1D-CNN
S152,0.008244862117032155,0.9814029107055083,0.010352227177461029,ANN
S153,0.07750881720354152,0.7348651028696024,0.18762607992685398,ANN
S154,0.022088616926636585,0.003446712308973184,0.9744646707643903,GRU
S155,0.26885232846088686,0.009544479928528953,0.7216031916105862,GRU
S156,0.5041107179814411,0.3022641993221975,0.1936250826963612,1D-CNN
S157,0.6649545225507456,0.1443800350995577,0.1906654423496959,1D-CNN
S158,0.20859849988527993,0.6788855764225405,0.11251592369217903,ANN
S159,0.022683500734827746,0.31523070540709097,0.6620857938580835,GRU
S160,0.007338811328057708,0.05943187595649973,0.9332293127154425,GRU
S161,0.004533488999636663,0.011026581519358326,0.9844399294810049,GRU
S162,0.7550208123903974,0.008009723732667418,0.23696946387693513,1D-CNN
S163,0.6311343785071774,0.3210853615271359,0.047780259965686925,1D-CNN
S164,0.4071360646740474,0.3488777263845201,0.24398620894143425,1D-CNN
S165,0.012735813206728775,0.9760020267737594,0.011262160019510864,ANN
S166,0.030419829687924872,0.06470700997549098,0.9048731603365842,GRU
S167,0.3708763319993273,0.23883062436864444,0.390293043632027,GRU
S168,0.7875480016311683,0.1185795580197953,0.09387244034903613,1D-CNN
S169,0.29308926775032335,0.4519206481550674,0.2549900840946094,ANN
S170,0.19743373091506414,0.09875538305943984,0.7038108860254961,GRU
