Segment,1D-CNN,ANN,CNN-LSTM,GRU,Selected
S1,0.10308477831867273,0.06066243256297978,0.4769188316050998,0.35933395751324776,CNN-LSTM
S2,0.3146417560089061,0.2123975442651444,0.25252978168199497,0.22043091804395445,1D-CNN
S3,0.15815858494258797,0.32867244813844476,0.3480733085093829,0.16509565840958532,CNN-LSTM
S4,0.2558876622978925,0.3897422153106315,0.2089747985015347,0.14539532388994117,ANN
S5,0.2633887775045125,0.4821941058434154,0.10717534356682293,0.14724177308524936,ANN
S6,0.14510641895035564,0.25657468633935465,0.2774586087275244,0.32086028598276534,GRU
S7,0.20556328786386485,0.1795880337873762,0.3074968139977113,0.3073518643510477,CNN-LSTM
S8,0.18626822264936452,0.3258676818313228,0.19296914534543397,0.29489495017387823,ANN
S9,0.2919134647063805,0.36570479755617674,0.11943983108067822,0.22294190665676455,ANN
S10,0.20538289534318324,0.2984542624953979,0.1424466885420374,0.3537161536193812,GRU
S11,0.3183564738506226,0.2531785512036934,0.30607650057383506,0.12238847437184898,1D-CNN
S12,0.25143400499485774,0.3389535092932417,0.274459232081415,0.1351532536304866,ANN
S13,0.19126733584097547,0.2552694947576027,0.24980748795787885,0.303655681443543,GRU
S14,0.18004007160191723,0.20931889281885088,0.30802655256064343,0.30261448301858873,CNN-LSTM
S15,0.23938126881577887,0.3014322056116993,0.2035694234019306,0.2556171021705913,ANN
S16,0.24094301500650053,0.22211960697340363,0.2078572377305245,0.3290801402895714,GRU
S17,0.13009649317731656,0.14159514497692355,0.12348341117647087,0.6048249506692885,GRU
S18,0.43226766227206304,0.22448744193287,0.2600927016080203,0.08315219418704607,1D-CNN
S19,0.37124117090634373,0.2453916210507958,0.3054729977223754,0.07789421032048534,1D-CNN
S20,0.4089929624279852,0.3389412151298914,0.15464127000612676,0.09742455243599663,1D-CNN
S21,0.4699999908045989,0.23564037431054427,0.17025409427686536,0.12410554060799148,1D-CNN
S22,0.31108618331877314,0.16761292792355328,0.2648053136419486,0.25649557511572485,1D-CNN
S23,0.0603829996742334,0.12236557274659361,0.4237109730372737,0.3935404545418993,CNN-LSTM
S24,0.051029796675888785,0.6214588879022004,0.08690694050106561,0.24060437492084483,ANN
S25,0.5195454773376992,0.21268713244676227,0.026140126404225136,0.24162726381131294,1D-CNN
S26,0.03851281369087977,0.7255747176092658,0.020286962073895125,0.21562550662595917,ANN
S27,0.48323115529436356,0.14298512650066608,0.1261422891356497,0.24764142906932135,1D-CNN
S28,0.34475419286018716,0.17581659886532233,0.3634868678923093,0.11594234038218122,CNN-LSTM
S29,0.26139161829890084,0.09024483466264649,0.5607025409308506,0.08766100610760208,CNN-LSTM
S30,0.5457968601942899,0.12476804415458201,0.2212805499441759,0.10815454570695228,1D-CNN
S31,0.24672634208626343,0.2343214317975468,0.3186557681205623,0.20029645799562723,CNN-LSTM
S32,0.2166044649156952,0.3035369632263703,0.2142491145370907,0.2656094573208437,ANN
S33,0.2682862589814894,0.16456061983530526,0.2856714655971318,0.28148165558607463,CNN-LSTM
S34,0.2645660629544896,0.16992273247454065,0.3530165322196518,0.2124946723513178,CNN-LSTM
S35,0.18454043565272557,0.30697565153880874,0.30383048086351133,0.20465343194495428,ANN
S36,0.22110999717383945,0.4067351830434144,0.17937128238632488,0.19278353739642223,ANN
S37,0.13585151979032936,0.18116835697479758,0.3798515835600568,0.3031285396748163,CNN-LSTM
S38,0.3104468005854443,0.33893142356458655,0.16221512013883033,0.18840665571113965,ANN
S39,0.2725986799980042,0.2968659342122029,0.19383917155886565,0.2366962142309268,ANN
S40,0.24924166957845495,0.2842507020621081,0.18352122309120578,0.28298640526823127,ANN
S41,0.27626912827759287,0.23173992572753385,0.26742896378189956,0.22456198221297224,1D-CNN
S42,0.27790783972813365,0.2518593465276787,0.2597140042221097,0.21051880952207772,1D-CNN
S43,0.2651578043562985,0.26493549661098137,0.2548669201087581,0.2150397789239613,1D-CNN
S44,0.30670609917816866,0.17946134865924007,0.23317756636033093,0.2806549858022601,1D-CNN
S45,0.0567953869174293,0.05409223227311821,0.627732198588948,0.2613801822205037,CNN-LSTM
S46,0.37535415961638374,0.4578486937343788,0.05552408847538674,0.1112730581738516,ANN
S47,0.030152829059927933,0.3508325471562564,0.36519359177704125,0.25382103200677436,CNN-LSTM
S48,0.30404841950551015,0.1916258517594428,0.2645209376054463,0.23980479112959935,1D-CNN
S49,0.1463549262373064,0.12742219599665147,0.33149811792876105,0.394724759837281,GRU
S50,0.3552655405127159,0.21340173252545244,0.09514245584298973,0.3361902711188418,1D-CNN
S51,0.3196673806824901,0.2533416538627013,0.13382773540749268,0.293163230047316,1D-CNN
S52,0.3577344581633244,0.287574511438864,0.21667047472757614,0.13802055567023536,1D-CNN
S53,0.3535914432114461,0.25588246930195097,0.2245429782846658,0.16598310920193718,1D-CNN
S54,0.5223423580982057,0.32420544715872585,0.08175429579635694,0.0716978989467112,1D-CNN
S55,0.5953179017942809,0.3731674153670171,0.012535887309556619,0.018978795529145148,1D-CNN
S56,0.611964171704526,0.35241531591071557,0.014294569979091478,0.021325942405666636,1D-CNN
S57,0.19547278945274166,0.19806839898413822,0.280630853323857,0.3258279582392624,GRU
S58,0.19899181183458656,0.3550021435694459,0.23126819474323046,0.21473784985273686,ANN
S59,0.13478835334459296,0.1467295979970579,0.40393656847728154,0.3145454801810671,CNN-LSTM
S60,0.2952303829238128,0.20562173176630305,0.2521658720285852,0.24698201328129812,1D-CNN
S61,0.4002972718565067,0.3406394431267399,0.10306957243329413,0.15599371258345912,1D-CNN
S62,0.5375485275826185,0.1820115814304505,0.09351187774390128,0.18692801324302974,1D-CNN
S63,0.3124821933750712,0.25723759139905916,0.12781198688860404,0.30246822833726633,1D-CNN
S64,0.14399504253303252,0.056629960588771226,0.732768491829957,0.06660650504823859,CNN-LSTM
S65,0.22859133983055185,0.11347482348505857,0.28026909863013527,0.3776647380542542,GRU
S66,0.1413723617564618,0.1653582898593882,0.28080818676036406,0.41246116162378604,GRU
S67,0.24310642542203353,0.2275903655537484,0.24483380990006,0.28446939912415814,GRU
S68,0.10449620757050254,0.1711239775501567,0.12957971830030515,0.5948000965790358,GRU
S69,0.28680363978786927,0.3125524217343254,0.22912411034101793,0.17151982813678837,ANN
S70,0.2952481303535369,0.3150493065766691,0.23070217792580092,0.15900038514399323,ANN
S71,0.2878101692615041,0.3042600703949905,0.2336482687618339,0.1742814915816716,ANN
S72,0.10867531955378508,0.8399275860274471,0.0200573133395154,0.03133978107925261,ANN
S73,0.023457972848895066,0.04621170194845707,0.13257165761941098,0.7977586675832369,GRU
S74,0.12428621781048105,0.2771194510301651,0.2553791256353833,0.34321520552397067,GRU
S75,0.07451612181958754,0.08547354621445286,0.5595812643811577,0.280429067584802,CNN-LSTM
S76,0.18387122212496546,0.302630560388887,0.2631472517680206,0.2503509657181263,ANN
S77,0.23945267137717693,0.08804102255834308,0.3245313149450106,0.34797499111946956,GRU
S78,0.27537066026088286,0.22836636855575884,0.2277998976679096,0.26846307351544785,1D-CNN
S79,0.155733916688491,0.21874079714213257,0.3943194505248921,0.2312058356444844,CNN-LSTM
S80,0.18666687655808994,0.3774566187605517,0.24492454405327715,0.19095196062808112,ANN
S81,0.2561044343362311,0.12274326806089131,0.3039002096750805,0.31725208792779686,GRU
S82,0.23914225358716826,0.24198272347237523,0.26321361461487974,0.2556614083255763,CNN-LSTM
S83,0.18577859558155013,0.22869056288515427,0.34150253978130535,0.24402830175198986,CNN-LSTM
S84,0.1876966241995399,0.4393519498874028,0.17379655811120598,0.19915486780185127,ANN
S85,0.07236620438637224,0.035675774278880835,0.5957577405247648,0.29620028080998223,CNN-LSTM
S86,0.5549026801223298,0.1869528754621996,0.1368436371035262,0.12130080731194379,1D-CNN
S87,0.5616219049655379,0.33705853877237163,0.03527949335638897,0.06604006290570166,1D-CNN
S88,0.7804320874945553,0.0784419806747897,0.02899040336926826,0.11213552846138676,1D-CNN
S89,0.379193361510144,0.1777103506664135,0.15090829223319274,0.29218799559024977,1D-CNN
S90,0.16143419587389005,0.2737413733738066,0.157915207657,0.40690922309530364,GRU
S91,0.20344679879371746,0.18864252420382532,0.2701447530087143,0.3377659239937422,GRU
S92,0.3312100053781382,0.2866420056239095,0.23012997562144577,0.1520180133765065,1D-CNN
S93,0.2563377235693167,0.32044667834179186,0.24142891086693927,0.181786687221952,ANN
S94,0.28798362165136504,0.477753108239615,0.11225339012256125,0.12200987998645851,ANN
S95,0.49477681052698047,0.23940244068112512,0.08889749338572532,0.17692325540616907,1D-CNN
S96,0.14525590225691098,0.10105988504072504,0.40400234168680016,0.3496818710155638,CNN-LSTM
S97,0.18685994378697457,0.11244792616826736,0.40415520820545764,0.29653692183930064,CNN-LSTM
S98,0.25401922582775033,0.4233234730357798,0.14892485323603002,0.17373244790044004,ANN
S99,0.22395916060570362,0.6778172036906964,0.02424343077643225,0.07398020492716773,ANN
S100,0.8392974513402046,0.030796977787737455,0.02366979945007502,0.10623577142198294,1D-CNN
S101,0.26349221278757967,0.22780528239395081,0.22008782594899828,0.288614678869471,GRU
S102,0.25962808704437557,0.37779624431432113,0.26806716127562097,0.09450850736568171,ANN
S103,0.25581302939686024,0.4433508962369181,0.19604204916554382,0.10479402520067799,ANN
S104,0.0052542290680828736,0.006131372483479768,0.42114228109504565,0.5674721173533918,GRU
S105,0.07760615485041844,0.10854457143790411,0.27655627063116756,0.53729300308051,GRU
S106,0.06280885581205857,0.02898030883371992,0.22908235300009028,0.6791284823541313,GRU
S107,0.03263217788052135,0.05129190844490794,0.2080855604927067,0.707990353181864,GRU
S108,0.04934538827954506,0.1091070246346716,0.098954377879241,0.742593209206542,GRU
S109,0.4912147232843575,0.13155656689482245,0.30670241283739486,0.07052629698342491,1D-CNN
S110,0.23311246655641987,0.29248160787605315,0.3425614390611159,0.13184448650641128,CNN-LSTM
S111,0.2716153093603611,0.2758614725734303,0.22816810134675544,0.22435511671945413,ANN
S112,0.11224644747350604,0.3767066290104306,0.2424261965752838,0.2686207269407793,ANN
S113,0.2671237067873423,0.0910196822760212,0.4101913207469141,0.2316652901897221,CNN-LSTM
S114,0.002110023452138785,0.0013520520659776305,0.0033124661026802163,0.9932254583792033,GRU
S115,0.050950728056887724,0.4424369859523677,0.11220844565356888,0.39440384033717546,ANN
S116,0.18649705402866218,0.31801688943108486,0.17576787293774357,0.31971818360250837,GRU
S117,0.18474418111617177,0.2598273979198404,0.17382104949693766,0.3816073714670508,GRU
S118,0.25630731906622506,0.26861601893920195,0.16902086641464453,0.3060557955799296,GRU
S119,0.33301853159551675,0.09444633524064401,0.4846539029838165,0.08788123018002285,CNN-LSTM
S120,0.25293386386750855,0.28927096845500766,0.33198166951336594,0.12581349816411772,CNN-LSTM
S121,0.5503012911496903,0.27937901464606435,0.1037370915935647,0.0665826026106804,1D-CNN
S122,0.35564501526632203,0.21034309194129922,0.2552252045482663,0.17878668824411223,1D-CNN
S123,0.3023066846712581,0.338476269736246,0.21115896567385334,0.14805807991864287,ANN
S124,0.2989204118465912,0.24278043825391485,0.24367723317307075,0.2146219167264231,1D-CNN
S125,0.26839707477852665,0.11414495798242705,0.24786220236741294,0.3695957648716327,GRU
S126,0.34694698055400336,0.12725622249768398,0.3054070791513322,0.22038971779698016,1D-CNN
S127,0.14110151879954608,0.18140123106896916,0.47609655211682333,0.20140069801466146,CNN-LSTM
S128,0.24061071564363393,0.24203963162951167,0.25580422172816736,0.2615454309986862,GRU
S129,0.22319000768537345,0.2285455922149724,0.2709064083494124,0.27735799175024156,GRU
S130,0.3288878296645176,0.39411115995546214,0.10957486361986894,0.16742614676015147,ANN
S131,0.34090863015966244,0.1458607741076306,0.26335699539302027,0.2498736003396869,1D-CNN
S132,0.09316335943912617,0.4135215949510663,0.3821805218369907,0.11113452377281678,ANN
S133,0.29810223350168247,0.3873389203530616,0.19594946657516557,0.11860937957009018,ANN
S134,0.4445286128091963,0.3571048597688893,0.10367161246089712,0.09469491496101722,1D-CNN
S135,0.25901436261284577,0.3218832107141921,0.23428173124296095,0.18482069543000074,ANN
S136,0.1841236664874191,0.21266631785451556,0.28697927830216047,0.3162307373559047,GRU
S137,0.09555281310611036,0.11685032810670475,0.4033853710919708,0.3842114876952142,CNN-LSTM
S138,0.23981271072540025,0.5414782521588325,0.07158557704230434,0.14712346007346308,ANN
S139,0.12292154036462578,0.16912639704901197,0.5598899320047136,0.14806213058164922,CNN-LSTM
S140,0.2778884233907926,0.09457789423575365,0.3412812755638717,0.28625240680958275,CNN-LSTM
S141,0.22924815083167543,0.3077068183910221,0.19580700432887307,0.2672380264484295,ANN
S142,0.26555196429878253,0.2126279058901408,0.24647863532017839,0.27534149449089795,GRU
S143,0.17816755725908043,0.44578683357542476,0.13095693098758662,0.2450886781779091,ANN
S144,0.34429033898635997,0.22081551562459378,0.16095429297924382,0.27393985240980234,1D-CNN
S145,0.32718145219809636,0.23729029628025816,0.2848624642047134,0.15066578731693164,1D-CNN
S146,0.21373345137739924,0.3602960157793735,0.3124147378475779,0.11355579499564936,ANN
S147,0.8032302430831353,0.02130963646861071,0.08530073078309713,0.09015938966515684,1D-CNN
S148,0.12348962714065928,0.20964622872411914,0.3736917470369514,0.2931723970982699,CNN-LSTM
S149,0.06069000110116938,0.06758779241670364,0.07043392683735475,0.8012882796447721,GRU
S150,0.11277419495259114,0.14094781697185627,0.37907318765597414,0.36720480041957876,CNN-LSTM
S151,0.27886610679270657,0.15715090102574203,0.48656224104844803,0.07742075113310289,CNN-LSTM
S152,0.12576908550417504,0.37074879728328114,0.2795691006587623,0.2239130165537816,ANN
S153,0.1585920442976959,0.14801845473809766,0.2703439867272739,0.4230455142369335,GRU
S154,0.17883392120885308,0.28868424664424325,0.1972734570743369,0.3352083750725663,GRU
S155,0.3500740322921482,0.18765609549748716,0.1858600668296936,0.2764098053806706,1D-CNN
S156,0.23353282304891074,0.17878035928630898,0.38226642684092926,0.20542039082385094,CNN-LSTM
S157,0.30121990989443154,0.20422529425324742,0.3078087712136719,0.18674602463864812,CNN-LSTM
S158,0.20279218249982403,0.581752995629424,0.11046389773850845,0.10499092413224322,ANN
S159,0.21735531150361492,0.48917962168941964,0.12663311919302672,0.1668319476139387,ANN
S160,0.1368871752325134,0.16464430555344725,0.39354720389357484,0.3049213153204634,CNN-LSTM
S161,0.2512885864434785,0.3397157306963494,0.18681571408202252,0.2221799687781497,ANN
S162,0.35352206086599475,0.3279088137631719,0.10402762563619866,0.21454149973463457,1D-CNN
S163,0.2803762576643521,0.19052835452543168,0.31043510683098546,0.21866028097923157,CNN-LSTM
S164,0.21313708973096876,0.2490095315203417,0.36123079235633343,0.17662258639235706,CNN-LSTM
S165,0.15959674043926914,0.6310205875842817,0.11215303503720234,0.09722963693924586,ANN
S166,0.07262749569245984,0.07205206415783277,0.4492394048605265,0.4060810352891807,CNN-LSTM
S167,0.2424357767300911,0.23687448444292553,0.22712150505073792,0.2935682337762458,GRU
S168,0.21673990787997047,0.228423835224315,0.2970691609959399,0.2577670958997753,CNN-LSTM
S169,0.2659578787927999,0.1455871026786374,0.4096038162291514,0.1788512022994108,CNN-LSTM
S170,0.31615387644850046,0.08820293745037057,0.2638130941143708,0.33183009198675756,GRU
S171,0.4053491311997236,0.15595534702386518,0.22659440910705847,0.2121011126693537,1D-CNN
S172,0.10838846536713005,0.16312402212380017,0.4995929861904044,0.22889452631866508,CNN-LSTM
S173,0.009345859702233556,0.9530414291794403,0.01981684423249169,0.017795866885834215,ANN
S174,0.37975797040766857,0.48816022568095774,0.06163367224053836,0.07044813167083534,ANN
S175,0.1108324401796993,0.3071698764107105,0.36431438188199666,0.21768330152759358,CNN-LSTM
S176,0.1602197599268414,0.2654573616442386,0.28240986668727097,0.2919130117416487,GRU
S177,0.21664822637875686,0.17724952571621908,0.3001762764288452,0.30592597147617784,GRU
S178,0.2377484224408969,0.3423433320520609,0.16429973755948327,0.25560850794755885,ANN
S179,0.47933458983545024,0.18283697289477968,0.1160818249508363,0.2217466123189333,1D-CNN
S180,0.5226901903434958,0.05492263645228358,0.3339229472611295,0.08846422594309054,1D-CNN
S181,0.1186438914820052,0.38657137365933786,0.3474663459657479,0.14731838889290905,ANN
S182,0.24417355041039246,0.262513834021376,0.2720130621813417,0.2212995533868896,CNN-LSTM
S183,0.11257165280196489,0.0724223619905968,0.35654304594378095,0.45846293926365644,GRU
S184,0.20223566746522037,0.06620603136823575,0.1277810383979313,0.6037772627686125,GRU
S185,0.18395695932702835,0.022623252430920063,0.31997213679076153,0.4734476514512902,GRU
S186,0.17806427485429926,0.17145986208512237,0.2704096849525195,0.38006617810805904,GRU
S187,0.19087558004294225,0.15960720086538904,0.22713418217187567,0.4223830369197924,GRU
S188,0.21909371876621,0.171561017970815,0.22498467103871317,0.3843605922242621,GRU
S189,0.2665820120391724,0.05723310437081451,0.6064182051860451,0.06976667840396784,CNN-LSTM
S190,0.20149748955822147,0.3832501731733571,0.2650550545151806,0.15019728275324115,ANN
S191,0.37611898725187687,0.1682991590711733,0.28677653744338266,0.16880531623356673,1D-CNN
S192,0.23867770549349612,0.4605789256415121,0.16173991317558378,0.13900345568940792,ANN
S193,0.0861795474171591,0.10784258869268032,0.3981420420490583,0.407835821841102,GRU
S194,0.21597008762304987,0.2835529721494789,0.22720649404623458,0.27327044618123575,ANN
S195,0.26338383098246515,0.369494056327317,0.13420603393045694,0.23291607875976178,ANN
S196,0.1170105144327387,0.5949940721657021,0.06204137099952613,0.225954042402033,ANN
S197,0.18059391239129963,0.3216367340284354,0.12921045055398692,0.368558903026278,GRU
S198,0.20849457349190093,0.18376062321820041,0.13153979056468182,0.4762050127252169,GRU
S199,0.25899346026572384,0.19435203804821022,0.19303827592706865,0.35361622575899726,GRU
S200,0.35826347250665963,0.0985838883859113,0.4477406443204119,0.09541199478701695,CNN-LSTM
S201,0.22801010672281624,0.40911092588107933,0.23399711906589982,0.12888184833020444,ANN
S202,0.19931052401154453,0.2549138646930112,0.2453543424025592,0.30042126889288523,GRU
S203,0.13500700950831826,0.1417673074649427,0.33821534449847823,0.3850103385282606,GRU
S204,0.17959600280165672,0.3150323633750032,0.1672374493810717,0.33813418444226856,GRU
S205,0.3817445417954358,0.23617794631637234,0.17957262355038683,0.20250488833780494,1D-CNN
S206,0.2795635253445769,0.25858094214883126,0.32536501148875774,0.136490521017834,CNN-LSTM
S207,0.2760887647484161,0.2927444634566693,0.28103944294518207,0.15012732884973362,ANN
S208,0.17300218347532018,0.2528904892082762,0.2600088567456702,0.3140984705707329,GRU
S209,0.15460719772929213,0.2019785828869567,0.32157250725710246,0.32184171212664886,GRU
S210,0.3006716059488005,0.3739057075193345,0.11467267500002758,0.21075001153183728,ANN
S211,0.173609225891576,0.05307050881842692,0.693611684608348,0.07970858068164897,CNN-LSTM
S212,0.15521431105936928,0.5269493916246997,0.23391294985794017,0.08392334745799104,ANN
S213,0.03372312526241482,0.0306502373116428,0.2852842083107434,0.6503424291151991,GRU
S214,0.8300738482370263,0.04323666146252614,0.08845287326424892,0.038236617036198566,1D-CNN
S215,0.2808792293479531,0.12041573369221904,0.5121218200061423,0.08658321695368497,CNN-LSTM
S216,0.1906649801111393,0.3966799715253904,0.234184845380399,0.17847020298307142,ANN
S217,0.18258807032660546,0.38058159362637334,0.17911663531241395,0.2577137007346074,ANN
S218,0.15065897013047666,0.2672207390301067,0.24030349501382225,0.34181679582559465,GRU
