Segment,1D-CNN,ANN,BiLSTM,LSTM,CNN-LSTM,GRU,Selected
S1,0.0,0.18439978498215462,0.2138794928524204,0.0,0.0,0.6017207221654263,GRU
S2,0.30252107777220194,0.292697137711667,0.40478178451613084,0.0,0.0,0.0,BiLSTM
S3,0.0,0.0,0.38861166082950777,0.3397773978232188,0.0,0.27161094134727254,BiLSTM
S4,0.0,0.0,0.6742478015593535,0.1423930776150633,0.18335912082558192,0.0,BiLSTM
S5,0.0,0.0,0.4610983268137639,0.3241808320634128,0.0,0.21472084112282175,BiLSTM
S6,0.0,0.2863230442828624,0.4371134197642102,0.0,0.2765635359529273,0.0,BiLSTM
S7,0.0,0.5201667116154591,0.0,0.24385388001656533,0.0,0.23597940836797632,ANN
S8,0.20153869209734826,0.49453297407521557,0.0,0.30392833382743617,0.0,0.0,ANN
S9,0.46432603504816417,0.3320832673243296,0.0,0.0,0.0,0.20359069762750756,1D-CNN
S10,0.37427159399395954,0.4228091014397308,0.0,0.0,0.0,0.2029193045663092,ANN
S11,0.4126948213124949,0.292984267667967,0.0,0.29432091101953695,0.0,0.0,1D-CNN
S12,0.3552991952900517,0.3473671017537102,0.29733370295623746,0.0,0.0,0.0,1D-CNN
S13,0.34663703514940725,0.0,0.2590351131568535,0.0,0.0,0.39432785169373935,GRU
S14,0.36011448864905005,0.3657478560588203,0.0,0.0,0.2741376552921296,0.0,ANN
S15,0.0,0.4520577883771397,0.0,0.0,0.2562903266265912,0.2916518849962709,ANN
S16,0.3636944237000491,0.27404721035913787,0.0,0.0,0.36225836594081195,0.0,1D-CNN
S17,0.0,0.3142164319748701,0.0,0.0,0.20355460954917312,0.482228958475956,GRU
S18,0.3163920837327451,0.428081324943843,0.0,0.0,0.0,0.2555265913234118,ANN
S19,0.2613035914336944,0.22153337565720047,0.0,0.0,0.0,0.5171630329091046,GRU
S20,0.3957572918383594,0.39729551837631555,0.0,0.0,0.0,0.2069471897853247,ANN
S21,0.19377547029818157,0.30796092477645826,0.0,0.0,0.0,0.4982636049253601,GRU
S22,0.387733730347107,0.4986299731530756,0.0,0.0,0.0,0.11363629649981702,ANN
S23,0.45120919806242915,0.435998504496461,0.0,0.0,0.0,0.11279229744111037,1D-CNN
S24,0.15278971305469355,0.7294690099149015,0.0,0.0,0.0,0.11774127703040674,ANN
S25,0.5931195686055485,0.24359526763901557,0.0,0.0,0.0,0.1632851637554346,1D-CNN
S26,0.36666706295008705,0.27377720113357185,0.0,0.0,0.35955573591633977,0.0,1D-CNN
S27,0.2889018632130157,0.36194413957221294,0.0,0.0,0.0,0.34915399721476903,ANN
S28,0.27935415616267445,0.5397807791338348,0.0,0.18086506470349045,0.0,0.0,ANN
S29,0.4412328311202525,0.3002530231793533,0.0,0.0,0.0,0.2585141457003933,1D-CNN
S30,0.25283411482453677,0.5905707867637752,0.15659509841168878,0.0,0.0,0.0,ANN
S31,0.33247889663131647,0.3213761262887696,0.0,0.3461449770799137,0.0,0.0,LSTM
S32,0.21808398109505409,0.7137390762489001,0.06817694265604465,0.0,0.0,0.0,ANN
S33,0.24349152780537092,0.6188737127840107,0.0,0.0,0.0,0.13763475941061815,ANN
S34,0.1828167704590638,0.7292572918165082,0.0,0.08792593772442801,0.0,0.0,ANN
S35,0.36307370151954876,0.4052990022999179,0.0,0.0,0.0,0.23162729618053332,ANN
S36,0.5696924498450876,0.31193119199121633,0.0,0.11837635816369739,0.0,0.0,1D-CNN
S37,0.5812478449855614,0.25108463500815653,0.0,0.0,0.0,0.16766752000628393,1D-CNN
S38,0.3289821355796439,0.5570423737374381,0.0,0.0,0.0,0.1139754906829178,ANN
S39,0.32624302069906597,0.5118662217780466,0.0,0.0,0.0,0.16189075752288667,ANN
S40,0.4825642461747546,0.34777521886438895,0.0,0.0,0.16966053496085695,0.0,1D-CNN
S41,0.1841627895533981,0.6261245753084977,0.0,0.0,0.0,0.18971263513810416,ANN
S42,0.322429017577843,0.4098764849292091,0.0,0.0,0.0,0.2676944974929467,ANN
S43,0.3888983778675122,0.2115075254330809,0.0,0.0,0.39959409669940704,0.0,CNN-LSTM
S44,0.1337383677294553,0.1881722280455674,0.0,0.0,0.0,0.6780894042249773,GRU
S45,0.2915454467898688,0.41522499708599203,0.0,0.0,0.0,0.2932295561241391,ANN
S46,0.3966913108382184,0.21658008284121022,0.0,0.0,0.0,0.3867286063205709,1D-CNN
S47,0.30646416318368713,0.40581679292787787,0.0,0.0,0.28771904388843506,0.0,ANN
