Segment,1D-CNN,ANN,GRU,Selected
S1,0.29864572551567503,0.2580422711799903,0.4433120033043339,GRU
S2,0.31532252200107097,0.26200685190882433,0.42267062609010625,GRU
S3,0.30192612741064784,0.2284100578706947,0.4696638147186573,GRU
S4,0.2861271561669683,0.30132318386192636,0.41254965997110526,GRU
S5,0.2770411179737408,0.2750634801908524,0.44789540183540755,GRU
S6,0.31467605605104626,0.32410821715342414,0.36121572679552943,GRU
S7,0.259177820025003,0.3632006087456152,0.3776215712293818,GRU
S8,0.32659698191364855,0.4273905596467263,0.24601245843962397,ANN
S9,0.33848888208355526,0.39896440640754033,0.2625467115089031,ANN
S10,0.7442238459148045,0.12515431408967276,0.1306218399955233,1D-CNN
S11,0.6793822110522008,0.17045092258630026,0.15016686636149876,1D-CNN
S12,0.46601690560071213,0.3438257885982237,0.19015730580106482,1D-CNN
S13,0.5529753035591538,0.23259759075012465,0.2144271056907208,1D-CNN
S14,0.41754065907915444,0.4157473705310847,0.1667119703897606,1D-CNN
S15,0.2737896308178462,0.5325690522561464,0.19364131692600645,ANN
S16,0.30888342109963013,0.3984150890888346,0.2927014898115355,ANN
S17,0.22604974508304293,0.41477429827487533,0.3591759566420807,ANN
S18,0.1860563218270854,0.40182092022850857,0.4121227579444056,GRU
S19,0.23601410390341598,0.20742325649275645,0.5565626396038278,GRU
S20,0.22826578499613595,0.37042478837895393,0.40130942662491,GRU
S21,0.2722937187888033,0.13665008362484382,0.5910561975863525,GRU
S22,0.4325482394746704,0.4024178553408923,0.1650339051844373,1D-CNN
S23,0.42352586450499746,0.48479320650924834,0.09168092898575524,ANN
S24,0.2068996186040591,0.7073897611855454,0.08571062021039531,ANN
S25,0.5576280250187841,0.3023716275391364,0.1400003474420789,1D-CNN
S26,0.5175120439987393,0.381816615092123,0.10067134090913742,1D-CNN
S27,0.3382574254635516,0.42424585212260735,0.2374967224138397,ANN
S28,0.3213158378121575,0.5381640110209209,0.1405201511669212,ANN
S29,0.4240241248200008,0.3818261974154764,0.19414967776452213,1D-CNN
S30,0.29179052732963806,0.6291608878354817,0.07904858483487975,ANN
S31,0.4257790372883691,0.47618822032599395,0.09803274238563657,ANN
S32,0.32944964978659197,0.6200171098843051,0.05053324032910191,ANN
S33,0.33849663854543516,0.5794256003173619,0.08207776113720172,ANN
S34,0.36908485476021397,0.5835458427061991,0.04736930253358718,ANN
S35,0.3747640755295874,0.5338954330262541,0.09134049144415923,ANN
S36,0.5957880125422674,0.34815255451037286,0.05605943294735971,1D-CNN
S37,0.4828751749713546,0.44233479196068964,0.07479003306795752,1D-CNN
S38,0.34123562916988487,0.5962934133664397,0.06247095746367582,ANN
S39,0.3493394830370586,0.5383449674290526,0.11231554953388821,ANN
S40,0.43170259826843205,0.45131032135858895,0.1169870803729771,ANN
S41,0.27055559282177377,0.5466843011869951,0.1827601059912316,ANN
S42,0.3529413837689506,0.38409202846402707,0.2629665877670201,ANN
S43,0.42722276959778327,0.26846183298786275,0.30431539741435215,1D-CNN
S44,0.23353109216268175,0.25463247623904856,0.5118364315982694,GRU
S45,0.301254889807431,0.28224144831730824,0.4165036618752603,GRU
S46,0.3144327582073832,0.23834373320972235,0.44722350858289245,GRU
S47,0.2771742440296848,0.30857750219758784,0.41424825377272684,GRU
S48,0.2630262919336063,0.23977375095170775,0.4971999571146877,GRU
S49,0.28634376318706783,0.2378930179742958,0.47576321883863626,GRU
S50,0.2571134260717589,0.2533090380749225,0.4895775358533186,GRU
S51,0.2591255756913638,0.3029225976077119,0.4379518267009251,GRU
S52,0.3028812978849222,0.2954102447852263,0.40170845732985283,GRU
S53,0.26158366632990354,0.3512609410224892,0.3871553926476086,GRU
S54,0.28461104355140027,0.4103925248427696,0.30499643160582934,ANN
S55,0.2594942879916832,0.47271754730789234,0.267788164700424,ANN
S56,0.25192374426862557,0.5000964984779578,0.2479797572534174,ANN
S57,0.32030100566092357,0.4213810014717278,0.25831799286734786,ANN
S58,0.5478210829509159,0.24529982447506524,0.20687909257401804,1D-CNN
S59,0.6615560461745332,0.14310783752952538,0.19533611629594097,1D-CNN
S60,0.6256532749715563,0.16631136240656896,0.20803536262187466,1D-CNN
S61,0.3854584381267602,0.3027725810698186,0.3117689808034203,1D-CNN
S62,0.24839182060402482,0.5825012367919179,0.16910694260405693,ANN
S63,0.2549578710042225,0.5839313537901912,0.16111077520558645,ANN
S64,0.13710456052793227,0.7527471915264099,0.11014824794565772,ANN
S65,0.21737560805165573,0.4780992176594133,0.3045251742889308,ANN
S66,0.3559286508757886,0.3400394177338645,0.3040319313903496,1D-CNN
S67,0.27799796379832875,0.308995281246525,0.4130067549551455,GRU
S68,0.33593126068312124,0.26774875127421677,0.396319988042664,GRU
S69,0.2794274442457023,0.21781094473909793,0.5027616110152004,GRU
S70,0.23492670640611565,0.32685964681093044,0.4382136467829535,GRU
S71,0.26050786809285553,0.3945344785388617,0.3449576533682826,ANN
S72,0.2135114732897209,0.3795446760172415,0.40694385069303757,GRU
S73,0.211873528293529,0.3016110395768775,0.48651543212959275,GRU
S74,0.4306794901230691,0.3579526789994718,0.21136783087745883,1D-CNN
S75,0.4379400162774689,0.32227468845171586,0.23978529527081502,1D-CNN
S76,0.42018547933577144,0.31059315541512694,0.2692213652491035,1D-CNN
S77,0.4636605668744338,0.35241925389139755,0.18392017923416853,1D-CNN
S78,0.4109477138242273,0.32465658851497364,0.26439569766080123,1D-CNN
S79,0.4446947412136256,0.3755363776917309,0.17976888109464398,1D-CNN
S80,0.38905971062754696,0.3706773530724482,0.24026293630000492,1D-CNN
S81,0.37792377576595204,0.24152120626458132,0.3805550179694661,GRU
S82,0.4232644014483314,0.2796348367863504,0.29710076176531836,1D-CNN
S83,0.5508431450767255,0.299207257121304,0.14994959780197123,1D-CNN
S84,0.564826414365595,0.21769335281904856,0.21748023281535717,1D-CNN
S85,0.7211655795699464,0.14184886624429782,0.13698555418575584,1D-CNN
S86,0.4239995350961859,0.4428819613589189,0.13311850354489463,ANN
S87,0.3901099850139354,0.4775505382043221,0.13233947678174196,ANN
S88,0.5103764039448414,0.4028655635944095,0.0867580324607522,1D-CNN
S89,0.3529164022476722,0.406881961675943,0.24020163607638442,ANN
S90,0.39577168856421,0.32720273527881394,0.277025576156975,1D-CNN
S91,0.4574216110204669,0.40640664220612155,0.13617174677341326,1D-CNN
S92,0.38818664697759364,0.4198337365981581,0.1919796164242508,ANN
S93,0.47894423700335814,0.3135732155993711,0.20748254739727084,1D-CNN
S94,0.3914681373602207,0.4166379454031595,0.1918939172366183,ANN
S95,0.5370633833414304,0.3456521243888527,0.11728449226971696,1D-CNN
S96,0.49172957279504775,0.37436070751236533,0.13390971969258705,1D-CNN
S97,0.36862328783199666,0.5068444665861852,0.12453224558181648,ANN
S98,0.4970653959856236,0.3836833785060166,0.11925122550835898,1D-CNN
S99,0.47979143548384007,0.37692853162066886,0.14328003289549102,1D-CNN
S100,0.39804362550861533,0.49273855602264427,0.10921781846874118,ANN
S101,0.3761633483387088,0.4363275178122907,0.18750913384900006,ANN
S102,0.3464875073637838,0.3842860095927638,0.2692264830434525,ANN
S103,0.401494145220975,0.35234458621158016,0.2461612685674447,1D-CNN
S104,0.4297105903325212,0.4122669125255259,0.1580224971419543,1D-CNN
S105,0.40641279906250394,0.41543928552671155,0.1781479154107852,ANN
S106,0.4929202392390684,0.35357586008356773,0.15350390067736322,1D-CNN
S107,0.3060950896119586,0.4906119977330295,0.20329291265501087,ANN
S108,0.42146040404881147,0.43582392547620935,0.14271567047497982,ANN
S109,0.4092163431684932,0.4261525853126542,0.16463107151885045,ANN
S110,0.38620986341393293,0.45092864702191787,0.1628614895641488,ANN
S111,0.4768580799029617,0.37568965456163966,0.14745226553539847,1D-CNN
S112,0.30679655066615386,0.5457646415131553,0.14743880782069013,ANN
S113,0.255064334230086,0.6002428007653775,0.14469286500453665,ANN
S114,0.3550254842846984,0.4645011204474597,0.18047339526784162,ANN
S115,0.31084140419115003,0.5365369104925537,0.15262168531629408,ANN
S116,0.29830520760444434,0.4543717759197067,0.24732301647584887,ANN
S117,0.4351396871238606,0.38868075641228406,0.17617955646385475,1D-CNN
S118,0.35463631726878686,0.2965088035291416,0.34885487920207,1D-CNN
S119,0.4581714854713088,0.36652233842258924,0.175306176106104,1D-CNN
S120,0.37213354206506444,0.32502216070900547,0.3028442972259301,1D-CNN
S121,0.33232850490702787,0.3920389773712798,0.2756325177216899,ANN
S122,0.29283588596006394,0.27180163075617747,0.43536248328375854,GRU
S123,0.3743221274696431,0.3286368732182578,0.29704099931209826,1D-CNN
S124,0.3246669654959692,0.31046861161440925,0.36486442288962134,GRU
S125,0.3142214656440189,0.3539288379645463,0.3318496963914348,ANN
S126,0.373033022173321,0.2708542369686508,0.3561127408580294,1D-CNN
S127,0.3012679059896128,0.43571584571626726,0.26301624829412074,ANN
S128,0.23907504596892523,0.581824340014744,0.17910061401633154,ANN
S129,0.29292453911951066,0.5017774689545927,0.2052979919258964,ANN
S130,0.46889879792991884,0.3674330557059246,0.16366814636415614,1D-CNN
S131,0.6166671896617385,0.28260276580496735,0.10073004453329298,1D-CNN
S132,0.5901877235956616,0.301519109547318,0.10829316685702008,1D-CNN
S133,0.31011199622438756,0.5538619231703122,0.13602608060530097,ANN
S134,0.28727459216464074,0.6015382934653882,0.11118711436997093,ANN
S135,0.25372733207716014,0.6409309593966721,0.10534170852616714,ANN
S136,0.2966583890227427,0.5764111184588945,0.12693049251836258,ANN
S137,0.31517919035521147,0.5096091728156266,0.17521163682916208,ANN
S138,0.38816896107627363,0.41969677296752783,0.1921342659561973,ANN
S139,0.40117616282569774,0.4360889900495056,0.1627348471247971,ANN
S140,0.42090134834815796,0.43584391849318865,0.14325473315865325,ANN
S141,0.23742840608549196,0.6121817055960556,0.15038988831845254,ANN
S142,0.18675650859830878,0.7030160011616836,0.11022749024000743,ANN
S143,0.5834976514047272,0.3625844212561645,0.05391792733911006,1D-CNN
S144,0.24811097118373168,0.6212829389797784,0.13060608983649105,ANN
S145,0.26951823689394466,0.5158586680025602,0.21462309510349575,ANN
S146,0.3754949895696851,0.40258815756895777,0.2219168528613568,ANN
S147,0.4304466286335959,0.4006190112878207,0.16893436007858523,1D-CNN
S148,0.3084217519153105,0.5584062556286028,0.13317199245608533,ANN
S149,0.3248254162656203,0.5420048480130469,0.13316973572133275,ANN
S150,0.3987591432956269,0.49822277376598695,0.10301808293838594,ANN
S151,0.40325912666713865,0.5039779352057799,0.09276293812708379,ANN
S152,0.40232179711739463,0.5265676909190627,0.07111051196354243,ANN
S153,0.46287258582342183,0.44954535742657253,0.08758205675000627,1D-CNN
S154,0.5419279059343668,0.38295733247763075,0.07511476158800325,1D-CNN
S155,0.3798787096322097,0.5404772547483657,0.07964403561942378,ANN
S156,0.14927023997409333,0.8185423069304392,0.03218745309546757,ANN
S157,0.1866112856277665,0.7717236020992647,0.04166511227296896,ANN
S158,0.24006267935536196,0.6952347670147454,0.06470255362989308,ANN
S159,0.3759334818809635,0.4885993916235863,0.13546712649544973,ANN
S160,0.5402396321405565,0.31258556893918715,0.1471747989202564,1D-CNN
S161,0.3546123579672595,0.4424612738134998,0.20292636821924342,ANN
S162,0.35808682000486997,0.40303397825837106,0.23887920173675956,ANN
S163,0.35198960422011466,0.42716353446515287,0.22084686131473255,ANN
S164,0.44302633252579643,0.3342000264288228,0.22277364104538067,1D-CNN
S165,0.32118163315450154,0.4822605049104838,0.19655786193501518,ANN
S166,0.4167416400551223,0.3608656186131355,0.22239274133174217,1D-CNN
S167,0.419496102050343,0.5146420497968813,0.06586184815277371,ANN
S168,0.43178457308405516,0.3820291671877429,0.1861862597282027,1D-CNN
S169,0.3848305513458938,0.5030857675665609,0.1120836810875444,ANN
S170,0.4739906194909981,0.3132460540399174,0.212763326469084,1D-CNN
S171,0.45846546747455713,0.4627017006508737,0.07883283187456926,ANN
S172,0.2949129537355657,0.5645678383796159,0.14051920788481836,ANN
S173,0.2951223633123826,0.5820571286279361,0.12282050805967959,ANN
S174,0.33495861881224515,0.43369767467921055,0.23134370650854422,ANN
S175,0.5721971137488578,0.3397998345621808,0.08800305168896193,1D-CNN
S176,0.45324027427770264,0.4236120798480689,0.12314764587422954,1D-CNN
S177,0.39050590609405683,0.48324262394354894,0.1262514699623937,ANN
S178,0.30770528142760656,0.5947398815739546,0.09755483699843778,ANN
S179,0.3262409085827775,0.5997588139103542,0.0740002775068683,ANN
S180,0.44238929164738194,0.48406563190673924,0.07354507644587847,ANN
S181,0.34566239809954663,0.5772532883253907,0.07708431357506274,ANN
S182,0.23181714346159393,0.6981280846370705,0.07005477190133498,ANN
S183,0.22050428234826647,0.7519601564792259,0.027535561172506374,ANN
S184,0.563112312334339,0.3221998045733658,0.1146878830922949,1D-CNN
S185,0.3035005048829921,0.5369786513127676,0.1595208438042405,ANN
S186,0.32881683985347837,0.3186141620590277,0.35256899808749387,GRU
S187,0.29820186123446973,0.24793244034070464,0.4538656984248238,GRU
S188,0.19635263602963451,0.1755717896601741,0.62807557431019,GRU
S189,0.24161852081033036,0.20003815558118684,0.5583433236084809,GRU
S190,0.22125924355287474,0.2080816204607963,0.5706591359863309,GRU
S191,0.2517696938512731,0.2496779571620744,0.4985523489866521,GRU
S192,0.22936050743728215,0.1980163001911919,0.5726231923715258,GRU
S193,0.22044468185136146,0.19880073061187087,0.5807545875367697,GRU
S194,0.2115700906296296,0.20565318306895305,0.5827767263014186,GRU
S195,0.21660733246265096,0.25015490343595265,0.5332377641013961,GRU
S196,0.22075299410801408,0.2714163320084953,0.50783067388349,GRU
S197,0.2221511006054929,0.3330128855508351,0.4448360138436699,GRU
S198,0.2369393472310953,0.4148319433580935,0.3482287094108141,ANN
S199,0.21602346727776364,0.5489445226238905,0.23503201009834532,ANN
S200,0.26428766530419817,0.5327741473340742,0.20293818736172597,ANN
S201,0.3212903941230969,0.45894539290309144,0.2197642129738115,ANN
S202,0.6121199292073535,0.22696014510566204,0.16091992568698413,1D-CNN
S203,0.7051106901543505,0.15434068388362351,0.14054862596202594,1D-CNN
S204,0.6608517810295678,0.17837113603442634,0.1607770829360049,1D-CNN
S205,0.5412907181913152,0.2352003751513112,0.2235089066573724,1D-CNN
S206,0.4362148050907376,0.3571120582228761,0.2066731366863854,1D-CNN
S207,0.38513573759747616,0.3713063831966359,0.2435578792058879,1D-CNN
S208,0.3526480312254628,0.3774069596790686,0.2699450090954685,ANN
S209,0.3112275656147286,0.37889297052880305,0.3098794638564677,ANN
S210,0.33418261542964084,0.2891174380593248,0.376699946511035,GRU
S211,0.32361285154309605,0.3173363065586236,0.35905084189828235,GRU
S212,0.3359293583714208,0.3176358081618229,0.3464348334667571,GRU
S213,0.41209638570085216,0.2207327329896533,0.3671708813094943,1D-CNN
S214,0.47124103294063346,0.2685846642751685,0.2601743027841978,1D-CNN
S215,0.4705083791014713,0.33993051821587655,0.1895611026826517,1D-CNN
S216,0.4556174758510891,0.44235967030429474,0.10202285384461729,1D-CNN
S217,0.41229299936880914,0.5105715466028404,0.07713545402835138,ANN
S218,0.35900111546416147,0.569261780096083,0.07173710443975527,ANN
S219,0.39926933814003385,0.5238556182081724,0.07687504365179292,ANN
S220,0.34837647901962704,0.5875618299977361,0.06406169098263562,ANN
S221,0.34840938668258337,0.5653144539519148,0.08627615936550082,ANN
S222,0.37009998551944573,0.5347195949995397,0.09518041948101578,ANN
S223,0.4053144421131758,0.497104615780086,0.09758094210673816,ANN
S224,0.4353884319935951,0.481329256540288,0.08328231146611773,ANN
S225,0.3736666190851255,0.5263660920083854,0.09996728890648983,ANN
S226,0.25082009296388863,0.6646192509951904,0.08456065604092065,ANN
S227,0.3636279806199414,0.5367947209012891,0.09957729847877168,ANN
S228,0.36482781039882184,0.5507944714557131,0.08437771814546668,ANN
S229,0.32519527505416784,0.5748642430277096,0.09994048191812371,ANN
S230,0.33988905855008944,0.589803257382456,0.07030768406745626,ANN
S231,0.32147163877165397,0.5792821951613478,0.0992461660669973,ANN
S232,0.3044447915743369,0.6167949922029949,0.07876021622267008,ANN
S233,0.31913911256650296,0.5801183139577322,0.10074257347576449,ANN
S234,0.3238011318116504,0.5879438051185456,0.08825506306980359,ANN
S235,0.3654607565570645,0.518994086051126,0.11554515739180916,ANN
S236,0.2771712534102842,0.6442870348941543,0.07854171169556044,ANN
S237,0.3306033804915465,0.5674816162031602,0.10191500330529343,ANN
S238,0.3402286174785939,0.5810529399607821,0.07871844256062367,ANN
S239,0.25352763687406993,0.652625833496518,0.09384652962941208,ANN
S240,0.2946367806078932,0.6082934036117529,0.09706981578035365,ANN
S241,0.3630794612250012,0.5326499882875296,0.10427055048746903,ANN
S242,0.3619940220298461,0.55654088238902,0.08146509558113245,ANN
S243,0.37022647286866234,0.545032159117289,0.08474136801404782,ANN
S244,0.28893051559687677,0.6424589647340412,0.06861051966908098,ANN
S245,0.2669129281625042,0.6690976523773243,0.06398941946017016,ANN
S246,0.2531974605654305,0.6967170468673354,0.05008549256723354,ANN
S247,0.2656337065047075,0.6915129938566021,0.042853299638689835,ANN
S248,0.275883654917854,0.6789012006994836,0.04521514438266139,ANN
S249,0.2288191552598995,0.7427827610660238,0.028398083674076598,ANN
S250,0.20987322181443113,0.7634394696229537,0.02668730856261457,ANN
S251,0.23058762437346808,0.7434557845046439,0.025956591121887883,ANN
S252,0.2307539679998951,0.7404324557873817,0.028813576212722604,ANN
S253,0.22480618045458692,0.7387383294876743,0.036455490057739764,ANN
S254,0.24232965072010568,0.7248012502651685,0.03286909901472494,ANN
S255,0.2663030658764212,0.7014636739427001,0.032233260180878576,ANN
S256,0.275765843810269,0.6843614889816362,0.03987266720809531,ANN
S257,0.2742235070293457,0.6851721803796701,0.04060431259098386,ANN
S258,0.3018085334403411,0.651335147709298,0.04685631885036082,ANN
S259,0.33618601705864565,0.6143379229668616,0.04947605997449211,ANN
S260,0.37161517388792564,0.5784304395515266,0.049954386560546085,ANN
S261,0.35561663531160015,0.5970414302112914,0.04734193447710855,ANN
S262,0.36667838351645493,0.5782717903959679,0.05504982608757731,ANN
S263,0.3075284529477098,0.6367395897428495,0.05573195730944065,ANN
S264,0.3026345817608152,0.6331745261872401,0.06419089205194313,ANN
S265,0.31639917500642895,0.6141042728708453,0.06949655212272438,ANN
S266,0.31410769050603166,0.6017622232642985,0.08413008622966979,ANN
S267,0.3110817047625614,0.5997445774126817,0.08917371782475614,ANN
S268,0.31209119318034895,0.5844932225358088,0.1034155842838424,ANN
S269,0.3180543189213674,0.5710186047088001,0.11092707636983257,ANN
S270,0.34016191234694265,0.5372985648323969,0.12253952282066034,ANN
S271,0.37272882699067117,0.5151392306447885,0.11213194236453988,ANN
S272,0.38956841034106315,0.506111531580848,0.10432005807808936,ANN
S273,0.3751574564535972,0.5309422484276182,0.09390029511878693,ANN
S274,0.33941133727655626,0.5744224364046845,0.08616622631875893,ANN
S275,0.326247561592318,0.5948280416076073,0.07892439680007415,ANN
S276,0.33554832685431807,0.5869878906157088,0.07746378252997262,ANN
S277,0.31269884220139754,0.6218018492153545,0.0654993085832485,ANN
S278,0.30067303364048403,0.6429238966220945,0.056403069737421346,ANN
S279,0.4089929427979914,0.5028605348645786,0.08814652233743181,ANN
S280,0.4461644818774911,0.42813003883186224,0.12570547929064851,1D-CNN
S281,0.4620059642954839,0.3768747332586818,0.16111930244583297,1D-CNN
S282,0.3422758587018354,0.30421502150579466,0.3535091197923687,GRU
S283,0.4494055621856351,0.2525095067581522,0.2980849310562147,1D-CNN
S284,0.3818875182706479,0.2385342232690757,0.3795782584602758,1D-CNN
S285,0.3052679074176758,0.15898735245130888,0.5357447401310148,GRU
S286,0.35089219761504287,0.16993451805620274,0.47917328432875406,GRU
S287,0.20275495690031548,0.11202777395540613,0.6852172691442797,GRU
S288,0.184835244962676,0.22484501842227292,0.590319736615051,GRU
S289,0.15894969016474547,0.20847427484138542,0.6325760349938697,GRU
S290,0.2669260432966762,0.3708261016298034,0.36224785507352053,ANN
S291,0.2786272523896292,0.5239764927729474,0.19739625483742143,ANN
S292,0.40685237326710616,0.5109013457887787,0.0822462809441135,ANN
S293,0.384479271239521,0.5026769705296691,0.11284375823080935,ANN
S294,0.4369323134131843,0.46573076131363655,0.09733692527318061,ANN
