Segment,1D-CNN,ANN,GRU,Selected
S1,0.276317784394413,0.374286492424763,0.34939572318082385,ANN
S2,0.2936696129297133,0.390844206570722,0.31548618049956473,ANN
S3,0.20331804140198254,0.13791213527783733,0.6587698233201802,GRU
S4,0.33090488648775296,0.4407573443863216,0.22833776912592668,ANN
S5,0.18022032831523754,0.10754550117870872,0.712234170506052,GRU
S6,0.40009202661899146,0.5151658141391772,0.08474215924183141,ANN
S7,0.10044604713250681,0.4031816201492978,0.4963723327181953,GRU
S8,0.2368602751081079,0.4425968888274498,0.32054283606444206,ANN
S9,0.49339693845716237,0.1030520586766076,0.4035510028662298,1D-CNN
S10,0.00023041389124769712,0.9993158494800787,0.0004537366286695227,ANN
S11,0.27121602326869143,0.32095583342911727,0.4078281433021913,GRU
S12,0.22836750705635514,0.4592281275970632,0.31240436534658234,ANN
S13,0.4690656571302002,0.12263464556954898,0.4082996973002513,1D-CNN
S14,0.17674145679551626,0.17486015066294144,0.6483983925415431,GRU
S15,0.23500459313542532,0.573198454535105,0.19179695232946978,ANN
S16,0.4402922130715059,0.353505066353951,0.20620272057454317,1D-CNN
S17,0.13453124469156666,0.33469888567698375,0.5307698696314483,GRU
S18,0.4885434538366913,0.3715063819724084,0.13995016419090028,1D-CNN
S19,0.15436028969741566,0.20272694578230732,0.6429127645202758,GRU
S20,0.31078749546229767,0.5657627259988992,0.123449778538803,ANN
S21,0.1372114368195405,0.27970070306767336,0.5830878601127859,GRU
S22,0.2101820584366626,0.7341100256285688,0.05570791593476843,ANN
S23,0.08491913413270578,0.8766823958054982,0.0383984700617959,ANN
S24,0.1397424596603717,0.7883632569742114,0.0718942833654159,ANN
S25,0.5626139010910338,0.2555753596606838,0.18181073924828248,1D-CNN
S26,0.661129627746057,0.2239989628837886,0.11487140937015429,1D-CNN
S27,0.18102167594470686,0.6696157030152265,0.14936262104006728,ANN
S28,0.21313149148059873,0.34544558427013744,0.44142292424926377,GRU
S29,0.35016856851336525,0.2048614447157804,0.4449699867708533,GRU
S30,0.24653024842429652,0.5054216509436462,0.248048100632057,ANN
S31,0.3024455250467389,0.15467512550672766,0.542879349446533,GRU
S32,0.5084862882286775,0.4578806516613335,0.033633060109988525,1D-CNN
S33,0.1640301447370747,0.2777655230445719,0.5582043322183518,GRU
S34,0.1876346413656346,0.7520221732943174,0.06034318534004788,ANN
S35,0.3385014032860816,0.28876211079840447,0.3727364859155146,GRU
S36,0.5755525236321669,0.2419263503854524,0.18252112598237913,1D-CNN
S37,0.5361994761424008,0.16500982124637514,0.29879070261122254,1D-CNN
S38,0.31293581591883846,0.5628036973284976,0.12426048675266363,ANN
S39,0.25133701379973333,0.5846843562981768,0.16397862990208908,ANN
S40,0.23315941440470367,0.746344924071291,0.020495661524005154,ANN
S41,0.21988093705415263,0.6130933734195125,0.16702568952633398,ANN
S42,0.4841067351573074,0.4468091902679952,0.06908407457469624,1D-CNN
S43,0.45153222356708045,0.44117964549689026,0.10728813093602875,1D-CNN
S44,0.20047874915995786,0.5327141288819095,0.2668071219581314,ANN
S45,0.4303803353568333,0.26571143617678794,0.3039082284663774,1D-CNN
S46,0.6091944330316729,0.1024835462836351,0.28832202068469126,1D-CNN
S47,0.20951207598916416,0.6601422067179746,0.13034571729286,ANN
S48,0.20267531589998702,0.223324766724482,0.573999917375531,GRU
S49,0.5968460259308708,0.27903311826263383,0.12412085580649537,1D-CNN
S50,0.13375032603361633,0.13383632977475607,0.7324133441916272,GRU
S51,0.3462178282166821,0.3302800055723041,0.32350216621101385,1D-CNN
S52,0.31246558518725237,0.26288471990298307,0.42464969490976373,GRU
S53,0.45424945252199783,0.21855014478363383,0.32720040269436734,1D-CNN
S54,0.4189992808179219,0.2936492778253741,0.28735144135670376,1D-CNN
S55,0.11992021526848519,0.6649438891522291,0.21513589557928636,ANN
S56,0.021322622210654285,0.9148555341222392,0.06382184366710521,ANN
S57,0.05657011268170691,0.3225660481070194,0.6208638392112721,GRU
S58,0.21189777950874364,0.3168797177619278,0.47122250272932764,GRU
S59,0.4683698838944247,0.11714457143497928,0.41448554467059584,1D-CNN
S60,0.16816688797981735,0.5222867653610666,0.3095463466591159,ANN
S61,0.40577841070710974,0.20470666887770259,0.3895149204151878,1D-CNN
S62,0.5688623996115957,0.3240374093657244,0.10710019102268063,1D-CNN
S63,0.25078732006795934,0.5433883441344642,0.2058243357975757,ANN
S64,0.07112862841828049,0.7332903148973465,0.1955810566843717,ANN
S65,0.008425474340033903,0.9774082174003946,0.014166308259572052,ANN
S66,0.30058538903463095,0.5388052057922846,0.16060940517308428,ANN
S67,0.2145662154871866,0.6473203848544244,0.13811339965839095,ANN
S68,0.09018231968337385,0.8028802028626594,0.10693747745396687,ANN
S69,0.2789894841249637,0.22916142988101,0.49184908599402616,GRU
S70,0.3462869532488738,0.2726242063846172,0.38108884036650814,GRU
S71,0.07063333879772433,0.19577522588971202,0.7335914353125652,GRU
S72,0.026009946349142755,0.9445412842636797,0.029448769387177626,ANN
S73,0.0939161730495013,0.1787836278669864,0.7273001990835121,GRU
S74,0.5927238511787314,0.2529361869154612,0.15433996190580734,1D-CNN
S75,0.26219350740316616,0.5649145755435431,0.17289191705329068,ANN
S76,0.24284190621901622,0.26180898958914417,0.4953491041918392,GRU
S77,0.5604679460959874,0.20007442303983253,0.23945763086417984,1D-CNN
S78,0.6065686093909685,0.18769142609399725,0.20573996451503296,1D-CNN
S79,0.34477139014269237,0.3973122307553726,0.2579163791019346,ANN
S80,0.2924576354722935,0.5085399653991951,0.1990023991285101,ANN
S81,0.4306378062105778,0.23738273401079604,0.3319794597786281,1D-CNN
S82,0.06917201677764732,0.14854076530409643,0.7822872179182557,GRU
S83,0.41137705397523944,0.3688177962438416,0.21980514978091897,1D-CNN
S84,0.23173199050570484,0.1510361766578992,0.6172318328363955,GRU
S85,0.552157885894851,0.14477059672863563,0.30307151737651405,1D-CNN
S86,0.49237098306436755,0.41444414389137124,0.09318487304426316,1D-CNN
S87,0.2570072787451426,0.42257220391560185,0.32042051733925425,ANN
S88,0.2663232127482078,0.7069712758469868,0.02670551140480512,ANN
S89,0.34708614689739814,0.27405342934192056,0.37886042376068085,GRU
S90,0.3331187252275638,0.20061266354958016,0.46626861122285745,GRU
S91,0.8368398995838319,0.10936311857446779,0.053796981841701376,1D-CNN
S92,0.26856491986441816,0.2748290213993552,0.4566060587362255,GRU
S93,0.3982788737934429,0.3804871032579521,0.2212340229486055,1D-CNN
S94,0.4664310547233261,0.24646503524100466,0.287103910035668,1D-CNN
S95,0.6124143338326691,0.17582293463801363,0.2117627315293171,1D-CNN
S96,0.1529984253048373,0.776430522557917,0.07057105213724564,ANN
S97,0.24002128020661803,0.5179338763159297,0.24204484347745356,ANN
S98,0.56535814029483,0.2072888648855307,0.22735299481963783,1D-CNN
S99,0.6654596782387682,0.21907583187649393,0.115464489884738,1D-CNN
S100,0.38984407131403337,0.4359545655852278,0.17420136310073836,ANN
S101,0.3400877235464357,0.4990103647955238,0.16090191165804046,ANN
S102,0.26238679480226246,0.3291627731158133,0.4084504320819235,GRU
S103,0.18806282410233413,0.15094233694616638,0.6609948389515009,GRU
S104,0.8403853354798207,0.12458433609436771,0.03503032842581255,1D-CNN
S105,0.20361532589707998,0.10906532697889626,0.6873193471240232,GRU
S106,0.5358168618397133,0.34820180640398873,0.11598133175629784,1D-CNN
S107,0.32001639407004684,0.32814165401264456,0.3518419519173082,GRU
S108,0.4181502558633427,0.2718501860709161,0.30999955806574403,1D-CNN
S109,0.4662748038968085,0.29058181267794086,0.2431433834252506,1D-CNN
S110,0.23926783760382037,0.1977619131929531,0.562970249203226,GRU
S111,0.7224721706109308,0.15338779725157176,0.12414003213749589,1D-CNN
S112,0.25802434629792204,0.5948563610449439,0.14711929265713608,ANN
S113,0.21633521932889485,0.569815160112348,0.21384962055875759,ANN
S114,0.44605887069071537,0.2778251936877956,0.27611593562148956,1D-CNN
S115,0.4258895813261651,0.44786942340428276,0.12624099526955285,ANN
S116,0.22497130484048833,0.4019555808653422,0.37307311429417134,ANN
S117,0.48224027959749455,0.3438313591764372,0.1739283612260679,1D-CNN
S118,0.3288315736246733,0.20337949446738954,0.4677889319079371,GRU
S119,0.49172054959055317,0.40121942181353815,0.10706002859590923,1D-CNN
S120,0.19738267816177046,0.19436011849807988,0.6082572033401495,GRU
S121,0.09509078562540922,0.8649120622103555,0.039997152164234294,ANN
S122,0.1497622778745816,0.15831650256721144,0.6919212195582057,GRU
S123,0.6882710445526533,0.26613773796652834,0.04559121748082017,1D-CNN
S124,0.16541791004366865,0.17659501194875998,0.6579870780075714,GRU
S125,0.2474916961856012,0.5280865842516346,0.2244217195627648,ANN
S126,0.44324317823113607,0.09552223098708905,0.46123459078177437,GRU
S127,0.2681731433667134,0.34816129300005516,0.38366556363323123,GRU
S128,0.0482732951543887,0.8822195868110174,0.06950711803459335,ANN
S129,0.16026892201437654,0.5118385524555135,0.3278925255301098,ANN
