Segment,1D-CNN,ANN,BiLSTM,LSTM,CNN-LSTM,GRU,Selected
S1,0.0,0.0,0.0,0.44216896043144177,0.2897686082327359,0.2680624313358222,LSTM
S2,0.0,0.0,0.3406084773903455,0.4092015385385944,0.25018998407106086,0.0,LSTM
S3,0.3126620683835254,0.0,0.0,0.33965687221683694,0.0,0.34768105939963834,GRU
S4,0.3006964051467955,0.0,0.0,0.300902009608236,0.0,0.398401585244969,GRU
S5,0.42672067769569233,0.0,0.260397834736977,0.0,0.0,0.31288148756733064,1D-CNN
S6,0.43864210241983875,0.3479964838035786,0.0,0.0,0.2133614137765825,0.0,1D-CNN
S7,0.0,0.20065081400027332,0.25830482053147413,0.0,0.5410443654682526,0.0,CNN-LSTM
S8,0.0,0.433991938070614,0.42883811870528926,0.13716994322409742,0.0,0.0,ANN
S9,0.0,0.40553460034756417,0.33144918494726244,0.0,0.2630162147051732,0.0,ANN
S10,0.0,0.5334068948517984,0.23342178934005,0.0,0.0,0.23317131580815145,ANN
S11,0.0,0.0,0.20767909961254977,0.0,0.2247685245838942,0.5675523758035556,GRU
S12,0.0,0.20725955110610864,0.0,0.0,0.1678848880504881,0.6248555608434034,GRU
S13,0.1087821922349942,0.0,0.0,0.0,0.12765996120347387,0.763557846561532,GRU
S14,0.1576476058354576,0.0,0.0,0.0,0.14176601697367722,0.7005863771908654,GRU
S15,0.2686889408724642,0.0,0.0,0.0,0.11140486003465466,0.619906199092881,GRU
S16,0.30702999425092076,0.0,0.0,0.0,0.1487622225516472,0.5442077831974316,GRU
S17,0.2166566820185085,0.13574974422029468,0.0,0.0,0.0,0.6475935737611962,GRU
S18,0.2982248771346695,0.21113775904737048,0.0,0.0,0.0,0.49063736381796014,GRU
S19,0.20323500836494796,0.16428071728015975,0.0,0.0,0.0,0.632484274354892,GRU
S20,0.23827229667034788,0.1730190041276231,0.0,0.0,0.0,0.588708699202028,GRU
S21,0.4222955074717734,0.2944985689206109,0.0,0.0,0.0,0.28320592360761626,1D-CNN
S22,0.3528926703239238,0.22967433755433064,0.0,0.0,0.0,0.41743299212174517,GRU
S23,0.025765552357915316,0.02653621907269025,0.0,0.0,0.0,0.9476982285693945,GRU
S24,0.017007403736031323,0.018758412044727505,0.0,0.0,0.9642341842192412,0.0,CNN-LSTM
S25,0.39442535666399,0.3028951967876127,0.30267944654839796,0.0,0.0,0.0,1D-CNN
S26,0.9228407066477303,0.04869232725253433,0.0,0.0,0.0,0.028466966099735393,1D-CNN
S27,0.06922196560102421,0.0,0.0,0.0,0.3045618210617297,0.6262162133372466,GRU
S28,0.08869270346850532,0.4059010545755443,0.5054062419559497,0.0,0.0,0.0,BiLSTM
S29,0.2816432377648154,0.0,0.0,0.0,0.3103632251963898,0.40799353703879415,GRU
S30,0.0,0.3254573274218968,0.37705223062557086,0.0,0.297490441952532,0.0,BiLSTM
S31,0.48330714470249087,0.2759564488854404,0.24073640641206873,0.0,0.0,0.0,1D-CNN
S32,0.16146061321948024,0.6564276964153934,0.18211169036512648,0.0,0.0,0.0,ANN
S33,0.0,0.6683596979221914,0.0,0.0,0.1581080176688019,0.17353228440900673,ANN
S34,0.16807614482797983,0.5555401792725178,0.0,0.0,0.0,0.2763836758995018,ANN
S35,0.13877815389393502,0.31778971049950566,0.0,0.0,0.0,0.5434321356065591,GRU
S36,0.23362261574990803,0.4578830619441413,0.0,0.0,0.0,0.30849432230595025,ANN
S37,0.25383038373229666,0.2652605021867648,0.0,0.0,0.0,0.48090911408093856,GRU
S38,0.15105219771035366,0.16518510586287635,0.0,0.0,0.0,0.6837626964267707,GRU
S39,0.21493556632218114,0.7211621341125263,0.0,0.0,0.0,0.06390229956529223,ANN
S40,0.2710966211299861,0.20696496007731557,0.0,0.0,0.0,0.5219384187926983,GRU
S41,0.3274143029250445,0.5153206422943791,0.15726505478057626,0.0,0.0,0.0,ANN
S42,0.4991457435888028,0.3545236147645318,0.0,0.0,0.0,0.14633064164666545,1D-CNN
